
[00:00:00.400 --> 00:00:06.400]   every time you hear about another airline award chart disappearing or hotel program devaluation
[00:26:25.440 --> 00:26:31.200]   is business class and international flights are going to get you more value and certain programs like
[00:26:31.200 --> 00:26:37.920]   delta jet blue southwest are going to get you less value or at least less upside in value they might get
[00:26:37.920 --> 00:26:43.440]   you more consistent value but on the upside it's not going to be there and honestly if my choice was only
[00:26:43.440 --> 00:26:48.640]   earning points in those programs or cash back i'd probably go for cash back the reason i like points
[00:26:48.640 --> 00:26:54.160]   is because of the outsized value i can get from all those other programs on the hotel side award wallet
[00:26:54.160 --> 00:26:59.840]   does actually do the same thing for hotels so we can get the data that they show for hotels there isn't
[00:26:59.840 --> 00:27:06.800]   the same breakout of what do you get from international versus domestic suites versus not so they just have
[00:27:06.800 --> 00:27:13.200]   their average value this episode is brought to you by masterclass if i'm trying to rewrite something or do
[00:27:13.200 --> 00:27:18.320]   some research ai tools have been great but when i'm really trying to learn something meaningful in
[00:27:18.320 --> 00:27:24.400]   business or life and really build some mastery i love to turn to an expert or mentor and one of the
[00:27:24.400 --> 00:27:30.720]   first places i look is masterclass masterclass is the only streaming platform where you can get unlimited
[00:27:30.720 --> 00:27:37.760]   access to over 200 classes taught by the world's best business leaders writers chefs and more and if you're
[00:27:37.760 --> 00:27:44.000]   short on time you can get thousands of bite-sized lessons across 13 categories that can fit into even
[00:27:44.000 --> 00:27:50.400]   the busiest of schedules you can learn to win negotiations with fbi hostage negotiator chris voss
[00:27:50.400 --> 00:27:56.400]   unlock investing fundamentals from wall street pros master leadership with top ceos like bob eiger and
[00:27:56.400 --> 00:28:02.000]   howard schultz but it's not just business topics i'm loving their new science of parenting series right now
[00:28:02.000 --> 00:28:08.160]   and learning so much about being a dad to our two girls with masterclass plans start at just ten dollars
[00:28:08.160 --> 00:28:13.840]   a month billed annually and come with a 30-day money-back guarantee and right now our listeners
[00:28:13.840 --> 00:28:22.160]   get an additional 15 off any annual membership at all the hacks dot com slash masterclass that's 15 off at
[00:28:22.160 --> 00:28:29.920]   all the hacks dot com slash masterclass all the hacks dot com slash masterclass this episode is brought to
[00:28:29.920 --> 00:28:36.560]   you by built nobody wants to pay rent but if you have to why not get rewarded for it and built does
[00:28:36.560 --> 00:28:41.520]   exactly that they have totally changed the game by rewarding their members with valuable points and
[00:28:41.520 --> 00:28:47.200]   exclusive benefits around their neighborhood every single month by paying rent through built you can earn
[00:28:47.200 --> 00:28:53.040]   flexible points that can be redeemed towards hundreds of hotels and airlines a future rent payment your
[00:28:53.040 --> 00:28:58.960]   next lift ride and more but it doesn't stop there built is about making your entire neighborhood more
[00:28:58.960 --> 00:29:04.480]   rewarding you can dine out at your favorite local restaurants and earn additional points get vip
[00:29:04.480 --> 00:29:10.880]   treatments at certain fitness studios and enjoy exclusive experiences just for built members every month
[00:29:10.880 --> 00:29:15.840]   built is turning a monthly expense into an opportunity to earn rewards and discover the
[00:29:15.840 --> 00:29:21.760]   best that your neighborhood has to offer your rent is finally working for you earn points on rent and
[00:29:21.760 --> 00:29:26.960]   around your neighborhood wherever you call home by going to all the hacks dot com slash built
[00:29:26.960 --> 00:29:33.840]   that's all the hacks dot com slash built b-i-l-t make sure to use our url so they know we sent you
[00:29:33.840 --> 00:29:38.560]   the next tool i want to introduce is called gondola and they have amazing data for hotels and they do
[00:29:38.560 --> 00:29:43.200]   that because they have this website that allows you to search and compare cash and points booking rates for
[00:29:43.200 --> 00:29:48.560]   hotels the site's totally free to use they even track your points on hotel side but they also let
[00:29:48.560 --> 00:29:53.920]   you complete the points bookings on their site which is really cool so instead of using an award search
[00:29:53.920 --> 00:29:58.480]   tool finding a hotel booking and then going to the hotel website to book it you could do it all on their
[00:29:58.480 --> 00:30:03.600]   site so definitely check that out there is a referral link if you use someone's referral you get a free
[00:30:03.600 --> 00:30:08.400]   50 after your first booking mine is at all the hacks dot com slash gondola so if you're going to sign up
[00:30:08.400 --> 00:30:13.200]   definitely use someone's referral code and every time they see a hotel they cache all of the data and
[00:30:13.200 --> 00:30:18.640]   they store it and then they let people like me analyze that data and share it with you guys and if i have
[00:30:18.640 --> 00:30:23.840]   one qualm with the site it's that sometimes on the search results page they will show cash data and then
[00:30:23.840 --> 00:30:28.720]   when you actually click into the hotel they live refresh it and that points booking might not still be
[00:30:28.720 --> 00:30:32.960]   available or the rate might have changed doesn't happen all the time but i understand why they do
[00:30:32.960 --> 00:30:37.840]   it because it's just too many things to refresh at once so it's a quicker site than some other ones
[00:30:37.840 --> 00:30:42.800]   because it's getting you all that data right out front but you need to click into the individual hotel
[00:30:42.800 --> 00:30:47.760]   to refresh the data to make sure that rates there but when it comes to looking at the redemption values
[00:30:47.760 --> 00:30:53.040]   they have a tool that they've given me to look at so i can see what is the distribution of redemption
[00:30:53.040 --> 00:30:59.680]   values for hyatt and so here i'm seeing on hyatt 730 000 different options across 1700 properties
[00:30:59.680 --> 00:31:05.280]   23 brands and they show you the distribution the percentile distribution and they say median value of
[00:31:05.280 --> 00:31:11.120]   hyatt points is 1.65 cents per point now this is why i love hyatt points they're so much more valuable
[00:31:11.120 --> 00:31:16.560]   than all other hotel points and they transfer one-to-one from chase it's awesome they also say at the 75th
[00:31:16.560 --> 00:31:23.680]   percentile you get 2.15 cents per point and at the 90th percentile it's 2.81 cents per point they let
[00:31:23.680 --> 00:31:28.320]   you go further and say hey because most points bookings are refundable what if we only compare
[00:31:28.320 --> 00:31:36.080]   to refundable rates and then because one of the hyatt chains mr and mrs smith is just a fixed rate
[00:31:36.080 --> 00:31:42.080]   redemption there's not a lot of outsized value you can say hey show me only hyatt excluding mr and mrs smith
[00:31:42.800 --> 00:31:47.840]   now the medium value goes up to 1.89 cents per point when you're looking at refundable bookings
[00:31:47.840 --> 00:31:54.560]   that aren't mr and mrs smith the 75th percentile goes up to 2.46 cents per point and the 90th percentile
[00:31:54.560 --> 00:32:00.320]   goes up to 3.25 cents per point tldr hyatt points are worth a lot relative to airline points they're
[00:32:00.320 --> 00:32:06.640]   kind of comparable or even better the tricky thing with hotels is that hotel points are across the board
[00:32:06.640 --> 00:32:13.040]   if i look quickly at award wallet and the value that most of their members have gotten choice points
[00:32:13.040 --> 00:32:22.000]   hilton points at about 0.6 cents ihg 0.68 marriott 0.93 so they're kind of around all across the board
[00:32:22.000 --> 00:32:28.240]   if i look at the data from gondola i think the interesting thing is you can see a couple takeaways
[00:32:28.800 --> 00:32:36.960]   one if i look at hilton the median value is 0.39 cents however the 75th percentile goes up to 0.46
[00:32:36.960 --> 00:32:42.720]   and the 90th percentile goes up to 0.57 so if you cherry pick the best redemptions you can get more
[00:32:42.720 --> 00:32:48.080]   value i think we all know that if you compare it to refundable rates the values go up a little bit but
[00:32:48.080 --> 00:32:54.320]   you know maybe 10 percent ish but if you look at particular properties and chains you see more
[00:32:54.320 --> 00:33:00.160]   value so with hilton at the 75th percentile points are worth 0.46 cents but if you look at the conrad
[00:33:00.160 --> 00:33:06.480]   it's 0.56 cents if you look at lxr it's 0.88 cents and if you look at the waldorf it's 0.65 cents so you
[00:33:06.480 --> 00:33:10.560]   don't need to remember all these numbers so i'm sorry for throwing them all at you but the takeaway
[00:33:10.560 --> 00:33:16.080]   is at certain chains within the hotel groups you can get more value this is similar to the airline
[00:33:16.080 --> 00:33:20.480]   example of getting more value from business class if you're booking luxury chains like conrad
[00:33:20.480 --> 00:33:28.400]   waldorf park hyatt st regis ritz carlton kimpton six senses in those respective chains you find that
[00:33:28.400 --> 00:33:33.040]   the value of those points are worth more so i think the big two takeaways here from looking at the data
[00:33:33.040 --> 00:33:38.080]   they apply to hotels and airlines the more premium booking you're doing whether it's premium properties
[00:33:38.080 --> 00:33:44.160]   premium cabins you get more value and if you compare what the experts are getting from their points
[00:33:44.160 --> 00:33:51.040]   to what the data shows the average price per point is it's just significantly higher i'll use hilton
[00:33:51.040 --> 00:33:57.280]   as a great example the median value for all bookings from the gondola data is 0.39 cents
[00:33:57.280 --> 00:34:03.440]   but if you look at what award wallet users are getting at hilton it's 0.59 cents now those point
[00:34:03.440 --> 00:34:10.720]   values may seem smaller but keep in mind that earning 0.59 cents instead of 0.39 cents is 50 percent more value
[00:34:10.720 --> 00:34:15.440]   so again the more you understand how to do this the more you're picking the best redemptions and not
[00:34:15.440 --> 00:34:19.600]   picking the worst ones the more value you're going to get now if you hear me talking about hotel points
[00:34:19.600 --> 00:34:24.160]   and you think wow if they're worth so much less than airline points or transferable points why would i want
[00:34:24.160 --> 00:34:29.760]   them keep in mind two things one oftentimes when you're using a credit card or staying at a hotel you're
[00:34:29.760 --> 00:34:34.880]   just earning way more points with top tier status at hilton and the top to your credit card i think
[00:34:34.880 --> 00:34:40.560]   you're earning 34 hilton points per dollar also keep in mind that if you're transferring those points
[00:34:40.560 --> 00:34:46.640]   from bank programs the transfer ratios are often not just one to one so if you go from amex to hilton
[00:34:46.640 --> 00:34:52.640]   you're going one amex point to two hilton points if you're going from city to choice privileges you're going
[00:34:52.640 --> 00:34:59.360]   one to two and so it's not always just a straight one to one transfer that said sometimes it is and
[00:34:59.360 --> 00:35:04.080]   that's why i never use those points as transfer partners from those programs so if you're transferring
[00:35:04.080 --> 00:35:08.800]   from chase to marriott you're getting one to one and those merit points are worth a lot less than
[00:35:08.800 --> 00:35:13.280]   airline points which is why i'm never doing those transfers so keep that in mind so now that we've
[00:35:13.280 --> 00:35:17.520]   looked at what experts say we've looked at what the data says i'm just going to do a quick kind of min
[00:35:17.520 --> 00:35:22.640]   max on the values here if i look at airlines and i look at the points path data i look at all the
[00:35:22.640 --> 00:35:30.320]   experts the minimum value that anyone assigns to airline points is 1.1 cents and the maximum is 1.55
[00:35:30.320 --> 00:35:37.040]   now award wallet members might be earning a lot more than that but valuation wise that's kind of the
[00:35:37.040 --> 00:35:43.360]   range 1.1 to 1.55 cents if you're using premium cabins if you're doing what award wallet users say
[00:35:43.360 --> 00:35:47.360]   then i think it's a little bit different award wallet the minimum is 1.24 and the
[00:35:47.360 --> 00:35:55.040]   maximum is 3.65 cents so that's something to keep in mind as well on the hotel side generally all of
[00:35:55.040 --> 00:36:03.920]   those hotel points except for hyatt are in the 0.5 to 0.75 range and then hyatt is in the 1.5 to 1.7 range
[00:36:03.920 --> 00:36:10.000]   there are other hotel chains preferred leading hotels of the world a core at windham i did not include
[00:36:10.000 --> 00:36:17.200]   those in this analysis most of them are a bit more fixed rate values so it's not as interesting to think
[00:36:17.200 --> 00:36:21.600]   about their value and they have a limited number of places you can transfer to but just having
[00:36:21.600 --> 00:36:27.440]   valuations from data or experts is not really enough because if you're not staying in those luxury hotels
[00:36:27.440 --> 00:36:32.640]   or flying premium cabins then the values you get might be totally different so the real best answer
[00:36:32.640 --> 00:36:38.240]   here is to look at your own personal value and on a walk through how to calculate that unfortunately you
[00:36:38.240 --> 00:36:44.240]   probably don't have a history of every redemption you've done and what the going rates were at the time
[00:36:44.240 --> 00:36:49.200]   in the past so it's a little bit hard to go back in time but the next time you're planning a trip i'd
[00:36:49.200 --> 00:36:53.280]   encourage you to go through this process so you can get a sense and if you want right now you could
[00:36:53.280 --> 00:36:59.520]   even go and plan a hypothetical trip just to see what kind of values you're getting but as i did this
[00:36:59.520 --> 00:37:04.640]   i realized there's some things that i think most people out there are missing so let's start with just
[00:37:04.640 --> 00:37:10.640]   a simple example there's a 150 flight it costs 10 000 points and you might say great if i were to book
[00:37:10.640 --> 00:37:17.280]   that i would get 1.5 cents per point so my point should be worth 1.5 cents right it's not that easy
[00:37:17.280 --> 00:37:22.720]   so first off there are taxes and fees domestically those taxes and fees are usually five dollars and
[00:37:22.720 --> 00:37:28.480]   sixty cents so it's a little bit negligible so in that previous example i would just subtract 5.60
[00:37:28.480 --> 00:37:34.160]   from the cost of the flight which would make the cents per point 1.44 cents per point however
[00:37:34.160 --> 00:37:38.960]   internationally especially on premium cabins those taxes and fees could be 50 and they could be a
[00:37:38.960 --> 00:37:44.400]   thousand dollars so i think of this just like an equation you've got the price of the flight equals
[00:37:44.400 --> 00:37:50.640]   the number of points plus the taxes and fees subtract the taxes and fees from both divide and you get
[00:37:50.640 --> 00:37:55.200]   the answer to what is the cents per point however you can't always compare the exact flight you're
[00:37:55.200 --> 00:37:59.920]   taking for a few reasons let's say you're flying from la to new york and the cheapest points ticket is on
[00:37:59.920 --> 00:38:05.200]   delta but when you look at the cash prices united's flight is half the price if you were booking with
[00:38:05.200 --> 00:38:11.040]   dollars you weren't going to book that delta flight for 2x the price so i think you need to use a
[00:38:11.040 --> 00:38:17.840]   reasonable alternative as to whatever you would book with cash and then maybe you need to adjust it for
[00:38:18.400 --> 00:38:25.280]   some premium cabin for example we might book a flight to europe using 50 000 air france points that
[00:38:25.280 --> 00:38:29.920]   otherwise was three thousand dollars in business class but would we really pay three thousand dollars
[00:38:29.920 --> 00:38:35.360]   to fly in business class if you wouldn't then i'm not sure that cent per point value makes sense because
[00:38:35.360 --> 00:38:41.120]   if you are using it to compare to earning cash back it'll put the favor in the points every time but
[00:38:41.120 --> 00:38:46.480]   if you wouldn't actually pay for that flight then it's not necessarily a fair comparison but also don't
[00:38:46.480 --> 00:38:51.280]   just use the economy flight prices because you're getting a way better experience so i'd say look at
[00:38:51.280 --> 00:38:56.880]   the price of flights and come up with a what is the amount of money i would have spent on this trip and
[00:38:56.880 --> 00:39:03.360]   compare the number of miles to that and if you are doing this looking at one-way flights keep in mind that
[00:39:03.360 --> 00:39:10.320]   in some geographies one-way flights are wildly inflated in price if you're booking them with cash so i've
[00:39:10.320 --> 00:39:15.600]   often looked to europe and found that a three thousand dollar round trip flight to europe might
[00:39:15.600 --> 00:39:20.720]   be twenty three hundred dollars each way but only three thousand booked as a round trip so when i'm
[00:39:20.720 --> 00:39:25.440]   really trying to be honest with myself and say what are my points worth on this trip i'll look at the
[00:39:25.440 --> 00:39:30.000]   round trip flight compared to the round trip points and i'll look at it on flights that i would have
[00:39:30.000 --> 00:39:35.920]   reasonably taken not just the flights that i booked with points often you can get really expensive flights
[00:39:35.920 --> 00:39:39.760]   with your points but there's another flight that wasn't as expensive that you would have been totally
[00:39:39.760 --> 00:39:44.240]   happy taking if you were paying for it yourself a couple other things to keep in mind if you need to
[00:39:44.240 --> 00:39:50.960]   buy positioning flights let's say you found a great award but it's from la to paris and you live in san
[00:39:50.960 --> 00:39:56.240]   francisco we need to factor in the fact that you might have to buy that other flight to get down to la
[00:39:56.240 --> 00:40:01.040]   but the biggest thing that i see no one doing on the internet when they compare what is the cents per
[00:40:01.040 --> 00:40:06.640]   point i'm getting on my trips is when you book a paid flight and this includes flights if you book
[00:40:06.640 --> 00:40:12.480]   them in a travel portal you earn points on those flights now depending on what status you have or
[00:40:12.480 --> 00:40:18.160]   what program it's in the number of points varies but for most of the u.s domestic airlines it's anywhere
[00:40:18.160 --> 00:40:24.480]   from 5 to 11 points per dollar and you earn credit card points when you book a cash booking whereas on an
[00:40:24.480 --> 00:40:29.200]   award booking you're only earning credit card points on those taxes and fees so if you stack those two
[00:40:29.200 --> 00:40:35.360]   things up that could be somewhere between five to fifteen percent you also don't always earn the
[00:40:35.360 --> 00:40:41.440]   elite qualifying points that you need on an airline to get status on your award flights and so that has
[00:40:41.440 --> 00:40:47.840]   to have some value too i went through the math i think that value is roughly around five percent if you
[00:40:47.840 --> 00:40:52.880]   really care about status on that airline if the only flight you're taking is delta and you never fly delta
[00:40:52.880 --> 00:40:57.600]   the fact that you're going to earn a marginal amount of elite qualifying miles or medallion qualifying
[00:40:57.600 --> 00:41:02.800]   dollars in delta's case is negligible so you shouldn't include it so depending on whether you care about
[00:41:02.800 --> 00:41:08.240]   earning status on the airline i think that the value of all of the points and status you're going to
[00:41:08.240 --> 00:41:14.800]   earn including your credit card on a paid flight is between 10 and 20 percent which is a meaningful
[00:41:14.800 --> 00:41:22.000]   change it definitely does make the math hard and so my quick rule of thumb is when i'm looking at a flight
[00:41:22.000 --> 00:41:26.640]   i'm booking with points i compare it to the most reasonable alternative that i would have booked as part of a
[00:41:26.640 --> 00:41:33.360]   round trip and i subtract the taxes and fees or any positioning flight and if i don't have status on
[00:41:33.360 --> 00:41:38.000]   that airline or care about status on that airline i knock off 10 percent and if i really value the
[00:41:38.000 --> 00:41:43.280]   status and i have a high level of status with that airline depending on that status level i'll knock off
[00:41:43.280 --> 00:41:49.920]   15 to 20 percent so that means that 150 flight that was 10 000 miles could actually end up being closer
[00:41:49.920 --> 00:41:55.280]   to 1.2 cents per point instead of 1.5 cents per point most the time that bloggers share their cents
[00:41:55.280 --> 00:42:01.280]   per point including me i am guilty of this they don't factor in all this data and so i think the points
[00:42:01.280 --> 00:42:07.040]   path data above the valuation from experts above it's probably not using this data either so you could
[00:42:07.040 --> 00:42:14.000]   probably make a case that point values across the board are inflated by 10 to 20 percent that said there is
[00:42:14.000 --> 00:42:19.520]   one bonus for points bookings and that is they are often way more flexible back when we were looking
[00:42:19.520 --> 00:42:25.040]   at hotels when you found that you compared it to refundable rates you found that the hotel value
[00:42:25.040 --> 00:42:30.880]   per point went up well that's because most points bookings on the hotel side and on the flight side can be
[00:42:30.880 --> 00:42:35.840]   canceled for a full refund now that's not true across the board so definitely i'll link to an article in
[00:42:35.840 --> 00:42:41.280]   the show notes from frequent miler that is all about the award cancellation policies per airline
[00:42:41.280 --> 00:42:48.400]   because they're not all free but for american delta alaska and united and alaska by the way partner
[00:42:48.400 --> 00:42:53.840]   bookings do have a fee but that gets waived with their new summit card those cancellations are free
[00:42:53.840 --> 00:42:58.480]   and so there's some value there now if it's an airline you fly a ton and you cancel their flight you
[00:42:58.480 --> 00:43:03.680]   will get a credit on that airline and if you fly them a ton that might be really easy to use but if you're
[00:43:03.680 --> 00:43:08.080]   booking a flight to europe which we've done a few times and you have to cancel it and you had done
[00:43:08.080 --> 00:43:13.440]   that as a paid booking on let's call it luftanza well now you might be stuck with thousands of dollars
[00:43:13.440 --> 00:43:19.200]   in luftanza credit that i can guarantee you will be way way harder to use than if you just got your miles
[00:43:19.200 --> 00:43:27.200]   refunded so it's up to you to decide what value that refundability has in my mind anytime i was making
[00:43:27.200 --> 00:43:33.600]   a cash booking if they were to offer me a 10 premium to make that fare refundable i'd probably always
[00:43:33.600 --> 00:43:39.360]   take it so yes you could argue points prices are all maybe inflated 10 to 20 percent if you value
[00:43:39.360 --> 00:43:44.880]   flexibility maybe they're all deflated 10 so maybe it all breaks even there's a lot of ways to look at
[00:43:44.880 --> 00:43:50.480]   this if you just want to do it on easy mode i would say the easiest thing to do is subtract the taxes and
[00:43:50.480 --> 00:43:56.560]   fees of a comparable flight and discount 10 and know that going forward when i talk about cents per point
[00:43:56.560 --> 00:44:02.160]   on future trips i'm going to try to do a better job of calculating this that's a little bit more of a fair
[00:44:02.160 --> 00:44:07.440]   comparison so that it gives you a better idea of what points are actually worth but two big caveats
[00:44:07.440 --> 00:44:12.160]   here one just because you got a good redemption once doesn't mean you're going to get it every time
[00:44:12.160 --> 00:44:17.360]   just because you see a blogger promote hey this time i got 10 cents per point well that's because
[00:44:17.360 --> 00:44:22.080]   it's a great article title that's because people get excited to read it sometimes i use my delta miles
[00:44:22.080 --> 00:44:26.800]   and i might only get 1.3 cents per point that's not a fun thing to talk about so it might not make
[00:44:26.800 --> 00:44:33.200]   headlines but it is true so over time i think as you use your points and your miles and you start to
[00:44:33.200 --> 00:44:38.320]   look at the value you're getting you'll have a better barometer for what what your value is if you don't
[00:44:38.320 --> 00:44:42.960]   have that data yet maybe starting with something like the frequent miler reasonable redemption values
[00:44:42.960 --> 00:44:47.920]   is better because it's a little easier guide if you're a pro you probably already have a good sense
[00:44:47.920 --> 00:44:53.680]   of what the value is this episode is brought to you by delete me if you prefer not to have your
[00:44:53.680 --> 00:44:58.960]   identity stolen or your phone number or home address or even email showing up all over the internet then
[00:44:58.960 --> 00:45:04.400]   you really need to check out delete me unfortunately there are hundreds of data brokers online that are
[00:45:04.400 --> 00:45:10.400]   constantly sharing and selling your personal info and keeping track of them is like playing whack-a-mole but
[00:45:10.400 --> 00:45:15.840]   fortunately if you go to them one by one you can remove the data however that process can take
[00:45:15.840 --> 00:45:21.920]   hours and hours to do yourself i know because two years ago i tried and after 10 plus hours i didn't
[00:45:21.920 --> 00:45:28.080]   even get close to finishing i gave up and i started using delete me and since then i've now signed up my
[00:45:28.080 --> 00:45:33.440]   entire family because delete me will not just find and remove your personal information from hundreds of
[00:45:33.440 --> 00:45:40.000]   data broker websites but they'll continuously scan for new data that shows up which sadly happens all the
[00:45:40.000 --> 00:45:46.240]   time and they'll get that removed as well on average they find and remove over 2 000 pieces of personal
[00:45:46.240 --> 00:45:51.840]   info for a customer in their first two years and to date they've done over 100 million data removals
[00:45:51.840 --> 00:45:57.680]   for their customers so if you want to get your personal information removed from the web go to allthehacks.com
[00:45:57.680 --> 00:46:05.840]   delete me and get 20 off a plan for you or your entire family again that's allthehacks.com delete me
[00:46:05.840 --> 00:46:12.720]   thank you for being here today you can find all the links promo codes and discounts from all our partners
[00:46:12.720 --> 00:46:19.920]   at allthehacks.com deals they're all brands i love and use so please consider supporting those who support us
[00:46:20.800 --> 00:46:26.080]   number two while it's super helpful to know how much value you get from your points if you're using that
[00:46:26.080 --> 00:46:30.800]   value to compare whether points are better than cashback it's really important to recognize that
[00:46:30.800 --> 00:46:35.760]   sometimes you can buy those points with cashback you've earned so i want to walk through that and
[00:46:35.760 --> 00:46:40.640]   why that might put a ceiling on the value of points you have so first i'm going to use an example and in
[00:46:40.640 --> 00:46:47.280]   my last episode i talked about getting a 1500 room at the waldorf historian costa rica for 120 000 hilton
[00:46:47.280 --> 00:46:53.280]   points so if we take a hundred fifteen hundred dollars divided by 120 000 we get 1.25 cents per
[00:46:53.280 --> 00:46:58.320]   point now let's be aggressive with our cashback strategy let's say i have the robin hood gold card
[00:46:58.320 --> 00:47:03.200]   earning three percent back now to get enough cash back to pay for that fifteen hundred dollar room
[00:47:03.200 --> 00:47:08.960]   i need to spend fifty thousand dollars on that card now most hilton cards out there earn at least
[00:47:08.960 --> 00:47:14.320]   3x on all your spend so if that fifty thousand dollars weren't in any category bonus i would
[00:47:14.320 --> 00:47:21.840]   earn 150 000 hilton points so that means that i'd have 30 000 hilton points left so clearly the hilton
[00:47:21.840 --> 00:47:26.880]   card would be a better deal right well maybe not first as i just talked about earlier that fifteen
[00:47:26.880 --> 00:47:32.320]   hundred dollars stay is likely to earn a lot of hilton points even with the basic card between that card
[00:47:32.320 --> 00:47:37.680]   and silver status you're actually going to earn 19 points per dollar so on that stay you would earn
[00:47:37.680 --> 00:47:42.880]   28 500 points even more if you had diamond status so now it's almost break even right put fifty
[00:47:42.880 --> 00:47:49.040]   thousand dollars on a hilton card get 150 000 hilton points spend 120 000 on the room have 30 000 hilton
[00:47:49.040 --> 00:47:54.400]   points left or put fifty thousand dollars on a robin hood card get three percent back which is fifteen
[00:47:54.400 --> 00:48:01.040]   hundred dollars spend that fifteen hundred dollars on the room but also get 28 500 hilton points so we're
[00:48:01.040 --> 00:48:06.560]   within 1500 hilton points of these being almost identical but neither of those are the best case
[00:48:06.560 --> 00:48:11.360]   scenario because you could actually use that robin hood card earn your fifteen hundred dollars of cash
[00:48:11.360 --> 00:48:17.520]   back but then just buy those hilton points and hilton points go on sale all the time for as low as half a
[00:48:17.520 --> 00:48:22.800]   cent so let's say you took that fifteen hundred dollars you spent six hundred dollars to buy the points you
[00:48:22.800 --> 00:48:28.640]   need you would have nine hundred dollars left so comparing those three outcomes that's a way better
[00:48:28.640 --> 00:48:33.840]   outcome but if you want to do it apples to apples because it's hard to compare having cash back left
[00:48:33.840 --> 00:48:38.560]   over when the other two scenarios didn't have cash let's say you just spend the whole fifteen hundred
[00:48:38.560 --> 00:48:43.520]   dollars on hilton points you'd end up with three hundred thousand hilton points you'd book your hundred
[00:48:43.520 --> 00:48:48.400]   twenty thousand point room and instead of having thirty or twenty eight thousand hilton points in the other
[00:48:48.400 --> 00:48:53.840]   scenarios you'd now have a hundred and eighty thousand points left over so in that comparison
[00:48:53.840 --> 00:48:59.280]   you would have been much much better off with a cash back card using hilton points that you bought
[00:48:59.280 --> 00:49:05.520]   to book the room so the price at which you buy those hilton points for kind of creates an effective ceiling
[00:49:05.520 --> 00:49:10.560]   so as much as you could say that because you got a fifteen hundred dollar room for 120 000 you
[00:49:10.560 --> 00:49:16.080]   effectively made your hilton points worth 1.25 cents that is true you did get a ton of value from hilton
[00:49:16.080 --> 00:49:20.880]   points but if you're comparing that 1.25 cents to what you would earn on a cash back card i don't
[00:49:20.880 --> 00:49:24.960]   think it's a fair comparison because you could have bought those hilton points for half a cent so we
[00:49:24.960 --> 00:49:31.280]   need to look at the data on what buying points is worth to set a ceiling on what our points are worth
[00:49:31.280 --> 00:49:35.600]   and by the way in that previous example that doesn't mean i'm moving to team cash back it just means that
[00:49:35.600 --> 00:49:39.280]   if your only two options are the robin hood card and the hilton card you might not want to use the
[00:49:39.280 --> 00:49:43.520]   hilton card for your everyday spending so let's quickly run through what the data says about buying
[00:49:43.520 --> 00:49:48.320]   points so we can figure out what to do with that data so on the hotel side when hotel points are
[00:49:48.320 --> 00:49:54.960]   not on sale excluding hyatt they typically cost one to 1.25 cents which is about one and a half to
[00:49:54.960 --> 00:49:59.520]   2x the valuation that most people give them it's pretty awful i would not buy hotel points if they're
[00:49:59.520 --> 00:50:05.360]   not on sale that said hilton ihg and choice points are always on sale so you're okay they go on sale seven
[00:50:05.360 --> 00:50:10.960]   to ten times a year so i think it's easy to put a ceiling on hilton and ihg points at a half a cent and on
[00:50:10.960 --> 00:50:16.640]   choice at about 0.62 cents marriott and hyatt are on sale a little bit less but when they do go on
[00:50:16.640 --> 00:50:21.920]   sale their sales last as long as two months but their sales prices aren't quite as close to the
[00:50:21.920 --> 00:50:29.120]   value most people get them for so if you're going to use them marriott points are often on sale for 0.89
[00:50:29.120 --> 00:50:35.600]   cents and hyatt points are often on sale for 2.8 cents so you could use those ceilings if you want i don't
[00:50:35.600 --> 00:50:40.080]   think it'll be that valuable but i feel like it's important to talk about airline point values are a
[00:50:40.080 --> 00:50:45.120]   little bit easier because they're all a little bit more clumped together to recap on the public valuation
[00:50:45.120 --> 00:50:50.800]   side they range from 1.1 to 1.55 cents but the amount to buy them is all over the board when they're not
[00:50:50.800 --> 00:50:57.280]   on sale the cheapest airline point you can buy is at 2.3 cents all the way up to 3.8 cents again like
[00:50:57.280 --> 00:51:04.240]   hotels if points aren't on sale don't buy them when they are on sale they're anywhere from 1.25 to 1.88
[00:51:04.240 --> 00:51:10.480]   cents except delta which looks like never go on sale so i'm never buying points whether it's airline or
[00:51:10.480 --> 00:51:15.680]   hotel points if i don't have a redemption in mind and i know how i'm going to use them but the challenge
[00:51:15.680 --> 00:51:23.120]   here and why i don't know if it's fair to use the exact sale prices as ceilings for airline miles
[00:51:23.120 --> 00:51:28.240]   is that they're not on sale nearly as often as hotel points the only exception here is avianca life miles
[00:51:28.240 --> 00:51:34.160]   they went on sale 17 times last year i thought about throwing the dates into chat chapt and if i did i
[00:51:34.160 --> 00:51:40.480]   probably would have gotten an answer that they were on sale like 340 of 365 days so i would put a ceiling
[00:51:40.480 --> 00:51:45.280]   on avianca points at 1.3 cents because they're almost always on sale but their program has a lot of
[00:51:45.280 --> 00:51:50.080]   quirks and i don't think it's a program that someone new to this game should be using and
[00:51:50.080 --> 00:51:54.080]   honestly i still have a bunch of points there that i haven't used because of all the nuances of the
[00:51:54.080 --> 00:52:00.640]   program that said on any given day at least five or six airlines probably have their points on sale
[00:52:00.640 --> 00:52:07.680]   somewhere in that 1.2 to 1.88 cents value that i mentioned so i think it would probably be fair to
[00:52:07.680 --> 00:52:12.960]   put a cap on the value you give your points and miles at two cents per point so i guess the takeaway
