
[00:00:00.000 --> 00:00:04.640]   >> Well, good afternoon.
[00:23:24.320 --> 00:23:27.880]   You have a new friendship and a new reality that links you,
[00:23:27.880 --> 00:23:31.000]   not just your Jewish heritage, but that you are partakers
[00:23:31.000 --> 00:23:32.960]   of a heavenly calling."
[00:23:32.960 --> 00:23:39.800]   Why is it that the apostle writing this or exhorting this book has urged
[00:23:39.800 --> 00:23:43.960]   about the priesthood of the Lord Jesus Christ, for sure,
[00:23:43.960 --> 00:23:45.760]   that he is better than Judaism.
[00:23:45.760 --> 00:23:50.240]   But in Hebrews 4, he reminds us, "He will hold you fast.
[00:23:50.240 --> 00:23:52.360]   You can hold on to your confession.
[00:23:52.360 --> 00:23:57.240]   You can endure because of his intercession for you.
[00:23:57.240 --> 00:24:00.640]   You can persevere because he preserves you."
[00:24:00.640 --> 00:24:01.800]   Why talk about that?
[00:24:01.800 --> 00:24:05.640]   Because the world can be a very lonely place, and you need to know
[00:24:05.640 --> 00:24:09.680]   that somebody is on your side, and Jesus is that one.
[00:24:09.680 --> 00:24:11.440]   And there's no one better than him.
[00:24:11.440 --> 00:24:14.720]   This is exactly why in Hebrews 10, we are familiar with it,
[00:24:14.720 --> 00:24:19.280]   "Do not forsake the assembling of one another together."
[00:24:19.280 --> 00:24:20.040]   Why?
[00:24:20.040 --> 00:24:24.840]   Because that's the only way you can overcome the loneliness of this world.
[00:24:24.840 --> 00:24:30.720]   Yes, you may feel like it is so lonely out there, and your family has disowned you,
[00:24:30.720 --> 00:24:33.560]   and you are completely cut off from everything.
[00:24:33.560 --> 00:24:35.560]   Well, the solution isn't to go back there.
[00:24:35.560 --> 00:24:37.880]   The solution is to get into fellowship here.
[00:24:37.880 --> 00:24:41.760]   That is the author of Hebrews' argument.
[00:24:41.760 --> 00:24:46.600]   Hebrews 11, why talk about the Hall of Fame of Faith?
[00:24:46.600 --> 00:24:51.680]   Because he's reminding his people, "Yes, just like Abraham, you're walking around.
[00:24:51.680 --> 00:24:52.680]   You're by yourself.
[00:24:52.680 --> 00:24:54.320]   Just like Moses, you're by yourself.
[00:24:54.320 --> 00:24:58.040]   Just like Noah, the whole world is against you, minus eight other people.
[00:24:58.040 --> 00:25:01.440]   But you are all by yourself.
[00:25:01.440 --> 00:25:05.600]   But the way you please God in the beginning, faith will get you through.
[00:25:05.600 --> 00:25:08.640]   The way you endure throughout all of that life, in the middle of it,
[00:25:08.640 --> 00:25:11.480]   just like Abraham had to endure, just like Sarah had to endure,
[00:25:11.480 --> 00:25:14.320]   just like Noah had to endure, God will get you through.
[00:25:14.320 --> 00:25:15.840]   And he will get you through to the end.
[00:25:15.840 --> 00:25:18.680]   No matter what the challenges are, you will overcome.
[00:25:18.680 --> 00:25:22.600]   God will get you through, even though you're an exile and sojourner
[00:25:22.600 --> 00:25:26.520]   in this world, only seeing the promises from afar.
[00:25:26.520 --> 00:25:34.760]   Hebrews exalts the glory of Christ to people who feel like they're the only one
[00:25:34.760 --> 00:25:38.840]   to force them to understand you are never alone.
[00:25:38.840 --> 00:25:40.120]   You are never alone.
[00:25:40.120 --> 00:25:45.480]   That's why the church exists and Christ is always with you.
[00:25:45.480 --> 00:25:47.000]   So there is hope.
[00:25:47.000 --> 00:25:51.160]   You have not come to a mountain of darkness, as Hebrews 12 says.
[00:25:51.160 --> 00:25:53.720]   You've come to the mountain of the saints.
[00:25:53.720 --> 00:25:58.960]   You've come to the mountain of the firstborn of God, that is the Lord Jesus
[00:25:58.960 --> 00:26:00.980]   Christ, the preeminent one.
[00:26:00.980 --> 00:26:02.600]   You have come to him.
[00:26:02.600 --> 00:26:04.760]   You are never alone.
[00:26:04.760 --> 00:26:07.520]   You have the best blessings of all.
[00:26:07.520 --> 00:26:11.320]   And in this grand presentation of Christ, there are all kinds
[00:26:11.320 --> 00:26:13.320]   of applications that can be had.
[00:26:13.320 --> 00:26:16.720]   You should, of course, know about Christ and his priestly ministry
[00:26:16.720 --> 00:26:17.520]   and his glories.
[00:26:17.520 --> 00:26:18.320]   That's true.
[00:26:18.320 --> 00:26:20.480]   You can, of course, know him.
[00:26:20.480 --> 00:26:21.960]   That would be very good.
[00:26:21.960 --> 00:26:25.640]   And, of course, you can remind yourself of these things and conform yourself
[00:26:25.640 --> 00:26:26.400]   to these things.
[00:26:26.400 --> 00:26:29.000]   That's true too.
[00:26:29.000 --> 00:26:34.040]   But there are some very practical, very specific actions that the author
[00:26:34.040 --> 00:26:40.480]   of Hebrews counsels all believers to do, that by doing those rudimentary
[00:26:40.480 --> 00:26:46.960]   activities, it enforces and implements the entire theology of the book
[00:26:46.960 --> 00:26:47.560]   of Hebrews.
[00:26:47.560 --> 00:26:49.920]   And that's what you have in Hebrews 13.
[00:26:49.920 --> 00:26:56.000]   If you want the starting steps, the very practical on-the-ground work
[00:26:56.000 --> 00:27:01.400]   that can be done and should be done to live out the book of Hebrews,
[00:27:01.400 --> 00:27:02.320]   you do this.
[00:27:02.320 --> 00:27:06.520]   Let brotherly love, as it says in verse 1, continue or abide.
[00:27:06.520 --> 00:27:07.640]   Why?
[00:27:07.640 --> 00:27:12.000]   Because if you're loving each other, you'll never be alone.
[00:27:12.000 --> 00:27:16.240]   And if you love each other with brotherly love, you will provoke each other to love
[00:27:16.240 --> 00:27:19.760]   in good deeds and remind each other about the glories of Christ and live that out
[00:27:19.760 --> 00:27:22.040]   together and encourage each other in it.
[00:27:22.040 --> 00:27:24.160]   Let brotherly love continue.
[00:27:24.160 --> 00:27:25.400]   Show hospitality.
[00:27:25.400 --> 00:27:27.360]   Don't be neglectful about hospitality.
[00:27:27.360 --> 00:27:28.640]   Why?
[00:27:28.640 --> 00:27:34.120]   Because when you feel like a stranger because you're cut off from your family,
[00:27:34.120 --> 00:27:36.560]   what you need is a new family.
[00:27:36.560 --> 00:27:39.800]   You need somebody to invite you into their home.
[00:27:39.800 --> 00:27:43.320]   And when you're home with them, you realize, "I'm not alone.
[00:27:43.320 --> 00:27:44.880]   I'm not cut off.
[00:27:44.880 --> 00:27:50.080]   I'm not doing Christianity just lone ranger by myself.
[00:27:50.080 --> 00:27:54.400]   Look at all these people I have with me who love me and care about me and are
[00:27:54.400 --> 00:27:56.440]   encouraging me about Christ."
[00:27:56.440 --> 00:28:00.480]   And the only reason that you would ever have that kind of relationship with a
[00:28:00.480 --> 00:28:04.600]   so-called stranger is simple, because the two strangers know Christ and they're no
[00:28:04.600 --> 00:28:06.440]   stranger from each other.
[00:28:06.440 --> 00:28:08.240]   That's the reason why.
[00:28:08.240 --> 00:28:10.280]   And so, hospitality, do it.
[00:28:10.280 --> 00:28:15.600]   If you want to have encouragement, don't neglect and don't forget,
[00:28:15.600 --> 00:28:20.720]   but remember those in prison, especially for the faith.
[00:28:20.720 --> 00:28:21.400]   Why?
[00:28:21.400 --> 00:28:24.440]   Because prison can be a very lonely place.
[00:28:24.440 --> 00:28:27.280]   And so, you don't forget those people either.
[00:28:27.280 --> 00:28:29.840]   And you have a good marriage, verse 4.
[00:28:29.840 --> 00:28:30.880]   Why?
[00:28:30.880 --> 00:28:35.640]   Because when you've been beaten up by the world, even at work, where do you go?
[00:28:35.640 --> 00:28:37.240]   Home.
[00:28:37.240 --> 00:28:42.160]   And if home is a refuge where Christ is exalted and you see the love of Christ
[00:28:42.160 --> 00:28:46.720]   through your spouse, then you are constantly anchored to him there.
[00:28:46.720 --> 00:28:48.840]   This is practical.
[00:28:48.840 --> 00:28:50.560]   But all these have been interpersonal.
[00:28:50.560 --> 00:28:53.920]   Let's talk about a personal one, verse 5.
[00:28:53.920 --> 00:28:57.880]   At the heart of it all is contentment, that riches, wealth,
[00:28:57.880 --> 00:29:02.360]   status would never lure you anywhere else.
[00:29:02.360 --> 00:29:07.360]   And that's the struggle for a lot of the people in the author of Hebrews' time.
[00:29:07.360 --> 00:29:10.960]   They saw the political safety that Judaism had.
[00:29:10.960 --> 00:29:15.520]   They saw that there was all the wealth there and all the network and all the
[00:29:15.520 --> 00:29:20.040]   connections and all the advancement and all the promotion and all the fame.
[00:29:20.040 --> 00:29:22.480]   It was there in that culture.
[00:29:22.480 --> 00:29:26.520]   All the safety and security and prosperity was there.
[00:29:26.520 --> 00:29:32.720]   And your heart could say, "Well, it's just hard to be for Christ because I have to
[00:29:32.720 --> 00:29:34.080]   give all of that up."
[00:29:34.080 --> 00:29:39.960]   And without contentment, that will always pull you away from the Lord.
[00:29:39.960 --> 00:29:42.960]   So, what do you have to remember in those moments of loneliness?
[00:29:42.960 --> 00:29:47.400]   What do you have to remember in those moments where your heart is struggling
[00:29:47.400 --> 00:29:51.280]   with contentment and your heart is struggling to want something it can't
[00:29:51.280 --> 00:29:54.080]   have and it shouldn't have?
[00:29:54.080 --> 00:29:57.280]   The author of Hebrews says, "This is the key to everything.
[00:29:57.280 --> 00:30:01.360]   Just tell yourself what God has promised you.
[00:30:01.360 --> 00:30:05.560]   I will never desert you, nor will I forsake you.
[00:30:05.560 --> 00:30:09.280]   I will never leave you, nor will I forsake you."
[00:30:09.280 --> 00:30:15.440]   There are two statements here and there are two points then to this message.
[00:30:15.440 --> 00:30:20.360]   One, God will never disconnect from you.
[00:30:20.360 --> 00:30:25.040]   God will never disconnect from you.
[00:30:25.040 --> 00:30:28.240]   God's first promise is this, "I will never."
[00:30:28.240 --> 00:30:33.800]   This is the strongest or one of the strongest and most emphatic declarations
[00:30:33.800 --> 00:30:34.800]   of negation.
[00:30:34.800 --> 00:30:39.520]   "I will never desert you," or, "I will never leave you."
[00:30:39.520 --> 00:30:44.240]   The word "desert" or "leave" here, this first of two phrases,
[00:30:44.240 --> 00:30:48.240]   first of two promises, it's not a common verb.
[00:30:48.240 --> 00:30:49.880]   It's not a common word.
[00:30:49.880 --> 00:30:55.520]   It actually means to unfasten something, to open something up,
[00:30:55.520 --> 00:31:00.200]   like when you open up somebody's chain or you loosen a rope.
[00:31:00.200 --> 00:31:06.280]   That's what it's talked about in Acts 16, verse 26, as well as Acts 27, verse 40.
[00:31:06.280 --> 00:31:11.800]   It's talking about when you cease contact from something or you loosen a connection
[00:31:11.800 --> 00:31:15.040]   with something, when something is not tight, when something,
[00:31:15.040 --> 00:31:18.440]   it has distance, when something is released.
[00:31:18.440 --> 00:31:23.000]   And since this quote is a quote from the Old Testament, that's what the author
[00:31:23.000 --> 00:31:26.200]   of Hebrews is doing here, he's quoting people a promise,
[00:31:26.200 --> 00:31:28.400]   Deuteronomy 31, verse 6.
[00:31:28.400 --> 00:31:31.680]   Then, if you look at the Hebrew word that this is translating,
[00:31:31.680 --> 00:31:34.000]   it means to become slack.
[00:31:34.000 --> 00:31:39.880]   It means to become just completely disconnected from somebody.
[00:31:39.880 --> 00:31:42.520]   And so, negatively, you could think of it this way,
[00:31:42.520 --> 00:31:47.200]   that what God is promising here is that he will never disconnect from you.
[00:31:47.200 --> 00:31:51.320]   He will never lose the closeness he has with you.
[00:31:51.320 --> 00:31:54.800]   He will never depart from you.
[00:31:54.800 --> 00:31:58.560]   He will never be physically distant from you.
[00:31:58.560 --> 00:32:01.160]   He won't let you go.
[00:32:01.160 --> 00:32:05.960]   He won't be disfellowshipped from you.
[00:32:05.960 --> 00:32:08.480]   And you say, "Yeah, I understand that."
[00:32:08.480 --> 00:32:13.200]   And, of course, what is driving this truth and reality is the doctrine
[00:32:13.200 --> 00:32:15.200]   of God's omnipresence.
[00:32:15.200 --> 00:32:17.720]   And how we think about the doctrine of God's omnipresence,
[00:32:17.720 --> 00:32:20.120]   often what we say is, "Well, God's everywhere.
[00:32:20.120 --> 00:32:23.160]   He's here, He's there, He's over there, and He's next to me.
[00:32:23.160 --> 00:32:25.040]   Of course, He is because He's everywhere."
[00:32:25.040 --> 00:32:26.160]   And that is true.
[00:32:26.160 --> 00:32:27.600]   That's a good way to think about it.
[00:32:27.600 --> 00:32:31.000]   Psalm 139 reminds us, "Where can I go from His presence?"
[00:32:31.000 --> 00:32:31.920]   And the answer is nowhere.
[00:32:31.920 --> 00:32:33.480]   He's always with you.
[00:32:33.480 --> 00:32:35.320]   That is true.
[00:32:35.320 --> 00:32:40.720]   But it is healthy not just to think about the doctrine of omnipresence relative
[00:32:40.720 --> 00:32:42.400]   to you.
[00:32:42.400 --> 00:32:47.440]   It is healthy to think about God's omnipresence relative to God.
[00:32:47.440 --> 00:32:53.040]   Often, how we think about the doctrines of God and the attributes of God is how we
[00:32:53.040 --> 00:32:57.160]   are affected by them or how we see them.
[00:32:57.160 --> 00:33:01.560]   We often don't think about them relative to God.
[00:33:01.560 --> 00:33:06.960]   Put in scientific terms, please criticize me after this message.
[00:33:06.960 --> 00:33:13.320]   Well, we sometimes critique our fellow man about that they observe things
[00:33:13.320 --> 00:33:17.880]   phenomenologically from their perspective, sunrise, sunset.
[00:33:17.880 --> 00:33:21.400]   But we say, if you look at it from a true angle, a more objective angle,
[00:33:21.400 --> 00:33:24.520]   something completely different is happening, something very glorious,
[00:33:24.520 --> 00:33:27.040]   something amazing, something astounding is happening.
[00:33:27.040 --> 00:33:30.760]   Yes, what you're seeing is legitimate when you couch it in language of human
[00:33:30.760 --> 00:33:34.720]   observation, but you're missing out on something even far grander when you
[00:33:34.720 --> 00:33:38.120]   understand it from a different perspective, a more third-party perspective,
[00:33:38.120 --> 00:33:41.000]   and not just how you like to see things.
[00:33:41.000 --> 00:33:43.160]   Well, you can do the same thing with theology.
[00:33:43.160 --> 00:33:47.760]   Often, when we look at doctrines, we're just looking from our perspective.
[00:33:47.760 --> 00:33:51.400]   What's God's perspective on this doctrine?
[00:33:51.400 --> 00:33:53.320]   And I love this.
[00:33:53.320 --> 00:33:59.520]   The doctrine of omnipresence essentially says this about God, that he is not
[00:33:59.520 --> 00:34:05.440]   contingent but absolutely independent spatially.
[00:34:05.440 --> 00:34:07.120]   That is what it means.
[00:34:07.120 --> 00:34:12.320]   Omnipresence is the assertion of God's absolute transcendence,
[00:34:12.320 --> 00:34:17.520]   of God's absolute independence, that God has no need and no reliance
[00:34:17.520 --> 00:34:20.400]   on anything for his presence.
[00:34:20.400 --> 00:34:25.080]   You and I, we rely on things for our presence.
[00:34:25.080 --> 00:34:32.560]   If someone came up to you and said, "Sir, your kids aren't here.
[00:34:32.560 --> 00:34:34.720]   We can't find them."
[00:34:34.720 --> 00:34:37.920]   Your response is, "Normally not."
[00:34:37.920 --> 00:34:42.800]   Well, that's okay because they're not contingent on being in a certain place
[00:34:42.800 --> 00:34:44.080]   at a certain time.
[00:34:44.080 --> 00:34:48.120]   It's kind of irrelevant to say that and so I wouldn't worry about it because that's
[00:34:48.120 --> 00:34:51.200]   not really a matter of particularity.
[00:34:51.200 --> 00:34:52.400]   You wouldn't say that.
[00:34:52.400 --> 00:34:56.120]   You'd say, "That's not good because they got to be somewhere and I need to know
[00:34:56.120 --> 00:34:57.880]   where that somewhere is."
[00:34:57.880 --> 00:34:59.880]   They're contingent on something.
[00:34:59.880 --> 00:35:03.640]   It reminds me of one time there was a negotiation between Israel and the Arab
[00:35:03.640 --> 00:35:07.240]   nations and the Arab nation says, "We are totally okay with the existence
[00:35:07.240 --> 00:35:08.280]   of Israel."
[00:35:08.280 --> 00:35:13.520]   And everyone said, "That's great, as long as it's not on a map."
[00:35:13.520 --> 00:35:17.000]   How do you exist as a nation if it's not on a map?
[00:35:17.000 --> 00:35:20.520]   How do you exist as a nation without a land to exist on?
[00:35:20.520 --> 00:35:27.160]   Things are contingent, our presence, our existence is contingent on physical
[00:35:27.160 --> 00:35:29.560]   locationality in this world.
[00:35:29.560 --> 00:35:34.480]   We are contingent and reliant and dependent and predicated upon things.
[00:35:34.480 --> 00:35:36.280]   God is not.
[00:35:36.280 --> 00:35:40.600]   God has never been predicated upon space or time.
[00:35:40.600 --> 00:35:46.760]   He has never been relying on something to anchor His existence.
[00:35:46.760 --> 00:35:52.160]   He is completely autonomous above and beyond all of that.
[00:35:52.160 --> 00:35:53.640]   That is God.
[00:35:53.640 --> 00:35:55.640]   That is why He is not a man.
[00:35:55.640 --> 00:35:58.680]   That is why He is not creation.
[00:35:58.680 --> 00:36:02.200]   And there are so many passages that celebrate this.
[00:36:02.200 --> 00:36:06.400]   It is Psalm 23, "Even though I walk in the valley of the shadow of death,
[00:36:06.400 --> 00:36:07.360]   you are what?
[00:36:07.360 --> 00:36:08.120]   With me."
[00:36:08.120 --> 00:36:08.880]   Why?
[00:36:08.880 --> 00:36:13.520]   Because it doesn't matter the space or the time, God is there.
[00:36:13.520 --> 00:36:17.680]   It is not contingent on, "Well, this is a pretty hard place to get to,
[00:36:17.680 --> 00:36:19.480]   so I don't know if God can be with me."
[00:36:19.480 --> 00:36:22.000]   That is irrelevant to God.
[00:36:22.000 --> 00:36:27.720]   There is no such thing as hard or easy space because you're not confined by space
[00:36:27.720 --> 00:36:28.880]   to begin with.
[00:36:28.880 --> 00:36:34.080]   It is the glory of God to be with you because it demonstrates that He was never
[00:36:34.080 --> 00:36:36.760]   dependent on any of those factors to begin with.
[00:36:36.760 --> 00:36:41.520]   They never hindered or factored into Him whatsoever.
[00:36:41.520 --> 00:36:44.600]   Likewise, Ezekiel 1.
[00:36:44.600 --> 00:36:49.160]   Ezekiel 1 depicts God in this divine chariot throne.
[00:36:49.160 --> 00:36:52.360]   In fact, the very chariot itself symbolizes creation.
[00:36:52.360 --> 00:36:53.080]   You can even see it.
[00:36:53.080 --> 00:36:57.960]   There's a wheel within a wheel, like a sphere, like a globe.
[00:36:57.960 --> 00:37:00.480]   And then on top of that, it says this, that there was a firmament.
[00:37:00.480 --> 00:37:02.560]   Where have we heard the term firmament?
[00:37:02.560 --> 00:37:04.040]   Genesis 1.
[00:37:04.040 --> 00:37:09.360]   It is as if you can see the world, the sphere of the wheel within the wheel,
[00:37:09.360 --> 00:37:12.840]   and the firmament on top of that, and then the glory of God on top of that
[00:37:12.840 --> 00:37:13.800]   in this divine chariot.
[00:37:13.800 --> 00:37:14.920]   It's a symbol.
[00:37:14.920 --> 00:37:20.280]   The divine chariot itself is a symbol that God's presence is everywhere.
[00:37:20.280 --> 00:37:22.600]   His glory fills the whole world.
[00:37:22.600 --> 00:37:27.320]   And therefore, just like a chariot is mobile and a chariot that has spherical
[00:37:27.320 --> 00:37:30.520]   wheels is the most mobile because you don't even have to turn the wheels like
[00:37:30.520 --> 00:37:33.960]   you do in a car, God's presence is unhindered.
[00:37:33.960 --> 00:37:38.400]   It goes everywhere and anywhere without any problem because it was never
[00:37:38.400 --> 00:37:43.840]   contingent on anything for its physical locationality to begin with.
[00:37:43.840 --> 00:37:46.080]   That is the presence of God.
[00:37:46.080 --> 00:37:53.200]   He is strong, stronger, and nothing binds Him because He is omnipresent.
[00:37:53.200 --> 00:37:56.480]   And you might say, "Okay, I understand that God is everywhere.
[00:37:56.480 --> 00:38:03.520]   I understand that He is with me, but it's really hard because I don't see Him."
[00:38:03.520 --> 00:38:11.040]   But remember this, His presence is not conditioned or contingent on anything.
[00:38:11.040 --> 00:38:16.600]   It's not even conditioned or contingent on His visibility.
[00:38:16.600 --> 00:38:17.920]   That's the point.
[00:38:17.920 --> 00:38:20.560]   You don't have to see Him for Him to be there.
[00:38:20.560 --> 00:38:24.160]   It's not a prerequisite for you to see Him for Him to be there.
[00:38:24.160 --> 00:38:29.160]   He is there because He's not contingent on anything.
[00:38:29.160 --> 00:38:39.360]   No factor disqualifies or could ever preclude God from being present because
[00:38:39.360 --> 00:38:43.680]   He's omnipresent and inherently transcends all of those things.
[00:38:43.680 --> 00:38:50.440]   And so, at any place, any situation, any trial, any hard moment,
[00:38:50.440 --> 00:38:53.760]   God has never left you.
[00:38:53.760 --> 00:38:55.960]   He has never deserted you.
[00:38:55.960 --> 00:38:57.480]   He has always been there.
[00:38:57.480 --> 00:39:02.120]   He has never disconnected Himself from you.
[00:39:02.120 --> 00:39:04.800]   That's to put it negatively.
[00:39:04.800 --> 00:39:09.640]   But there's another way to describe this, and we could describe it positively.
[00:39:09.640 --> 00:39:10.960]   Positively.
[00:39:10.960 --> 00:39:15.720]   If He's not deserted you, if He's not slack, if He's not loose,
[00:39:15.720 --> 00:39:20.080]   if He's not disaffiliated, then what is He?
[00:39:20.080 --> 00:39:22.560]   He's not just by your side.
[00:39:22.560 --> 00:39:24.600]   He's not just nearby.
[00:39:24.600 --> 00:39:28.240]   Sometimes, I tell students, and I think we tell each other, "Hey, hey,
[00:39:28.240 --> 00:39:29.880]   I'm not that far away.
[00:39:29.880 --> 00:39:32.080]   You just text me and I'll be there."
[00:39:32.080 --> 00:39:33.960]   "Oh, I'm not that far away.
[00:39:33.960 --> 00:39:37.440]   You just give me a call and we'll be right there."
[00:39:37.440 --> 00:39:44.320]   And our definition of not far away or really being close is just accessibility.
[00:39:44.320 --> 00:39:47.240]   It's just convenience.
[00:39:47.240 --> 00:39:52.320]   And that's good for human beings who are bound by space and time, I recognize.
[00:39:52.320 --> 00:39:55.080]   But here's the glory of God.
[00:39:55.080 --> 00:39:57.600]   It's not just that He's present.
[00:39:57.600 --> 00:40:00.480]   He's tight and close to you.
[00:40:00.480 --> 00:40:04.280]   That's why the text says, "He does not loosen Himself from you."
[00:40:04.280 --> 00:40:05.120]   What does that mean?
[00:40:05.120 --> 00:40:07.480]   He's just right there.
[00:40:07.480 --> 00:40:09.320]   He's not just nearby.
[00:40:09.320 --> 00:40:11.160]   He's not just close by.
[00:40:11.160 --> 00:40:17.120]   He's right intimately in you and in your situation.
[00:40:17.120 --> 00:40:19.720]   He's not just a prayer away.
[00:40:19.720 --> 00:40:21.480]   He's there.
[00:40:21.480 --> 00:40:23.120]   He's there.
[00:40:23.120 --> 00:40:27.480]   That's what's so powerful about this.
[00:40:27.480 --> 00:40:29.520]   Think of it this way.
[00:40:29.520 --> 00:40:33.600]   Psalm 46, I think we're very familiar with it, "A mighty fortress is our God."
[00:40:33.600 --> 00:40:34.600]   We know that.
[00:40:34.600 --> 00:40:38.360]   And then the next phrase is, "An ever-present help in trouble."
[00:40:38.360 --> 00:40:40.560]   Do you know what the word ever-present means?
[00:40:40.560 --> 00:40:42.960]   It means always found.
[00:40:42.960 --> 00:40:46.040]   That's what it means in Hebrew, always found.
[00:40:46.040 --> 00:40:49.800]   But it's very hard to translate always found help.
[00:40:49.800 --> 00:40:50.600]   What does that even mean?
[00:40:50.600 --> 00:40:52.520]   So we just translate it ever-present.
[00:40:52.520 --> 00:40:54.400]   But it really, in Hebrew, means always found.
[00:40:54.400 --> 00:40:55.400]   Why?
[00:40:55.400 --> 00:40:59.160]   Because in our minds sometimes, when we are in trouble, when we're going
[00:40:59.160 --> 00:41:04.240]   through a situation, when we feel by ourselves, when we feel threatened,
[00:41:04.240 --> 00:41:06.080]   we feel like we have to find God.
[00:41:06.080 --> 00:41:07.920]   Where did he go?
[00:41:07.920 --> 00:41:09.600]   Where is he in this situation?
[00:41:09.600 --> 00:41:11.080]   I got to go search for him.
[00:41:11.080 --> 00:41:13.440]   I got to go seek him out.
[00:41:13.440 --> 00:41:14.160]   What does God say?
[00:41:14.160 --> 00:41:16.520]   "I never deserted you.
[00:41:16.520 --> 00:41:18.000]   I never left you.
[00:41:18.000 --> 00:41:19.400]   I'm right there.
[00:41:19.400 --> 00:41:21.840]   I'm always found.
[00:41:21.840 --> 00:41:23.200]   You never need to find me.
[00:41:23.200 --> 00:41:24.560]   I'm always found.
[00:41:24.560 --> 00:41:26.000]   I'm right there.
[00:41:26.000 --> 00:41:30.800]   I'm not a phone call away where you have to then give a report, like to your boss,
[00:41:30.800 --> 00:41:34.280]   about what's going on and kind of help him to understand the situation.
[00:41:34.280 --> 00:41:35.840]   He's in the situation.
[00:41:35.840 --> 00:41:37.560]   He knows it better than you do.
[00:41:37.560 --> 00:41:39.560]   He's right there.
[00:41:39.560 --> 00:41:41.520]   You don't have to go looking for him.
[00:41:41.520 --> 00:41:42.680]   He's found."
[00:41:42.680 --> 00:41:44.280]   In fact, it goes to this point.
[00:41:44.280 --> 00:41:45.720]   This is amazing.
[00:41:45.720 --> 00:41:49.920]   In Psalm 73, verse 23.
[00:41:49.920 --> 00:41:54.800]   Psalm 73, verse 23, it says this, and listen to the words carefully.
[00:41:54.800 --> 00:41:56.080]   "I found.
[00:41:56.080 --> 00:41:59.720]   I am with you.
[00:41:59.720 --> 00:42:03.480]   I am with you."
[00:42:03.480 --> 00:42:07.680]   Listen to those words for a second and think about it this way.
[00:42:07.680 --> 00:42:13.960]   Often, what we say to God is, "You are with me."
[00:42:13.960 --> 00:42:15.040]   That's how we often think about it.
[00:42:15.040 --> 00:42:16.120]   God's with us.
[00:42:16.120 --> 00:42:16.800]   God's with us.
[00:42:16.800 --> 00:42:19.800]   And that's a biblical phrase, and that's a biblical truth.
[00:42:19.800 --> 00:42:20.840]   Amen and amen.
[00:42:20.840 --> 00:42:21.640]   God is with us.
[00:42:21.640 --> 00:42:26.800]   And the presumption that goes along with this is that we're meandering throughout
[00:42:26.800 --> 00:42:31.520]   our lives and going about our jolly business, and God is right by our side.
[00:42:31.520 --> 00:42:34.920]   He's hugging very tightly close to us, and that's true.
[00:42:34.920 --> 00:42:38.000]   But what does a psalmist realize in Psalm 73?
[00:42:38.000 --> 00:42:42.080]   That we are so close to God, and God is so close to us.
[00:42:42.080 --> 00:42:44.120]   It's not that he is with us.
[00:42:44.120 --> 00:42:46.400]   We are actually what?
[00:42:46.400 --> 00:42:47.760]   With him.
[00:42:47.760 --> 00:42:52.300]   This whole time, you have thought that you are going along your life,
[00:42:52.300 --> 00:42:57.720]   meandering down the ways and the path of this existence, and then God is just
[00:42:57.720 --> 00:43:01.280]   tagging along with you, supporting you as you go.
[00:43:01.280 --> 00:43:05.000]   And there is a truth to that, but the real truth, if you're looking at it
[00:43:05.000 --> 00:43:09.800]   from a third-party, omnipresent perspective, is this.
[00:43:09.800 --> 00:43:12.560]   God was actually leading you the entire time.
[00:43:12.560 --> 00:43:14.480]   He was the one cutting the path forward.
[00:43:14.480 --> 00:43:16.760]   He was the one driving through every single trial.
[00:43:16.760 --> 00:43:20.520]   And it wasn't that he was with you.
[00:43:20.520 --> 00:43:25.080]   It was that you were alongside of him for the ride.
[00:43:25.080 --> 00:43:27.840]   That's how close he was with you.
[00:43:27.840 --> 00:43:34.120]   He was holding your hand and dragging you through, not the other way around.
[00:43:34.120 --> 00:43:39.440]   That is the God who never deserts us.
[00:43:39.440 --> 00:43:41.080]   That's how close he is.
[00:43:41.080 --> 00:43:46.120]   When God says, "I will not desert you," it's a promise that he will never slacken.
[00:43:46.120 --> 00:43:47.760]   He will never loosen.
[00:43:47.760 --> 00:43:49.520]   He will never create distance.
[00:43:49.520 --> 00:43:51.140]   He will not disconnect.
[00:43:51.140 --> 00:43:56.000]   But rather, he will always be in the closest, most intimate,
[00:43:56.000 --> 00:43:59.040]   most involved position with you.
[00:43:59.040 --> 00:44:02.840]   He, and when you have trouble, and when you have trial, you don't need
[00:44:02.840 --> 00:44:03.800]   to search for him.
[00:44:03.800 --> 00:44:04.760]   He's found.
[00:44:04.760 --> 00:44:09.160]   And when you feel isolated in work, or at school, or in industry,
[00:44:09.160 --> 00:44:12.320]   you don't need to go to meet him.
[00:44:12.320 --> 00:44:13.880]   You don't need to go anywhere.
[00:44:13.880 --> 00:44:15.120]   He's there.
[00:44:15.120 --> 00:44:19.240]   And when you are hurt, and when you are rejected, and you are wondering,
[00:44:19.240 --> 00:44:21.800]   "Does anyone understand what I'm going through?"
[00:44:21.800 --> 00:44:22.600]   God does.
[00:44:22.600 --> 00:44:23.160]   Why?
[00:44:23.160 --> 00:44:24.480]   Because he's there.
[00:44:24.480 --> 00:44:27.520]   He's right there in the situation.
[00:44:27.520 --> 00:44:30.640]   He has not deserted you in that moment.
[00:44:30.640 --> 00:44:32.720]   He's right there.
