
[00:00:00.040 --> 00:00:10.660]   cur
[00:31:48.160 --> 00:31:48.160]   I think that saving $100,000 cash is a better thing to do before
[00:31:48.160 --> 00:31:48.160]   I think that saving $100,000 cash is a better thing to do before
[00:31:48.180 --> 00:32:18.180]  , I think that saving $100,000 cash is a better thing to do before
[00:32:18.180 --> 00:32:18.180]   I think that saving $100,000 cash is a better thing to do before
[00:32:18.180 --> 00:32:18.180]   I think that saving $100,000 cash is a better thing to do before
[00:32:18.180 --> 00:32:18.180]   I think that saving $100,000 cash is a better thing to do before
[00:32:18.200 --> 00:32:48.200]  ,
[00:32:48.200 --> 00:32:48.200]   I think that saving $100,000 cash is a better thing to do before
[00:32:48.200 --> 00:32:48.200]   I think that saving $100,000 cash is a better thing to do before
[00:32:48.200 --> 00:32:48.200]   I think that saving $100,000 cash is a better thing to do before
[00:32:48.200 --> 00:32:48.200]   I think that saving $100,000 cash is a better thing to do before
[00:32:48.200 --> 00:32:48.200]   I think that saving $100,000 cash is a better thing to do before
[00:32:48.200 --> 00:32:48.200]   I think that saving $100,000 cash is a better thing to do before
[00:32:48.200 --> 00:32:48.200]   I think that saving $100,000 cash is a better thing to do before
[00:32:48.200 --> 00:32:48.200]   I think that saving $100,000 cash is a better thing to do before
[00:32:48.200 --> 00:32:48.200]   I think that saving $100,000 cash is a better thing to do before
[00:32:48.220 --> 00:33:18.220]   I think that saving $100,000 cash is a better thing to do before
[00:33:18.220 --> 00:33:18.220]   I think that saving $100,000 cash is a better thing to do before
[00:33:18.220 --> 00:33:18.220]   I think that saving $100,000 cash is a better thing to do before
[00:33:18.220 --> 00:33:18.220]   I think that saving $100,000 cash is a better thing to do before
[00:33:18.220 --> 00:33:18.220]   I think that saving $100,000 cash is a better thing to do before
[00:33:18.220 --> 00:33:18.220]   I think that saving $100,000 cash is a better thing to do before
[00:33:18.220 --> 00:33:18.220]   I think that saving $100,000 cash is a better thing to do before
[00:33:18.220 --> 00:33:18.220]   I think that saving $100,000 cash is a better thing to do before
[00:33:18.220 --> 00:33:18.220]   I think that saving $100,000 cash is a better thing to do before
[00:33:18.220 --> 00:33:18.220]   I think that saving $100,000 cash is a better thing to do before
[00:33:18.240 --> 00:33:48.240]   I think that saving $100,000 cash is a better thing to do before
[00:33:48.240 --> 00:33:48.240]   I think that saving $100,000 cash is a better thing to do before
[00:33:48.240 --> 00:33:48.240]   I think that saving $100,000 cash is a better thing to do before
[00:33:48.240 --> 00:33:48.240]   I think that saving $100,000 cash is a better thing to do before
[00:33:48.240 --> 00:33:48.240]   I think that saving $100,000 cash is a better thing to do before
[00:33:48.240 --> 00:33:48.240]   I think that saving $100,000 cash is a better thing to do before
[00:33:48.240 --> 00:33:48.240]   I think that saving $100,000 cash is a better thing to do before
[00:33:48.240 --> 00:33:48.240]   I think that saving $100,000 cash is a better thing to do before
[00:33:48.240 --> 00:33:48.240]   I think that saving $100,000 cash is a better thing to do before
[00:33:48.240 --> 00:33:48.240]   I think that saving $100,000 cash is a better thing to do before
[00:33:48.260 --> 00:34:18.260]   I think that saving $100,000 cash is a better thing to do before
[00:34:18.260 --> 00:34:18.260]   I think that saving $100,000 cash is a better thing to do before
[00:34:18.260 --> 00:34:18.260]   I think that saving $100,000 cash is a better thing to do before
[00:34:18.260 --> 00:34:18.260]   I think that saving $100,000 cash is a better thing to do before
[00:34:18.260 --> 00:34:18.260]   I think that saving $100,000 cash is a better thing to do before
[00:34:18.260 --> 00:34:18.260]   I think that saving $100,000 cash is a better thing to do before
[00:34:18.260 --> 00:34:18.260]   I think that saving $100,000 cash is a better thing to do before
[00:34:18.260 --> 00:34:18.260]   I think that saving $100,000 cash is a better thing to do before
[00:34:18.260 --> 00:34:18.260]   I think that saving $100,000 cash is a better thing to do before
[00:34:18.280 --> 00:34:48.280]   I think that saving $100,000 cash is a better thing to do before
[00:34:48.280 --> 00:34:48.280]   I think that saving $100,000 cash is a better thing to do before
[00:34:48.280 --> 00:34:48.280]   I think that saving $100,000 cash is a better thing to do before
[00:34:48.280 --> 00:34:48.280]   I think that saving $100,000 cash is a better thing to do before
[00:34:48.280 --> 00:34:48.280]   I think that saving $100,000 cash is a better thing to do before
[00:34:48.280 --> 00:34:48.280]   I think that saving $100,000 cash is a better thing to do before
[00:34:48.280 --> 00:34:48.280]   I think that saving $100,000 cash is a better thing to do before
[00:34:48.280 --> 00:34:48.280]   I think that saving $100,000 cash is a better thing to do before
[00:34:48.280 --> 00:34:48.280]   I think that saving $100,000 cash is a better thing to do before
[00:34:48.280 --> 00:34:48.280]   I think that saving $100,000 cash is a better thing to do before
[00:34:48.320 --> 00:35:18.300]   I think that saving $100,000 cash is a better thing to do before
[00:35:18.300 --> 00:35:18.300]   I think that saving $100,000 cash is a better thing to do before
[00:35:18.300 --> 00:35:18.300]   I think that saving $100,000 cash is a better thing to do before
[00:35:18.300 --> 00:35:18.300]   I think that saving $100,000 cash is a better thing to do before
[00:35:18.300 --> 00:35:18.300]   I think that saving $100,000 cash is a better thing to do before
[00:35:18.300 --> 00:35:18.300]   I think that saving $100,000 cash is a better thing to do before
[00:35:18.300 --> 00:35:18.300]   I think that saving $100,000 cash is a better thing to do before
[00:35:18.320 --> 00:35:48.320]   I think that saving $100,000 cash is a better thing to do before
[00:35:48.320 --> 00:35:48.320]   I think that saving $100,000 cash is a better thing to do before
[00:35:48.320 --> 00:35:48.320]   I think that saving $100,000 cash is a better thing to do before
[00:35:48.320 --> 00:35:48.320]   I think that saving $100,000 cash is a better thing to do before
[00:35:48.320 --> 00:35:48.320]   I think that saving $100,000 cash is a better thing to do before
[00:35:48.320 --> 00:35:48.320]   I think that saving $100,000 cash is a better thing to do before
[00:35:48.320 --> 00:35:48.320]   I think that saving $100,000 cash is a better thing to do before
[00:35:48.320 --> 00:35:48.320]   I think that saving $100,000 cash is a better thing to do before
[00:35:48.320 --> 00:35:48.320]   I think that saving $100,000 cash is a better thing to do before
[00:35:48.320 --> 00:35:48.320]   I think that saving $100,000 cash is a better thing to do before
[00:35:48.320 --> 00:35:48.320]   I think that saving $100,000 cash is a better thing to do before
[00:35:48.320 --> 00:35:48.320]   I think that saving $100,000 cash is a better thing to do before
[00:35:48.360 --> 00:36:18.340]   I think that saving $100,000 cash is a better thing to do before
[00:36:18.340 --> 00:36:18.340]   I think that saving $100,000 cash is a better thing to do before
[00:36:18.340 --> 00:36:18.340]   I think that saving $100,000 cash is a better thing to do before
[00:36:18.340 --> 00:36:18.340]   I think that saving $100,000 cash is a better thing to do before
[00:36:18.340 --> 00:36:18.340]   I think that saving $100,000 cash is a better thing to do before
[00:36:18.340 --> 00:36:18.340]   I think that saving $100,000 cash is a better thing to do before
[00:36:18.360 --> 00:36:48.360]   I think that saving $100,000 cash is a better thing to do before
[00:36:48.360 --> 00:36:48.360]   I think that saving $100,000 cash is a better thing to do before
[00:36:48.360 --> 00:36:48.360]   I think that saving $100,000 cash is a better thing to do before
[00:36:48.360 --> 00:36:48.360]   I think that saving $100,000 cash is a better thing to do before
[00:36:48.360 --> 00:36:48.360]   I think that saving $100,000 cash is a better thing to do before
[00:36:48.360 --> 00:36:48.360]   I think that saving $100,000 cash is a better thing to do before
[00:36:48.360 --> 00:36:48.360]   I think that saving $100,000 cash is a better thing to do before
[00:36:48.360 --> 00:36:48.360]   I think that saving $100,000 cash is a better thing to do before
[00:36:48.360 --> 00:36:48.360]   I think that saving $100,000 cash is a better thing to do before
[00:36:48.360 --> 00:36:48.360]   I think that saving $100,000 cash is a better thing to do before
[00:36:48.360 --> 00:36:48.360]   I think that saving $100,000 cash is a better thing to do before
[00:36:48.360 --> 00:36:48.360]   I think that saving $100,000 cash is a better thing to do before
[00:36:48.360 --> 00:37:18.380]   I think that saving $100,000 cash is a better thing to do before
[00:37:18.380 --> 00:37:18.380]   I think that saving $100,000 cash is a better thing to do before
[00:37:18.380 --> 00:37:18.380]   I think that saving $100,000 cash is a better thing to do before
[00:37:18.380 --> 00:37:18.380]   I think that saving $100,000 cash is a better thing to do before
[00:37:18.380 --> 00:37:18.380]   I think that saving $100,000 cash is a better thing to do before
[00:37:18.380 --> 00:37:18.380]   I think that saving $100,000 cash is a better thing to do before
[00:37:18.400 --> 00:37:48.400]   I think that saving $100,000 cash is a better thing to do before
[00:37:48.400 --> 00:37:48.400]   I think that saving $100,000 cash is a better thing to do before
[00:37:48.400 --> 00:37:48.400]   I think that saving $100,000 cash is a better thing to do before
[00:37:48.400 --> 00:37:48.400]   I think that saving $100,000 cash is a better thing to do before
[00:37:48.400 --> 00:37:48.400]   I think that saving $100,000 cash is a better thing to do before
[00:37:48.400 --> 00:37:48.400]   I think that saving $100,000 cash is a better thing to do before
[00:37:48.400 --> 00:37:48.400]   I think that saving $100,000 cash is a better thing to do before
[00:37:48.400 --> 00:37:48.400]   I think that saving $100,000 cash is a better thing to do before
[00:37:48.400 --> 00:37:48.400]   I think that saving $100,000 cash is a better thing to do before
[00:37:48.400 --> 00:37:48.400]   I think that saving $100,000 cash is a better thing to do before
[00:37:48.400 --> 00:37:48.400]   I think that saving $100,000 cash is a better thing to do before
[00:37:48.400 --> 00:37:48.400]   I think that saving $100,000 cash is a better thing to do before
[00:37:48.440 --> 00:38:18.420]   I think that saving $100,000 cash is a better thing to do before
[00:38:18.420 --> 00:38:18.420]   I think that saving $100,000 cash is a better thing to do before
[00:38:18.420 --> 00:38:18.420]   I think that saving $100,000 cash is a better thing to do before
[00:38:18.420 --> 00:38:18.420]   I think that saving $100,000 cash is a better thing to do before
[00:38:18.420 --> 00:38:18.420]   I think that saving $100,000 cash is a better thing to do before
[00:38:18.420 --> 00:38:18.420]   I think that saving $100,000 cash is a better thing to do before
[00:38:18.440 --> 00:38:48.440]   I think that saving $100,000 cash is a better thing to do before
[00:38:48.440 --> 00:38:48.440]   I think that saving $100,000 cash is a better thing to do before
[00:38:48.440 --> 00:38:48.440]   I think that saving $100,000 cash is a better thing to do before
[00:38:48.440 --> 00:38:48.440]   I think that saving $100,000 cash is a better thing to do before
[00:38:48.440 --> 00:38:48.440]   I think that saving $100,000 cash is a better thing to do before
[00:38:48.440 --> 00:38:48.440]   I think that saving $100,000 cash is a better thing to do before
[00:38:48.440 --> 00:38:48.440]   I think that saving $100,000 cash is a better thing to do before
[00:38:48.440 --> 00:38:48.440]   I think that saving $100,000 cash is a better thing to do before
[00:38:48.440 --> 00:38:48.440]   I think that saving $100,000 cash is a better thing to do before
[00:38:48.440 --> 00:38:48.440]   I think that saving $100,000 cash is a better thing to do before
[00:38:48.440 --> 00:38:48.440]   I think that saving $100,000 cash is a better thing to do before
[00:38:48.440 --> 00:38:48.440]   I think that saving $100,000 cash is a better thing to do before
[00:38:48.480 --> 00:39:18.460]   I think that saving $100,000 cash is a better thing to do before
[00:39:18.460 --> 00:39:18.460]   I think that saving $100,000 cash is a better thing to do before
[00:39:18.460 --> 00:39:18.460]   I think that saving $100,000 cash is a better thing to do before
[00:39:18.460 --> 00:39:18.460]   I think that saving $100,000 cash is a better thing to do before
[00:39:18.460 --> 00:39:18.460]   I think that saving $100,000 cash is a better thing to do before
[00:39:18.480 --> 00:39:48.480]   I think that saving $100,000 cash is a better thing to do before
[00:39:48.480 --> 00:39:48.480]   I think that saving $100,000 cash is a better thing to do before
[00:39:48.480 --> 00:39:48.480]   I think that saving $100,000 cash is a better thing to do before
[00:39:48.480 --> 00:39:48.480]   I think that saving $100,000 cash is a better thing to do before
[00:39:48.480 --> 00:39:48.480]   I think that saving $100,000 cash is a better thing to do before
[00:39:48.480 --> 00:39:48.480]   I think that saving $100,000 cash is a better thing to do before
[00:39:48.480 --> 00:39:48.480]   I think that saving $100,000 cash is a better thing to do before
[00:39:48.480 --> 00:39:48.480]   I think that saving $100,000 cash is a better thing to do before
[00:39:48.480 --> 00:39:48.480]   I think that saving $100,000 cash is a better thing to do before
[00:39:48.480 --> 00:39:48.480]   I think that saving $100,000 cash is a better thing to do before
[00:39:48.480 --> 00:39:48.480]   I think that saving $100,000 cash is a better thing to do before
[00:39:48.480 --> 00:39:48.480]   I think that saving $100,000 cash is a better thing to do before
[00:39:48.520 --> 00:40:18.500]   I think that saving $100,000 cash is a better thing to do before
[00:40:18.500 --> 00:40:18.500]   I think that saving $100,000 cash is a better thing to do before
[00:40:18.500 --> 00:40:18.500]   I think that saving $100,000 cash is a better thing to do before
[00:40:18.500 --> 00:40:18.500]   I think that saving $100,000 cash is a better thing to do before
[00:40:18.500 --> 00:40:18.500]   I think that saving $100,000 cash is a better thing to do before
[00:40:18.500 --> 00:40:18.500]   I think that saving $100,000 cash is a better thing to do before
[00:40:18.520 --> 00:40:48.520]   I think that saving $100,000 cash is a better thing to do before
[00:40:48.520 --> 00:40:48.520]   I think that saving $100,000 cash is a better thing to do before
[00:40:48.520 --> 00:40:48.520]   I think that saving $100,000 cash is a better thing to do before
[00:40:48.520 --> 00:40:48.520]   I think that saving $100,000 cash is a better thing to do before
[00:40:48.520 --> 00:40:48.520]   I think that saving $100,000 cash is a better thing to do before
[00:40:48.520 --> 00:40:48.520]   I think that saving $100,000 cash is a better thing to do before
[00:40:48.520 --> 00:40:48.520]   I think that saving $100,000 cash is a better thing to do before
[00:40:48.520 --> 00:40:48.520]   I think that saving $100,000 cash is a better thing to do before
[00:40:48.520 --> 00:40:48.520]   I think that saving $100,000 cash is a better thing to do before
[00:40:48.520 --> 00:40:48.520]   I think that saving $100,000 cash is a better thing to do before
[00:40:48.520 --> 00:40:48.520]   I think that saving $100,000 cash is a better thing to do before
[00:40:48.520 --> 00:40:48.520]   I think that saving $100,000 cash is a better thing to do before
[00:40:48.540 --> 00:41:12.600]   I think that saving $100,000 cash is a better thing to do before
[00:41:12.600 --> 00:41:12.660]   I think that saving $100,000 cash is a better thing to do before
[00:41:12.660 --> 00:41:12.680]   I think that saving $100,000 cash is a better thing to do before
[00:41:12.680 --> 00:41:12.700]   I think that saving $100,000 cash is a better thing to do before
[00:41:12.700 --> 00:41:12.740]   I think that saving $100,000 cash is a better thing to do before
[00:41:12.740 --> 00:41:12.760]   I think that saving $100,000 cash is a better thing to do before
[00:41:12.760 --> 00:41:12.780]   I think that saving $100,000 cash is a better thing to do before
[00:41:12.780 --> 00:41:12.800]   I think that saving $100,000 cash is a better thing to do before
[00:41:12.800 --> 00:41:12.800]   I think that saving $100,000 cash is a better thing to do before
[00:41:12.800 --> 00:41:12.800]   I think that saving $100,000 cash is a better thing to do before
[00:41:12.800 --> 00:41:12.800]   I think that saving $100,000 cash is a better thing to do before
[00:41:12.800 --> 00:41:12.800]   I think that saving $100,000 cash is a better thing to do before
[00:41:13.680 --> 00:41:40.960]  , I think that saving $100,000 cash is a better thing to do before
[00:41:40.960 --> 00:41:41.000]   I think that saving $100,000 cash is a better thing to do before
[00:41:41.000 --> 00:41:41.020]   I think that saving $100,000 cash is a better thing to do before
[00:41:41.020 --> 00:41:41.060]   I think that saving $100,000 cash is a better thing to do before
[00:41:41.060 --> 00:41:41.080]   I think that saving $100,000 cash is a better thing to do before
[00:41:41.080 --> 00:41:41.100]   I think that saving $100,000 cash is a better thing to do before
[00:41:41.100 --> 00:41:41.160]   I think that saving $100,000 cash is a better thing to do before
[00:41:41.160 --> 00:41:41.180]   I think that saving $100,000 cash is a better thing to do before
[00:42:09.560 --> 00:42:09.660]   I think that saving $100,000 cash is a better thing to do before
[00:42:09.660 --> 00:42:09.720]   I think that saving $100,000 cash is a better thing to do before
[00:42:09.720 --> 00:42:10.000]   I think that saving $100,000 cash is a better thing to do before
[00:42:10.000 --> 00:42:10.060]   I think that saving $100,000 cash is a better thing to do before
[00:42:10.060 --> 00:42:10.120]   I think that saving $100,000 cash is a better thing to do before
[00:42:10.120 --> 00:42:10.160]   I think that saving $100,000 cash is a better thing to do before
[00:42:10.160 --> 00:42:10.200]   I think that saving $100,000 cash is a better thing to do before
[00:42:10.200 --> 00:42:10.220]   I think that saving $100,000 cash is a better thing to do before
[00:42:10.220 --> 00:42:10.280]   I think that saving $100,000 cash is a better thing to do before
[00:42:10.280 --> 00:42:10.340]   I think that saving $100,000 cash is a better thing to do before
[00:42:10.340 --> 00:42:10.380]   I think that saving $100,000 cash is a better thing to do before
[00:42:10.380 --> 00:42:10.420]   I think that saving $100,000 cash is a better thing to do before
[00:42:39.260 --> 00:42:39.280]   I think that saving $100,000 cash is a better thing to do before
[00:42:39.280 --> 00:42:39.340]   I think that saving $100,000 cash is a better thing to do before
[00:42:39.340 --> 00:42:39.380]   I think that saving $100,000 cash is a better thing to do before
[00:42:39.380 --> 00:42:39.420]   I think that saving $100,000 cash is a better thing to do before
[00:42:39.420 --> 00:42:39.440]   I think that saving $100,000 cash is a better thing to do before
[00:42:39.440 --> 00:42:39.460]   I think that saving $100,000 cash is a better thing to do before
[00:42:39.460 --> 00:42:39.480]   I think that saving $100,000 cash is a better thing to do before
[00:42:39.480 --> 00:42:39.520]   I think that saving $100,000 cash is a better thing to do before.
[00:42:39.520 --> 00:43:08.720]   and I think that saving $100,000 cash is a better thing to do before
[00:43:08.720 --> 00:43:08.760]   I think that saving $100,000 cash is a better thing to do before
[00:43:08.760 --> 00:43:09.000]   I think that saving $100,000 cash is a better thing to do before
[00:43:09.000 --> 00:43:09.020]   I think that saving $100,000 cash is a better thing to do before
[00:43:09.020 --> 00:43:09.100]   I think that saving $100,000 cash is a better thing to do before
[00:43:09.100 --> 00:43:09.160]   I think that saving $100,000 cash is a better thing to do before
[00:43:09.160 --> 00:43:09.180]   I think that saving $100,000 cash is a better thing to do before
[00:43:09.180 --> 00:43:09.540]   I think that saving $100,000 cash is a better thing to do before
[00:43:09.560 --> 00:43:39.560]   I think that saving $100,000 cash is a better thing to do before
[00:43:39.560 --> 00:43:39.560]   I think that saving $100,000 cash is a better thing to do before
[00:43:39.560 --> 00:43:39.560]   I think that saving $100,000 cash is a better thing to do before
[00:43:39.560 --> 00:43:39.560]   I think that saving $100,000 cash is a better thing to do before
[00:43:39.560 --> 00:43:39.560]   I think that saving $100,000 cash is a better thing to do before
[00:43:39.560 --> 00:43:39.560]   I think that saving $100,000 cash is a better thing to do before
[00:43:39.560 --> 00:43:39.560]   I think that saving $100,000 cash is a better thing to do before
[00:43:39.560 --> 00:43:39.560]   I think that saving $100,000 cash is a better thing to do before
[00:43:39.560 --> 00:43:39.560]   I think that saving $100,000 cash is a better thing to do before
[00:43:39.560 --> 00:43:39.560]   I think that saving $100,000 cash is a better thing to do before
[00:43:39.560 --> 00:43:39.560]   I think that saving $100,000 cash is a better thing to do before
[00:43:39.560 --> 00:43:39.560]   I think that saving $100,000 cash is a better thing to do before
[00:43:39.600 --> 00:44:09.580]  legalcashis.com
[00:44:09.580 --> 00:44:09.580]   I think that saving $100,000 cash is a better thing to do before
[00:44:09.580 --> 00:44:09.580]   I think that saving $100,000 cash is a better thing to do before
[00:44:09.580 --> 00:44:09.580]   I think that saving $100,000 cash is a better thing to do before
[00:44:09.580 --> 00:44:09.580]   I think that saving $100,000 cash is a better thing to do before
[00:44:09.580 --> 00:44:09.580]   I think that saving $100,000 cash is a better thing to do before
[00:44:09.580 --> 00:44:09.580]   I think that saving $100,000 cash is a better thing to do before
[00:44:09.580 --> 00:44:09.580]   I think that saving $100,000 cash is a better thing to do before
[00:44:09.580 --> 00:44:09.580]   I think that saving $100,000 cash is a better thing to do before
[00:44:09.620 --> 00:44:39.600]   I think that saving $100,000 cash is a better thing to do before
[00:44:39.600 --> 00:44:39.600]   I think that saving $100,000 cash is a better thing to do before
[00:44:39.600 --> 00:44:39.600]   I think that saving $100,000 cash is a better thing to do before
[00:44:39.600 --> 00:44:39.600]   I think that saving $100,000 cash is a better thing to do before
[00:44:39.600 --> 00:44:39.600]   I think that saving $100,000 cash is a better thing to do before
[00:44:39.600 --> 00:44:39.600]   I think that saving $100,000 cash is a better thing to do before
[00:44:39.600 --> 00:44:39.600]   I think that saving $100,000 cash is a better thing to do before
[00:44:39.600 --> 00:44:39.600]   I think that saving $100,000 cash is a better thing to do before
[00:44:39.620 --> 00:45:09.620]   I think that saving $100,000 cash is a better thing to do before
[00:45:09.620 --> 00:45:09.620]   I think that saving $100,000 cash is a better thing to do before
[00:45:09.620 --> 00:45:09.620]   I think that saving $100,000 cash is a better thing to do before
[00:45:09.620 --> 00:45:09.620]   I think that saving $100,000 cash is a better thing to do before
[00:45:09.620 --> 00:45:09.620]   I think that saving $100,000 cash is a better thing to do before
[00:45:09.620 --> 00:45:09.620]   I think that saving $100,000 cash is a better thing to do before
[00:45:09.620 --> 00:45:09.620]   I think that saving $100,000 cash is a better thing to do before
[00:45:09.620 --> 00:45:09.620]   I think that saving $100,000 cash is a better thing to do before
[00:45:09.620 --> 00:45:09.620]   I think that saving $100,000 cash is a better thing to do before
[00:45:09.620 --> 00:45:09.620]   I think that saving $100,000 cash is a better thing to do before
[00:45:09.620 --> 00:45:09.620]   I think that saving $100,000 cash is a better thing to do before
[00:45:09.620 --> 00:45:09.620]   I think that saving $100,000 cash is a better thing to do before
[00:45:09.660 --> 00:45:39.640]   I think that saving $100,000 cash is a better thing to do before
[00:45:39.640 --> 00:45:39.640]   I think that saving $100,000 cash is a better thing to do before
[00:45:39.640 --> 00:45:39.640]   I think that saving $100,000 cash is a better thing to do before
[00:45:39.640 --> 00:45:39.640]   I think that saving $100,000 cash is a better thing to do before
[00:45:39.640 --> 00:45:39.640]   I think that saving $100,000 cash is a better thing to do before
[00:45:39.640 --> 00:45:39.640]   I think that saving $100,000 cash is a better thing to do before
[00:45:39.660 --> 00:46:09.660]   I think that saving $100,000 cash is a better thing to do before
[00:46:09.660 --> 00:46:09.660]   I think that saving $100,000 cash is a better thing to do before
[00:46:09.660 --> 00:46:09.660]   I think that saving $100,000 cash is a better thing to do before
[00:46:09.660 --> 00:46:09.660]   I think that saving $100,000 cash is a better thing to do before
[00:46:09.660 --> 00:46:09.660]   I think that saving $100,000 cash is a better thing to do before
[00:46:09.660 --> 00:46:09.660]   I think that saving $100,000 cash is a better thing to do before
[00:46:09.660 --> 00:46:09.660]   I think that saving $100,000 cash is a better thing to do before
[00:46:09.660 --> 00:46:09.660]   I think that saving $100,000 cash is a better thing to do before
[00:46:09.660 --> 00:46:09.660]   I think that saving $100,000 cash is a better thing to do before
[00:46:09.660 --> 00:46:09.660]   I think that saving $100,000 cash is a better thing to do before
[00:46:09.660 --> 00:46:09.660]   I think that saving $100,000 cash is a better thing to do before
[00:46:09.660 --> 00:46:09.660]   I think that saving $100,000 cash is a better thing to do before
[00:46:09.660 --> 00:46:39.680]   I think that saving $100,000 cash is a better thing to do before
[00:46:39.680 --> 00:46:39.680]   I think that saving $100,000 cash is a better thing to do before
[00:46:39.680 --> 00:46:39.680]   I think that saving $100,000 cash is a better thing to do before
[00:46:39.680 --> 00:46:39.680]   I think that saving $100,000 cash is a better thing to do before
[00:46:39.680 --> 00:46:39.680]   I think that saving $100,000 cash is a better thing to do before
[00:46:39.700 --> 00:47:09.700]   I think that saving $100,000 cash is a better thing to do before
[00:47:09.700 --> 00:47:09.700]   I think that saving $100,000 cash is a better thing to do before
[00:47:09.700 --> 00:47:09.700]   I think that saving $100,000 cash is a better thing to do before
[00:47:09.700 --> 00:47:09.700]   I think that saving $100,000 cash is a better thing to do before
[00:47:09.700 --> 00:47:09.700]   I think that saving $100,000 cash is a better thing to do before
[00:47:09.700 --> 00:47:09.700]   I think that saving $100,000 cash is a better thing to do before
[00:47:09.700 --> 00:47:09.700]   I think that saving $100,000 cash is a better thing to do before
[00:47:09.700 --> 00:47:09.700]   I think that saving $100,000 cash is a better thing to do before
[00:47:09.700 --> 00:47:09.700]   I think that saving $100,000 cash is a better thing to do before
[00:47:09.700 --> 00:47:09.700]   I think that saving $100,000 cash is a better thing to do before
[00:47:09.700 --> 00:47:09.700]   I think that saving $100,000 cash is a better thing to do before
[00:47:09.700 --> 00:47:09.700]   I think that saving $100,000 cash is a better thing to do before
[00:47:09.700 --> 00:47:39.720]   I think that saving $100,000 cash is a better thing to do before
[00:47:39.720 --> 00:47:39.720]   I think that saving $100,000 cash is a better thing to do before
[00:47:39.720 --> 00:47:39.720]   I think that saving $100,000 cash is a better thing to do before
[00:47:39.720 --> 00:47:39.720]   I think that saving $100,000 cash is a better thing to do before
[00:47:39.720 --> 00:47:39.720]   I think that saving $100,000 cash is a better thing to do before
[00:47:39.720 --> 00:47:39.720]   I think that saving $100,000 cash is a better thing to do before
[00:47:39.740 --> 00:48:09.740]   I think that saving $100,000 cash is a better thing to do before
[00:48:09.740 --> 00:48:09.740]   I think that saving $100,000 cash is a better thing to do before
[00:48:09.740 --> 00:48:09.740]   I think that saving $100,000 cash is a better thing to do before
[00:48:09.740 --> 00:48:09.740]   I think that saving $100,000 cash is a better thing to do before
[00:48:09.740 --> 00:48:09.740]   I think that saving $100,000 cash is a better thing to do before
[00:48:09.740 --> 00:48:09.740]   I think that saving $100,000 cash is a better thing to do before
[00:48:09.740 --> 00:48:09.740]   I think that saving $100,000 cash is a better thing to do before
[00:48:09.740 --> 00:48:09.740]   I think that saving $100,000 cash is a better thing to do before
[00:48:09.740 --> 00:48:09.740]   I think that saving $100,000 cash is a better thing to do before
[00:48:09.740 --> 00:48:09.740]   I think that saving $100,000 cash is a better thing to do before
[00:48:09.740 --> 00:48:09.740]   I think that saving $100,000 cash is a better thing to do before
[00:48:09.740 --> 00:48:09.740]   I think that saving $100,000 cash is a better thing to do before
[00:48:09.780 --> 00:48:39.760]   I think that saving $100,000 cash is a better thing to do before
[00:48:39.760 --> 00:48:39.760]   I think that saving $100,000 cash is a better thing to do before
[00:48:39.760 --> 00:48:39.760]   I think that saving $100,000 cash is a better thing to do before
[00:48:39.760 --> 00:48:39.760]   I think that saving $100,000 cash is a better thing to do before
[00:48:39.760 --> 00:48:39.760]   I think that saving $100,000 cash is a better thing to do before
[00:48:39.780 --> 00:49:09.780]   I think that saving $100,000 cash is a better thing to do before
[00:49:09.780 --> 00:49:09.780]   I think that saving $100,000 cash is a better thing to do before
[00:49:09.780 --> 00:49:09.780]   I think that saving $100,000 cash is a better thing to do before
[00:49:09.780 --> 00:49:09.780]   I think that saving $100,000 cash is a better thing to do before
[00:49:09.780 --> 00:49:09.780]   I think that saving $100,000 cash is a better thing to do before
[00:49:09.780 --> 00:49:09.780]   I think that saving $100,000 cash is a better thing to do before
[00:49:09.780 --> 00:49:09.780]   I think that saving $100,000 cash is a better thing to do before
[00:49:09.780 --> 00:49:09.780]   I think that saving $100,000 cash is a better thing to do before
[00:49:09.780 --> 00:49:09.780]   I think that saving $100,000 cash is a better thing to do before
[00:49:09.780 --> 00:49:09.780]   I think that saving $100,000 cash is a better thing to do before
[00:49:09.780 --> 00:49:09.780]   I think that saving $100,000 cash is a better thing to do before
[00:49:09.780 --> 00:49:09.780]   I think that saving $100,000 cash is a better thing to do before
[00:49:09.780 --> 00:49:39.800]   I think that saving $100,000 cash is a better thing to do before
[00:49:39.800 --> 00:49:39.800]   I think that saving $100,000 cash is a better thing to do before
[00:49:39.800 --> 00:49:39.800]   I think that saving $100,000 cash is a better thing to do before
[00:49:39.800 --> 00:49:39.800]   I think that saving $100,000 cash is a better thing to do before
[00:49:39.800 --> 00:49:39.800]   I think that saving $100,000 cash is a better thing to do before
[00:49:39.800 --> 00:49:39.800]   I think that saving $100,000 cash is a better thing to do before
[00:49:39.820 --> 00:50:09.820]   I think that saving $100,000 cash is a better thing to do before
[00:50:09.820 --> 00:50:09.820]   I think that saving $100,000 cash is a better thing to do before
[00:50:09.820 --> 00:50:09.820]   I think that saving $100,000 cash is a better thing to do before
[00:50:09.820 --> 00:50:09.820]   I think that saving $100,000 cash is a better thing to do before
[00:50:09.820 --> 00:50:09.820]   I think that saving $100,000 cash is a better thing to do before
