
[00:00:00.040 --> 00:00:10.440]   Le
[00:36:59.580 --> 00:36:59.580]   The end of the day, I'm going to be talking about the best philosophy of hard, strong, focused academics, and then the rest of the time be filled with many diverse experiences, many diverse exposures, diverse work, diverse business activities, diverse individual pursuits, diverse hobbies, etc. And that seems to me to be the best philosophy to create a comprehensive whole person who does do well in academics, but also is not maintains their diverse interests. So that's, that's my current approach.
[00:36:59.580 --> 00:36:59.580]   So that's, that's my current approach.
[00:36:59.580 --> 00:36:59.580]   So that's, that's my current approach.
[00:36:59.580 --> 00:36:59.580]   So that's, that's my current approach.
[00:36:59.580 --> 00:36:59.580]   So that's, that's my current approach.
[00:36:59.580 --> 00:36:59.580]   So that's, that's my current approach.
[00:36:59.580 --> 00:36:59.600]   So that's, that's my current approach.
[00:36:59.600 --> 00:36:59.680]   So that's, that's my current approach.
[00:36:59.680 --> 00:36:59.800]   So that's, that's my current approach.
[00:36:59.800 --> 00:36:59.820]   So that's, that's my current approach.
[00:37:28.020 --> 00:37:29.140]   So that's my current approach.
[00:37:29.140 --> 00:37:29.220]   So that's my current approach.
[00:37:29.220 --> 00:37:29.540]   So that's my current approach.
[00:37:29.540 --> 00:37:29.600]   So that's my current approach. And I think it's very interesting. You seem to be well thought out about your plans and the way you present them to your children. I really appreciate it. I've come across most of Mr. Gatto's work so far, and I don't think there was a podcast that presented some of his work as well. What other books have influenced you in the tree garden, just off the top of your head?
[00:37:29.680 --> 00:37:39.580]   at
[00:40:49.340 --> 00:40:52.500]   like
[00:40:52.500 --> 00:41:00.960]   Muslim The,ua only out. I'm,,,,, MAR P I I the
[00:41:00.960 --> 00:41:08.140]  ikut
[00:41:08.140 --> 00:41:13.200]   night I
[00:41:13.200 --> 00:41:17.620]   ambiguityé the sound a in the highحe. F. I. .I. 01.brar haird momento學. meaninglessarson sent. sound. awardsế.aría concerned.х. �üy. выз. judgment.�häng. 쉬. đi.ieving. restaurant. meses. cr. credit.,дел. demand: İyi. Leslie Ned.줘. vie grew 2. upside tiver against one. cor allen survive Le. table support a視 Severoc charter happened 이것 tiles battle deal treasure기는
[00:41:17.620 --> 00:41:18.220]   Bu. poisonGG.PL. string. Matt 00. concentrate那個
[00:41:18.220 --> 00:41:18.360]  程. уг el rest. 500-G.華.間.TM.視, winner may not, shield, you stain. New protect so, Ho辦法 Chi Там, it is a
[00:41:18.380 --> 00:41:47.420]   most normally the mother. It's so intensive that I wonder if it can actually be done. Sonia, her name escapes me again. Her name is Sonia something or other. It's so intensive that it's hard for me to see how is that practical. And so then I read kind of the unschoolers, the interest directed learning. And I see, wait a second, there's really something here because the only thing that I remember from my education is the things that I was interested in. I passed so many classes that I wasn't interested in and I don't remember everything. And so I'm
[00:41:47.460 --> 00:41:49.160]   realize
[00:41:49.160 --> 00:41:58.340]  , I I со
[00:41:58.340 --> 00:42:13.340]  , 1, and, manage, Extreme Happy Alles
[00:42:15.500 --> 00:42:24.900]  ав
[00:42:24.900 --> 00:42:28.400]   demand- way la
[00:43:56.300 --> 00:44:07.960]   mean
[00:44:07.960 --> 00:44:25.320]   in the, I'm even send, I,jer, suff,arn. I'm saying that that is a piece of the flCH mel服 beLED They sprite der provide a only Э encontramos all principal And I's I'm I's the Godzilla 1 ή戰 Yesterday ago I'm 'Ch' "De's de "G" "G" "De" "G" "Just "G" "B" "�" " Apple" " 1997 au " PlayStation網" "'t " ch" is "'t " h" 40" even " 24 " while 15: a
[00:44:25.420 --> 00:44:34.440]   of my business income to cover taxes and business expenses and then taking the additional 50% as like a personal income for our family.
[00:44:34.440 --> 00:44:50.440]   So basically I'm trying to figure out, I feel a little bit confused as to what I should be investing in just because of the unknown nature of my future income, changes, new baby, and then also just life goals.
[00:44:50.440 --> 00:44:54.440]   We initially were really gung-ho about paying off our house quickly.
[00:44:54.440 --> 00:44:54.540]   We initially were really gung-ho about paying off our house quickly.
[00:44:54.540 --> 00:44:54.540]   We initially were really gung-ho about paying off our house quickly.
[00:44:54.540 --> 00:44:54.540]   We initially were really gung-ho about paying off our house quickly.
[00:44:54.540 --> 00:44:54.540]   We initially were really gung-ho about paying off our house quickly.
[00:44:54.540 --> 00:44:54.540]   We initially were really gung-ho about paying off our house quickly.
[00:44:54.540 --> 00:44:54.540]   We initially were really gung-ho about paying off our house quickly.
[00:44:54.540 --> 00:44:54.540]   We initially were really gung-ho about paying off our house quickly.
[00:44:54.680 --> 00:45:23.780]  , but we also have some additional house projects and want to invest for retirement.
[00:45:23.780 --> 00:45:23.780]   I think I'm at this point, a lot of change in the last six months, have some additional cash at hand and trying to figure out how do I set those financial priorities when I'm unsure that I'm going to get X amount of income every month moving forward.
[00:45:23.780 --> 00:45:23.980]   Is your wife currently pregnant or has your baby already been born?
[00:45:23.980 --> 00:45:24.180]   Is your wife currently pregnant or has your baby already been born?
[00:45:24.180 --> 00:45:24.380]   Is your wife currently pregnant or has your baby already been born?
[00:45:24.380 --> 00:45:24.380]   Is your wife currently pregnant or has your baby already been born?
[00:45:24.380 --> 00:45:24.480]   Is your wife currently pregnant or has your baby already been born?
[00:45:24.480 --> 00:45:24.480]   Is your wife currently pregnant or has your baby already been born?
[00:45:24.500 --> 00:45:25.720]   She's currently pregnant.
[00:45:25.720 --> 00:45:25.920]   She's currently pregnant.
[00:45:25.920 --> 00:45:26.020]   She's currently pregnant.
[00:45:26.020 --> 00:45:26.220]   She's currently pregnant.
[00:45:26.220 --> 00:45:26.220]   She's currently pregnant.
[00:45:26.220 --> 00:45:26.320]   She's currently pregnant.
[00:45:26.320 --> 00:45:26.420]   She's currently pregnant.
[00:45:26.420 --> 00:45:26.520]   She's currently pregnant.
[00:45:26.520 --> 00:45:26.620]   She's currently pregnant.
[00:45:26.620 --> 00:45:26.720]   She's currently pregnant.
[00:45:26.720 --> 00:45:26.820]   She's currently pregnant.
[00:45:26.820 --> 00:45:26.920]   She's currently pregnant.
[00:45:26.920 --> 00:45:27.020]   She's currently pregnant.
[00:45:27.020 --> 00:45:27.120]   She's currently pregnant.
[00:45:27.120 --> 00:45:27.220]   She's currently pregnant.
[00:45:27.220 --> 00:45:27.220]   She's currently pregnant.
[00:45:27.220 --> 00:45:27.320]   She's currently pregnant.
[00:45:27.320 --> 00:45:27.420]   She's currently pregnant.
[00:45:27.420 --> 00:45:27.460]   She's currently pregnant.
[00:45:27.460 --> 00:45:27.520]   She's currently pregnant.
[00:45:27.520 --> 00:45:27.520]   She's currently pregnant.
[00:45:27.520 --> 00:45:27.620]   She's currently pregnant.
[00:45:27.620 --> 00:45:27.660]   She's currently pregnant.
[00:45:27.660 --> 00:45:45.620]   So first, my experience and my observation and my recommendation to you is when you are expecting a baby, I would encourage you to essentially hit pause on any big decisions. There are a couple of reasons for that. This is your first child, is that correct?
[00:45:45.640 --> 00:46:09.860]   So we have a foster child who we likely will adopt in the next year or so. But yeah, this will be our first biological child.
[00:46:09.860 --> 00:46:09.960]   Okay, great.
[00:46:09.960 --> 00:46:10.060]   So and that's also if you are fostering and looking towards adoption, that's also kind of the same advice applies.
[00:46:10.060 --> 00:46:10.060]   So and that's also if you are fostering and looking towards adoption, that's also kind of the same advice applies.
[00:46:10.060 --> 00:46:10.160]   So and that's also if you are fostering and looking towards adoption, that's also kind of the same advice applies.
[00:46:10.160 --> 00:46:10.260]   So and that's also if you are fostering and looking towards adoption, that's also kind of the same advice applies.
[00:46:10.260 --> 00:46:10.360]   So and that's also if you are fostering and looking towards adoption, that's also kind of the same advice applies.
[00:46:10.360 --> 00:46:10.460]   So and that's also if you are fostering and looking towards adoption, that's also kind of the same advice applies.
[00:46:10.500 --> 00:46:18.640]   thing
[00:46:18.640 --> 00:46:38.060]  , that the Ж�mo Future Bye Odd is a, and, and, and, and, and, and, persona pointless hai
[00:46:39.040 --> 00:46:48.460]  ?
[00:46:48.460 --> 00:46:57.880]   in the word which
[00:47:09.040 --> 00:47:39.040]  ,
[00:47:39.040 --> 00:47:39.040]   and
[00:47:39.040 --> 00:47:39.040]   and
[00:47:39.040 --> 00:47:39.040]   and
[00:47:39.040 --> 00:47:39.040]   and
[00:47:39.040 --> 00:47:39.040]   and
[00:47:39.040 --> 00:47:39.040]   and
[00:47:39.040 --> 00:47:39.040]   and
[00:47:39.040 --> 00:47:39.040]   and
[00:47:39.040 --> 00:47:39.040]   and
[00:47:39.040 --> 00:47:39.040]   and
[00:47:39.040 --> 00:47:39.040]   and
[00:47:39.040 --> 00:47:39.040]   and
[00:47:39.040 --> 00:47:39.040]   and
[00:47:39.040 --> 00:47:39.040]   and
[00:47:39.040 --> 00:47:39.040]   and
[00:47:39.040 --> 00:47:39.040]   and
[00:47:39.040 --> 00:47:39.040]   and
[00:47:39.040 --> 00:47:39.040]   and
[00:47:39.040 --> 00:47:39.040]   and
[00:47:39.040 --> 00:47:39.040]   and so that goal will change or you'll look at your house and you say previously this particular thing about our house wasn't very important but now this is more important our house is not fenced
[00:47:39.040 --> 00:47:39.040]   and so that goal will change or you'll look at your house and you say previously this particular thing about our house wasn't very important but now this is more important our house is not fenced
[00:47:39.040 --> 00:47:39.040]   and so that goal will change or you'll look at your house and you say previously this particular thing about our house wasn't very important but now this is more important our house is not fenced
[00:47:39.040 --> 00:48:09.060]   and so that goal will change or you'll look at your house is not fenced
[00:48:09.060 --> 00:48:09.060]   and so that goal will change or you'll look at your house is not fenced
[00:48:09.060 --> 00:48:09.060]   and so that goal will change or you'll look at your house is not fenced
[00:48:09.060 --> 00:48:09.060]   and so that goal will change or you'll look at your house is not fenced
[00:48:09.060 --> 00:48:09.060]   and so that goal will change or you'll look at your house is not fenced
[00:48:09.060 --> 00:48:09.060]   and so that goal will change or you'll look at your house is not fenced
[00:48:09.060 --> 00:48:09.060]   and so that goal will change or you'll look at your house is not fenced
[00:48:09.060 --> 00:48:09.060]   and so that goal will change or you'll look at your house is not fenced
[00:48:09.080 --> 00:48:39.080]   and so that goal will change or you'll look at your house is not fenced
[00:48:39.080 --> 00:48:39.080]   and so that goal will change or you'll look at your house is not fenced
[00:48:39.080 --> 00:48:39.080]   and so that goal will change or you'll look at your house is not fenced
[00:48:39.080 --> 00:48:39.080]   and so that goal will change or you'll look at your house is not fenced
[00:48:39.080 --> 00:48:39.080]   and so that goal will change or you'll look at your house is not fenced
[00:48:39.080 --> 00:48:39.080]   and so that goal will change or you'll look at your house is not fenced
[00:48:39.080 --> 00:48:39.080]   and so that goal will change or you'll look at your house is not fenced
[00:48:39.080 --> 00:48:39.080]   and so that goal will change or you'll look at your house is not fenced
[00:48:39.080 --> 00:48:39.080]   and so that goal will change or you'll look at your house is not fenced
[00:48:39.080 --> 00:48:39.080]   and so that goal will change or you'll look at your house is not fenced
[00:48:39.080 --> 00:48:39.080]   and so that goal will change or you'll look at your house is not fenced
[00:48:39.120 --> 00:49:09.100]  ,
[00:49:09.100 --> 00:49:09.100]   and so that goal will change or you'll look at your house is not fenced
[00:49:09.100 --> 00:49:09.100]   and so that goal will change or you'll look at your house is not fenced
[00:49:09.100 --> 00:49:09.100]   and so that goal will change or you'll look at your house is not fenced
[00:49:09.100 --> 00:49:09.100]   and so that goal will change or you'll look at your house is not fenced
[00:49:09.100 --> 00:49:09.100]   and so that goal will change or you'll look at your house is not fenced
[00:49:09.100 --> 00:49:09.100]   and so that goal will change or you'll look at your house is not fenced
[00:49:09.100 --> 00:49:09.100]   and so that goal will change or you'll look at your house is not fenced
[00:49:09.100 --> 00:49:09.100]   and so that goal will change or you'll look at your house is not fenced
[00:49:09.120 --> 00:49:39.120]   and so that goal will change or you'll look at your house is not fenced
[00:49:39.120 --> 00:49:39.120]   and so that goal will change or you'll look at your house is not fenced
[00:49:39.120 --> 00:49:39.120]   and so that goal will change or you'll look at your house is not fenced
[00:49:39.120 --> 00:49:39.120]   and so that goal will change or you'll look at your house is not fenced
[00:49:39.120 --> 00:49:39.120]   and so that goal will change or you'll look at your house is not fenced
[00:49:39.120 --> 00:49:39.120]   and so that goal will change or you'll look at your house is not fenced
[00:49:39.120 --> 00:49:39.120]   and so that goal will change or you'll look at your house is not fenced
[00:49:39.120 --> 00:49:39.120]   and so that goal will change or you'll look at your house is not fenced
[00:49:39.120 --> 00:49:39.120]   and so that goal will change or you'll look at your house is not fenced
[00:49:39.120 --> 00:49:39.120]   and so that goal will change or you'll look at your house is not fenced
[00:49:39.120 --> 00:49:39.120]   and so that goal will change or you'll look at your house is not fenced
[00:49:39.120 --> 00:50:09.140]  ,
[00:50:09.140 --> 00:50:09.140]   and so that goal will change or you'll look at your house is not fenced
[00:50:09.140 --> 00:50:09.140]   and so that goal will change or you'll look at your house is not fenced
[00:50:09.140 --> 00:50:09.140]   and so that goal will change or you'll look at your house is not fenced
[00:50:09.140 --> 00:50:09.140]   and so that goal will change or you'll look at your house is not fenced
[00:50:09.140 --> 00:50:09.140]   and so that goal will change or you'll look at your house is not fenced
[00:50:09.140 --> 00:50:09.140]   and so that goal will change or you'll look at your house is not fenced
[00:50:09.140 --> 00:50:09.140]   and so that goal will change or you'll look at your house is not fenced
[00:50:09.160 --> 00:50:39.160]   and so that goal will change or you'll look at your house is not fenced
[00:50:39.160 --> 00:50:39.160]   and so that goal will change or you'll look at your house is not fenced
[00:50:39.160 --> 00:50:39.160]   and so that goal will change or you'll look at your house is not fenced
[00:50:39.160 --> 00:50:39.160]   and so that goal will change or you'll look at your house is not fenced
[00:50:39.160 --> 00:50:39.160]   and so that goal will change or you'll look at your house is not fenced
[00:50:39.160 --> 00:50:39.160]   and so that goal will change or you'll look at your house is not fenced
[00:50:39.160 --> 00:50:39.160]   and so that goal will change or you'll look at your house is not fenced
[00:50:39.160 --> 00:50:39.160]   and so that goal will change or you'll look at your house is not fenced
[00:50:39.160 --> 00:50:39.160]   and so that goal will change or you'll look at your house is not fenced
[00:50:39.160 --> 00:50:39.160]   and so that goal will change or you'll look at your house is not fenced
[00:50:39.160 --> 00:50:39.160]   and so that goal will change or you'll look at your house is not fenced
[00:50:39.160 --> 00:51:09.180]  ,
[00:51:09.180 --> 00:51:09.180]   and so that goal will change or you'll look at your house is not fenced
[00:51:09.180 --> 00:51:09.180]   and so that goal will change or you'll look at your house is not fenced
[00:51:09.180 --> 00:51:09.180]   and so that goal will change or you'll look at your house is not fenced
[00:51:09.180 --> 00:51:09.180]   and so that goal will change or you'll look at your house is not fenced
[00:51:09.180 --> 00:51:09.180]   and so that goal will change or you'll look at your house is not fenced
[00:51:09.180 --> 00:51:09.180]   and so that goal will change or you'll look at your house is not fenced
[00:51:09.180 --> 00:51:09.180]   and so that goal will change or you'll look at your house is not fenced
[00:51:09.180 --> 00:51:09.180]   and so that goal will change or you'll look at your house is not fenced
[00:51:09.200 --> 00:51:39.200]   I would say just basically
[00:51:39.200 --> 00:51:39.200]   and so that goal will change or you'll look at your house is not fenced
[00:51:39.200 --> 00:51:39.200]   and so that goal will change or you'll look at your house is not fenced
[00:51:39.200 --> 00:51:39.200]   and so that goal will change or you'll look at your house is not fenced
[00:51:39.200 --> 00:51:39.200]   and so that goal will change or you'll look at your house is not fenced
[00:51:39.200 --> 00:51:39.200]   and so that goal will change or you'll look at your house is not fenced
[00:51:39.200 --> 00:51:39.200]   and so that goal will change or you'll look at your house is not fenced
[00:51:39.200 --> 00:51:39.200]   and so that goal will change or you'll look at your house is not fenced
[00:51:39.200 --> 00:51:39.200]   and so that goal will change or you'll look at your house is not fenced
[00:51:39.200 --> 00:51:39.200]   and so that goal will change or you'll look at your house is not fenced
[00:51:39.200 --> 00:51:39.200]   and so that goal will change or you'll look at your house is not fenced
[00:51:39.200 --> 00:51:39.200]   and so that goal will change or you'll look at your house is not fenced
[00:51:39.240 --> 00:52:09.220]  ,
[00:52:09.220 --> 00:52:09.220]   and so that goal will change or you'll look at your house is not fenced
[00:52:09.220 --> 00:52:09.220]   and so that goal will change or you'll look at your house is not fenced
[00:52:09.220 --> 00:52:09.220]   and so that goal will change or you'll look at your house is not fenced
[00:52:09.220 --> 00:52:09.220]   and so that goal will change or you'll look at your house is not fenced
[00:52:09.220 --> 00:52:09.220]   and so that goal will change or you'll look at your house is not fenced
[00:52:09.240 --> 00:52:39.240]   and so that goal will change or you'll look at your house is not fenced
[00:52:39.240 --> 00:52:39.240]   and so that goal will change or you'll look at your house is not fenced
[00:52:39.240 --> 00:52:39.240]   and so that goal will change or you'll look at your house is not fenced
[00:52:39.240 --> 00:52:39.240]   and so that goal will change or you'll look at your house is not fenced
[00:52:39.240 --> 00:52:39.240]   and so that goal will change or you'll look at your house is not fenced
[00:52:39.240 --> 00:52:39.240]   and so that goal will change or you'll look at your house is not fenced
[00:52:39.240 --> 00:52:39.240]   and so that goal will change or you'll look at your house is not fenced
[00:52:39.240 --> 00:52:39.240]   and so that goal will change or you'll look at your house is not fenced
[00:52:39.240 --> 00:52:39.240]   and so that goal will change or you'll look at your house is not fenced
[00:52:39.240 --> 00:52:39.240]   and so that goal will change or you'll look at your house is not fenced
[00:52:39.240 --> 00:52:39.240]   and so that goal will change or you'll look at your house is not fenced
[00:52:39.280 --> 00:53:09.260]   and so that goal will change or you'll look at your house is not fenced
[00:53:09.260 --> 00:53:09.260]   and so that goal will change or you'll look at your house is not fenced
[00:53:09.260 --> 00:53:09.260]   and so that goal will change or you'll look at your house is not fenced
[00:53:09.260 --> 00:53:09.260]   and so that goal will change or you'll look at your house is not fenced
[00:53:09.260 --> 00:53:09.260]   and so that goal will change or you'll look at your house is not fenced
[00:53:09.260 --> 00:53:09.260]   and so that goal will change or you'll look at your house is not fenced
[00:53:09.260 --> 00:53:09.260]   and so that goal will change or you'll look at your house is not fenced
[00:53:09.260 --> 00:53:09.260]   and so that goal will change or you'll look at your house is not fenced
[00:53:09.280 --> 00:53:39.280]   and so that goal will change or you'll look at your house is not fenced
[00:53:39.280 --> 00:53:39.280]   and so that goal will change or you'll look at your house is not fenced
[00:53:39.280 --> 00:53:39.280]   and so that goal will change or you'll look at your house is not fenced
[00:53:39.280 --> 00:53:39.280]   and so that goal will change or you'll look at your house is not fenced
[00:53:39.280 --> 00:53:39.280]   and so that goal will change or you'll look at your house is not fenced
[00:53:39.280 --> 00:53:39.280]   and so that goal will change or you'll look at your house is not fenced
[00:53:39.280 --> 00:53:39.280]   and so that goal will change or you'll look at your house is not fenced
[00:53:39.280 --> 00:53:39.280]   and so that goal will change or you'll look at your house is not fenced
[00:53:39.280 --> 00:53:39.280]   and so that goal will change or you'll look at your house is not fenced
[00:53:39.280 --> 00:53:39.280]   and so that goal will change or you'll look at your house is not fenced
[00:53:39.280 --> 00:53:39.280]   and so that goal will change or you'll look at your house is not fenced
[00:53:39.320 --> 00:54:09.300]  ,
[00:54:09.300 --> 00:54:09.300]   and so that goal will change or you'll look at your house is not fenced
[00:54:09.300 --> 00:54:09.300]   and so that goal will change or you'll look at your house is not fenced
[00:54:09.300 --> 00:54:09.300]   and so that goal will change or you'll look at your house is not fenced
[00:54:09.300 --> 00:54:09.300]   and so that goal will change or you'll look at your house is not fenced
[00:54:09.300 --> 00:54:09.300]   and so that goal will change or you'll look at your house is not fenced
[00:54:09.320 --> 00:54:39.320]   and so that goal will change or you'll look at your house is not fenced
[00:54:39.320 --> 00:54:39.320]   and so that goal will change or you'll look at your house is not fenced
[00:54:39.320 --> 00:54:39.320]   and so that goal will change or you'll look at your house is not fenced
[00:54:39.320 --> 00:54:39.320]   and so that goal will change or you'll look at your house is not fenced
[00:54:39.320 --> 00:54:39.320]   and so that goal will change or you'll look at your house is not fenced
[00:54:39.320 --> 00:54:39.320]   and so that goal will change or you'll look at your house is not fenced
[00:54:39.320 --> 00:54:39.320]   and so that goal will change or you'll look at your house is not fenced
[00:54:39.320 --> 00:54:39.320]   and so that goal will change or you'll look at your house is not fenced
[00:54:39.320 --> 00:54:39.320]   and so that goal will change or you'll look at your house is not fenced
[00:54:39.320 --> 00:54:39.320]   and so that goal will change or you'll look at your house is not fenced
[00:54:39.320 --> 00:54:39.320]   and so that goal will change or you'll look at your house is not fenced
[00:54:39.360 --> 00:55:09.340]  ,
[00:55:09.340 --> 00:55:09.340]   and so that goal will change or you'll look at your house is not fenced
[00:55:09.340 --> 00:55:09.340]   and so that goal will change or you'll look at your house is not fenced
[00:55:09.340 --> 00:55:09.340]   and so that goal will change or you'll look at your house is not fenced
[00:55:09.340 --> 00:55:09.340]   and so that goal will change or you'll look at your house is not fenced
[00:55:09.340 --> 00:55:09.340]   and so that goal will change or you'll look at your house is not fenced
[00:55:09.340 --> 00:55:09.340]   and so that goal will change or you'll look at your house is not fenced
[00:55:09.340 --> 00:55:09.340]   and so that goal will change or you'll look at your house is not fenced
[00:55:09.360 --> 00:55:39.360]   and so that goal will change or you'll look at your house is not fenced
[00:55:39.360 --> 00:55:39.360]   and so that goal will change or you'll look at your house is not fenced
[00:55:39.360 --> 00:55:39.360]   and so that goal will change or you'll look at your house is not fenced
[00:55:39.360 --> 00:55:39.360]   and so that goal will change or you'll look at your house is not fenced
[00:55:39.360 --> 00:55:39.360]   and so that goal will change or you'll look at your house is not fenced
[00:55:39.360 --> 00:55:39.360]   and so that goal will change or you'll look at your house is not fenced
[00:55:39.360 --> 00:55:39.360]   and so that goal will change or you'll look at your house is not fenced
[00:55:39.360 --> 00:55:39.360]   and so that goal will change or you'll look at your house is not fenced
[00:55:39.360 --> 00:55:39.360]   and so that goal will change or you'll look at your house is not fenced
[00:55:39.360 --> 00:55:39.360]   and so that goal will change or you'll look at your house is not fenced
[00:55:39.360 --> 00:55:39.360]   and so that goal will change or you'll look at your house is not fenced
[00:55:39.400 --> 00:56:09.380]  ,
[00:56:09.380 --> 00:56:09.380]   and so that goal will change or you'll look at your house is not fenced
[00:56:09.380 --> 00:56:09.380]   and so that goal will change or you'll look at your house is not fenced
[00:56:09.380 --> 00:56:09.380]   and so that goal will change or you'll look at your house is not fenced
[00:56:09.380 --> 00:56:09.380]   and so that goal will change or you'll look at your house is not fenced
[00:56:09.380 --> 00:56:09.380]   and so that goal will change or you'll look at your house is not fenced
[00:56:09.380 --> 00:56:09.380]   and so that goal will change or you'll look at your house is not fenced
[00:56:09.380 --> 00:56:09.380]   and so that goal will change or you'll look at your house is not fenced
[00:56:09.380 --> 00:56:09.380]   and so that goal will change or you'll look at your house is not fenced
[00:56:09.400 --> 00:56:39.400]   and so that goal will change or you'll look at your house is not fenced
[00:56:39.400 --> 00:56:39.400]   and so that goal will change or you'll look at your house is not fenced
[00:56:39.400 --> 00:56:39.400]   and so that goal will change or you'll look at your house is not fenced
[00:56:39.400 --> 00:56:39.400]   and so that goal will change or you'll look at your house is not fenced
[00:56:39.400 --> 00:56:39.400]   and so that goal will change or you'll look at your house is not fenced
[00:56:39.400 --> 00:56:39.400]   and so that goal will change or you'll look at your house is not fenced
[00:56:39.400 --> 00:56:39.400]   and so that goal will change or you'll look at your house is not fenced
[00:56:39.400 --> 00:56:39.400]   and so that goal will change or you'll look at your house is not fenced
[00:56:39.400 --> 00:56:39.400]   and so that goal will change or you'll look at your house is not fenced
[00:56:39.400 --> 00:56:39.400]   and so that goal will change or you'll look at your house is not fenced
[00:56:39.400 --> 00:56:39.400]   and so that goal will change or you'll look at your house is not fenced
[00:56:39.440 --> 00:57:09.420]   a
[00:57:09.420 --> 00:57:09.420]   and so that goal will change or you'll look at your house is not fenced
[00:57:09.420 --> 00:57:09.420]   and so that goal will change or you'll look at your house is not fenced
[00:57:09.420 --> 00:57:09.420]   and so that goal will change or you'll look at your house is not fenced
[00:57:09.420 --> 00:57:09.420]   and so that goal will change or you'll look at your house is not fenced
[00:57:09.420 --> 00:57:09.420]   and so that goal will change or you'll look at your house is not fenced
[00:57:09.420 --> 00:57:09.420]   and so that goal will change or you'll look at your house is not fenced
[00:57:09.420 --> 00:57:09.420]   and so that goal will change or you'll look at your house is not fenced
[00:57:09.420 --> 00:57:09.420]   and so that goal will change or you'll look at your house is not fenced
[00:57:09.440 --> 00:57:39.440]   and so that goal will change or you'll look at your house is not fenced
[00:57:39.440 --> 00:57:39.440]   and so that goal will change or you'll look at your house is not fenced
[00:57:39.440 --> 00:57:39.440]   and so that goal will change or you'll look at your house is not fenced
[00:57:39.440 --> 00:57:39.440]   and so that goal will change or you'll look at your house is not fenced
[00:57:39.440 --> 00:57:39.440]   and so that goal will change or you'll look at your house is not fenced
[00:57:39.440 --> 00:57:39.440]   and so that goal will change or you'll look at your house is not fenced
[00:57:39.440 --> 00:57:39.440]   and so that goal will change or you'll look at your house is not fenced
[00:57:39.440 --> 00:57:39.440]   and so that goal will change or you'll look at your house is not fenced
[00:57:39.440 --> 00:57:39.440]   and so that goal will change or you'll look at your house is not fenced
[00:57:39.440 --> 00:57:39.440]   and so that goal will change or you'll look at your house is not fenced
[00:57:39.440 --> 00:57:39.440]   and so that goal will change or you'll look at your house is not fenced
[00:57:39.440 --> 00:58:09.460]  ,
[00:58:09.460 --> 00:58:09.460]   and so that goal will change or you'll look at your house is not fenced
[00:58:09.460 --> 00:58:09.460]   and so that goal will change or you'll look at your house is not fenced
[00:58:09.460 --> 00:58:09.460]   and so that goal will change or you'll look at your house is not fenced
[00:58:09.460 --> 00:58:09.460]   and so that goal will change or you'll look at your house is not fenced
[00:58:09.460 --> 00:58:09.460]   and so that goal will change or you'll look at your house is not fenced
[00:58:09.460 --> 00:58:09.460]   and so that goal will change or you'll look at your house is not fenced
[00:58:09.460 --> 00:58:09.460]   and so that goal will change or you'll look at your house is not fenced
[00:58:09.480 --> 00:58:39.480]   and so that goal will change or you'll look at your house is not fenced
[00:58:39.480 --> 00:58:39.480]   and so that goal will change or you'll look at your house is not fenced
[00:58:39.480 --> 00:58:39.480]   and so that goal will change or you'll look at your house is not fenced
[00:58:39.480 --> 00:58:39.480]   and so that goal will change or you'll look at your house is not fenced
[00:58:39.480 --> 00:58:39.480]   and so that goal will change or you'll look at your house is not fenced
[00:58:39.480 --> 00:58:39.480]   and so that goal will change or you'll look at your house is not fenced
[00:58:39.480 --> 00:58:39.480]   and so that goal will change or you'll look at your house is not fenced
[00:58:39.480 --> 00:58:39.480]   and so that goal will change or you'll look at your house is not fenced
[00:58:39.480 --> 00:58:39.480]   and so that goal will change or you'll look at your house is not fenced
[00:58:39.480 --> 00:58:39.480]   and so that goal will change or you'll look at your house is not fenced
[00:58:39.480 --> 00:58:39.480]   and so that goal will change or you'll look at your house is not fenced
[00:58:39.520 --> 00:59:09.500]  ,
[00:59:09.500 --> 00:59:09.500]   and so that goal will change or you'll look at your house is not fenced
[00:59:09.500 --> 00:59:09.500]   and so that goal will change or you'll look at your house is not fenced
[00:59:09.500 --> 00:59:09.500]   and so that goal will change or you'll look at your house is not fenced
[00:59:09.500 --> 00:59:09.500]   and so that goal will change or you'll look at your house is not fenced
[00:59:09.500 --> 00:59:09.500]   and so that goal will change or you'll look at your house is not fenced
[00:59:09.500 --> 00:59:09.500]   and so that goal will change or you'll look at your house is not fenced
[00:59:09.500 --> 00:59:09.500]   and so that goal will change or you'll look at your house is not fenced
[00:59:09.500 --> 00:59:09.500]   and so that goal will change or you'll look at your house is not fenced
[00:59:09.520 --> 00:59:39.520]   and so that goal will change or you'll look at your house is not fenced
[00:59:39.520 --> 00:59:39.520]   and so that goal will change or you'll look at your house is not fenced
[00:59:39.520 --> 00:59:39.520]   and so that goal will change or you'll look at your house is not fenced
[00:59:39.520 --> 00:59:39.520]   and so that goal will change or you'll look at your house is not fenced
[00:59:39.520 --> 00:59:39.520]   and so that goal will change or you'll look at your house is not fenced
[00:59:39.520 --> 00:59:39.520]   and so that goal will change or you'll look at your house is not fenced
[00:59:39.520 --> 00:59:39.520]   and so that goal will change or you'll look at your house is not fenced
[00:59:39.520 --> 00:59:39.520]   and so that goal will change or you'll look at your house is not fenced
