
[00:00:00.000 --> 00:00:04.640]   I've spent hundreds of hours figuring out the right credit cards to maximize the value I get
[00:24:08.380 --> 00:24:13.260]   fee. It doesn't really affect us. We wouldn't get a lot of benefit from canceling it or keeping it.
[00:24:13.260 --> 00:24:17.580]   So as long as we're getting some elevated points on phone and office supply, why not keep it even if we
[00:24:17.580 --> 00:24:23.500]   don't spend a lot in those categories? All right, Amex. Gold card, 4x on dining and grocery. We spend a ton
[00:24:23.500 --> 00:24:28.780]   in those categories. Absolutely keeping the card. We can make pretty good use out of the credits such that
[00:24:28.780 --> 00:24:32.700]   it's definitely a positive ROI. We do have two platinum cards. I think we probably opened the
[00:24:32.700 --> 00:24:38.540]   second one for a large welcome bonus, but kept it because they removed guest access for the Centurion
[00:24:38.540 --> 00:24:43.980]   Lounge and we wanted to have the ability to be able to go as a family or at least Amy and I go and get in.
[00:24:43.980 --> 00:24:47.820]   Now that our children are old enough, they either need their own card, which they're not old enough
[00:24:47.820 --> 00:24:54.380]   for, or you have to spend $75,000 on an Amex platinum card in order to get guest access.
[00:24:54.380 --> 00:24:59.340]   We actually did that this year on one of the business cards. And so it's not necessary to
[00:24:59.340 --> 00:25:04.460]   keep both of these TBD on whether we cancel one or not. We've been pretty good at getting value out of
[00:25:04.460 --> 00:25:09.740]   the perks. So we'll see what that looks like. Maybe what a retention offer looks like and make a call.
[00:25:09.740 --> 00:25:16.620]   Next is the Bonvoy Brilliant card. I am two years away, or I guess one year after this one from lifetime
[00:25:16.620 --> 00:25:23.260]   platinum on Marriott. So it made sense to upgrade to this card. It has a higher annual fee, but it gets me
[00:25:23.260 --> 00:25:28.620]   platinum for the year, which counts towards the last two years I need to hit lifetime platinum.
[00:25:28.620 --> 00:25:33.580]   So definitely keeping this card at least through next year. On the Hilton side, we have two Hilton
[00:25:33.580 --> 00:25:38.220]   Aspire cards that we will keep as long as they keep delivering an annual free night certificate,
[00:25:38.220 --> 00:25:41.740]   because we've been able to get tremendous value from these free night certificates,
[00:25:41.740 --> 00:25:46.300]   especially when you layer on the fact that the card comes with free diamond status on Hilton,
[00:25:46.300 --> 00:25:52.140]   which is their top tier of status. And we've been able to get free nights at the Caprocot in
[00:25:52.140 --> 00:25:56.700]   Mallorca, which was running at about $3,000 a night. We just used some free nights at the
[00:25:56.700 --> 00:26:01.420]   Waldorf Astoria that just opened in Costa Rica, which is running over $1,000 a night. So we get
[00:26:01.420 --> 00:26:06.620]   a ton of value from these free night certificates. Next is the Delta Business Platinum card. This is
[00:26:06.620 --> 00:26:12.700]   one that had a huge, I think it was 100 or 110,000 point signup bonus this year. Opened it not just for
[00:26:12.700 --> 00:26:18.460]   the signup bonus, but because we get free check bags on Delta, which we usually fly about once or twice a
[00:26:18.460 --> 00:26:24.620]   year, you get a free companion certificate, and you get 15% off anytime you're using your miles to book
[00:26:24.620 --> 00:26:31.260]   flights. So it pays dividends this year and years to come anytime you're trying to use your Delta miles.
[00:26:31.260 --> 00:26:35.500]   So if you figure we have a few hundred thousand Delta points, or at least I do in my account,
[00:26:35.500 --> 00:26:40.940]   because the benefit only applies to the account of the primary cardholder that makes all of my Delta
[00:26:40.940 --> 00:26:46.380]   miles more valuable. Also on the business side, we've got a couple of business Platinums and a couple
[00:26:46.380 --> 00:26:51.180]   business golds. And we probably don't need all of these though. We've gotten a few mailers in the
[00:26:51.180 --> 00:26:56.300]   mail offering some really great welcome bonuses, which led me and Amy to sign up for each of them.
[00:26:56.300 --> 00:27:01.180]   So not sure what we'll do with the business Platinums. They do have some changes to the perks.
[00:27:01.180 --> 00:27:05.820]   And I expect that as the Dell perks have gotten devalued, maybe in the second half of the year,
[00:27:05.820 --> 00:27:10.780]   we'll see something new, which will help us decide whether they actually make sense to hang on to.
[00:27:10.780 --> 00:27:15.740]   On the business gold side, the Forex points in a bunch of different categories,
[00:27:15.740 --> 00:27:20.140]   you get it in the top two categories you spend in. We've actually been able to get some decent value
[00:27:20.140 --> 00:27:25.980]   from that. So as long as we're able to get enough value to cover the annual fee, we'll probably keep
[00:27:25.980 --> 00:27:27.580]   them. If not, we'll drop them.
[00:27:27.580 --> 00:27:33.020]   Last two, we don't actually use that much. One is the Bonvoy business card, got it a long time ago because
[00:27:33.020 --> 00:27:37.820]   I was pretty excited about Marriott. We were trying to stay there more and more. And this
[00:27:37.820 --> 00:27:44.460]   helped give us 15 extra elite nights towards status each year. But this year we're not staying nearly
[00:27:44.460 --> 00:27:48.700]   enough that we're even going to get to any number of elite nights that give us status. And we're
[00:27:48.700 --> 00:27:53.100]   actually relying on the Bonvoy brilliant card to just get that status as one of the benefits.
[00:27:53.100 --> 00:27:58.060]   So I think you could view this card as we pay an annual fee to get a free night certificate,
[00:27:58.060 --> 00:28:03.820]   but I think it's capped at 35,000 points and we haven't had a ton of great use for those one-off
[00:28:03.820 --> 00:28:08.140]   low value certificates. If we are able to use it, then we probably get more than the annual fee of
[00:28:08.140 --> 00:28:13.180]   value. So it's probably a wash, but it's not a card that, you know, I'm not excited to be using that
[00:28:13.180 --> 00:28:17.740]   often. And then last, I have an Amex blue card that I've held for 20 plus years. I think it's my
[00:28:17.740 --> 00:28:22.060]   oldest card that I still have open. So I'll probably keep putting a couple of charges on that card
[00:28:22.060 --> 00:28:27.820]   every year just to make sure it stays open. Capital one, we opened two Venture X cards when
[00:28:27.820 --> 00:28:31.820]   they had a hundred thousand point welcome offer when they launched it have been using them a ton
[00:28:31.820 --> 00:28:37.020]   for two X points. I talked earlier about why we've moved some of that to cash back.
[00:28:37.020 --> 00:28:40.940]   Definitely. We'll keep one of these around, but probably don't need two of them, especially
[00:28:40.940 --> 00:28:45.180]   because capital one makes it really easy to move their miles from one card member to the other,
[00:28:45.180 --> 00:28:46.700]   even if you don't live in the same household.
[00:28:46.700 --> 00:28:52.540]   Also have a spark cash plus card that I opened on the business side, had a really big welcome offer,
[00:28:52.540 --> 00:28:57.580]   and we actually put a ton of spend on it even beyond the welcome offer just to get 2% back on
[00:28:57.580 --> 00:29:02.700]   everything. But as things have changed, I feel like there's more lucrative ways to earn points,
[00:29:02.700 --> 00:29:08.140]   miles and cash back than just 2%. So this is one where I haven't really been using it much at all,
[00:29:08.140 --> 00:29:12.380]   and probably just time for us to part ways. New addition this year is Bank of America,
[00:29:12.380 --> 00:29:18.060]   we've actually have four new cards, and three of them are all tied to their cashback platinum honor
[00:29:18.060 --> 00:29:25.020]   status. And so for those not familiar, if you're able to deposit $100,000 in a Bank of America account,
[00:29:25.020 --> 00:29:29.340]   or a Merrill Lynch account, it can be a self-directed brokerage account. So you can just move over some
[00:29:29.340 --> 00:29:34.380]   stocks, you can move over an old Roth IRA or anything like that. They multiply the earnings of
[00:29:34.380 --> 00:29:40.940]   the card by 1.75. They have tiers below that as well, that if you can only put $25,000 or $50,000,
[00:29:40.940 --> 00:29:45.580]   you'll still get rewarded, but not as much if you can meet the $100,000 requirement.
[00:29:45.580 --> 00:29:51.340]   And so the premium rewards elite card is the consumer version that we have. And because of
[00:29:51.340 --> 00:29:57.420]   that platinum honor status, and because we use the points that we earn from that card for a 25%
[00:29:57.420 --> 00:30:05.740]   boost to book travel, that card is effectively a 3.28% card on everything we spend, and then a 4.4%
[00:30:05.740 --> 00:30:11.660]   card on travel and dining. Now it's marketed as a 1.5x on everything, 2x on travel and dining. But when you
[00:30:11.660 --> 00:30:17.660]   multiply each of those by 1.75 for the platinum honor status, and then you multiply them by 1.25,
[00:30:17.660 --> 00:30:22.860]   because we can use the points we earn to book flights for a boosted value, that's where I get
[00:30:22.860 --> 00:30:27.660]   to those numbers. So that's a nice cashback everyday driver for a lot of the spend we do.
[00:30:27.660 --> 00:30:33.740]   On the business side, we've got the travel rewards card, which is the same thing on the everything
[00:30:33.740 --> 00:30:38.380]   spend, but doesn't have any boost for travel and dining. But you can transfer those business travel
[00:30:38.380 --> 00:30:43.580]   rewards points over to the premium rewards elite and use them for booking travel as well. And then
[00:30:43.580 --> 00:30:50.780]   we've got the customized cash business card, which is, I think it's 3x base earning on up to $50,000 a
[00:30:50.780 --> 00:30:55.900]   year in the category of your choice, of which there's a couple categories we spend that much
[00:30:55.900 --> 00:31:02.140]   or more on. And then when you multiply by platinum honors, you get up to 5.25% back for a no annual
[00:31:02.140 --> 00:31:07.500]   fee card, definitely pays for itself every year. And then we opened an Alaska business card this year,
[00:31:07.500 --> 00:31:12.700]   primarily because we've been flying Alaska a lot more, and I was gonna go for Alaska status. And so
[00:31:12.700 --> 00:31:17.260]   this card helps that. Also, you get an annual companion certificate, free check bags, and they
[00:31:17.260 --> 00:31:21.580]   had a 75,000 point welcome offer, which was interesting. But I'll talk a little bit in a
[00:31:21.580 --> 00:31:26.140]   few minutes with Citi about why maybe I'm not going for Alaska status, even though we're flying Alaska.
[00:31:26.140 --> 00:31:31.020]   We also opened two US bank altitude reserves when there was a rumor that the card was getting shut
[00:31:31.020 --> 00:31:36.380]   down. Since you can't have this card anymore, I won't talk about it too much. They might in the future
[00:31:36.380 --> 00:31:43.740]   let you product change other cards to it. But effectively, it is a 3x card or a 3% cashback card
[00:31:43.740 --> 00:31:49.340]   on mobile pay like Apple pay and travel because they have this real time rewards program where
[00:31:49.340 --> 00:31:54.860]   if you make a travel purchase, you can pay that travel purchase off with your rewards at a rate
[00:31:54.860 --> 00:32:02.300]   of 1 point to 1.5 cents. It's actually effectively a 4.5% cashback card on mobile wallet and travel,
[00:32:02.300 --> 00:32:06.860]   which is pretty compelling, doesn't even require you to book flights in their portal or anything
[00:32:06.860 --> 00:32:11.100]   like that. It's really a great card for us for mobile wallet spend. And for us, that's a lot of
[00:32:11.100 --> 00:32:17.420]   Costco and anywhere else that's kind of an alternative to 2x points. Over at Citi, I think there were 75,000
[00:32:17.420 --> 00:32:21.980]   point and mile welcome bonuses on both of these cards, which led me to open them up on the same day.
[00:32:21.980 --> 00:32:26.460]   The Citi premiere on the consumer side, which not only had a nice welcome bonus, but I've been excited
[00:32:26.460 --> 00:32:30.620]   to get into the Citi ecosystem. As I mentioned last month in the Citi episode,
[00:32:30.620 --> 00:32:38.540]   not to mention it's a card that earns 3x on flights, hotels, gas, groceries, and dining. So
[00:32:38.540 --> 00:32:44.140]   good all around spend card, especially if someone's just looking for a one single card for a lot of
[00:32:44.140 --> 00:32:50.460]   bonus categories, but I'm using it off and on just to kind of get to a point of Citi points that I have
[00:32:50.460 --> 00:32:54.860]   enough to use on a redemption so that I could kind of get a taste of what it's like to be able to use
[00:32:54.860 --> 00:33:00.540]   a few of the transfer partners that are unique to Citi. On the American side, we opened the Advantage
[00:33:00.540 --> 00:33:07.020]   business card, and I'm using it for a lot of other spending. And granted, those categories could
[00:33:07.020 --> 00:33:13.740]   otherwise earn, you know, 2x points or 2.625% cash back. And instead, I'm just getting one American mile.
[00:33:13.740 --> 00:33:20.060]   However, I'm also getting one loyalty point, which is how they track status and the nature of this card and
[00:33:20.060 --> 00:33:25.260]   a promotion they have this year. We're getting one loyalty point on the employee card, which Amy works
[00:33:25.260 --> 00:33:29.340]   at the company and she has an employee card. So she's getting a loyalty point and me as the primary
[00:33:29.340 --> 00:33:35.260]   cardholder are. So it's helping not only earn points that you can redeem, but earn status for both of us.
[00:33:35.260 --> 00:33:42.300]   And so there is a value to that. In fact, I think for us, earning status on American is even more valuable
[00:33:42.300 --> 00:33:49.740]   for flying on Alaska than earning status on Alaska, because we can actually earn a higher tier of status
[00:33:49.740 --> 00:33:54.620]   here than we could using just the Alaska card. So exciting to be in the Citi ecosystem this year.
[00:33:54.620 --> 00:34:00.140]   Next is the built card. And that's really the last credit card that I have in my wallet. I know it's a
[00:34:00.140 --> 00:34:07.020]   lot, but despite that we do not rent, the interesting thing about the built card is that they have been
[00:34:07.020 --> 00:34:12.620]   constantly doing promotions on their rent day, which is the first of the month that allow you with built
[00:34:12.620 --> 00:34:17.420]   status to transfer to their transfer partners, which by the way, I think they have the best lineup of
[00:34:17.420 --> 00:34:21.340]   transfer partners. If you could convert all my other points to built points, I would be stoked.
[00:34:21.340 --> 00:34:27.660]   And on rent day, they've had 100% transfer bonuses to Air France, Air Canada, Avianca Life Miles,
[00:34:27.660 --> 00:34:32.300]   British Airways, Avios. And those are all programs we've booked flights from in the last year.
[00:34:32.300 --> 00:34:38.460]   So if every built point I've earned, I've been able to redeem one to two, meaning twice as many points,
[00:34:38.460 --> 00:34:45.260]   then the fact that the built card is only earning 3x on dining and 2x on travel, which is not too different
[00:34:45.260 --> 00:34:49.900]   from other cards, though, keep in mind, no annual fee card, which is awesome. And if you rent up to
[00:34:49.900 --> 00:34:57.500]   100,000 points paying your rent with no fee, amazing. But earning 3x on dining, if your points
[00:34:57.500 --> 00:35:01.980]   are always transferring at one to two is kind of like earning 6x on dining, and it's kind of like
[00:35:01.980 --> 00:35:07.820]   earning 4x on travel. And at that rate, it's a card that I'm pretty compelled to spend on at least to
[00:35:07.820 --> 00:35:12.220]   get to the point that I maintain that platinum status. So those points continue to be worth that much.
[00:35:13.260 --> 00:35:16.940]   Only other card we have is a target red card. Technically, it's a debit card. So it probably
[00:35:16.940 --> 00:35:21.740]   shouldn't be in here. It does earn 5% back, which is pretty good for a debit card, at least on target
[00:35:21.740 --> 00:35:28.380]   purchases. But we've been able to at least recently get target gift cards for slightly less than 5% off
[00:35:28.380 --> 00:35:32.220]   that we've been spending a lot of money at target just using target gift cards instead of the debit
[00:35:32.220 --> 00:35:37.020]   card. But it's a debit card, it doesn't impact your credit, it has no annual fee. So there's no real
[00:35:37.020 --> 00:35:41.260]   downside to keeping it. So now that I ran through all the cards I have, I talked a little about what I want to
[00:35:41.260 --> 00:35:46.460]   do with them. Let's talk about the major categories. Now, this episode is not meant to be the definitive
[00:35:46.460 --> 00:35:52.540]   guide to the best card in every single category. It doesn't include a lot of cards that have 5 to 6x
[00:35:52.540 --> 00:35:59.980]   points in those categories if it's capped at $500 a month or $1,500 a quarter, because in a lot of cases,
[00:35:59.980 --> 00:36:06.300]   the ROI of opening up a card for an extra 6000 points a year just doesn't make sense. Obviously,
[00:36:06.300 --> 00:36:10.620]   if you downgrade to that card, and you've already had it open and has no annual fee, why not? But those
[00:36:10.620 --> 00:36:15.100]   are cards that I'm usually not going to consider opening up for new, especially because they
[00:36:15.100 --> 00:36:19.260]   usually have lower welcome bonuses. So that's why they're not here. So what I'm going to do is run
[00:36:19.260 --> 00:36:24.380]   through the categories, talk about how I landed on the card I have and what some good alternatives are,
[00:36:24.380 --> 00:36:28.620]   just to kind of showcase my process here. So I'll start with dining, it's probably one of our biggest
[00:36:28.620 --> 00:36:36.220]   categories that we spend money on. And we use primarily the Amex gold at 4x points. But we have probably more
[00:36:36.220 --> 00:36:42.860]   than any other category, a lot of backups, the Chase Reserve, the Freedom Flex, the Freedom Unlimited,
[00:36:42.860 --> 00:36:48.380]   the Built Card, all those cards are earning 3x points. If we didn't have those, you could also
[00:36:48.380 --> 00:36:52.940]   earn the same 3x points with the Chase Preferred, with the Wells Fargo Autograph and Autograph Journey
[00:36:52.940 --> 00:36:56.700]   cards, the Amex Green, the Capital One Saver. So there are a lot of options there.
[00:36:56.700 --> 00:37:02.380]   And then if we wanted the cash back, depends on the mood, I guess. I'm still trying to grapple with
[00:37:02.380 --> 00:37:07.580]   this experiment where I told myself I'd spend money on cards with cash back this year to see how it
[00:37:07.580 --> 00:37:12.540]   feels. So stay tuned towards the end of the year when I can debrief on my feelings after doing that
[00:37:12.540 --> 00:37:17.100]   for a year. But on the cash back side, you've got the Bank of America Premium Rewards Elite card,
[00:37:17.100 --> 00:37:22.300]   which because I use those points spent on dining for flights ends up being about a 4.4%
[00:37:23.020 --> 00:37:29.020]   back card on dining. Now, would I rather have 4 Amex points or 4.4 cents? Probably the Amex points,
[00:37:29.020 --> 00:37:36.300]   but not a bad card for dining. Next is Groceries. And similarly, I'm still using the 4x Gold card,
[00:37:36.300 --> 00:37:41.500]   but good alternatives in my wallet are the City Premier at 3x points. And I don't have this card,
[00:37:41.500 --> 00:37:45.580]   but the Saver card at 3x points as well. And then also, I forgot to mention this in dining,
[00:37:45.580 --> 00:37:50.220]   but if you're a Verizon customer and you want cash back, the Verizon card I think earns 4%
[00:37:50.220 --> 00:37:55.020]   on gas, groceries and dining uncapped. So that's an interesting one if you're a Verizon customer,
[00:37:55.020 --> 00:37:59.580]   though I would argue if you're a Verizon customer, you're probably spending way more on your phone
[00:37:59.580 --> 00:38:05.020]   bill than an alternative carrier that probably doesn't make up for the extra cash back from that card.
[00:38:05.020 --> 00:38:10.220]   When it comes to travel, there's a bunch of categories within travel and not every card
[00:38:10.220 --> 00:38:17.500]   hits them all. So I'll start with the broad all/ other non-flight hotel travel. And in that category,
[00:38:17.500 --> 00:38:23.900]   I think the Chase Sapphire Reserve at 3x and the US Bank Altitude Reserve at 4.5% are pretty interesting.
[00:38:23.900 --> 00:38:28.380]   And they're probably my primary go-to's. But if I had a lot of spend in this category,
[00:38:28.380 --> 00:38:33.420]   and for whatever reason, I didn't want those cards, getting 3x at Wells Fargo with the Autograph
[00:38:33.420 --> 00:38:37.580]   Autograph Journey cards is interesting, though there are limited uses for their points because they have a
[00:38:37.580 --> 00:38:43.340]   smaller number of transfer partners. And then also, as I'm saying this, I'm wondering if given the value
[00:38:43.340 --> 00:38:48.860]   I've gotten from transferring built points, yes, it's a 2x travel. But if those 2x are worth 4x,
[00:38:48.860 --> 00:38:52.300]   then it would kind of accelerate it to be the primary travel card I should use.
[00:38:52.300 --> 00:38:56.220]   So I'm actually questioning my strategy, and I might shift it after this moment.
[00:38:56.220 --> 00:39:00.620]   The Amex green card also does 3x on travel. So that's interesting if you want to stay in the Amex
[00:39:00.620 --> 00:39:05.100]   ecosystem. And then on the cashback card, the premium rewards elite card is still, again,
[00:39:05.100 --> 00:39:10.300]   3.5% back on travel if you have platinum honors. And then if you use it for flights, it can be all
[00:39:10.300 --> 00:39:17.980]   the way up to 4.4%. On flights, I think that there's a hands-down winner that's the platinum
[00:39:17.980 --> 00:39:23.980]   card where book a flight directly with airlines, you get 5x points. I have been asked to think about
[00:39:23.980 --> 00:39:28.780]   whether it's worth not getting the travel protections I would get if I were on another
[00:39:28.780 --> 00:39:34.860]   card. And so that's a really important consideration when you're booking travel is how important are
[00:39:34.860 --> 00:39:39.580]   those travel protections in case you have flight delays, canceled flights, lost bags. So that's
[00:39:39.580 --> 00:39:46.300]   something that I will give more credence to in a future episode. On the hotel side, I'm typically
[00:39:46.300 --> 00:39:52.860]   using the co-brand cards I have for those hotel chains. But outside of that, it's either the city
[00:39:52.860 --> 00:39:58.860]   premier card, which earns 3x on hotels. If I were spending a ton on hotels, I would consider the
[00:39:58.860 --> 00:40:04.620]   autographed journey card, which is 5x on hotels. And then outside of those, it's just whatever kind
[00:40:04.620 --> 00:40:09.420]   of all travel card. On rental cars, I'm always using the Chase Sapphire Reserve. It has excellent
[00:40:09.420 --> 00:40:13.660]   rental car coverage. It's primary coverage. It earns 3x points. And I didn't mention that before
[00:40:13.660 --> 00:40:18.540]   when I went through that card. But I don't rent enough cards that I'd necessarily say like,
[00:40:18.540 --> 00:40:23.900]   that's the card that I should definitely have. And it's worth the annual fee just for the rental
[00:40:23.900 --> 00:40:29.180]   car coverage. But it is a nice add on that I have one, my wife has one. If we're renting cars,
[00:40:29.180 --> 00:40:34.380]   we're always using that card. This episode is brought to you by Gelt. Now, when it comes to building wealth,
[00:40:34.380 --> 00:40:40.620]   taxes are such a big part of the strategy. And as tax time gets closer, getting prepared now is so
[00:40:40.620 --> 00:40:45.740]   important. And now that I'm working with Gelt, I finally feel like I have a partner I can trust to handle
[00:40:45.740 --> 00:40:51.420]   everything for my personal and business taxes. You can think of Gelt as the ultimate modern CPA.
[00:40:51.420 --> 00:40:55.820]   Of course, they have an in-house team of expert CPAs to work with who can help you determine the
[00:40:55.820 --> 00:41:01.340]   most effective tax strategies to minimize risk and grow your wealth. But they also have an amazing
[00:41:01.340 --> 00:41:06.860]   tech platform that gives you personalized guidance to maximize deductions, tax credits, and savings.
[00:41:06.860 --> 00:41:12.140]   Beyond that, the tax library you get access to as a client has dozens of in-depth guides on things
[00:41:12.140 --> 00:41:18.540]   like choosing retirement plans, taxes for parents, qualified business income or QBI, and much more.
[00:41:18.540 --> 00:41:24.140]   So if you're ready for a more premium, proactive tax strategy to optimize and file your taxes,
[00:41:24.140 --> 00:41:29.740]   definitely check out Gelt. And as a viewer, you can skip the waitlist. Just head to
[00:41:29.740 --> 00:41:36.460]   chrishutchins.com/gelt, G-E-L-T. Again, that's chrishutchins.com/gelt, or find the link in the
[00:41:36.460 --> 00:41:42.060]   description to stop overpaying on taxes. This episode is brought to you by Thrive Market.
[00:41:42.060 --> 00:41:45.420]   You know that feeling when you're standing in the grocery store, staring at labels,
[00:41:45.420 --> 00:41:49.820]   trying to figure out what's actually healthy, but that ingredient list is so confusing?
[00:41:49.820 --> 00:41:54.700]   With two young kids, we are constantly trying to make sure the whole family eats clean, healthy food,
[00:41:54.700 --> 00:41:59.100]   but it can be a lot of work to make that happen. And that's why I love Thrive Market.
[00:41:59.100 --> 00:42:04.380]   They're my go-to online grocery store for getting healthy essentials delivered straight to our door
[00:42:04.380 --> 00:42:08.940]   without ever having to leave the house. Unfortunately, there are over 10,000 food
[00:42:08.940 --> 00:42:13.820]   additives allowed in the US, and it's hard to know what's actually safe. So I love that Thrive Market
[00:42:13.820 --> 00:42:19.100]   bans over a thousand harmful ingredients. Their team does all the hard work and makes sure every
[00:42:19.100 --> 00:42:23.660]   product meets high quality clean standards. For example, one product we love from Thrive
[00:42:23.660 --> 00:42:28.620]   is Simple Mills. We feel so good giving it to our kids. Their sea salt almond flour crackers are
[00:42:28.620 --> 00:42:34.300]   fantastic, but lately I just can't stop snacking on their sweet thins. Also, Thrive Market has
[00:42:34.300 --> 00:42:39.100]   tons of filters so you can easily shop by whatever you need. Whether you want to find what's on sale,
[00:42:39.100 --> 00:42:43.820]   you're looking for gluten-free snacks, or you want some high-protein meals. I especially love
[00:42:43.820 --> 00:42:49.740]   that last one because I find the more protein I get, the less likely I am to binge on those Simple Mills
[00:42:49.740 --> 00:42:57.100]   sweet thins. Ready to make the switch? Head to chrishutchins.com/thrivemarket to get 30% off your
[00:42:57.100 --> 00:43:02.780]   first order plus a free $60 gift. Now, notice I didn't mention anything about the travel portal earnings.
[00:43:02.780 --> 00:43:08.860]   Depending on your card, you might get 10x on hotels booking with the Venturex or the Chase Reserve card
[00:43:08.860 --> 00:43:14.940]   in your Chase travel portal, or 5x on flights. Or in Citi, you can get 10x on hotels, and built you get
[00:43:14.940 --> 00:43:20.780]   plus 1x points, and the platinum is 5x on hotels, and there's all these bonuses in the travel portals.
[00:43:20.780 --> 00:43:24.860]   Now, what I want to say about travel portals, I typically don't love booking in the travel portal,
[00:43:24.860 --> 00:43:30.300]   because on the hotel side, the hotels are usually booked through like Expedia or some other back-end
[00:43:30.300 --> 00:43:36.540]   engine that does not give you credit for the elite nights, doesn't give your status any perks, and really
[00:43:36.540 --> 00:43:42.140]   puts you at the very bottom rung of the ladder in the eyes of the hotel. And so, the last thing I want
[00:43:42.140 --> 00:43:46.620]   to do is go to a hotel and get no perks, no benefits, no treatment, and if they're going
[00:43:46.620 --> 00:43:51.260]   to have to walk someone, it's going to be whoever booked in that travel portal. So, if I'm booking
[00:43:51.260 --> 00:43:56.780]   at a boutique hotel where there's absolutely no way to get elite nights or perks or benefits or anything
[00:43:56.780 --> 00:44:03.340]   like that, maybe it's fine. Maybe I'd go for the 10x points over something else, and I think it's
[00:44:03.340 --> 00:44:09.020]   probably worth the trade-off in that point. On the flight side, the challenge, and this is also true
[00:44:09.020 --> 00:44:13.260]   on the hotel side, is you often can't manage any of the bookings you've made in a portal
[00:44:13.260 --> 00:44:17.580]   directly with the hotel. You can't reach out to the hotel or the airline for that matter and say,
[00:44:17.580 --> 00:44:21.660]   "Hey, can we manage this booking?" They usually defer and say, "Hey, actually go back to where
[00:44:21.660 --> 00:44:27.020]   you booked it." And that can be a pain when you're trying to deal with last-minute changes, and you have
[00:44:27.020 --> 00:44:33.100]   to wait on hold for Amex Travel to answer, which I've been in a circumstance where me and another person
[00:44:33.100 --> 00:44:37.660]   booked the same flight, and we were trying to cancel it, and I booked directly with the airline, and it took
[00:44:37.660 --> 00:44:41.820]   me seconds because we were already at the airport, and I just went to the desk and said, "Can we cancel
[00:44:41.820 --> 00:44:45.660]   it?" And they were on hold trying to figure out how to get this done because they'd already checked in.
[00:44:45.660 --> 00:44:50.140]   However, there's this thing called NDC, New Distribution Capability, and it's a technology
[00:44:50.140 --> 00:44:58.140]   within travel booking that is allowing you to book through travel portals in a way that shows up as if
[00:44:58.140 --> 00:45:03.340]   you're booking directly from the airline. And so you actually are able to manage your flight with
[00:45:03.340 --> 00:45:07.980]   the airline. You're able to cancel through the airline. You get all the same benefits as if you
[00:45:07.980 --> 00:45:13.100]   booked through the airline. And not every airline supports it, though I think the primary airlines in
[00:45:13.100 --> 00:45:19.340]   the U.S. except Delta do, but also most travel portals don't. However, the Built Travel Portal does.
[00:45:19.340 --> 00:45:25.660]   And so as that comes online more and more, I would have no qualms booking every single flight
[00:45:25.660 --> 00:45:30.380]   through the Built Travel Portal get an extra built point for a United flight. Now, I wouldn't do it for
[00:45:30.380 --> 00:45:35.100]   a Delta flight where it might be difficult to manage because they don't have NDC. And my understanding is
[00:45:35.100 --> 00:45:41.020]   built in the process of trying to make it easier for you to know which ones of those bookings are getting
[00:45:41.020 --> 00:45:47.500]   booked through NDC so you have that treatment versus not. And I hope all these portals adopt it. If they do,
[00:45:47.500 --> 00:45:53.100]   you will see me booking all my flights in the portals for elevated earnings. But earning a few
[00:45:53.100 --> 00:45:57.500]   extra points on a flight isn't worth the hassle of not being able to manage that flight directly with
[00:45:57.500 --> 00:46:03.020]   the airline. So as I know which portals can do this, I'm down to do it. But until then,
[00:46:03.020 --> 00:46:08.140]   I'm kind of holding off until I know exactly how it will work. Next spend category is Costco. We're
[00:46:08.140 --> 00:46:12.860]   probably using our U.S. Bank Altitude Reserve card. But since that card is not open, another card that's
[00:46:12.860 --> 00:46:18.300]   interesting is the Venmo card. Because I think in their grocery category, it also includes
[00:46:18.300 --> 00:46:23.740]   wholesale clubs and it's 3% cash back on everything. So obviously, you can't get the U.S. Bank Altitude
[00:46:23.740 --> 00:46:30.140]   Reserve card anymore. But 3% back at wholesale clubs and groceries is pretty compelling, especially if you
[00:46:30.140 --> 00:46:35.980]   want to start a budding Costco gold enterprise. Obviously, you could use the Bank of America cards and
[00:46:35.980 --> 00:46:41.260]   earn cash back there as well. On the points and miles side, I think your best option here is
[00:46:41.260 --> 00:46:49.180]   2x points from the Capital One Venture card. On phone spending, the in cash is 5x. On the consumer
[00:46:49.180 --> 00:46:54.780]   side, I wouldn't actually focus on the card that earns you the most points with your phone. And
[00:46:54.780 --> 00:46:59.660]   instead, I'd focus on which card had the best cell phone coverage in terms of cracked screen,
[00:46:59.660 --> 00:47:04.700]   lost phone, damaged stuff. And that is probably going to be better than getting a couple of
[00:47:04.700 --> 00:47:08.380]   extra points per dollar on your phone bill. And so that's something to look in.
[00:47:08.380 --> 00:47:13.420]   A couple other categories. We don't have a gas car. So we don't use that category.
[00:47:13.420 --> 00:47:16.860]   But I was spending a ton on gas. I'd probably look at the Wyndham Business Earner card, which is
[00:47:16.860 --> 00:47:22.780]   8x points on gas. And it's definitely interesting because of the way you can use Wyndham points,
[00:47:22.780 --> 00:47:28.780]   especially with Vacasa vacation rentals. But I don't have that card. And so a card I'd probably
[00:47:28.780 --> 00:47:34.380]   use instead is the Citi Premier card, which is 3x points on gas. So those are the major categories
[00:47:34.380 --> 00:47:39.980]   we spend on. Obviously, in the other category, I'm always jumping between the VentureX, the US Bank
