
[00:00:00.000 --> 00:00:06.160]   in this chapter we're going to be taking a look at conversational memory in linechain we're going
[00:32:59.280 --> 00:33:07.280]   implementing this then we will go ahead and use our update method for implementing this so we come down to
[00:33:07.280 --> 00:33:15.040]   here and we're going to do lang chain memory import conversation summary buffer memory okay a few things
[00:33:15.040 --> 00:33:23.440]   here lm for summary we have the n number of tokens that we can keep before they get added to the summary
[00:33:23.440 --> 00:33:29.120]   and then return messages of course okay you can see again this is deprecated we use the conversation chain
[00:33:29.760 --> 00:33:37.520]   and then we just pass in our memory there and then we can chat okay so super straightforward first message
[00:33:37.520 --> 00:33:46.560]   we'll add a few more here again we have to invoke because how memory type here is using the lm to create
[00:33:46.560 --> 00:33:52.560]   those summaries as it goes and let's see what they look like okay so we can see for the first message here
[00:33:52.560 --> 00:34:00.080]   we have a human message and then an ai message then we come a little bit lower down again same thing human
[00:34:00.080 --> 00:34:06.560]   message is the first thing in our history here then it's a system message so this is at the point where
[00:34:06.560 --> 00:34:14.560]   we've exceeded that 300 token limit and the memory type here is generating those summaries so that summary
[00:34:14.560 --> 00:34:20.240]   comes in as a system message and we can see okay the human named james introduces himself and mentions he's
[00:34:20.240 --> 00:34:26.320]   researching different types of conversation memory and so on and so on right okay cool so we have that
[00:34:26.320 --> 00:34:35.120]   then let's come down a little bit further we can see okay so the summary there okay so that's what we
[00:34:35.120 --> 00:34:43.520]   that's what we have that is the implementation for the old version of this memory again we can see it's
[00:34:43.520 --> 00:34:52.720]   deprecated so how do we implement this for our more recent versions of langchain and specifically 0.3 well
[00:34:52.720 --> 00:34:59.360]   again we're using that runnable with message history and it looks a little more complicated than we were
[00:34:59.360 --> 00:35:06.800]   getting before but it's actually just you know it's nothing too complex we're just creating a summary as we
[00:35:06.800 --> 00:35:14.320]   didn't with the previous memory type but the decision for adding to that summary is based on in this case
[00:35:14.320 --> 00:35:21.040]   actually the number of messages so i didn't go with the the langchain version where it's a number of tokens
[00:35:21.040 --> 00:35:27.520]   i don't like that i prefer to go with messages so what i'm doing is saying okay less k messages okay
[00:35:27.520 --> 00:35:36.160]   once we exceed k messages the measures beyond that are going to be added to the memory okay cool so
[00:35:36.160 --> 00:35:47.040]   let's see we first initialize our conversation summary buffer message history class with lm and k
[00:35:47.040 --> 00:35:53.360]   okay so these two here so lm of course to create summaries and k is just the limit of number of messages
[00:35:53.360 --> 00:35:58.160]   that we want to keep before adding them to the summary or dropping them from our messages and
[00:35:58.160 --> 00:36:07.840]   adding them to the summary okay so we will begin with okay do we have an existing summary so the reason
[00:36:07.840 --> 00:36:16.560]   we set this in none is we can't extract the summary the existing summary unless it already exists and the
[00:36:16.560 --> 00:36:22.880]   only way we can do that is by checking okay do we have any messages if yes we want to check if within
[00:36:22.880 --> 00:36:27.840]   those messages we have a system message because we're we're doing the same structure as what we
[00:36:27.840 --> 00:36:32.720]   have up here where the system message that first system message is actually our summary so that's
[00:36:32.720 --> 00:36:37.760]   what we're doing here we're checking if there is a summary message already stored within our messages
[00:36:37.760 --> 00:36:46.080]   okay so we're checking for that if we find it we'll just do we have this little print statement so we
[00:36:46.080 --> 00:36:52.400]   can see that we found something and then we just make our existing summary i should actually move
[00:36:52.400 --> 00:37:04.560]   move this to the first instance here okay so that existing summary will be set to the first message
[00:37:04.560 --> 00:37:09.600]   okay and this would be a system message rather than a string
[00:37:09.600 --> 00:37:20.240]   cool so we have that then we want to add any new messages to our history okay so we're sending the history
[00:37:20.240 --> 00:37:26.720]   there and then we're saying okay if the length of our history is exceeds the k value that we set
[00:37:26.720 --> 00:37:30.800]   we're going to say okay we found that many messages we're going to be dropping the latest it's going to
[00:37:30.800 --> 00:37:37.360]   be the latest two messages this i will say here one thing or one problem with this
[00:37:37.360 --> 00:37:43.680]   is that we're not going to be saving that many tokens if we're summarizing every two messages so
[00:37:44.480 --> 00:37:52.560]   what i would probably do is in in an actual like production setting i would probably say let's go up
[00:37:52.560 --> 00:38:00.160]   to 20 messages and once we hit 20 messages let's take the previous 10 we're going to summarize them
[00:38:00.160 --> 00:38:05.600]   and put them into our summary alongside any you know previous summary that already existed but in in you
[00:38:05.600 --> 00:38:14.880]   know this is also fine as well okay so we say we found those messages we're going to drop the latest
[00:38:14.880 --> 00:38:22.960]   two messages okay so we pull the the oldest messages out i should say not the latest it's the oldest
[00:38:24.640 --> 00:38:31.440]   not the latest i want to keep the latest drop the oldest so we pull out the oldest messages and keep
[00:38:31.440 --> 00:38:39.520]   only the most recent messages okay then i'm saying okay if we if we don't have any old messages to
[00:38:39.520 --> 00:38:45.840]   summarize we don't do anything we just return okay so this indicates that this has not been triggered
[00:38:46.560 --> 00:38:54.560]   we would hit this but in the case this has been triggered and we do have old messages we're going
[00:38:54.560 --> 00:39:02.640]   to come to here okay so this is we can see our system message prompt template saying giving the
[00:39:02.640 --> 00:39:07.920]   existing conversation summary in the new messages generate a new summary of the conversation ensuring
[00:39:07.920 --> 00:39:13.200]   to maintain as much relevant information as possible so if we want to be more conservative with tokens we
[00:39:13.200 --> 00:39:20.560]   could modify this prompt here to say keep the summary to within the length of a single paragraph for
[00:39:20.560 --> 00:39:25.840]   example and then we have our human message prompt template which can say okay here's the existing
[00:39:25.840 --> 00:39:31.280]   compensation summary and here are our new messages now new messages here is actually the old messages
[00:39:31.280 --> 00:39:36.880]   but the way that we're framing it to the llm here is that we want to summarize the whole
[00:39:36.880 --> 00:39:41.680]   conversation right it doesn't need to have the most recent messages that we're storing within
[00:39:41.680 --> 00:39:46.640]   our buffer it doesn't need to know about those that's irrelevant to the summary so we just tell
[00:39:46.640 --> 00:39:52.160]   it that we have these new matches and as far as this lm is concerned this is like the full set of
[00:39:52.160 --> 00:39:59.840]   interactions okay so then we would format those and invoke our lm and then we'll print out our new
[00:39:59.840 --> 00:40:07.520]   summary so we can see what's going on there and we would prepend that new summary to our conversation
[00:40:07.520 --> 00:40:17.200]   history okay and and this will work so we can just prepend it like this because we've already popped
[00:40:17.200 --> 00:40:24.880]   where was it up here if we have an existing summary we already popped that from the list so it's already
[00:40:24.880 --> 00:40:31.440]   been pulled out of that list so it's okay for us to just we don't need to say like we don't need to do
[00:40:31.440 --> 00:40:37.120]   this because we've already dropped that initial system message if it existed okay and then we have
[00:40:37.120 --> 00:40:46.080]   the clear method as before so that's all of the logic for our conversational summary buffer memory
[00:40:46.640 --> 00:40:53.600]   okay so we can see what's going on here we can see what's going on here we define our get chat history
[00:40:53.600 --> 00:40:55.280]   function with the lm and k parameters there and then we'll also want to set the configurable fields
[00:40:55.280 --> 00:41:02.480]   again so that is just going to be called session id lm and k
[00:41:04.320 --> 00:41:12.800]   okay so now we can invoke the k value to begin with is going to be four okay so we can see no
[00:41:12.800 --> 00:41:19.280]   old messages to update summary with that's good let's invoke this a few times and let's see what we get
[00:41:19.280 --> 00:41:23.280]   okay so no old messages to update summary with
[00:41:26.560 --> 00:41:31.760]   found six messages dropping the oldest two and then we have new summary in the conversation james
[00:41:31.760 --> 00:41:35.760]   introduced himself and first is interested in researching different types of conversational
[00:41:35.760 --> 00:41:40.880]   memory right so you can see there's quite a lot in here at the moment so we would definitely want to
[00:41:40.880 --> 00:41:48.800]   prompt the lm the summary lm to keep that short otherwise we're just getting a ton of stuff
[00:41:48.800 --> 00:41:55.840]   right but we can see that that is you know it's working it's functional so let's go back
[00:41:56.480 --> 00:42:01.680]   and see if we can prompt it to be a little more concise so we come to here ensuring to maintain
[00:42:01.680 --> 00:42:13.920]   as much relevant information as possible however we need to keep our summary concise the limit
[00:42:13.920 --> 00:42:24.320]   is a single short paragraph okay something like this let's try and let's see what we get with that
[00:42:26.400 --> 00:42:32.720]   okay so message one again nothing to update see this so new summary you can see it's a bit shorter it
[00:42:32.720 --> 00:42:34.480]   doesn't have all those bullet points
[00:42:34.480 --> 00:42:45.120]   okay so that seems better let's see so you can see the first summary is a bit shorter
[00:42:45.120 --> 00:42:50.720]   but then as soon as we get to the second and third summaries the second summary is actually
[00:42:50.720 --> 00:42:56.000]   slightly longer than the third one okay so we're going to be we're going to be losing a bit of
[00:42:56.000 --> 00:43:02.480]   information in this case more than we were before but we're saving a ton of tokens so that's of course
[00:43:02.480 --> 00:43:08.080]   a good thing and of course we could keep going and adding many interactions here and we should see that
[00:43:08.080 --> 00:43:15.120]   this conversation summary will be it should maintain that sort of length of around one short paragraph
[00:43:16.080 --> 00:43:24.080]   so that is it for this chapter on conversation memory we've seen a few different memory types we've
[00:43:24.080 --> 00:43:29.520]   implemented their old deprecated versions so we can see what they were like and then we've
[00:43:29.520 --> 00:43:36.640]   re-implemented them for the latest versions of lang chain and to be honest using logic where we are
[00:43:36.640 --> 00:43:44.080]   getting much more into the weeds and that is in some ways okay it complicates things that is true but in
[00:43:44.080 --> 00:43:50.080]   other ways it gives us a ton of control so we can modify those memory types as we did with that final
[00:43:50.080 --> 00:43:58.080]   summary buffer memory type we can modify those to our liking which is incredibly useful when you're
[00:43:58.080 --> 00:44:03.840]   actually building applications for the real world so that is it for this chapter we'll move on to the next one
[00:44:03.840 --> 00:44:20.240]   that's it for this chapter we'll move on to the next chapter we'll see you next time

