
[00:00:00.000 --> 00:00:05.500]   >> [APPLAUSE]
[00:18:20.220 --> 00:18:22.140]   because your spouse owns the whole thing.
[00:18:22.140 --> 00:18:23.180]   It's very cool.
[00:18:23.180 --> 00:18:25.900]   You can also do it for brokerage accounts in many states.
[00:18:25.900 --> 00:18:28.020]   These are the states where it's available.
[00:18:28.020 --> 00:18:31.360]   Okay, if that's one of your states, unfortunately mine's not listed there.
[00:18:31.360 --> 00:18:34.100]   And you're married, you ought to have your property titled tenants by
[00:18:34.100 --> 00:18:36.420]   the entirety for asset protection purposes.
[00:18:36.420 --> 00:18:39.220]   Super cheap asset protection technique, works very well.
[00:18:40.980 --> 00:18:45.700]   Okay, let's talk for just a minute about some complex asset protection techniques
[00:18:45.700 --> 00:18:47.540]   that may or may not be worth it.
[00:18:47.540 --> 00:18:51.580]   In general, the more complex it is, the less well it works, the more it costs, and
[00:18:51.580 --> 00:18:53.860]   the more hassles there are associated with it, okay?
[00:18:53.860 --> 00:18:55.060]   Equity stripping.
[00:18:55.060 --> 00:19:00.660]   This is when you live in a state with really low homestead laws.
[00:19:00.660 --> 00:19:04.860]   And you're like, well, I'm gonna take all my equity out of my house with a HELOC.
[00:19:04.860 --> 00:19:08.300]   And I'm gonna put it in, since my state protects whole life insurance,
[00:19:08.300 --> 00:19:10.740]   I'm gonna buy a big whole life insurance policy, right?
[00:19:10.740 --> 00:19:12.300]   That's equity stripping.
[00:19:12.300 --> 00:19:15.340]   A domestic asset protection trust, these are pretty cool.
[00:19:15.340 --> 00:19:17.460]   They're available in a lot of states, including mine.
[00:19:17.460 --> 00:19:18.460]   You can put your house or
[00:19:18.460 --> 00:19:21.220]   other assets inside a domestic asset protection trust.
[00:19:21.220 --> 00:19:24.220]   Where you're both the grantor and the beneficiary.
[00:19:24.220 --> 00:19:25.020]   It's pretty amazing.
[00:19:25.020 --> 00:19:26.820]   If it works, it's great.
[00:19:26.820 --> 00:19:30.540]   There's still some doubt out there about how well these work all the time.
[00:19:30.540 --> 00:19:33.580]   But all it costs you is the cost of setting it up.
[00:19:33.580 --> 00:19:38.180]   Foreign asset protection trust, right?
[00:19:38.180 --> 00:19:42.100]   Everyone here is about putting your money down in the Cook Islands or something.
[00:19:42.100 --> 00:19:46.220]   The problem with this is a lot of times, it puts you at risk of contempt of court.
[00:19:46.220 --> 00:19:49.980]   Right, they tell you, bring your assets back or we're gonna put you in jail.
[00:19:49.980 --> 00:19:54.260]   Well, okay, I guess I'll bring my assets back since I don't wanna go to jail.
[00:19:54.260 --> 00:19:57.780]   Delaware bank accounts also have been pierced, but
[00:19:57.780 --> 00:20:00.380]   there is some potential asset protection there.
[00:20:00.380 --> 00:20:05.300]   Family limited partnerships and LLCs, they're really helpful if you're trying
[00:20:05.300 --> 00:20:08.940]   to pass your business along to your kids and provide some substantial
[00:20:08.940 --> 00:20:10.660]   asset protection techniques.
[00:20:10.660 --> 00:20:15.020]   Not cheap, definitely some complexity there, but some possibility there if
[00:20:15.020 --> 00:20:18.620]   you're trying to pass something like that along to your heirs.
[00:20:18.620 --> 00:20:21.540]   And obviously, if you're gonna do a family LLC,
[00:20:21.540 --> 00:20:24.900]   you need to be in a state with pretty strong LLC law, right?
[00:20:24.900 --> 00:20:28.900]   If they're not limiting the creditors to a charging order,
[00:20:28.900 --> 00:20:32.180]   it's not really gonna do you as much good as you probably hoped.
[00:20:34.020 --> 00:20:35.300]   Okay, so here's what we talked about.
[00:20:35.300 --> 00:20:37.340]   We talked about reducing your liability,
[00:20:37.340 --> 00:20:39.500]   consciously do things to try to get sued less.
[00:20:39.500 --> 00:20:42.660]   Buy plenty of insurance.
[00:20:42.660 --> 00:20:44.780]   It's cheap, it's your first line of defense.
[00:20:44.780 --> 00:20:47.780]   Lawsuits almost never go past the insurance.
[00:20:47.780 --> 00:20:51.260]   It pays for your defense and it pays for any judgments or settlements.
[00:20:51.260 --> 00:20:55.820]   Know your state asset protection laws, okay?
[00:20:55.820 --> 00:20:57.300]   It's really important you understand what those are.
[00:20:57.300 --> 00:21:02.460]   Any technique you decide to implement must be employed in advance.
[00:21:02.460 --> 00:21:05.300]   You can't wait until you get sued and then do this stuff.
[00:21:05.300 --> 00:21:06.740]   It's too late then.
[00:21:06.740 --> 00:21:08.380]   Max out your retirement accounts.
[00:21:08.380 --> 00:21:11.940]   Use tenants by the entirety titling if appropriate and available.
[00:21:11.940 --> 00:21:16.180]   And if you've still got a lot at stake that's outside things that are protected
[00:21:16.180 --> 00:21:17.340]   from the basic techniques,
[00:21:17.340 --> 00:21:20.780]   you might consider some of the complex asset protection techniques.
[00:21:20.780 --> 00:21:24.140]   All right, I think I've got about two minutes for questions.
[00:21:24.140 --> 00:21:26.820]   You got those for me, Mike?
[00:21:26.820 --> 00:21:27.540]   And I got a couple here.
[00:21:27.540 --> 00:21:36.140]   >> [INAUDIBLE]
[00:21:36.140 --> 00:21:38.940]   >> All right, retirement accounts are not protected in case of divorce.
[00:21:38.940 --> 00:21:40.020]   That's absolutely true.
[00:21:40.020 --> 00:21:44.300]   But they generally are from declaring bankruptcy.
[00:21:44.300 --> 00:21:47.620]   All right, let's see here.
[00:21:47.620 --> 00:21:49.180]   I gotta put glasses on to read this one.
[00:21:49.180 --> 00:21:54.180]   Does having an umbrella policy make you a juicy target?
[00:21:54.180 --> 00:21:55.100]   That's a good question.
[00:21:55.100 --> 00:21:55.780]   I like this one.
[00:21:56.860 --> 00:22:00.820]   People worry because they have all this liability insurance that people
[00:22:00.820 --> 00:22:02.620]   will actually sue them more.
[00:22:02.620 --> 00:22:05.140]   This is not the case in medicine, okay?
[00:22:05.140 --> 00:22:09.660]   Having insurance does not make you more likely to be sued.
[00:22:09.660 --> 00:22:11.980]   I suspect that extends to most other things.
[00:22:11.980 --> 00:22:16.100]   The truth is most people don't know you've got significant
[00:22:16.100 --> 00:22:19.340]   liability insurance until they sue you, okay?
[00:22:19.340 --> 00:22:21.380]   So I don't think it really attracts lawsuits.
[00:22:21.380 --> 00:22:25.020]   Maybe you don't wanna advertise that you got a $5 million umbrella policy.
[00:22:25.020 --> 00:22:28.380]   But I don't think it really makes it more likely for you to get sued.
[00:22:28.380 --> 00:22:32.660]   And let's see how much time we got for your break here.
[00:22:32.660 --> 00:22:34.620]   We got a little bit of time.
[00:22:34.620 --> 00:22:37.820]   Okay, how do you relate personal net worth to umbrella policy?
[00:22:37.820 --> 00:22:40.900]   Does your umbrella policy just keep going up with your net worth?
[00:22:40.900 --> 00:22:42.100]   Okay, I like this question.
[00:22:42.100 --> 00:22:44.900]   People are like, well, how much should I have, right?
[00:22:44.900 --> 00:22:46.900]   Well, how much should you have?
[00:22:46.900 --> 00:22:49.060]   Well, how much are you gonna be sued for?
[00:22:49.060 --> 00:22:50.660]   That's how much you should have.
[00:22:50.660 --> 00:22:52.860]   And of course, you have no idea, right?
[00:22:52.860 --> 00:22:56.180]   So people put these weird formulas together like that it's supposed to equal
[00:22:56.180 --> 00:22:57.100]   your net worth.
[00:22:57.100 --> 00:22:59.180]   No, has nothing to do with your net worth.
[00:22:59.180 --> 00:23:02.540]   You can have a net worth of 500,000, you can be sued for 10 million.
[00:23:02.540 --> 00:23:05.860]   You could have a net worth of 10 million, you can be sued for 500,000.
[00:23:05.860 --> 00:23:07.860]   It has nothing to do with your net worth.
[00:23:07.860 --> 00:23:13.260]   So my general guideline is what will people be happy with if you settled for
[00:23:13.260 --> 00:23:15.500]   policy limits as a general rule?
[00:23:15.500 --> 00:23:21.580]   And in my experience, most Americans think a seven-figure amount,
[00:23:21.580 --> 00:23:24.400]   a million dollars is still a lot of money.
[00:23:24.400 --> 00:23:27.700]   If they can walk away with a million dollars from whatever mistake you made or
[00:23:27.700 --> 00:23:31.260]   whatever happened on your property, they're usually pretty happy.
[00:23:31.260 --> 00:23:33.740]   And that's a relatively cheap umbrella policy.
[00:23:33.740 --> 00:23:37.740]   But these people run around with $50,000 on their car, that's crazy.
[00:23:37.740 --> 00:23:41.700]   You shouldn't have only $50,000 of liability coverage, it's just not enough.
[00:23:41.700 --> 00:23:45.420]   Now, if you're particularly well-to-do, I mean, a few years ago when we became more
[00:23:45.420 --> 00:23:48.020]   financially successful, we increased our umbrella policy.
[00:23:48.020 --> 00:23:50.500]   And I think we've got a 5 million policy now.
[00:23:50.500 --> 00:23:53.820]   But that's not tied to net worth in any way, shape, or form.
[00:23:53.820 --> 00:23:56.900]   It's just like, well, we can afford this, it's not that much more.
[00:23:56.900 --> 00:23:59.660]   And if someone had a little bit higher lawsuit,
[00:23:59.660 --> 00:24:01.100]   we'd have a little bit more coverage.
[00:24:01.100 --> 00:24:03.100]   I'll tell you what, if you got a $5 million policy,
[00:24:03.100 --> 00:24:06.300]   the insurance company's gonna send their best people to defend you, so.
[00:24:06.300 --> 00:24:09.780]   >> [LAUGH] >> All right,
[00:24:09.780 --> 00:24:12.300]   I think we got time here for one more before we go to break.
[00:24:13.740 --> 00:24:18.220]   Does the issuer of the umbrella insurance policy matter?
[00:24:18.220 --> 00:24:21.260]   Should I dump GEICO and go for a high-end umbrella insurance company?
[00:24:21.260 --> 00:24:24.940]   I don't know the answer to that.
[00:24:24.940 --> 00:24:26.620]   I think the way the policies are written,
[00:24:26.620 --> 00:24:28.700]   I think the company's on the hook for it.
[00:24:28.700 --> 00:24:30.140]   And I think they're gonna do well,
[00:24:30.140 --> 00:24:33.300]   hire some good attorneys to defend you and fight hard to do it.
[00:24:33.300 --> 00:24:35.380]   I don't think it matters a lot.
[00:24:35.380 --> 00:24:39.660]   I think most people, what they do is they go, who's doing my home in auto?
[00:24:39.660 --> 00:24:42.340]   And that's where they get their umbrella policy from.
[00:24:42.340 --> 00:24:44.820]   So it's not super complicated.
[00:24:44.820 --> 00:24:47.740]   Okay, let's take a break here.
[00:24:47.740 --> 00:24:57.740]   [BLANK_AUDIO]

