
[00:00:00.000 --> 00:00:04.380]   What if the way you've been thinking about points and miles is the very thing holding you back?
[00:24:45.200 --> 00:24:49.840]   entirely untrue. Like you said, you may have spent 30, 40 hours researching something before you actually
[00:24:49.840 --> 00:24:55.120]   present it to your audience. I know the reason that I can relate to people who sometimes find
[00:24:55.120 --> 00:25:00.000]   points and miles hard, especially in the beginning is because I've made so many mistakes in this hobby.
[00:25:00.000 --> 00:25:05.280]   I continue to make mistakes in this hobby. And I think that that really helps to remind folks that,
[00:25:05.280 --> 00:25:10.960]   oh, wait a minute, this is not, uh, you know, like you start on one day, you learn a couple of facts,
[00:25:10.960 --> 00:25:14.880]   and then you do everything right from there on out. So absolutely. Let's kind of walk through what
[00:25:14.880 --> 00:25:16.640]   you think is going to be the most high yield for everybody.
[00:25:16.640 --> 00:25:21.440]   I'll give you the one example from just two days ago where I had that exact thing. I was looking
[00:25:21.440 --> 00:25:26.160]   for a flight. I was trying to book something from the US to Europe. And I was like, well,
[00:25:26.160 --> 00:25:31.040]   it's this many points on British Airways. And then I saw it pop up on Alaska. And I was like,
[00:25:31.040 --> 00:25:35.360]   oh my gosh, it's even cheaper. And I booked it. And I was like, wait, I didn't, I didn't check American.
[00:25:35.360 --> 00:25:41.520]   And then I looked and American had, I was already in the checkout flow. I'd already booked it.
[00:25:41.520 --> 00:25:46.320]   The price on American was like 20% less. I had miles there, but there was only one seat
[00:25:46.320 --> 00:25:52.000]   and it was too late. I couldn't book it using the cheaper option because I'd already used the seat.
[00:25:52.000 --> 00:25:57.840]   And I was like, I could cancel it and hope it goes back, but will it? And so I'm messing up all the
[00:25:57.840 --> 00:26:01.840]   time still. Like I, you know, sometimes that's, I got excited. I didn't think to look somewhere else.
[00:26:01.840 --> 00:26:07.200]   But one thing that helped me was I looked at it and said, well, this is still a way better deal than I
[00:26:07.200 --> 00:26:11.840]   would have gotten otherwise. Could it have been 20% better? Absolutely. Did I even look if there
[00:26:11.840 --> 00:26:16.480]   was some shopping portal that I could have added? A lot of times, no. I had a conversation with my
[00:26:16.480 --> 00:26:20.560]   wife the other day. I was looking at expenses. I was like, you know, I looked at this purchase and
[00:26:20.560 --> 00:26:24.560]   I was like, was that you? And she's like, yeah. I was like, do you look at buying any gift cards
[00:26:24.560 --> 00:26:30.720]   for that? Because they would have been like 15% off. And she's like, no, I forgot. And we forget all
[00:26:30.720 --> 00:26:37.280]   the time. So I might share the stories that are most relevant to people to save and maximize.
[00:26:37.280 --> 00:26:43.840]   But I probably could also share some of the stories where, you know, we didn't take the advice that we
[00:26:43.840 --> 00:26:48.880]   talked about, you know, in the episode of the week, we just forgot, we missed, we were moving too fast.
[00:26:48.880 --> 00:26:52.560]   And, and I think that happens to all of us. So you just mentioned high yield, like,
[00:26:52.560 --> 00:26:57.760]   what are some of these high yield opportunities that you often talk about when it comes to maximizing?
[00:26:57.760 --> 00:27:03.040]   And, you know, how do you find them? So, you know, in terms of high yield things,
[00:27:03.040 --> 00:27:08.000]   I think, again, my approach to earning points might not look like everybody's, I think there are people
[00:27:08.000 --> 00:27:13.520]   for whom always trying to have a brand new card open, so they can put all their expenses on that
[00:27:13.520 --> 00:27:17.600]   card. So they can always be working towards a welcome bonus. I think if that is the scenario,
[00:27:17.600 --> 00:27:22.400]   that's most high yield for you, I think that makes so much sense. I very rarely open new cards now.
[00:27:22.400 --> 00:27:26.400]   And part of it is, I've been doing this for a long time. So I have all of the cards I consider to be
[00:27:26.400 --> 00:27:31.200]   actually, actual foundational points earning cards that I want to use on a regular basis,
[00:27:31.200 --> 00:27:37.280]   but also because it no longer makes sense for me to constantly be trying to open cards. And so
[00:27:37.280 --> 00:27:42.720]   I think the first step is really looking at, again, what, where am I going to get kind of,
[00:27:42.720 --> 00:27:48.400]   no pun intended, the biggest bang for my buck. And so for me right now, it's things like having
[00:27:48.400 --> 00:27:53.760]   credit cards that give me really, really great bonus points earning for my everyday suspense
[00:27:53.760 --> 00:28:00.000]   spend when I'm not actually working on a welcome bonus. And so I have personal cards, I have business
[00:28:00.000 --> 00:28:05.600]   cards. And part of that too, is also looking at what are the points currencies when you are ready to kind
[00:28:05.600 --> 00:28:10.400]   of expand beyond one type of points currency. If you feel like you're in the phase where you're ready to
[00:28:10.400 --> 00:28:15.440]   get into a second or a third points currency, at any given time, what is the highest yield points
[00:28:15.440 --> 00:28:21.040]   currency that I'm trying to earn? Because I think people can get very, very kind of confused or in
[00:28:21.040 --> 00:28:25.040]   the weeds when they do start to have more credit cards and saying, wow, I've got five different
[00:28:25.040 --> 00:28:29.520]   options of cards that I could use for this one particular expense. How do I prioritize it? Should
[00:28:29.520 --> 00:28:35.440]   I prioritize that just card a gives me more points than any other card? And I think that's one way to do it.
[00:28:35.440 --> 00:28:40.560]   But I think it's also really valid to ask, huh, for what I want to do with my points right now,
[00:28:40.560 --> 00:28:46.480]   what's going to be the highest yield for me? So being really comfortable, not always doing again,
[00:28:46.480 --> 00:28:51.200]   whatever you think everybody else is doing with their cards, but being really clear on what are
[00:28:51.200 --> 00:28:54.800]   you trying to accomplish? And then what are the tools you have available to you that's going to
[00:28:54.800 --> 00:29:00.880]   help you accomplish that? Yeah, I think about this a lot of times. And you know, I recently opened up a
[00:29:00.880 --> 00:29:05.360]   city card. And I have a little bit of a struggle here, because I just wanted to get into the
[00:29:05.360 --> 00:29:09.360]   city ecosystem. I hadn't been able to talk about it on the podcast. So I probably have a business
[00:29:09.360 --> 00:29:14.560]   reason to go. But now I'm like, oh, this card might be better for this purchase. But I don't
[00:29:14.560 --> 00:29:18.880]   have enough city points to really do anything. Versus if I put them somewhere else, they can
[00:29:18.880 --> 00:29:24.720]   contribute towards a trip. Now, I think that's just an example of there might be some card that
[00:29:24.720 --> 00:29:29.440]   earns an obscure amount of points that's higher than other things. But if you don't spend enough in
[00:29:29.440 --> 00:29:35.280]   that category for that total number of points accumulated to be meaningful, or if you're going to earn
[00:29:35.280 --> 00:29:41.520]   some obscure number of Wyndham points on gas, but you don't even need Wyndham, or your total
[00:29:41.520 --> 00:29:46.240]   gas spend is small enough that it's not enough to even book a vacation, think about whether that
[00:29:46.240 --> 00:29:53.600]   matters. So I like that approach. And let's get really tactical with a few things. You mentioned
[00:29:53.600 --> 00:30:00.320]   earlier, paying a fee towards using your credit card. Let's talk about that and break that down,
[00:30:00.320 --> 00:30:05.120]   because I get a lot of questions about that. Especially right now. It's around tax time.
[00:30:05.120 --> 00:30:09.280]   But but I don't know if this will come out before the 15th. So broader than that.
[00:30:09.280 --> 00:30:12.240]   What what how do you think about that decision?
[00:30:12.240 --> 00:30:18.400]   Yeah, I love thinking about this so much. And again, as I will probably preface everything I say,
[00:30:18.400 --> 00:30:23.760]   it's that you always want to hear whatever it is that someone offers, and then put it on yourself and
[00:30:23.760 --> 00:30:27.840]   say, Okay, does this actually apply to me? Is this useful for me? Because the answer may be no.
[00:30:27.840 --> 00:30:36.000]   And when I think about certain expenses, in my life, the expenses that I think offer oftentimes
[00:30:36.000 --> 00:30:41.680]   really, really amazing points earning opportunities, because they tend to be high, usually one time,
[00:30:41.680 --> 00:30:48.080]   or only a few times a year expenses are ones that don't take a credit card directly without my having
[00:30:48.080 --> 00:30:52.800]   to pay a processing fee. So in my life, this looks like things like tax payments, my husband and I are
[00:30:52.800 --> 00:30:57.600]   both self employed, we have the lovely advantage of having quarterly tax payments. So we're paying taxes,
[00:30:57.600 --> 00:31:01.680]   you know, every couple of months. And when we look at the things we spend money on over the year,
[00:31:01.680 --> 00:31:06.960]   our tax payments are probably our single highest expense category compared to something like
[00:31:06.960 --> 00:31:12.000]   dining out, you know, or compared to something like even online shopping. And so one of the things that
[00:31:12.000 --> 00:31:17.520]   I think is helpful is to first look at, in your life, do you have expenses, where you could pay them
[00:31:17.520 --> 00:31:23.440]   with a credit card, but they would incur a processing fee in order to do so, and get a very good sense of,
[00:31:23.440 --> 00:31:28.720]   okay, but what impact would that make on your overall points earning landscape, if you could earn points
[00:31:28.720 --> 00:31:34.080]   for that, right? Is that 1% of your overall annual spend? Or is this a significant amount of your annual
[00:31:34.080 --> 00:31:38.800]   spend? Because for folks who have a significant amount of annual spend, whether it's personal
[00:31:38.800 --> 00:31:43.440]   or business spend, or both, where they could pay with a credit card, but would have to pay a processing
[00:31:43.440 --> 00:31:47.440]   fee. I think that's the first question that needs to be answered. Like, what is the impact of this going
[00:31:47.440 --> 00:31:53.600]   to be right? I love to optimize points, but I am not a maximizer, I will not chase every single points
[00:31:53.600 --> 00:31:58.400]   earning opportunity, it has to be high yield. And so first, you want to get a general idea of what is
[00:31:58.400 --> 00:32:03.040]   the scope of the yield of this activity going to be. So other things that I know folks can pay using
[00:32:03.040 --> 00:32:07.760]   a credit card, but also get charged a processing fee that could potentially be very high yield
[00:32:07.760 --> 00:32:11.920]   points earning opportunities for them. Many, many people, if you have children, and they're in a
[00:32:11.920 --> 00:32:17.840]   daycare, perhaps they go to a school that has a tuition, maybe there is some sort of activity that
[00:32:17.840 --> 00:32:22.640]   a child is involved in. In my area, there's a lot of summer camps that people could theoretically send
[00:32:22.640 --> 00:32:28.640]   their children to the camps charge a processing fee in order for you to enroll your kids in them using a
[00:32:28.640 --> 00:32:32.960]   credit card. You know, we can talk about other opportunities, too. There are a lot of vendors
[00:32:32.960 --> 00:32:38.960]   or services that may not accept a credit card outright. And so you may be looking into a payment
[00:32:38.960 --> 00:32:45.920]   platform, something like plastique, or milio or zill money that basically allows you to pay a specific
[00:32:45.920 --> 00:32:51.520]   service or vendor. And then you have to pay them, you know, processing fee, so that you have the luxury
[00:32:51.520 --> 00:32:57.120]   of using your credit card. So one of the first things that I always want to look at is for any given single
[00:32:57.120 --> 00:33:01.280]   big expense. And we'll take the tax payments as an example. But again, this could be daycare,
[00:33:01.280 --> 00:33:06.320]   it could be tuition, could be you're doing a home renovation, and your contractor does not accept
[00:33:06.320 --> 00:33:10.880]   your American Express business platinum card, and you want to earn the sub. So you want to go through
[00:33:10.880 --> 00:33:15.520]   one of these payment processing platforms. The first thing I always look at is what is the actual amount
[00:33:15.520 --> 00:33:20.960]   of this expense itself, you always, always want to know what is the exact processing fee that you are
[00:33:20.960 --> 00:33:25.520]   going to be charged if you do want to pay by credit card, because this can vary, right?
[00:33:25.520 --> 00:33:32.080]   Sometimes it can be something like 1.7% or 1.8%. Depending on the service or vendor that you're
[00:33:32.080 --> 00:33:37.840]   using, it can be much higher, it can be 2.9% or over 3%. But you have to know what that processing fee
[00:33:37.840 --> 00:33:44.560]   is, because you are going to pay that percentage of your total bill amount, in addition to your total
[00:33:44.560 --> 00:33:50.720]   bill amount. So let's just pretend you know, you have a $10,000 bill that you want to pay. And the processing
[00:33:50.720 --> 00:33:56.160]   fee that you would have to pay in order to use your credit card is 2%. Right? So you're not just
[00:33:56.160 --> 00:34:02.080]   paying your $10,000 bill, you're paying $10,000 plus the 2% processing fee. So once you know that,
[00:34:02.080 --> 00:34:07.040]   you know, the total amount of points that you would theoretically earn for this expense. But here's,
[00:34:07.040 --> 00:34:12.800]   for me, the critical part of evaluation is that I don't think any of us would ever consider using a
[00:34:12.800 --> 00:34:17.360]   credit card to earn points and pay a processing fee, if we were not going to come out net positive on the
[00:34:17.360 --> 00:34:21.440]   other end, right? None of us wants to just spend money that we don't have to spend. So the question
[00:34:21.440 --> 00:34:26.880]   is always going to be the number of points that I earn by using my credit card for this expense.
[00:34:26.880 --> 00:34:31.520]   Am I going to get significantly more value out of these points out of the way I use them,
[00:34:31.520 --> 00:34:37.840]   then the cash cost of that processing fee. And this is where the answer is going to be variable. I do not
[00:34:37.840 --> 00:34:43.200]   recommend for folks who are beginning in this hobby to take this approach because I think it's very
[00:34:43.200 --> 00:34:49.200]   challenging for them to be able to break even and my ideal is not to break even it's actually do much
[00:34:49.200 --> 00:34:53.120]   better in terms of the value of these points. But for people who are feeling a little bit more
[00:34:53.120 --> 00:34:57.760]   comfortable, maybe they're a little bit more experienced in using their points, you look at the total number
[00:34:57.760 --> 00:35:03.280]   of points that you would have earned for that expense. And you probably have a sense of how much value do you
[00:35:03.280 --> 00:35:08.560]   tend to get out of your points, right? If you're only using your points to book travel through a credit card portal,
[00:35:08.560 --> 00:35:13.200]   that may look like something like one to one and a half cents per point. I'm not saying that's a terrible
[00:35:13.200 --> 00:35:18.240]   use. But that's why you have to know what percentage fee are you paying? What is the actual cash cost of
[00:35:18.240 --> 00:35:23.360]   that processing fee? Are you going to do better than break even, you know, one to 1.5 cents per point,
[00:35:23.360 --> 00:35:28.960]   you're probably not going to. But let's say that you feel a little bit more experienced using your
[00:35:28.960 --> 00:35:33.520]   points. If you're really confident that you know how to use your points, you're familiar with transfer
[00:35:33.520 --> 00:35:37.840]   partners, you know, you're really comfortable searching for award flights, let's say, and you
[00:35:37.840 --> 00:35:42.880]   feel pretty confident that you're going to be able to get four or five cents per point or more out of
[00:35:42.880 --> 00:35:49.200]   your points, that can be so much more value than the cost of the processing fee. But the last little
[00:35:49.200 --> 00:35:53.360]   variable that you always want to take into consideration as well is when we're paying any
[00:35:53.360 --> 00:35:58.080]   expense by credit card, of course, we have tons of options of what card do we want to use to pay
[00:35:58.080 --> 00:36:04.800]   that expense. And we have cards, of course, they give us different levels of return on our spend.
[00:36:04.800 --> 00:36:09.600]   So the other thing that you need to know is not just what is the cost of the bill and what is the cost
[00:36:09.600 --> 00:36:14.000]   of the processing fee, but in terms of the number of points you could potentially earn, that's going
[00:36:14.000 --> 00:36:18.560]   to depend on the card you use and its earning rate. So are you going to be using a card that earns
[00:36:18.560 --> 00:36:25.680]   one point per dollar spent and only earn effectively one point for your expense when you're doing this?
[00:36:25.680 --> 00:36:30.480]   Or do you have a card that actually offers you one point five or two points for every dollar you
[00:36:30.480 --> 00:36:34.400]   spend? You know, interestingly, some of these payment platforms that I talked about, depending
[00:36:34.400 --> 00:36:39.680]   on which ones you use, and which card you use, you can actually get three points per dollar spent,
[00:36:39.680 --> 00:36:44.960]   you know, if you're using a payment platform that codes as shipping, and you have a business card that
[00:36:44.960 --> 00:36:48.960]   has a shipping bonus category, potentially, you're going to be earning three points for every dollar you
[00:36:48.960 --> 00:36:53.280]   spend on that expense, and especially want to factor in if you are going to be able to earn a welcome
[00:36:53.280 --> 00:36:59.200]   bonus by paying that expense as well. And so I think for everybody, one of the things that I
[00:36:59.200 --> 00:37:04.160]   think is really important, the more you get into this hobby is to realize that there's probably some
[00:37:04.160 --> 00:37:10.320]   foundational kind of basic teaching and guidance on everything in points and miles. I think it's great
[00:37:10.320 --> 00:37:16.160]   to learn that first. And then you can start looking at the nuances, then you can start looking at the
[00:37:16.160 --> 00:37:21.840]   exceptions. So I never tell people, you should always pay a processing fee in order to use your
[00:37:21.840 --> 00:37:27.120]   points just because a lot of times I do. I also don't tell people you should never pay a processing
[00:37:27.120 --> 00:37:31.600]   fee in order to use points. Because I don't actually think that's true either. I think what makes a lot of
[00:37:31.600 --> 00:37:38.880]   sense is start with what is kind of the safest, most conservative approach you can take. And then when you
[00:37:38.880 --> 00:37:43.360]   kind of understand the basics of this, and you can understand how to evaluate it for your own personal
[00:37:43.360 --> 00:37:48.800]   scenario, then you can start looking for those exceptions. And so it starts with math, but it
[00:37:48.800 --> 00:37:53.920]   also comes back to what are your goals? And what is your comfort level in earning and using points?
[00:37:53.920 --> 00:37:59.760]   I love that. There's two things. One, to the extent that this is a question related to a business,
[00:37:59.760 --> 00:38:05.040]   it is often that that processing fee could be treated as a business expense. So keep that in mind for any
[00:38:05.040 --> 00:38:11.360]   business owners. But two, since I'm guessing you've done this a few times, are any of the more common,
[00:38:11.360 --> 00:38:17.840]   you mentioned plastic, milio, do any of those transactions actually code as anything interesting
[00:38:17.840 --> 00:38:22.480]   that earns multiples? Yeah. And that's why I think this is so valuable to know. And also take this with
[00:38:22.480 --> 00:38:27.440]   like a huge boulder of salt. Because if you've been in the points and miles world, you're probably aware
[00:38:27.440 --> 00:38:33.200]   that this is a very dynamic landscape, things can and do change overnight. So one thing I always,
[00:38:33.200 --> 00:38:37.280]   always, always tell people is, if you hear something that I'm about to say, if you hear
[00:38:37.280 --> 00:38:42.640]   something on another, you know, platform, please do your due diligence and double check because these
[00:38:42.640 --> 00:38:46.640]   are the types of things that can change overnight. So as of the time that we're recording this,
[00:38:47.520 --> 00:38:52.000]   I have been told I have not tried this personally, but I run a Facebook group of about 28,000 people.
[00:38:52.000 --> 00:38:57.040]   So we have some good data points in there that Plastique, which is one of these online payment
[00:38:57.040 --> 00:39:03.520]   platforms that it can code when you use specifically the chasing business preferred card. This is one of
[00:39:03.520 --> 00:39:09.440]   several chasing business cards that chase offers. The chasing business preferred card has shipping as one
[00:39:09.440 --> 00:39:14.960]   of its bonus categories, you can earn three times points on it, up to about I think $150,000 spent over
[00:39:15.760 --> 00:39:21.120]   a calendar year. So again, for business owners, this can be a really great option for a card to have,
[00:39:21.120 --> 00:39:26.560]   I have been told that Plastique can code as shipping, even when the vendor the service that you are trying
[00:39:26.560 --> 00:39:33.040]   to pay is not FedEx or is not UPS. And so that can be a very interesting way to leverage your shipping
[00:39:33.040 --> 00:39:40.960]   bonus category on chase. Now, the third platform that I mentioned is called Zill monies, Z I L money.
[00:39:40.960 --> 00:39:46.320]   This is specifically for business owners. It's a really fascinating payment platform. It is probably
[00:39:46.320 --> 00:39:51.760]   the most dynamic one. And I mean, changes all the time. So by the time we even finished recording this
[00:39:51.760 --> 00:39:58.320]   conversation, this may be different. For a little while, Zill money was coding also is shipping, meaning that you
[00:39:58.320 --> 00:40:03.440]   that you could earn 3x using your chase Inc business preferred card. And Zill money is a fascinating
[00:40:03.440 --> 00:40:07.760]   platform because not only does it allow businesses to pay services or vendors for their business,
[00:40:07.760 --> 00:40:13.680]   you can pay payroll for your business through Zill money, you can pay commercial rent for your business
[00:40:13.680 --> 00:40:18.880]   through Zill money. So some of these expenses that some business owners may be encountering that right
[00:40:18.880 --> 00:40:24.080]   now we don't have a lot of other avenues to easily earn points like we love built right for residential
[00:40:24.080 --> 00:40:29.600]   rent. Most business owners cannot get away with paying commercial rent on their built card to earn
[00:40:29.600 --> 00:40:34.080]   points. And so it is always really fascinating to find out about some of these avenues for points
[00:40:34.080 --> 00:40:39.280]   earning. And also, I want to throw it again as a word of caution, just because it worked today or it
[00:40:39.280 --> 00:40:44.080]   worked yesterday may not guarantee that it works another time. But that is an example of a way that you can
[00:40:44.080 --> 00:40:49.920]   really leverage one specific bonus category on a credit card for some of these payment processors.
[00:40:49.920 --> 00:40:56.880]   Yeah, I have not played with Zill. But given the fact that we have a business and we have expenses,
[00:40:56.880 --> 00:41:05.600]   if you treat an expense as a deductible expense, the fees often are lowered enough that you really
[00:41:05.600 --> 00:41:10.880]   could make a case for putting 100% of your expenses on a credit card. I haven't played with the payroll
[00:41:10.880 --> 00:41:17.600]   one yet. So we typically run our payroll like once a year. But I so I have some months to figure this
[00:41:17.600 --> 00:41:23.280]   out. But it's on the docket right now. This episode is brought to you by NetSuite. What does the future
[00:41:23.280 --> 00:41:29.440]   hold for business? Ask nine experts and you'll get 10 answers. Bull market, bear market, inflation up or
[00:41:29.440 --> 00:41:35.200]   down. It would be amazing if we had a crystal ball. But until then, over 38,000 businesses have
[00:41:35.200 --> 00:41:41.120]   future proofed their business with NetSuite by Oracle, the number one cloud ERP, bringing accounting,
[00:41:41.120 --> 00:41:47.120]   financial management, inventory, HR, all into one fluid platform. With one unified business management
[00:41:47.120 --> 00:41:51.920]   suite, there is one source of truth, giving you the visibility and control you need to make quick
[00:41:51.920 --> 00:41:57.040]   decisions. And when you're closing the books in days, not weeks, you're spending less time looking
[00:41:57.040 --> 00:42:03.200]   backwards and more time planning for the future with actionable data, which is exactly what I'd want as a
[00:42:03.200 --> 00:42:08.880]   CEO. Speaking of opportunity, you can download the NetSuite CFO's guide to AI and machine learning at
[00:42:08.880 --> 00:42:15.120]   chrishutchins.com/netsuite. The guide is free. You can go to chrishutchins.com/netsuite or click
[00:42:15.120 --> 00:42:20.080]   the link in the description. This episode is brought to you by Built Rewards, which is an amazing points
[00:42:20.080 --> 00:42:25.040]   program with so many ways to earn, including on your rent, where you don't even need to check with your
[00:42:25.040 --> 00:42:30.160]   landlord. So let me explain. First, there's no cost to join Built. And as a member, you'll earn valuable
[00:42:30.160 --> 00:42:35.120]   points on rent and on your everyday spending. Built points can be transferred to your favorite hotels
[00:42:35.120 --> 00:42:41.040]   and airlines, and even the ones you haven't heard of. There are over 500 airlines and 700,000 hotels
[00:42:41.040 --> 00:42:45.360]   and properties around the world you can redeem your Built points toward. Points can be redeemed towards a
[00:42:45.360 --> 00:42:50.720]   future rent payment and unique experiences that only Built members can access. So if you're not earning
[00:42:50.720 --> 00:42:56.400]   points on rent, my question is why not? Start earning points on rent you're already paying by going to
[00:42:56.400 --> 00:43:04.320]   chrishutchins.com/built. That's chrishutchins.com/built, B-I-L-T. Make sure to use our URL so they know
[00:43:04.320 --> 00:43:10.000]   we sent you chrishutchins.com/built or the link in the description to start earning points on your rent
[00:43:10.000 --> 00:43:15.840]   payments today. Okay, so I generally adhere to a similar philosophy of trying to make sure you're earning
[00:43:15.840 --> 00:43:21.520]   enough to make it worth paying this fee. The tax payment fee has gone down. So it's among
[00:43:21.520 --> 00:43:26.880]   one of the most reasonable. In a way, you could argue that you're kind of buying points. And so if
[00:43:26.880 --> 00:43:30.160]   you figure out the rate at which you're buying, you can figure out whether the rate at which
[00:43:30.160 --> 00:43:35.680]   you're earning them makes sense. You've talked about how you took a couple trips with children.
[00:43:35.680 --> 00:43:41.200]   One of the questions I get a lot is how does this game change when you have multiple people?
[00:43:41.200 --> 00:43:47.600]   And now when I'm looking for flights with four people, it's gotten so hard. So I'm wondering if
[00:43:47.600 --> 00:43:54.560]   you are a few years ahead of me in that process, how do people looking for three, four, or more seats
[00:43:54.560 --> 00:44:00.880]   start to better be able to take advantage of award travel, especially if they're looking for premium cabins?
[00:44:00.880 --> 00:44:05.280]   Absolutely. And I was actually going to couch this entire answer, like with that caveat specifically,
[00:44:05.280 --> 00:44:09.920]   I think if your priority is to find economy seats for domestic or international flights,
[00:44:09.920 --> 00:44:15.360]   you are going to have an easier time than if your preference is to find international premium cabins.
[00:44:15.360 --> 00:44:20.080]   So I'm not even going to talk about first class because oftentimes you are not reliably easily going
[00:44:20.080 --> 00:44:24.400]   to be able to find more than one first class award seat on many international airlines, but
[00:44:24.400 --> 00:44:30.240]   business class is possible. It's definitely not as easy as if you are a solo traveler or traveling with
[00:44:30.240 --> 00:44:36.080]   two people, but it is definitely possible. So I will kind of tell you what my approach has been,
[00:44:36.080 --> 00:44:40.400]   which again, sometimes it works and sometimes it's a little bit less reliable, but it's a really good
[00:44:40.400 --> 00:44:45.440]   starting point. So first things first, you know, we talk a lot in award travel about when it comes to
[00:44:45.440 --> 00:44:51.360]   getting potentially as much value as you can from your points, using them to transfer them out of your
[00:44:51.360 --> 00:44:56.320]   transferable points currencies and into specifically airline transfer partner accounts for flights,
[00:44:56.320 --> 00:45:02.640]   that there is so much importance that we place on flexibility, right? That you need to be aware of
[00:45:02.640 --> 00:45:07.360]   kind of what are your zones of flexibility, because you might be able to get a lot of what you want, but you
[00:45:07.360 --> 00:45:11.120]   probably are not going to be able to get everything you want. And what I mean by that is, if you're looking
[00:45:11.120 --> 00:45:16.320]   for multiple premium cabin international flights, you may not be able to say I want to fly on these specific
[00:45:16.320 --> 00:45:21.200]   days, these specific Saturdays, right around my kids spring break, or my kids winter break, you know,
[00:45:21.200 --> 00:45:26.800]   you may not be able to say, Hey, I want to fly from my local airport all the way to my destination.
[00:45:26.800 --> 00:45:31.280]   And I'm not willing to look at any other departure airport, especially if your local airport happens
[00:45:31.280 --> 00:45:38.160]   to be more local or more regional. And you may not get the best absolute bargain basement deal price.
[00:45:38.160 --> 00:45:44.560]   If your priority is to find, you know, four or five or even six premium cabin flights together. So the
[00:45:44.560 --> 00:45:49.920]   first thing is actually not strategy in terms of go to this airline or do this thing. It's I always
[00:45:49.920 --> 00:45:53.840]   really recommend to people know where you can be flexible and know where you can't be. You don't
[00:45:53.840 --> 00:45:58.800]   have to be infinitely flexible, but you do have to be aware of where are you willing to bend if it's the
[00:45:58.800 --> 00:46:04.960]   difference between finding a good flight option and no flight option. And for me, what that looks like
[00:46:04.960 --> 00:46:09.440]   is I'm lucky. My local airport is a huge international airport. So I naturally have a
[00:46:09.440 --> 00:46:14.880]   lot of options for international flights, but I have a family of four. And when we travel with our kids,
[00:46:14.880 --> 00:46:19.760]   we do try to travel around their spring break, their winter break, when many other people are traveling
[00:46:19.760 --> 00:46:24.720]   and probably want to go to similar places that we want to go. And so inventory may not be very high.
[00:46:24.720 --> 00:46:30.880]   And so first of all, along with flexibility is I tell people, if you can, I get it. Maybe it's a
[00:46:30.880 --> 00:46:35.120]   milestone trip, or maybe you just don't want to be flexible about your destination and you want to go
[00:46:35.120 --> 00:46:40.640]   to one specific place. I can understand that. But if you do not have your heart set on one specific place,
[00:46:40.640 --> 00:46:46.160]   then allow yourself to follow where some of the best opportunities are instead of saying,
[00:46:46.160 --> 00:46:51.520]   Oh, I know I specifically only want to go to destination a for this trip, because award
[00:46:51.520 --> 00:46:55.520]   availability can and will fluctuate. There can be times there's no award availability,
[00:46:55.520 --> 00:47:00.480]   let's say to Japan that has been so insanely popular recently. But you can actually find award
[00:47:00.480 --> 00:47:06.160]   availability to somewhere else that you would also love to go. And then let's talk about actual tips,
[00:47:06.160 --> 00:47:12.560]   actual strategies, where to look. I think there are certain airlines that reliably have more business
[00:47:12.560 --> 00:47:17.360]   class, especially award space than other airlines. And so I think it's best start where you have the
[00:47:17.360 --> 00:47:22.800]   highest chances of success. That used to be Air France flying blue, especially for flights between
[00:47:22.800 --> 00:47:27.600]   North America and Europe. They used to have amazing award availability for multiple people in business
[00:47:27.600 --> 00:47:33.840]   class. One discouraging trend this year is that that has not been the case recently. And so now I'm
[00:47:33.840 --> 00:47:38.720]   telling people, okay, don't depend on Air France flying blue to get your family to Europe. But there are
[00:47:38.720 --> 00:47:43.760]   other airlines that do still reliably have multiple business class awards that are available. And so
[00:47:43.760 --> 00:47:48.240]   maybe just the fact that these are available will help determine where you're willing to go. So one
[00:47:48.240 --> 00:47:53.840]   airline that tends to have really, really good award availability on specific routes is Emirates. So
[00:47:53.840 --> 00:47:58.560]   Emirates is an amazing airline is based in Dubai. Maybe you never thought about going to Dubai. It's an
[00:47:58.560 --> 00:48:05.600]   incredible city. But specifically on flights that Emirates operates that don't start or end in Dubai,
[00:48:05.600 --> 00:48:10.560]   there is amazing award availability. So these are known as fifth freedom flights, they actually operate
[00:48:10.560 --> 00:48:16.960]   I think three, they operate four from North America. A lot of people are familiar with the routes that fly out of
[00:48:16.960 --> 00:48:23.200]   the New York area. So Emirates operates a flight from JFK specifically to Milan. They also operate a flight from
[00:48:23.200 --> 00:48:30.480]   Newark to Athens. So people are familiar with that, that can have amazing award availability over to Europe. But one of the
[00:48:30.480 --> 00:48:34.800]   the fifth freedom flights that I think is underrated underutilized for getting to Europe, especially
[00:48:34.800 --> 00:48:39.520]   depending on where you're based in the United States, is that Emirates operates a fifth freedom flight that
[00:48:39.520 --> 00:48:45.200]   leaves out of Mexico City, and flies directly to Barcelona has amazing award availability in terms of the
[00:48:45.200 --> 00:48:50.960]   number of seats they make available to book using points. And with Emirates, if you're booking round trip,
[00:48:50.960 --> 00:48:57.120]   specifically, the points price of those flights can be incredibly, incredibly competitive. So that is one
[00:48:57.120 --> 00:49:00.560]   airline that I think it makes sense to actually price flights out round trip rather than looking
[00:49:00.560 --> 00:49:05.920]   at them as one ways. But Emirates can be fantastic for families. And again, if your goal is to get to
