
[00:00:00.000 --> 00:00:02.000]   Okay
[00:26:26.700 --> 00:26:33.780]   object called image data bunch and an image data bunch represents all of the data you need to build a model and
[00:26:33.780 --> 00:26:41.020]   There's basically some factory methods which try to make it really easy for you to create that data bunch
[00:26:41.500 --> 00:26:47.260]   We'll talk more about this shortly, but a training set and the validation set with images and labels for you
[00:26:47.260 --> 00:26:50.820]   Now in this case we can see we need to extract the labels
[00:26:50.820 --> 00:26:53.500]   from the names
[00:26:53.500 --> 00:26:58.220]   Okay, so we're going to use from name re so for those of you that use Python
[00:26:58.220 --> 00:27:03.460]   You know re is the module in Python that does regular expressions things. That's really useful for extracting
[00:27:03.460 --> 00:27:06.700]   Text I just went ahead and created
[00:27:07.460 --> 00:27:14.440]   The regular expression that would extract the label from this text, okay, so those of you who?
[00:27:14.440 --> 00:27:19.060]   Not familiar with regular expressions super useful tool
[00:27:19.060 --> 00:27:25.580]   It'd be very useful to spend some time figuring out how and why that particular regular expression is going to extract
[00:27:25.580 --> 00:27:27.660]   the label
[00:27:27.660 --> 00:27:34.060]   From this text. Okay, so with this factory method we can basically say okay. I've got this path containing images
[00:27:34.900 --> 00:27:37.500]   This is a list of file names. Remember I got them back here
[00:27:37.500 --> 00:27:44.620]   This is the regular expression pattern that is going to be used to extract the label from the file name
[00:27:44.620 --> 00:27:47.620]   We'll talk about transforms later
[00:27:47.620 --> 00:27:52.180]   And then you also need to say what size images do you want to work with?
[00:27:52.180 --> 00:27:56.260]   So that might seem weird. Why do I need to say what size images?
[00:27:56.260 --> 00:28:03.220]   I want to work with because the images have a size we can see what size the images are and I guess honestly this is a
[00:28:03.860 --> 00:28:08.680]   Shortcoming of current deep learning technology, which is that a GPU
[00:28:08.680 --> 00:28:16.660]   Has to apply the exact same instruction to a whole bunch of things at the same time in order to be fast and
[00:28:16.660 --> 00:28:21.320]   So if the images are different shapes and sizes, it can't do that
[00:28:21.320 --> 00:28:27.020]   All right, so we actually have to make all of the images the same shape and size
[00:28:27.020 --> 00:28:31.260]   In part one of the course, we're always going to be making
[00:28:32.140 --> 00:28:36.860]   Images square shapes and part two will learn how to use rectangles as well
[00:28:36.860 --> 00:28:39.180]   It turns out to be surprisingly nuanced
[00:28:39.180 --> 00:28:46.620]   But pretty much everybody in pretty much all computer vision modeling nearly all of it uses this approach of square
[00:28:46.620 --> 00:28:54.880]   And 224 by 224 for reasons we'll learn about is an extremely common size that most models tend to use
[00:28:54.880 --> 00:28:57.220]   So if you just use size equals 224
[00:28:57.820 --> 00:29:01.980]   You're probably going to get pretty good results most of the time and this is kind of
[00:29:01.980 --> 00:29:08.680]   The little bits of art is in the ship that I want to teach you folks, which is like what generally just works
[00:29:08.680 --> 00:29:14.580]   Okay, so if you just use size equals 224 that'll generally just work for most things most of the time
[00:29:14.580 --> 00:29:18.500]   So this is going to return a
[00:29:18.500 --> 00:29:24.420]   Data bunch object and in fast AI everything you model with is going to be a data bunch object
[00:29:24.420 --> 00:29:27.540]   We're going to learn all about them and what's in them and how do we look at them and so forth?
[00:29:27.540 --> 00:29:29.940]   So basically a data bunch object contains
[00:29:29.940 --> 00:29:32.580]   two or three
[00:29:32.580 --> 00:29:35.180]   Data sets it contains your training data
[00:29:35.180 --> 00:29:43.700]   We'll learn about this shortly. It'll contain your validation data and optionally it contains your test data and for each of those it contains your
[00:29:43.700 --> 00:29:51.460]   Your images and your labels or your texts on your labels or your tabular data and your labels or so forth
[00:29:51.460 --> 00:29:55.020]   And that all sits there in this one place
[00:29:55.020 --> 00:29:58.140]   Something we'll learn more about a little bit is
[00:29:58.140 --> 00:30:04.260]   Normalization but generally in all nearly all machine learning tasks you have to make all of your data
[00:30:04.260 --> 00:30:09.500]   About the same size specifically about the same mean and about the same standard deviation
[00:30:09.500 --> 00:30:16.180]   So there's a normalized function that we can use to normalize our data bunch in that way
[00:30:19.700 --> 00:30:22.380]   Okay, Rachel come and ask the question
[00:30:22.380 --> 00:30:29.300]   What is the function do if the image size is not to 24?
[00:30:29.300 --> 00:30:32.540]   great, so
[00:30:32.540 --> 00:30:34.540]   This is what we're going to learn about shortly
[00:30:34.540 --> 00:30:40.580]   Basically this thing called transforms is is used to do a number of things and one of the things it does is to make something
[00:30:40.580 --> 00:30:43.100]   size 224
[00:30:43.100 --> 00:30:46.060]   Let's take a look at a few pictures. Here are a few pictures of
[00:30:46.580 --> 00:30:50.700]   Things from my data from my data bunch so you can see data.show batch
[00:30:50.700 --> 00:30:56.180]   Can be used to show me the contents of some of the contents of my data bunch
[00:30:56.180 --> 00:30:58.940]   So this is going to be three by three
[00:30:58.940 --> 00:31:04.100]   And you can see roughly what's happened is that they all seem to have been kind of
[00:31:04.100 --> 00:31:10.220]   Zoomed and cropped in a reasonably nice way. So basically what it'll do is something called by default
[00:31:10.220 --> 00:31:12.540]   center cropping
[00:31:12.540 --> 00:31:15.940]   Which means it'll kind of grab the middle bit and it will also
[00:31:16.500 --> 00:31:21.180]   Resize it so we'll talk more about the detail of this because it turns out to actually be quite important
[00:31:21.180 --> 00:31:25.780]   But basically a combination of cropping and resizing is used
[00:31:25.780 --> 00:31:31.060]   Something else we'll learn about is we also use this to do something called data augmentation
[00:31:31.060 --> 00:31:35.820]   So there's actually some randomization in how much and where it crops and stuff like that
[00:31:35.820 --> 00:31:40.900]   Okay, but that's the basic idea is some cropping and some resizing
[00:31:40.900 --> 00:31:46.180]   But often we also also do some some padding so there's all kinds of different ways
[00:31:46.180 --> 00:31:49.460]   And it depends on data augmentation, which we're going to learn about shortly
[00:31:49.460 --> 00:31:54.100]   And what does it mean to normalize the images?
[00:31:54.100 --> 00:31:59.980]   So I'm normalizing the images we're going to be learning more about later in the course
[00:31:59.980 --> 00:32:06.820]   But in short it means that the the pixel values and we're going to be learning more about pixel values the pixel values start out
[00:32:06.820 --> 00:32:12.540]   from 0 to 255 and some pixel values might tend to be
[00:32:12.540 --> 00:32:16.060]   really I
[00:32:16.060 --> 00:32:20.460]   Should say some channels because there's red green and blue so some channels might tend to be
[00:32:20.460 --> 00:32:26.180]   Really bright and some might tend to be really not bright at all and some might vary a lot and some might not very much
[00:32:26.180 --> 00:32:26.900]   at all
[00:32:26.900 --> 00:32:33.420]   It really helps train a deep learning model if each one of those red green and blue channels has a mean of zero
[00:32:33.740 --> 00:32:37.860]   And a standard deviation of one. Okay, we'll learn more about that if you
[00:32:37.860 --> 00:32:44.340]   Haven't studied or don't remember means and standard deviations. We'll get back to some of that later, but that's the basic idea
[00:32:44.340 --> 00:32:49.380]   That's what normalization does if your data and again, we'll learn much more about the details
[00:32:49.380 --> 00:32:54.900]   But if your data is not normalized it can be quite difficult for your model to train well
[00:32:54.900 --> 00:32:58.980]   So if you do have trouble training a model one thing to check is that you've normalized it
[00:33:00.260 --> 00:33:08.600]   As GPU man will be empowered to doesn't size 256 on more practical considering GPU little utilization
[00:33:08.600 --> 00:33:14.820]   So what we're going to be getting into that shortly, but the brief answer is that the
[00:33:14.820 --> 00:33:19.580]   Models are designed so that the final layer is of size 7 by 7
[00:33:19.580 --> 00:33:26.380]   So we actually want something where if you go 7 times to a bunch of times then you end up with something. It's a good size
[00:33:27.220 --> 00:33:32.320]   Yeah, all of these details we are gonna we are going to get to but the key thing is I wanted to get you
[00:33:32.320 --> 00:33:34.320]   Training a model as quickly as possible
[00:33:34.320 --> 00:33:40.380]   But you know one of the most important things to be a really good practitioner is to be able to look at your data
[00:33:40.380 --> 00:33:45.420]   Okay, so it's really important to remember to go data show batch and take a look
[00:33:45.420 --> 00:33:49.960]   It's surprising how often when you actually look at the data set you've been given that you realize it's got
[00:33:49.960 --> 00:33:55.660]   Weird black borders on it or some of the things have text covering up some of it or some of its rotated in odd ways
[00:33:55.820 --> 00:33:57.820]   So make sure you take a look
[00:33:57.820 --> 00:34:03.660]   And then the other thing we're going to look at do is not just look at the pictures
[00:34:03.660 --> 00:34:08.020]   But also look at the labels and so all of the possible
[00:34:08.020 --> 00:34:10.220]   label names
[00:34:10.220 --> 00:34:15.580]   Accord your classes. That's where the data bunch you can print out your data dot classes
[00:34:15.580 --> 00:34:22.540]   And so here they are that's all of the possible labels that we found by using that regular expression on the file names
[00:34:22.540 --> 00:34:27.200]   And we learned earlier on in that pros are right at the top that there are 37
[00:34:27.200 --> 00:34:32.660]   Possible categories and so just checking length data dot classes. It is indeed 37
[00:34:32.660 --> 00:34:36.480]   A data bunch will always have a property called C
[00:34:36.480 --> 00:34:41.920]   And that property called C the technical details will kind of get to later
[00:34:41.920 --> 00:34:45.100]   But for now you can kind of think of it as being the number of classes
[00:34:45.100 --> 00:34:52.100]   For things like regression problems and multi-label classification and stuff. That's not exactly accurate
[00:34:52.220 --> 00:34:53.980]   But it'll do for now
[00:34:53.980 --> 00:34:57.940]   It's it's important to know that data dot C is a really
[00:34:57.940 --> 00:35:04.860]   Important piece of information that is something like or at least for classification problems. It is the number of classes
[00:35:04.860 --> 00:35:11.260]   Right believe it or not. We're now ready to train a model and
[00:35:11.260 --> 00:35:19.380]   So a model is trained in fast AI using something called a learner
[00:35:19.380 --> 00:35:24.520]   And just like a data bunch is a general fast AI concept for your data
[00:35:24.520 --> 00:35:29.560]   And from there there are subclasses for particular applications
[00:35:29.560 --> 00:35:32.140]   like image data bunch
[00:35:32.140 --> 00:35:36.140]   Alona is a general concept for things that can learn
[00:35:36.140 --> 00:35:41.720]   To fit the model and from that there are various subclasses to make things easier and in particular
[00:35:41.720 --> 00:35:47.380]   There's one called conf loner, which is something that will create a convolutional neural network for you
[00:35:47.380 --> 00:35:50.460]   We'll be learning a lot about that over the next few lessons
[00:35:50.460 --> 00:35:59.440]   But for now just know that to create a learner for a convolutional neural network. You just have to tell it two things the first is
[00:35:59.440 --> 00:36:06.560]   What's your data and not surprisingly it takes a data bunch and the second thing you need to tell it is?
[00:36:06.560 --> 00:36:08.820]   What's your model?
[00:36:08.820 --> 00:36:10.820]   Or what's your architecture?
[00:36:10.820 --> 00:36:16.160]   So as we learned there are lots of different ways of constructing a convolutional neural network
[00:36:17.020 --> 00:36:23.400]   But for now the most important thing for you to know is that there's a particular kind of model called a resnet
[00:36:23.400 --> 00:36:25.780]   Which works extremely?
[00:36:25.780 --> 00:36:31.940]   Well nearly all the time and so for a while at least you really only need to be doing
[00:36:31.940 --> 00:36:36.580]   Choosing between two things which is what size resnet do you want?
[00:36:36.580 --> 00:36:41.220]   That's just basically how big is it and we'll learn all about the details of what that means
[00:36:41.380 --> 00:36:47.660]   But there's one quarter resnet 34 and there's one quarter resnet 50 and so when we're getting started with something
[00:36:47.660 --> 00:36:49.820]   I'll pick a smaller one because it'll train faster
[00:36:49.820 --> 00:36:51.700]   so
[00:36:51.700 --> 00:36:58.420]   That's kind of it. That's as much as you need to know to be a pretty good practitioner about architectures for now, which is that there's two
[00:36:58.420 --> 00:37:02.180]   Architectures or two variants of one architecture that work pretty well
[00:37:02.180 --> 00:37:06.580]   Resnet 34 and resnet 50 start with a smaller one and see if it's good enough
[00:37:07.180 --> 00:37:12.100]   So that is all the information we need to create a convolutional neural network learner
[00:37:12.100 --> 00:37:16.660]   There's one other thing I'm going to give it though, which is a list of metrics
[00:37:16.660 --> 00:37:20.280]   Metrics are literally just things that get printed out as it's training
[00:37:20.280 --> 00:37:24.780]   So I'm saying I would like you to print out the error rate, please
[00:37:24.780 --> 00:37:29.220]   Now you can see the first time I ran this on a newly installed box
[00:37:29.220 --> 00:37:32.060]   It downloaded something
[00:37:32.060 --> 00:37:34.740]   What's it downloading? It's downloading
[00:37:35.620 --> 00:37:37.620]   the resnet 34
[00:37:37.620 --> 00:37:39.980]   pre-trained weights
[00:37:39.980 --> 00:37:45.020]   Now what this means is that this particular model has actually already been trained
[00:37:45.020 --> 00:37:51.260]   For a particular task and that particular task is that it was trained on looking at about one and a half million
[00:37:51.260 --> 00:37:55.380]   Pictures of all kinds of different things a thousand different categories of things
[00:37:55.380 --> 00:37:59.060]   using an image a data set called image net and
[00:37:59.580 --> 00:38:05.840]   So we can download those pre-trained weights so that we don't start with a model that knows nothing about anything
[00:38:05.840 --> 00:38:12.380]   But we actually start with a model that knows how to recognize the a thousand categories of things in image net
[00:38:12.380 --> 00:38:19.580]   Now I don't think I'm not sure but I don't think all of these 37 categories of pet or in image net
[00:38:19.580 --> 00:38:23.380]   But there were certainly some kinds of dog. There's certainly some kinds of cat
[00:38:23.860 --> 00:38:31.060]   So this pre-trained model already knows quite a little bit about what pets look like and it certainly knows quite a lot about
[00:38:31.060 --> 00:38:36.020]   What animals look like and what photos look like? So the idea is that we don't start
[00:38:36.020 --> 00:38:38.700]   With a model that knows nothing at all
[00:38:38.700 --> 00:38:41.520]   But we start by downloading a model that knows
[00:38:41.520 --> 00:38:44.420]   something about recognizing images already
[00:38:44.420 --> 00:38:51.700]   So it downloads for us automatically the first time we use it a pre-trained model and then from now on it won't need to download it
[00:38:51.700 --> 00:38:53.700]   Again, it'll just use the one we've got
[00:38:54.100 --> 00:38:57.260]   This is really important. We're going to learn a lot about this
[00:38:57.260 --> 00:39:02.260]   It's kind of the focus of the whole course, which is how to do this is called transfer learning
[00:39:02.260 --> 00:39:06.860]   how to take a model that already knows how to do something pretty well and
[00:39:06.860 --> 00:39:10.080]   Make it so that it can do your thing really well
[00:39:10.080 --> 00:39:18.320]   I take a pre-trained model and then we fit it so that instead of predicting the a thousand categories of image net with the image
[00:39:18.320 --> 00:39:22.900]   Net data it predicts the 37 categories of pets using your pet data
[00:39:23.500 --> 00:39:27.140]   And it turns out that by doing this you can train models in
[00:39:27.140 --> 00:39:31.220]   1/100 or less of the time of
[00:39:31.220 --> 00:39:34.020]   regular model training with
[00:39:34.020 --> 00:39:40.820]   1/100 or less of the data of regular model training in fact potentially many thousands of times less
[00:39:40.820 --> 00:39:47.220]   Remember I showed you the slide of nickels lesson one project from last year. He used 30 images
[00:39:47.220 --> 00:39:50.860]   And there's not cricket and baseball images in image net
[00:39:51.100 --> 00:39:55.920]   Right, but it just turns out that image nets already so good at recognizing things in the world
[00:39:55.920 --> 00:40:01.780]   They're just 30 examples of people playing baseball and cricket was enough to build a nearly perfect classifier
[00:40:01.780 --> 00:40:04.300]   Okay
[00:40:04.300 --> 00:40:06.060]   now
[00:40:06.060 --> 00:40:08.060]   You would naturally be
[00:40:08.060 --> 00:40:11.380]   Potentially saying well wait a minute
[00:40:11.380 --> 00:40:20.300]   How do you know that it was going to actually that it can actually recognize pictures of people playing cricket versus baseball in general?
[00:40:20.420 --> 00:40:22.780]   Maybe it just learned to recognize those 30
[00:40:22.780 --> 00:40:29.340]   Maybe it's just cheating right and it's called overfitting. We'll be talking a lot about that during this course, right?
[00:40:29.340 --> 00:40:34.620]   But overfitting is where you don't learn to recognize pictures of say cricket versus baseball
[00:40:34.620 --> 00:40:40.940]   But just these particular cricketers and these particular photos and these particular baseball players and these particular photos
[00:40:40.940 --> 00:40:43.660]   We have to make sure that we don't know the theater
[00:40:43.660 --> 00:40:50.360]   And so the way we do that is using something called a validation set a validation set is a set of images
[00:40:50.360 --> 00:40:54.760]   That your model does not get to look at and so these metrics
[00:40:54.760 --> 00:41:02.840]   Like in this case error rate get printed out automatically using the validation set a set of images that our model never got to see
[00:41:02.840 --> 00:41:05.920]   When we created our data bunch
[00:41:05.920 --> 00:41:09.840]   It automatically created a validation set for us
[00:41:09.840 --> 00:41:15.000]   Okay, and we'll learn lots of ways of creating and using validation sets
[00:41:15.240 --> 00:41:20.840]   But because we try to bake in all of the best practices we actually make it nearly impossible
[00:41:20.840 --> 00:41:26.240]   For you not to use a validation set because if you're not using a validation set, you don't know if you're overfitting
[00:41:26.240 --> 00:41:30.640]   Okay, so we always print out the metrics on a validation set. We always hold it out
[00:41:30.640 --> 00:41:34.560]   We always make sure that the model doesn't touch it. That's all done for you
[00:41:34.560 --> 00:41:39.080]   Okay, and that's all built into this data bunch object
[00:41:39.080 --> 00:41:42.320]   So now that we have a conf loader
[00:41:42.320 --> 00:41:44.680]   We can fit it
[00:41:45.000 --> 00:41:47.540]   You can just use a method called fit
[00:41:47.540 --> 00:41:52.220]   But in practice, you should nearly always use a method called fit one cycle
[00:41:52.220 --> 00:41:58.280]   We'll learn more about this during the course. But in short one cycle learning is a paper that was
[00:41:58.280 --> 00:42:00.280]   released
[00:42:00.280 --> 00:42:03.440]   I'm trying to think a few months ago. Listen a year ago
[00:42:03.440 --> 00:42:06.360]   Yeah, so a few months ago
[00:42:06.360 --> 00:42:12.080]   And it turned out to be dramatically better both more accurate and faster than any previous approach
[00:42:12.080 --> 00:42:14.700]   So again, I don't want to teach you how to do
[00:42:15.700 --> 00:42:19.660]   2017 deep learning right in 2018
[00:42:19.660 --> 00:42:24.020]   The best way to fit models is to use something called one cycle. We'll learn all about it
[00:42:24.020 --> 00:42:28.720]   But for now just know you should probably type my own dot fit one cycle, right?
[00:42:28.720 --> 00:42:34.620]   If you forget how to type it you can start typing a few letters and hit tab
[00:42:34.620 --> 00:42:38.420]   Okay, and you'll get a list of potential options
[00:42:38.420 --> 00:42:43.520]   All right, and then if you forget what to pass it you can press shift tab
[00:42:44.280 --> 00:42:49.060]   And it'll show you exactly what passes so you don't actually have to type help and again
[00:42:49.060 --> 00:42:52.720]   This is kind of nice that we have all the types here because we can see cycle length
[00:42:52.720 --> 00:42:56.800]   I will learn more about what that is shortly is an integer and then max learning rate
[00:42:56.800 --> 00:43:03.240]   It could either be a float or a collection or whatever and so forth and you can see that the mentors will default to this couple
[00:43:03.240 --> 00:43:07.360]   Okay, so
[00:43:07.600 --> 00:43:15.840]   For now just know that this number four basically decides how many times do we go through the entire data set?
[00:43:15.840 --> 00:43:20.360]   How many times do we show the data set to the model so that it can learn from it each time?
[00:43:20.360 --> 00:43:22.480]   It sees a picture. It's going to get a little bit better
[00:43:22.480 --> 00:43:25.280]   But it's going to take time and
[00:43:25.280 --> 00:43:29.400]   It means it could over fit it sees the same picture too many times
[00:43:29.400 --> 00:43:33.040]   It'll just learn to recognize that picture not pets in general
[00:43:34.440 --> 00:43:37.160]   So we'll learn all about how to
[00:43:37.160 --> 00:43:41.220]   tune this number during the next couple of lessons
[00:43:41.220 --> 00:43:43.200]   but
[00:43:43.200 --> 00:43:49.860]   Starting out with four is a pretty good start just to see how it goes and you can actually see after
[00:43:49.860 --> 00:43:52.700]   four epochs or four cycles
[00:43:52.700 --> 00:43:55.200]   We've got an error rate of
[00:43:55.200 --> 00:43:57.840]   six percent
[00:43:57.840 --> 00:44:04.180]   So a natural question is how long did that took that took a minute and 56 seconds?
[00:44:04.580 --> 00:44:06.940]   Yeah, so we're paying you know
[00:44:06.940 --> 00:44:09.460]   60 cents an hour
[00:44:09.460 --> 00:44:11.780]   We just paid for two minutes of time
[00:44:11.780 --> 00:44:16.180]   I mean we actually pay for the whole time that it's on and running if we use two minutes of compute time
[00:44:16.180 --> 00:44:19.200]   and we got an error rate of six percent, so
[00:44:19.200 --> 00:44:23.700]   94 percent of the time we correctly picked the exact right one
[00:44:23.700 --> 00:44:29.060]   Of those 94 dog and cat breeds which feels pretty good to me
[00:44:29.060 --> 00:44:33.180]   But to get a sense of how good it is maybe we should go back and look at the paper
[00:44:34.100 --> 00:44:40.120]   Just remember I said the nice thing about using academic papers or Kaggle data sets is we can compare
[00:44:40.120 --> 00:44:45.380]   our solution to whatever the best people in Kaggle did or whatever the
[00:44:45.380 --> 00:44:51.060]   academics did so this particular data set of pet breeds is from 2012 and
[00:44:51.060 --> 00:44:56.300]   If I scroll through the paper you'll generally find in any academic paper
[00:44:56.300 --> 00:45:01.900]   There'll be a section called experiments about two-thirds of the way through and if you find the section on experiments
[00:45:02.060 --> 00:45:07.500]   Then you can find the section on accuracy, and they've got lots of different models
[00:45:07.500 --> 00:45:13.380]   And their models as you'll read about in the paper are extremely kind of pet specific
[00:45:13.380 --> 00:45:18.900]   They learn something about how pet heads look and how pet bodies look and pet images in general look
[00:45:18.900 --> 00:45:21.860]   They combine them all together and once they use all of this
[00:45:21.860 --> 00:45:26.140]   complex code and math they got an accuracy of
[00:45:26.140 --> 00:45:29.140]   59%
[00:45:29.140 --> 00:45:31.140]   Okay, so in 2012
[00:45:31.420 --> 00:45:38.940]   This highly pet specific analysis got an accuracy of 59% at least with the top researchers from Oxford University
[00:45:38.940 --> 00:45:41.460]   today in
[00:45:41.460 --> 00:45:43.140]   2018
[00:45:43.140 --> 00:45:44.620]   with
[00:45:44.620 --> 00:45:49.700]   Basically, if you go back and look at actually how much code we just wrote it's about three lines of code
[00:45:49.700 --> 00:45:53.580]   The other stuff is just printing out things to see what we're doing we got
[00:45:53.580 --> 00:45:59.340]   94% so 6% error so like that gives you a sense of
[00:46:00.020 --> 00:46:06.340]   You know how far we've come with deep learning and particularly with pytorch and fast AI how easy things are
[00:46:06.340 --> 00:46:09.460]   Yes, so
[00:46:09.460 --> 00:46:12.860]   Before we take a break. I just want to check to see if we've got any
[00:46:12.860 --> 00:46:18.580]   And just remember if you're in the audience and you see a question that you want asked
[00:46:18.580 --> 00:46:23.580]   Please click the love heart next to it so that Rachel knows that you want to hear about it also
[00:46:23.820 --> 00:46:31.900]   If there is something with six likes and Rachel didn't notice it, which is quite possible just just quote it in a reply and say
[00:46:31.900 --> 00:46:38.260]   Hey at Rachel this one's got six legs. Okay, so what we're going to do is we're going to take a
[00:46:38.260 --> 00:46:42.900]   Eight minute break, so we'll come back at five past eight
[00:46:42.900 --> 00:46:48.620]   So where we got to was we just we just trained a model
[00:46:48.620 --> 00:46:51.340]   We don't exactly know what that involved or how it happened
[00:46:51.340 --> 00:46:56.540]   but we do know that with three or four lines of code we built something which
[00:46:56.540 --> 00:46:59.780]   smashed the accuracy of the state-of-the-art of
[00:46:59.780 --> 00:47:06.500]   2012 6% error certainly sounds like pretty impressive for something that can recognize different dog breeds and cat breeds
[00:47:06.500 --> 00:47:15.300]   But we don't really know why it works, but we won't that's okay, right and
[00:47:15.300 --> 00:47:19.380]   In terms of getting the most out of this course
[00:47:19.460 --> 00:47:21.460]   we
[00:47:21.460 --> 00:47:26.820]   Very very regularly here after the course is finished the same basic feedback
[00:47:26.820 --> 00:47:30.500]   Which this is literally copy and paste it for them forum
[00:47:30.500 --> 00:47:37.660]   I fell into the habit of watching the lectures too much and googling too much about concepts without running the code
[00:47:37.660 --> 00:47:41.540]   Now first I thought I should just read it and then research the theory
[00:47:41.540 --> 00:47:47.580]   And we keep hearing people saying my number one regret is I just spent
[00:47:47.980 --> 00:47:53.540]   70 hours doing that and at the very end I started running the code and oh it turned out
[00:47:53.540 --> 00:47:57.000]   I learned a lot more so please run the code
[00:47:57.000 --> 00:47:59.900]   really run the code I
[00:47:59.900 --> 00:48:06.220]   Should have spent the majority of my time on the actual code in the notebooks running it seeing what goes in and
[00:48:06.220 --> 00:48:13.700]   Seeing what comes out so your most important skills to practice our learning and we're going to show you how to do this
[00:48:13.700 --> 00:48:17.060]   Not a lot more detail, but understanding what goes in
[00:48:17.700 --> 00:48:19.700]   And what goes out?
[00:48:19.700 --> 00:48:23.260]   So we've already seen an example of looking at what goes in
[00:48:23.260 --> 00:48:29.080]   Which is data show batch and that's going to show you examples of labels and
[00:48:29.080 --> 00:48:31.540]   images and
[00:48:31.540 --> 00:48:35.060]   So next we're going to be seeing how to look at what came out
[00:48:35.060 --> 00:48:37.980]   All right, so that's the most important thing to study
[00:48:37.980 --> 00:48:40.740]   as I said
[00:48:40.740 --> 00:48:47.620]   The reason we've been able to do this so quickly is heavily because of the fast AI library now fast AI library is pretty new
[00:48:47.620 --> 00:48:53.260]   But it's already getting an extraordinary amount of traction as you've seen all of the major cloud
[00:48:53.260 --> 00:49:00.260]   Providers either support it or are about to support it a lot of researchers are starting to use it. It's it's
[00:49:00.260 --> 00:49:08.300]   Doing making a lot of things a lot easier, but it's also making new things possible and so
[00:49:09.140 --> 00:49:13.340]   Really understanding the fast AI software is something which is going to take you a long way
[00:49:13.340 --> 00:49:18.340]   And the best way to really understand the fast AR software. Well is by using the fast AI
[00:49:18.340 --> 00:49:23.380]   Documentation and we'll be learning more about the fast AI documentation shortly
[00:49:23.380 --> 00:49:31.140]   So how does it compare I mean there's really only one major other piece of software like fast AI
[00:49:31.140 --> 00:49:33.780]   That is something that tries to make deep learning
[00:49:34.380 --> 00:49:39.020]   Easy to use and that's Keras Keras is a really terrific piece of software
[00:49:39.020 --> 00:49:43.500]   We actually used it for the previous courses until we switched to fast AI
[00:49:43.500 --> 00:49:46.820]   It runs on top of TensorFlow
[00:49:46.820 --> 00:49:53.100]   It was kind of the gold standard for making big learning easy to use before but life is much easier with fast AI
[00:49:53.100 --> 00:49:56.340]   So if you look for example at the last year's course
[00:49:56.340 --> 00:49:59.260]   Exercise which is getting dogs versus cats
[00:50:01.700 --> 00:50:08.620]   Fast AI lets you get more much more accurate less than half the error on a validation set of course
[00:50:08.620 --> 00:50:11.660]   training time is
[00:50:11.660 --> 00:50:13.660]   less than half the time
[00:50:13.660 --> 00:50:19.060]   Lines of code is about a six of the lines of code and the lines of code
[00:50:19.060 --> 00:50:26.580]   More important than you might realize because those 31 lines of Keras code involve you making a lot of decisions
[00:50:27.580 --> 00:50:32.700]   Setting lots of parameters doing lots of configuration. So that's all stuff where you have to know
[00:50:32.700 --> 00:50:38.160]   How to set those things to get kind of best practice results or else these five lines of code
[00:50:38.160 --> 00:50:43.900]   Any time we know what to do for you. We do it for you any time. We can pick a good default we pick it for you
[00:50:43.900 --> 00:50:45.860]   okay, so
[00:50:45.860 --> 00:50:48.260]   Hopefully you'll find this a really useful
[00:50:48.260 --> 00:50:54.540]   Library not just for learning deep learning but for taking it a very long way. How far can you take it?
[00:50:54.980 --> 00:50:58.460]   Well, as you'll see all of the research that we do at fast AI
[00:50:58.460 --> 00:51:04.740]   Uses the library and an example of the research we did which was recently featured in wired
[00:51:04.740 --> 00:51:07.380]   describes a new
[00:51:07.380 --> 00:51:12.980]   Breakthrough in a natural language process processing which people are calling the image net moment
[00:51:12.980 --> 00:51:18.040]   Which is basically we broken use date-of-the-art result in text classification
[00:51:18.420 --> 00:51:25.380]   Which open AI then built on top of our paper to do with more compute and more data and some different tasks to take it
[00:51:25.380 --> 00:51:27.380]   even further
[00:51:27.380 --> 00:51:34.180]   Like this is an example of something that we've done in the last six months in conjunction actually with my colleagues Sebastian Ruder
[00:51:34.180 --> 00:51:42.780]   Example of something that's being built in the fast AI library and you're going to learn how to use this brand-new model in
[00:51:43.420 --> 00:51:49.700]   Three lessons time and you're actually going to get this exact result from this exact paper yourself
[00:51:49.700 --> 00:51:54.140]   Another example one of our alums
[00:51:54.140 --> 00:51:56.620]   Hamel Hussein
[00:51:56.620 --> 00:52:04.180]   Who you'll come across on the forum plenty because he's a great guy very active built a new system for natural language semantic code search
[00:52:04.180 --> 00:52:06.180]   You can find it on github
[00:52:06.180 --> 00:52:13.300]   Where you can actually type in English sentences and find snippets of code that do the thing you ask for and again?
[00:52:13.300 --> 00:52:18.780]   It's being built with the fast AI library using the techniques. You'll be learning in the next seven weeks in production
[00:52:18.780 --> 00:52:26.220]   Yeah, well, it's I think at this stage. It's a part of their experiments platform. So it's kind of pre-production I guess
[00:52:26.220 --> 00:52:34.260]   And so the best place to learn about these things and get involved in these things is on the forums
[00:52:34.260 --> 00:52:40.820]   Where as well as categories for each part of the course, and there's also a general category for deep learning where people talk about
[00:52:41.700 --> 00:52:44.600]   Research papers applications, so on and so forth
[00:52:44.600 --> 00:52:47.620]   so
[00:52:47.620 --> 00:52:49.620]   Even though today
[00:52:49.620 --> 00:52:55.940]   We're kind of going to focus on a small number of lines of code to do a particular thing, which is image classification
[00:52:55.940 --> 00:53:03.420]   And we're not learning much math or theory or whatever over these seven weeks and then part two another seven weeks
