
[00:00:00.000 --> 00:00:06.360]   let me do that real quick and this is my friend uh he has consultancy and he's trying to stand up
[00:33:48.860 --> 00:33:56.300]   here's some tabular data and then eventually you get to this and the other plot that you get to
[00:33:56.300 --> 00:34:05.420]   is maybe um well okay so i did this i don't think the details you guys really care about a lot um but
[00:34:05.420 --> 00:34:10.780]   like so okay first of all we're you know this is how we ended up with this plot is we embedded those
[00:34:10.780 --> 00:34:18.700]   stuff any any questions about that so this is partly about my workflow and stuff so if you have like
[00:34:18.700 --> 00:34:28.140]   workflow questions or whatever um that's great too and and so okay um how we did this how did we do this
[00:34:28.140 --> 00:34:38.460]   well um again not nothing no rocket science here but um if you look here uh you know basically um we
[00:34:39.020 --> 00:34:49.580]   you know sort of like for every gene we submit batch requests to uh open ai so um the open ai embeddings
[00:34:49.580 --> 00:34:55.580]   are all old but they have a couple advantages one is that they're matryoshka embeddings so um
[00:34:55.580 --> 00:35:01.580]   you guys are you guys familiar with matryoshka embeddings is it like a really good concept to know about
[00:35:03.740 --> 00:35:10.860]   um yeah but there was one question in the chat about how are you quantifying which one is better
[00:35:10.860 --> 00:35:16.540]   as in which metric so i think about that last graphic oh okay this one yeah so this is the
[00:35:16.540 --> 00:35:24.940]   f1 score so meaning um and this is actually a like an insightful question yeah go ahead uh i know i meant
[00:35:24.940 --> 00:35:30.140]   to ask about the like um when you were looking at the umap graphs you were saying that somehow the
[00:35:30.140 --> 00:35:35.500]   embeddings are better so this is um so you're quantifying it using that one score uh the same
[00:35:35.500 --> 00:35:46.780]   models right yeah yeah and so in the f1 score is a little bit like it's not a great f1 score is only makes
[00:35:46.780 --> 00:35:54.860]   sense if you have all of the cell types uh in the same level in the hierarchy right so like way back
[00:35:54.860 --> 00:36:03.020]   in the beginning of the presentation here i i you know like you have these this hierarchy if you have
[00:36:03.020 --> 00:36:09.740]   like some cell types here and some cell types here even if you're correct you might get it quote unquote
[00:36:09.740 --> 00:36:16.140]   wrong and so the f1 score doesn't work super well for for like sort of broad data sets but it works well
[00:36:16.140 --> 00:36:23.340]   for uh the data set i'm using to test here because that tabular sapient data set all of the cell types
[00:36:23.340 --> 00:36:29.420]   are at the same level in the hierarchy does that make sense yeah so for broad cell types what kind of metrics
[00:36:29.420 --> 00:36:37.020]   you use uh sorry what what kind of um like when you are taking from different families what kind of metrics
[00:36:37.020 --> 00:36:45.980]   do you use other than f1 uh so f1 precision recall uh no i'm uh i meant you said f1 is good for this
[00:36:45.980 --> 00:36:52.220]   particular data set oh i see okay yeah let me i'm gonna get to that so let me let me answer that in a
[00:36:52.220 --> 00:36:58.300]   little bit that's a great question it's actually one of our most important questions um yeah
[00:36:59.180 --> 00:37:09.900]   i i will answer that um okay so uh yes so let's see um yeah okay so and i don't i mean like there's
[00:37:09.900 --> 00:37:14.940]   no magic here most of this crowd probably knows how to do this if you don't i'll like go over it really
[00:37:14.940 --> 00:37:23.420]   briefly but you basically um you know like to in order to embed things with open ai you basically you
[00:37:23.420 --> 00:37:31.420]   you know upload all your um text to open ai in batch usually and then like so you create these files
[00:37:31.420 --> 00:37:37.500]   and then you just create a batch job and it will you know for something like i think it's half the price
[00:37:37.500 --> 00:37:46.060]   um it will just happily turn away at it for up to a day depending on the size of the data set i think
[00:37:46.060 --> 00:37:52.460]   you can see here for and interestingly for larger data sets the throughput is much higher but you can see
[00:37:52.460 --> 00:38:02.140]   like um you know for 30 000 descriptions it took me what about an hour not even an hour half an hour or 40
[00:38:02.140 --> 00:38:09.500]   minutes right so like um and it cost me like a dollar or something so like it's pretty amazingly cheap
[00:38:09.500 --> 00:38:19.180]   um and and because their batch api is so well like it's designed for like massive projects so like it's
[00:38:19.180 --> 00:38:25.900]   super robust like you just send it stuff and you get back stuff in a little while and it works well and
[00:38:25.900 --> 00:38:30.780]   like it's they've thought through all the failure conditions and how to restart and whatever so
[00:38:30.780 --> 00:38:38.220]   like i i was like really pleasantly surprised at how well it works versus trying to manage all that
[00:38:38.220 --> 00:38:47.100]   yourself and it's half the price um okay so uh yeah so that's that's like sort of how we generate it and
[00:38:47.100 --> 00:38:53.500]   then you know so we generate all these embeddings we try it on different um embedding types and i was kind
[00:38:53.500 --> 00:39:00.380]   of thinking that you know my hypothesis beforehand was that like actually adding extraneous or like
[00:39:00.380 --> 00:39:07.660]   less gene specific information and more about like the you know diseases and pathways and interact drug
[00:39:07.660 --> 00:39:14.060]   interactions and whatever that it would it would like not help or hurt the performance of the classifier
[00:39:14.060 --> 00:39:19.260]   but it actually was wrong my hypothesis was wrong and it actually does like just adding more information
[00:39:19.260 --> 00:39:28.940]   about the gene just does tend to help um and it helped close the gap on the scgpt so um and then i've
[00:39:28.940 --> 00:39:33.340]   uploaded this all the hugging face so you can if you want to just use it for some reason then you can
[00:39:33.340 --> 00:39:44.140]   just go and use it um okay and then uh so that's the that's like how we generated the the embeddings okay
[00:39:44.140 --> 00:39:50.700]   so good um any questions oh i was going to mention matryska embeddings they're also this useful thing
[00:39:50.700 --> 00:40:02.940]   where uh 30 78 dimensions in the uh open ai large um embeddings but they were designed in such a way and
[00:40:02.940 --> 00:40:08.780]   you can read the matryska embeddings uh paper to understand the details but they're designed in such a way
[00:40:09.340 --> 00:40:14.860]   that you can chop off the higher dimensions and they most of the information is contained in the lower
[00:40:14.860 --> 00:40:22.300]   dimensions so that you can kind of adjust how much data you want to store and process versus how much
[00:40:22.300 --> 00:40:29.260]   you want to how what performance level you need and even there are some cases when lower
[00:40:30.220 --> 00:40:39.580]   dimensions do better than higher higher number of dimensions so um so we uh yeah so we we ended up
[00:40:39.580 --> 00:40:45.980]   using um i don't know for i'll explain we ended up chopping the dimensionality but using the starting
[00:40:45.980 --> 00:40:57.260]   with the 30 78 dimensions okay cool so uh let's see where are we um sorry one in the driveway yeah
[00:40:57.900 --> 00:41:06.860]   sorry guys um okay so uh so then the next thing that we did was we took okay so now we have this
[00:41:06.860 --> 00:41:13.100]   like sort of we okay we kind of believe this works we have some embeddings we like um you know we have
[00:41:13.100 --> 00:41:19.580]   it we didn't we weren't very rigorous on this because one is it it's very pragmatically focused on helping
[00:41:20.140 --> 00:41:26.540]   customers to get good results so we're i mean not that we shouldn't be doing evals we absolutely have
[00:41:26.540 --> 00:41:33.180]   to be doing evals but our focus is okay let's just learn about how these models work before we start
[00:41:33.180 --> 00:41:38.860]   doing really rigorous eval so and i think we've gotten to the point now and i'll discuss where we
[00:41:38.860 --> 00:41:47.580]   not need to start doing more uh rigorous evals so here's um let's see let's start here so now let's
[00:41:47.580 --> 00:41:55.660]   load um this gene select gmv2 um this is a hundred million cells it's about i don't want to say i don't
[00:41:55.660 --> 00:42:01.580]   want to get this wrong but i think it's a like maybe five or six terabytes of data so it's pretty big data
[00:42:01.580 --> 00:42:11.100]   it's not massive but it's not small either um and uh and then so one thing i so one thing about this
[00:42:11.100 --> 00:42:18.380]   type of data is it's saved in this kind of uh interesting file format that it kind of it's like
[00:42:18.380 --> 00:42:27.500]   a file system in a file and it allows you to store um like the the sparse uh gene expression data but then
[00:42:27.500 --> 00:42:35.020]   also all the vectors of labels and other things and then all sorts of metadata and so that this is
[00:42:35.020 --> 00:42:41.340]   like the standard way that you um represent this data but it's it what the the consequence of this
[00:42:41.340 --> 00:42:49.260]   very flexible format is that the data is like like first of all there's a lot of cruft data that you
[00:42:49.260 --> 00:42:55.580]   in any given uh circumstance you don't really care about or it's not cruft but it's like irrelevant data
[00:42:55.580 --> 00:43:01.900]   and then um there's also means that different people put different like names on the same things
[00:43:01.900 --> 00:43:07.580]   and all sorts of like it's not a very super well standardized so that you know there's a lot of
[00:43:07.580 --> 00:43:16.620]   pre-processing you have to do so i actually ended up writing a script um to extract a bunch of or like
[00:43:16.620 --> 00:43:25.100]   certain metadata form uh and write it to a certain metadata and write it to parquet files so that i can do quick
[00:43:25.100 --> 00:43:32.540]   analysis on the um on the metadata for the whole data set so there's a thousand or so files and i
[00:43:32.540 --> 00:43:39.180]   wanted to be able to read the metadata and do statistics on them both so that we can curate a
[00:43:39.180 --> 00:43:50.140]   good training set um so i did so i created um the metadata in this file and i can talk it again that's an open
[00:43:50.140 --> 00:43:55.900]   source project it's right here it's called um and data metadata it's on github i can share that as well
[00:43:55.900 --> 00:44:07.740]   um and what it does is it creates uh you know these um uh these uh these parquet files that you can use
[00:44:07.740 --> 00:44:15.260]   to you can query it with duckdb you can load it as um in in pandas or whatever your tool of choice is um so that
[00:44:15.260 --> 00:44:25.340]   basically um we can you know sort of like ask okay what are the gene what are the like genes being
[00:44:25.340 --> 00:44:34.620]   expressed in different files what are the like number of genes uh um what are this and then also i had to do
[00:44:34.620 --> 00:44:41.580]   some post-processing here on what are the distribution of gene counts so like for a given
[00:44:41.580 --> 00:44:50.300]   file it has this many genes expressed um and then like the number of active gene count or sorry the
[00:44:50.300 --> 00:44:57.180]   total number of genes like gene expressions and then the number of gene like individual or like the unique
[00:44:57.180 --> 00:45:04.140]   genes that were expressed and so like i kind of plot this like in like a manual way with three files and
[00:45:04.140 --> 00:45:16.540]   then um go and get the distribution uh across sorry i'm gonna skip that um across uh all sorts of uh
[00:45:16.540 --> 00:45:22.620]   sorry to scroll yeah so then like so now this is that data that i was just talking about but this is every
[00:45:22.620 --> 00:45:27.340]   every single or not every single file but many of the files in the data set in order to understand
[00:45:27.340 --> 00:45:35.260]   okay how met like what's the how similar are the data visually right so this is a thing i almost always
[00:45:35.260 --> 00:45:42.620]   do with large data sets is i i some i get like let my eyeballs sort of understand the data and like
[00:45:42.620 --> 00:45:48.060]   find the outliers in the shape of the data so like the things that i pull out from here is like okay
[00:45:48.060 --> 00:45:53.260]   these guys actually seem to be pretty uniform but there's like some guys that are like small
[00:45:53.260 --> 00:46:00.140]   like they have very small um tight distributions and others are wide but they all kind of have a
[00:46:00.140 --> 00:46:06.140]   reasonable cut off these ones like you know these are really heavy tailed and i cut them off
[00:46:06.140 --> 00:46:13.900]   um as like this last column is rest so the point i'm making is like okay get i got familiar with the
[00:46:13.900 --> 00:46:18.860]   shape of data and i actually we were originally going to set some thresholds so that we throw
[00:46:18.860 --> 00:46:23.820]   away bad data and we just realized from looking at this let's just we're going to train on everything
[00:46:23.820 --> 00:46:30.140]   we're not going to any like any given file um we're not going to be we're not going to have any um
[00:46:30.140 --> 00:46:39.340]   discriminatory uh factors that exclude data um does that make sense do you okay i want to make sure i'm not
[00:46:39.340 --> 00:46:45.900]   like boring you guys with um you know sort of like data analysis details but i wanted to like
[00:46:45.900 --> 00:46:51.740]   sort of talk about how we're selecting the training set um any questions
[00:46:51.740 --> 00:46:58.940]   yeah it looks like yikes did ask if you had any intuition on why i ended up helping but maybe in
[00:46:58.940 --> 00:47:02.540]   the interest of time like you only have a couple minutes left and i think it was a while back too i just
[00:47:02.540 --> 00:47:09.020]   missed it okay yeah okay yeah yikes let me answer that on on chat so i can finish up but i i will
[00:47:09.020 --> 00:47:15.660]   answer it um so okay yeah uh so the interesting so what like from this crowd's perspective the
[00:47:15.660 --> 00:47:22.300]   interesting thing about this data set and and the my training process was that um like or the data
[00:47:22.300 --> 00:47:28.140]   selection process was that these files are like this weird format that i mentioned and um i had to
[00:47:28.140 --> 00:47:37.740]   like so they're all in s3 and i had to use this um like i had to rewrite the um the standard tools are
[00:47:37.740 --> 00:47:46.540]   just no good at using objects directly in s3 they want to download the whole file and then start analyzing
[00:47:46.540 --> 00:47:53.980]   it and so that the upshot of that is that you end up it's like a very prohibitive io problem and so that
[00:47:53.980 --> 00:48:01.100]   what i ended up doing was developing that a couple tools um you know sort of in this process that were
[00:48:01.100 --> 00:48:08.460]   able that that go and get um file fragments and then actually doing i was actually i ended up doing
[00:48:08.460 --> 00:48:14.860]   you know and this is like where llms really shine is i ended up doing this like um integer linear program
[00:48:14.860 --> 00:48:22.060]   to select the best uh you know sort of fragments from the files based on the their coverage of the
[00:48:22.060 --> 00:48:28.300]   type cell types that i wanted so there's like a whole bunch of work that i did um like the vast majority
[00:48:28.300 --> 00:48:34.700]   of the training work that i did was actually just figuring out how to get the data set the training
[00:48:34.700 --> 00:48:41.980]   set out of the 100 million cells um in such a way that it wasn't prohibitively expensive okay so so i got
[00:48:41.980 --> 00:48:57.740]   down to about five million cells and then um and then ended up uh you know sort of um uh let's see so i ended up uh
[00:48:57.740 --> 00:49:09.980]   building a uh a you know building the subset um and then i ended up the we were going to use xg boost for the classifier
[00:49:09.980 --> 00:49:18.140]   for the classifier xg boost has problems because it doesn't scale well um to large data sets that um
[00:49:18.140 --> 00:49:25.580]   that don't need that don't need a a corresponding amount of processing right so you can scale it in
[00:49:25.580 --> 00:49:32.380]   various ways but none of the scale ways that scales match this data set very well and if people are
[00:49:32.380 --> 00:49:40.380]   interested i can explain why but so we end up using a multi-layer perceptron um and and uh and again
[00:49:40.380 --> 00:49:49.180]   loading only the data being very um very selective about the data we load into memory um use optuna
[00:49:49.180 --> 00:49:56.380]   optuna to tune hyperparameters and then we ended up with you know this classifier um you know that is stored in
[00:49:56.380 --> 00:50:03.900]   stored in weights and biases and can um classify like our test set you know 100 000 cells in like
[00:50:03.900 --> 00:50:11.820]   15 seconds so like super efficient at the end the inference is super efficient um but took a lot of
[00:50:11.820 --> 00:50:19.020]   work to get there um and we ended up with uh so like and i can let me just share on weights and biases really
[00:50:19.020 --> 00:50:28.140]   quick uh um in fact i think it's reference from here so let me just grab it here yeah here um
[00:50:30.940 --> 00:50:37.660]   so if you guys are not aware of weights and biases you definitely should be using it um and uh so like
[00:50:37.660 --> 00:50:47.020]   the like maybe the final thing i'll mention uh is that like i ended up you know learning a lot about
[00:50:47.020 --> 00:50:55.900]   training models uh in this process i don't have a ton of experience with neural networks and the
[00:50:55.900 --> 00:51:01.420]   interesting thing so you can look at these two different training runs one is the blue one and the
[00:51:01.420 --> 00:51:10.700]   you know the um the orange one or yellow one and um and like the i won't talk so much about my metrics
[00:51:10.700 --> 00:51:15.980]   actually i want to talk also about the metric that we're developing um so i'll be really brief on this
[00:51:15.980 --> 00:51:21.820]   but you can see that like this guy keeps having these loss spikes and never really getting to a point
[00:51:21.820 --> 00:51:27.260]   where it can converge before it has another loss spike whereas so let me let me make this larger
[00:51:27.260 --> 00:51:31.660]   so like you know it keeps getting down and then oh shit and then i have another loss spike and this
[00:51:31.660 --> 00:51:38.860]   is a periodic thing and what this corresponds to is different um different data sets and so that
[00:51:38.860 --> 00:51:44.380]   and the reason is that it's doing this because the distribution in the data sets is different and so
[00:51:44.380 --> 00:51:51.980]   that um it like whenever it gets to a new data set then it's like oh crap i'm mispredicting everything
[00:51:51.980 --> 00:51:59.980]   and i have to restart from here and then it gets you know it like sort of like lowers um uh so it it
[00:51:59.980 --> 00:52:06.300]   sort of like um gets down to a certain point and then it doesn't have enough um you know generalization
[00:52:06.300 --> 00:52:12.780]   so you can see it like generalizes a little bit and that these loss spikes are um a little bit not as
[00:52:12.780 --> 00:52:19.500]   bad and it gets a little bit lower but it doesn't really um smoothly improve the neural network so what
[00:52:19.500 --> 00:52:29.740]   we did was this was using the 30 78 dimensional um uh um embeddings and i what we what we did was okay
[00:52:29.740 --> 00:52:35.420]   just chop it off so everything can fit in memory so we can easily shuffle around the data set and then
[00:52:35.420 --> 00:52:42.060]   just shuffle the entire data set and pick random sound sub samples for my batches and then suddenly
[00:52:42.060 --> 00:52:48.860]   you're the loss um is much is dramatically better and um and you know these these are different measures
[00:52:48.860 --> 00:52:58.380]   that are not super important um but uh one so uh i'll take i'll stay on for a few minutes after and
[00:52:58.380 --> 00:53:04.060]   answer questions but i want to answer the question um about the metric so um
[00:53:05.180 --> 00:53:11.660]   we developed the the metric that we used let's see it's written out somewhere here
[00:53:11.660 --> 00:53:21.580]   uh yeah here the metric that we used um so you can if you look at the um the macro metrics so like
[00:53:21.580 --> 00:53:31.660]   standard uh f1 score macro then they they're total garbage like the f1 score here is nine nine percent right
[00:53:31.660 --> 00:53:39.820]   uh uh and uh and and precision and recall are equally bad right so like um that and the reason is because
[00:53:39.820 --> 00:53:46.140]   even if i'm correctly predicting but i'm in the wrong place in the hierarchy then i still am mispredicting
[00:53:46.140 --> 00:53:54.380]   and so um like these you know so these are ranking metrics that are traditionally used in information retrieval uh
[00:53:54.380 --> 00:54:04.860]   uh um like this is like um that if is my is my uh correct answer in the top ten top five top two
[00:54:04.860 --> 00:54:11.660]   and like these guys are just basically waiting like how far from the top are my uh is the correct answer
[00:54:11.660 --> 00:54:19.580]   and so um so those do better but i find it very unsatisfying because like one if you like in
[00:54:19.580 --> 00:54:24.940]   practice i'm not going to be like that doesn't help me right like i'm doing science i don't want to know
[00:54:24.940 --> 00:54:31.100]   like it's one of these five i want to know what's my best guess right and the other thing is that um
[00:54:31.100 --> 00:54:38.940]   you know it doesn't take into account this hierarchy very well uh where did that slide go um
[00:54:38.940 --> 00:54:47.180]   it doesn't take this hierarchy into well so i i think that we're we're coming up on like a basically a
[00:54:47.180 --> 00:54:55.180]   hierarchical uh metric that we want to use that is basically how far in this hierarchy am i from uh
[00:54:55.180 --> 00:55:03.340]   the correct measurement so okay this is kind of biology related not so probably interested for this
[00:55:03.340 --> 00:55:11.340]   crowd but i do like i i thought that this was really fascinating because like this is very much a
[00:55:11.340 --> 00:55:18.620]   process of discovery of the problem i'm learning about the problem as i learn about in the data as
[00:55:18.620 --> 00:55:25.660]   i learn about the specific model so i thought the process here was really exciting to me and i wanted
[00:55:25.660 --> 00:55:35.260]   to share with you guys um did i answer um the the woman who was asking the question yeah okay good all
[00:55:35.260 --> 00:55:40.780]   right and i i'm curious have you ever dealt with something like this and is that um it like
[00:55:40.780 --> 00:55:48.700]   like and if so like what did you do i haven't worked with bioinformatics data at all so okay but
[00:55:48.700 --> 00:55:54.780]   what about like hierarchical data in general uh not really no i've worked with like uh easy related data
[00:55:54.780 --> 00:55:59.580]   and all of those are i don't see any hierarchical kind of connections in that yeah i also need to ask
[00:55:59.580 --> 00:56:05.020]   like how important do you think having domain knowledge is in uh inomics is to get into this field
[00:56:05.020 --> 00:56:12.220]   like to do this by your measure i think that having an expert uh to ask questions and guide the decision
[00:56:12.220 --> 00:56:19.260]   making process is pretty critical i guess like like the intuition for what will work what's important
[00:56:19.260 --> 00:56:28.300]   those things um you need an expert but i don't think you need to have a formal training i don't right so i
[00:56:28.300 --> 00:56:33.500]   have and i have a but i have a friend who is a very experienced bioinformatics who's done drug
[00:56:33.500 --> 00:56:39.980]   development and other um you know sort of related stuff his whole career so i can so that we work
[00:56:39.980 --> 00:56:45.260]   together on this and i bring the ai he brings the bio and like we end up we're working really well
[00:56:45.260 --> 00:56:50.700]   together yeah and do you have any suggestions for like quick exploratory projects following up on this
[00:56:51.740 --> 00:57:03.340]   on your work right now um i mean uh like we i'd love to like work together on something i can definitely
[00:57:03.340 --> 00:57:10.060]   come up with specific stuff um i i mean yeah why don't just dm me and we can talk about ways that you
[00:57:10.060 --> 00:57:15.500]   could help i mean i could think about an answer if you if what we're doing is not super appealing but
[00:57:15.500 --> 00:57:19.900]   you want something else like in the same domain or whatever i can also probably come up with something for
[00:57:19.900 --> 00:57:29.820]   that well thank you awesome um yeah okay good so i guess that's probably all i have time for do you
[00:57:29.820 --> 00:57:39.260]   guys want to um uh are there any other questions i'm happy to stay after uh and talk um but i want to
[00:57:39.260 --> 00:57:44.780]   like sort of you know at least have a informal ending there or a formal ending i guess
[00:57:48.940 --> 00:57:57.420]   okay uh okay um okay cool well thank you guys for joining i hope that was helpful and interesting um
[00:57:57.420 --> 00:58:06.300]   uh please if you uh if you have questions or follow-ups or need links or whatever just hit me in discord
[00:58:06.300 --> 00:58:13.420]   and i will um i will share what you need and answer questions and you know would love to collaborate and all that
[00:58:16.860 --> 00:58:25.580]   okay take care guys and i guess what uh uh yikes or flow or whomever do we usually we're starting to
[00:58:25.580 --> 00:58:32.460]   publish these on on the latent space tv right i i have a bunch of recordings that i'm overdue to publish
[00:58:32.460 --> 00:58:38.220]   um so yes they will be published at some point but if you need it sooner just let me know and i'll upload it
[00:58:38.220 --> 00:58:44.540]   i mean i like to after i do a talk i like to just you know i like to get as much credit for all the
[00:58:44.540 --> 00:58:51.660]   work i do as possible so i like to post it on x and linkedin um just to say so i can send you the raw if
[00:58:51.660 --> 00:58:56.220]   you want and then once it's on youtube i'll send you the link too okay i mean i think i probably and
[00:58:56.220 --> 00:59:01.420]   honestly won't do anything with the raw so like what as soon as you can get the youtube up that would be
[00:59:01.420 --> 00:59:08.220]   awesome yeah yeah no i'll do that today sounds good okay okay cool thanks awesome all right guys thanks
[00:59:08.220 --> 00:59:11.180]   take care bye

