
[00:00:00.000 --> 00:00:07.000]   [Beeping]
[00:15:16.000 --> 00:15:19.000]   people are probably going to revert to pay about 3% more.
[00:15:19.000 --> 00:15:20.000]   That's not what moves the needle.
[00:15:20.000 --> 00:15:24.000]   What moves the needle is these big shifts from '35 to '22.
[00:15:24.000 --> 00:15:26.000]   I think '35 is too high to recommend a Roth,
[00:15:26.000 --> 00:15:29.000]   and so I'd stick to traditional as a general rule today.
[00:15:29.000 --> 00:15:31.000]   Okay, that makes sense.
[00:15:31.000 --> 00:15:34.000]   The last point for Robert, state taxes might move the needle,
[00:15:34.000 --> 00:15:36.000]   particularly if you're in a high-tax state now.
[00:15:36.000 --> 00:15:38.000]   Yeah, if he's a Magnificent Seven company, he might be in California.
[00:15:38.000 --> 00:15:41.000]   Yeah, or California, and you plan to move to Nevada, let's say.
[00:15:41.000 --> 00:15:43.000]   You plan to move to Washington state, no state income tax.
[00:15:43.000 --> 00:15:45.000]   Traditional makes all the more sense, right?
[00:15:45.000 --> 00:15:47.000]   Because you're not going to pay that state income tax
[00:15:47.000 --> 00:15:48.000]   in addition to higher federal tax.
[00:15:48.000 --> 00:15:50.000]   So get out of San Francisco and move to Seattle.
[00:15:50.000 --> 00:15:52.000]   Yeah, assuming that anything's left there
[00:15:52.000 --> 00:15:54.000]   that's not nailed down in San Francisco, I would agree.
[00:15:54.000 --> 00:15:57.000]   Okay, all right, let's do the next one.
[00:15:57.000 --> 00:15:59.000]   So I just turned 27,
[00:15:59.000 --> 00:16:03.000]   and I make $260,000 at a job that started less than a year ago.
[00:16:03.000 --> 00:16:05.000]   That's a lot of money, Ben, at 27.
[00:16:05.000 --> 00:16:06.000]   It is.
[00:16:06.000 --> 00:16:09.000]   It was a grind to get there, but the job itself is very stressful.
[00:16:09.000 --> 00:16:10.000]   I dread going to work in the morning,
[00:16:10.000 --> 00:16:13.000]   but I deal with it for the money, and I save an investment majority,
[00:16:13.000 --> 00:16:15.000]   so I don't have to do this forever.
[00:16:15.000 --> 00:16:18.000]   For context, I have about $400,000 in investments right now.
[00:16:18.000 --> 00:16:22.000]   Recently an opportunity came up that's much more interesting and pays well,
[00:16:22.000 --> 00:16:24.000]   but not as much as my current job.
[00:16:24.000 --> 00:16:26.000]   It's around $150,000.
[00:16:26.000 --> 00:16:29.000]   At this is the intersection of what I do for work and my actual interest,
[00:16:29.000 --> 00:16:31.000]   so it could be a tap dance to work situation,
[00:16:31.000 --> 00:16:34.000]   but can I stomach a $100,000 income drop
[00:16:34.000 --> 00:16:36.000]   in the vanishing years of compounding?
[00:16:36.000 --> 00:16:39.000]   Should I continue to grind it out and pack cash away
[00:16:39.000 --> 00:16:41.000]   or let myself go down the more interesting road?
[00:16:41.000 --> 00:16:42.000]   From Gavin.
[00:16:42.000 --> 00:16:45.000]   Ben, have you ever tap danced to work?
[00:16:45.000 --> 00:16:47.000]   Only Warren Buffett does that, I thought.
[00:16:47.000 --> 00:16:48.000]   I think so.
[00:16:48.000 --> 00:16:49.000]   Buffett and Munder.
[00:16:49.000 --> 00:16:50.000]   I have a lot of thoughts on this.
[00:16:50.000 --> 00:16:51.000]   You're going to have to let me cook here for a minute.
[00:16:51.000 --> 00:16:52.000]   Oh, let's do it.
[00:16:52.000 --> 00:16:53.000]   This is one of my favorite questions I've gotten
[00:16:53.000 --> 00:16:56.000]   because I think most career advice is useless
[00:16:56.000 --> 00:16:59.000]   because I think your career path and trajectory is governed so much by luck
[00:16:59.000 --> 00:17:03.000]   and timing and personality and politics and skills in your network
[00:17:03.000 --> 00:17:05.000]   that it's basically impossible to say, "My career went this way,
[00:17:05.000 --> 00:17:08.000]   so if you just follow my lead, you'll do the exact same thing,"
[00:17:08.000 --> 00:17:10.000]   because I look back at so many forks in the road for my career,
[00:17:10.000 --> 00:17:13.000]   if I would have done this, and how it changed,
[00:17:13.000 --> 00:17:15.000]   and the jobs that I did get and the jobs that I didn't get.
[00:17:15.000 --> 00:17:18.000]   But this question totally hits on a trade-off that you--
[00:17:18.000 --> 00:17:22.000]   do you want to earn a lot of money or do you want to work in the job that you love?
[00:17:22.000 --> 00:17:24.000]   That's a difficult decision.
[00:17:24.000 --> 00:17:26.000]   So the way I see it, especially in your 20s--
[00:17:26.000 --> 00:17:29.000]   and again, this person is very blessed to make that much money in their 20s--
[00:17:29.000 --> 00:17:30.000]   there's three types of jobs.
[00:17:30.000 --> 00:17:32.000]   So there's learning jobs.
[00:17:32.000 --> 00:17:34.000]   Some jobs are just more about learning than earning,
[00:17:34.000 --> 00:17:37.000]   like learning what industries or jobs you want to work in,
[00:17:37.000 --> 00:17:39.000]   the people you do or don't want to work with,
[00:17:39.000 --> 00:17:41.000]   the types of companies you want to work with,
[00:17:41.000 --> 00:17:43.000]   and some people just need experience and on-the-job training.
[00:17:43.000 --> 00:17:45.000]   Then I think there's earning jobs.
[00:17:45.000 --> 00:17:47.000]   A lot of my friends going out of college,
[00:17:47.000 --> 00:17:51.000]   the sole reason they picked a specific company was because of the salary.
[00:17:51.000 --> 00:17:55.000]   They took the best offer they could get, the best signing bonus, whatever.
[00:17:55.000 --> 00:17:57.000]   You might have to put in more hours and more stress,
[00:17:57.000 --> 00:17:58.000]   and a lot of these people did,
[00:17:58.000 --> 00:18:02.000]   but setting a baseline early in your career for future negotiations
[00:18:02.000 --> 00:18:04.000]   with different companies I think is something to think about.
[00:18:04.000 --> 00:18:07.000]   You earn a lot of money at first and you set that baseline high,
[00:18:07.000 --> 00:18:09.000]   but in the future when you're negotiating salary,
[00:18:09.000 --> 00:18:10.000]   you already have that high starting.
[00:18:10.000 --> 00:18:12.000]   Then I think the third one is the dream job,
[00:18:12.000 --> 00:18:14.000]   which is perfect industry, perfect company,
[00:18:14.000 --> 00:18:15.000]   people you want to work with.
[00:18:15.000 --> 00:18:19.000]   I think 99% of people in their 20s probably never get the dream job right away.
[00:18:19.000 --> 00:18:21.000]   If you do, you're lucky.
[00:18:21.000 --> 00:18:25.000]   Obviously, the ideal scenario is I want a job that I'm going to learn a lot,
[00:18:25.000 --> 00:18:28.000]   I'm going to earn a lot, and I'm going to be my dream job.
[00:18:28.000 --> 00:18:29.000]   My 20s were the learning route.
[00:18:29.000 --> 00:18:32.000]   I worked for a company that didn't pay much right out of school,
[00:18:32.000 --> 00:18:34.000]   mostly out of necessity because I had no idea what the hell I wanted to do,
[00:18:34.000 --> 00:18:35.000]   and that was part of it.
[00:18:35.000 --> 00:18:39.000]   I was learning on the job, but I think that job springboarded my career
[00:18:39.000 --> 00:18:42.000]   because I learned so much about the investment business from my boss
[00:18:42.000 --> 00:18:45.000]   that I still use today, stuff about investment policy and asset allocation
[00:18:45.000 --> 00:18:47.000]   and making good decisions.
[00:18:47.000 --> 00:18:48.000]   So I think it was totally worth it for me.
[00:18:48.000 --> 00:18:52.000]   I had a friend who went into investment banking who worked 80, 90 hours a week.
[00:18:52.000 --> 00:18:56.000]   His first year he had three days off all year, but he kind of loved it,
[00:18:56.000 --> 00:18:58.000]   and he used that to go into a different--
[00:18:58.000 --> 00:19:01.000]   So I mean a lot of that is about your personality.
[00:19:01.000 --> 00:19:05.000]   So I can totally sympathize with the reluctance to give up a big salary
[00:19:05.000 --> 00:19:07.000]   because you're always going to be anchoring to that level,
[00:19:07.000 --> 00:19:11.000]   and the psychological toll of losses sting twice as bad as gains feel good.
[00:19:11.000 --> 00:19:14.000]   If you get rid of that salary--
[00:19:14.000 --> 00:19:18.000]   I could say right now you could pay me five times as much,
[00:19:18.000 --> 00:19:20.000]   and I wouldn't leave because I love working with you
[00:19:20.000 --> 00:19:23.000]   and working with all the stuff I get to do at Ritholtz
[00:19:23.000 --> 00:19:24.000]   and the creative projects.
[00:19:24.000 --> 00:19:26.000]   The feeling is mutual then.
[00:19:26.000 --> 00:19:27.000]   Yeah.
[00:19:27.000 --> 00:19:30.000]   So I love that job, and you couldn't pay me enough to work somewhere else
[00:19:30.000 --> 00:19:33.000]   because you just wouldn't have the freedom and work with the same people,
[00:19:33.000 --> 00:19:36.000]   but I think it's easier for me to say I wouldn't take this mythical higher number
[00:19:36.000 --> 00:19:40.000]   versus saying I have a higher number, now I'm going to go lower to take that.
[00:19:40.000 --> 00:19:43.000]   So you've heard of this Harvard study before.
[00:19:43.000 --> 00:19:45.000]   I think it was performed in the '90s.
[00:19:45.000 --> 00:19:47.000]   They asked a bunch of students and faculty,
[00:19:47.000 --> 00:19:49.000]   "Would you rather have a yearly income of $50,000
[00:19:49.000 --> 00:19:52.000]   but everyone else makes $25,000 on average,
[00:19:52.000 --> 00:19:54.000]   or would you rather have $100,000
[00:19:54.000 --> 00:19:56.000]   and everyone else earns $200,000 on average,
[00:19:56.000 --> 00:19:59.000]   keeping prices and cost of living constant?"
[00:19:59.000 --> 00:20:01.000]   And it was interesting.
[00:20:01.000 --> 00:20:03.000]   The results were right down the middle.
[00:20:03.000 --> 00:20:08.000]   It was half people said, "I would rather make more relatively and less absolutely,"
[00:20:08.000 --> 00:20:11.000]   and half people said, "I would rather make more absolutely and less relatively."
[00:20:11.000 --> 00:20:16.000]   And it's totally a psychological how-you-think-about-things kind of--
[00:20:16.000 --> 00:20:18.000]   So I think life is full of tradeoffs.
[00:20:18.000 --> 00:20:20.000]   I'm a huge principles guy, personally.
[00:20:20.000 --> 00:20:23.000]   I would have a hard time working in a soul-sucking job that's high-stress.
[00:20:23.000 --> 00:20:27.000]   I just don't have that type-A personality of I'm going to do this job,
[00:20:27.000 --> 00:20:31.000]   it stinks, but I'm making a lot of money and I'm packing it away.
[00:20:31.000 --> 00:20:35.000]   So I think it's hard to put a dollar figure on the tap-dance-to-work situation.
[00:20:35.000 --> 00:20:37.000]   Here's the questions I would ask yourself.
[00:20:37.000 --> 00:20:40.000]   Because there really is-- There's no right answer here, right?
[00:20:40.000 --> 00:20:42.000]   I think you have to ask yourself--
[00:20:42.000 --> 00:20:45.000]   Like you said, half of that Harvard study would do this and the other half wouldn't.
[00:20:45.000 --> 00:20:47.000]   Yeah, so I think it's personality.
[00:20:47.000 --> 00:20:49.000]   Do you really think your long-term financial situation
[00:20:49.000 --> 00:20:52.000]   is going to be markedly worse by taking this job?
[00:20:52.000 --> 00:20:55.000]   We're dealing with a 27-year-old that saved $400,000.
[00:20:55.000 --> 00:20:57.000]   Yeah, they're already in a pretty darn good place.
[00:20:57.000 --> 00:21:00.000]   If you compound that over 30 years, you're already in a very good spot.
[00:21:00.000 --> 00:21:03.000]   How much do you really hate your current role?
[00:21:03.000 --> 00:21:05.000]   I think how much better would other areas of your life be
[00:21:05.000 --> 00:21:07.000]   if you didn't have this stress?
[00:21:07.000 --> 00:21:09.000]   And what other perks might you get from this job?
[00:21:09.000 --> 00:21:11.000]   Like remote work, ability to benefit,
[00:21:11.000 --> 00:21:14.000]   some of these other things you can't quantify in a salary number.
[00:21:14.000 --> 00:21:16.000]   And then I think you have to think through
[00:21:16.000 --> 00:21:19.000]   is this opportunity ever going to come knocking again?
[00:21:19.000 --> 00:21:21.000]   Could you put it off for two or three years
[00:21:21.000 --> 00:21:23.000]   and if you wanted to pack away 70% of your income for a couple years
[00:21:23.000 --> 00:21:24.000]   to really make yourself good?
[00:21:24.000 --> 00:21:25.000]   Or the inverse.
[00:21:25.000 --> 00:21:28.000]   Could you go back to this hellish investment job?
[00:21:28.000 --> 00:21:30.000]   If you had to, right.
[00:21:30.000 --> 00:21:34.000]   The question really boils down to how much is your happiness on the job worth?
[00:21:34.000 --> 00:21:36.000]   Which, again, you cannot answer, but I think this is--
[00:21:36.000 --> 00:21:39.000]   I would have a very difficult time answering this
[00:21:39.000 --> 00:21:41.000]   if I was put in this scenario.
[00:21:41.000 --> 00:21:43.000]   I'd like to say I'd go with my dream job, tap dance to work situation,
[00:21:43.000 --> 00:21:46.000]   but it would be hard to let go of that salary.
[00:21:46.000 --> 00:21:48.000]   A story that this makes me think of,
[00:21:48.000 --> 00:21:50.000]   my favorite author, Ben, is Kurt Vonnegut,
[00:21:50.000 --> 00:21:52.000]   and there's a great story with him and Joseph Heller,
[00:21:52.000 --> 00:21:54.000]   the author of Catch-22,
[00:21:54.000 --> 00:21:56.000]   and they're walking at a beach party in the Hamptons,
[00:21:56.000 --> 00:21:58.000]   and there's some hedge fund guy,
[00:21:58.000 --> 00:22:00.000]   and he's got all the cars on the beach,
[00:22:00.000 --> 00:22:02.000]   and he's got the models, and there's the shrimp and the cocktails,
[00:22:02.000 --> 00:22:04.000]   all this stuff in the '60s.
[00:22:04.000 --> 00:22:06.000]   And Heller looks at Vonnegut and says,
[00:22:06.000 --> 00:22:08.000]   "I've got one thing this guy doesn't have."
[00:22:08.000 --> 00:22:09.000]   And Vonnegut says, "What's that?"
[00:22:09.000 --> 00:22:11.000]   And Heller says, "Enough."
[00:22:11.000 --> 00:22:13.000]   Yeah, I love that.
[00:22:13.000 --> 00:22:14.000]   Big Slaughterhouse-Five guy here.
[00:22:14.000 --> 00:22:15.000]   Oh, great, great.
[00:22:15.000 --> 00:22:16.000]   Classic story.
[00:22:16.000 --> 00:22:17.000]   So, Gavin, I'd go.
[00:22:17.000 --> 00:22:18.000]   I'd go, man.
[00:22:18.000 --> 00:22:19.000]   That would be my answer.
[00:22:19.000 --> 00:22:21.000]   Here's one of the things.
[00:22:21.000 --> 00:22:23.000]   I talk to a lot of friends and family members
[00:22:23.000 --> 00:22:25.000]   who just hate their bosses
[00:22:25.000 --> 00:22:28.000]   or hate the people they work with or hate their job.
[00:22:28.000 --> 00:22:29.000]   With people outside of the industry,
[00:22:29.000 --> 00:22:31.000]   I rarely talk about my job because I actually enjoy it.
[00:22:31.000 --> 00:22:32.000]   I like what I do.
[00:22:32.000 --> 00:22:33.000]   I like the people I work with.
[00:22:33.000 --> 00:22:35.000]   We have fun together.
[00:22:35.000 --> 00:22:36.000]   My wife is always saying, like,
[00:22:36.000 --> 00:22:37.000]   "Stop talking about your job to other people
[00:22:37.000 --> 00:22:38.000]   and saying that you like it,"
[00:22:38.000 --> 00:22:40.000]   because they don't, obviously.
[00:22:40.000 --> 00:22:42.000]   So I don't know how you can put a price on
[00:22:42.000 --> 00:22:44.000]   having a job that you love going to
[00:22:44.000 --> 00:22:48.000]   just because of how much time you spend working in your life.
[00:22:48.000 --> 00:22:49.000]   True, true.
[00:22:49.000 --> 00:22:51.000]   And especially if you can find that dream job in your 20s,
[00:22:51.000 --> 00:22:55.000]   I do agree that I don't know how often that comes around
[00:22:55.000 --> 00:22:57.000]   where you have that opportunity.
[00:22:57.000 --> 00:22:58.000]   Yep.
[00:22:58.000 --> 00:23:00.000]   Gavin, money's not all that's in life.
[00:23:00.000 --> 00:23:01.000]   Trade some money for time.
[00:23:01.000 --> 00:23:02.000]   True.
[00:23:02.000 --> 00:23:03.000]   All right.
[00:23:03.000 --> 00:23:04.000]   Last question.
[00:23:04.000 --> 00:23:05.000]   All right.
[00:23:05.000 --> 00:23:06.000]   65, recently retired.
[00:23:06.000 --> 00:23:08.000]   When my employer started offering a Roth 401(k),
[00:23:08.000 --> 00:23:10.000]   I switched my contributions to the Roth.
[00:23:10.000 --> 00:23:11.000]   See, everyone's listening to Bill.
[00:23:11.000 --> 00:23:13.000]   But most of my career retirement savings
[00:23:13.000 --> 00:23:14.000]   went into traditional 401(k) before.
[00:23:14.000 --> 00:23:16.000]   As I look at what I will be getting in retirement,
[00:23:16.000 --> 00:23:18.000]   I'm realizing that I'll be in the 24% bracket forever.
[00:23:18.000 --> 00:23:20.000]   That's pretty close to your estimate earlier.
[00:23:20.000 --> 00:23:23.000]   Delayed Social Security, RMDs from the TSP,
[00:23:23.000 --> 00:23:24.000]   and a nice federal pension.
[00:23:24.000 --> 00:23:25.000]   They all add up.
[00:23:25.000 --> 00:23:27.000]   I'm keeping Federal Employee Health Benefit
[00:23:27.000 --> 00:23:28.000]   instead of Medicare,
[00:23:28.000 --> 00:23:30.000]   so I don't need to worry about higher Medicare bills
[00:23:30.000 --> 00:23:31.000]   because of IRMAA.
[00:23:31.000 --> 00:23:32.000]   What's that?
[00:23:32.000 --> 00:23:33.000]   Yep, IRMA.
[00:23:33.000 --> 00:23:34.000]   IRMA.
[00:23:34.000 --> 00:23:36.000]   It's a Medicare adjustment for higher income folks.
[00:23:36.000 --> 00:23:38.000]   You pay more for Medicare in your 60s.
[00:23:38.000 --> 00:23:40.000]   Getting assets into the Roth will protect them
[00:23:40.000 --> 00:23:42.000]   from possible future tax increases.
[00:23:42.000 --> 00:23:44.000]   Some of my account will go to my heirs,
[00:23:44.000 --> 00:23:46.000]   so the Roth might be a better wrapper for that asset for them.
[00:23:46.000 --> 00:23:48.000]   Given all that, should I just move my money
[00:23:48.000 --> 00:23:50.000]   out of the traditional account into the Roth now?
[00:23:50.000 --> 00:23:52.000]   For example, do the minimum Roth conversion
[00:23:52.000 --> 00:23:55.000]   that keeps my income within the 24% bracket each year?
[00:23:55.000 --> 00:23:56.000]   My total is all in the Roth.
[00:23:56.000 --> 00:23:57.000]   What am I missing?
[00:23:57.000 --> 00:24:00.000]   So they're essentially wanting to transfer
[00:24:00.000 --> 00:24:03.000]   as many of those traditional assets to Roth now,
[00:24:03.000 --> 00:24:05.000]   so they'd be paying the taxes, obviously.
[00:24:05.000 --> 00:24:06.000]   Right.
[00:24:06.000 --> 00:24:07.000]   Is it still called the backdoor Roth
[00:24:07.000 --> 00:24:08.000]   if you do it this way?
[00:24:08.000 --> 00:24:09.000]   No, that's a conversion.
[00:24:09.000 --> 00:24:10.000]   Okay, just a Roth conversion.
[00:24:10.000 --> 00:24:13.000]   Yeah, that's a front door or ceiling or roof.
[00:24:13.000 --> 00:24:15.000]   So this is a little bit of the opposite
[00:24:15.000 --> 00:24:17.000]   of the other one about the time horizon.
[00:24:17.000 --> 00:24:19.000]   Well, I guess it is because they're looking for their heirs,
[00:24:19.000 --> 00:24:21.000]   but is this overkill?
[00:24:21.000 --> 00:24:23.000]   Is this too much, or do you think this makes sense?
[00:24:23.000 --> 00:24:26.000]   No, I think David's got all the checkboxes, right?
[00:24:26.000 --> 00:24:28.000]   So like he said, Ben, he mentioned an IRMA.
[00:24:28.000 --> 00:24:30.000]   He mentioned delaying Social Security.
[00:24:30.000 --> 00:24:31.000]   He's got a pension coming.
[00:24:31.000 --> 00:24:34.000]   He's got a TSP, a Thrift Savings Plan,
[00:24:34.000 --> 00:24:35.000]   which we've talked about on this show.
[00:24:35.000 --> 00:24:38.000]   It's a 401(k) for government workers.
[00:24:38.000 --> 00:24:40.000]   My man, David, did everything right,
[00:24:40.000 --> 00:24:41.000]   and now he's thinking,
[00:24:41.000 --> 00:24:44.000]   "Gee, I'm probably going to pass these assets on to my kids,
[00:24:44.000 --> 00:24:46.000]   to the next generation.
[00:24:46.000 --> 00:24:48.000]   What is the most efficient way to do it?"
[00:24:48.000 --> 00:24:49.000]   And I think it comes down to, Ben,
[00:24:49.000 --> 00:24:51.000]   do you want to maximize your net worth now,
[00:24:51.000 --> 00:24:53.000]   or do you want to maximize your after-tax spending
[00:24:53.000 --> 00:24:56.000]   or your kids' or grandchildren's after-tax spending?
[00:24:56.000 --> 00:24:59.000]   Ed McWorry, Ben, at Santa Clara University,
[00:24:59.000 --> 00:25:01.000]   wrote the best paper on this in 2021.
[00:25:01.000 --> 00:25:02.000]   It's called
[00:25:02.000 --> 00:25:04.000]   "When and For Whom Roth Conversions Are Most Beneficial,"
[00:25:04.000 --> 00:25:06.000]   and the quote that I want to share with the listeners,
[00:25:06.000 --> 00:25:08.000]   "A Roth conversion will always pay off
[00:25:08.000 --> 00:25:10.000]   if the time span is long enough."
[00:25:10.000 --> 00:25:13.000]   The problem is, on a long enough timeline,
[00:25:13.000 --> 00:25:15.000]   according to Tyler Durden, we're all dead, right?
[00:25:15.000 --> 00:25:16.000]   But David's thinking beyond his life,
[00:25:16.000 --> 00:25:18.000]   and I think that's really cool.
[00:25:18.000 --> 00:25:21.000]   The curveball, I think, that Congress threw us,
[00:25:21.000 --> 00:25:22.000]   the Value Secure Act in 2020,
[00:25:22.000 --> 00:25:27.000]   is now your time span for inherited IRAs, including Roths,
[00:25:27.000 --> 00:25:28.000]   is 10 years after your death.
[00:25:28.000 --> 00:25:31.000]   But to me, that's still long enough for somebody who's 65,
[00:25:31.000 --> 00:25:34.000]   probably has another 25, 30-year life expectancy,
[00:25:34.000 --> 00:25:35.000]   tack on another 10 years after that.
[00:25:35.000 --> 00:25:36.000]   We're talking about 40 years.
[00:25:36.000 --> 00:25:39.000]   John, can we pull up my final chart here of the day?
[00:25:39.000 --> 00:25:42.000]   This is from the Ed McCrory paper from Santa Clara.
[00:25:42.000 --> 00:25:45.000]   It just measures very quickly Roth conversion or surplus,
[00:25:45.000 --> 00:25:47.000]   and for folks listening to my podcast,
[00:25:47.000 --> 00:25:49.000]   I've adjusted the ages to 65.
[00:25:49.000 --> 00:25:53.000]   The break-even point for most taxpayers at a 22% bracket
[00:25:53.000 --> 00:25:55.000]   is somewhere between age 80 and 84,
[00:25:55.000 --> 00:25:56.000]   depending on the situation.
[00:25:56.000 --> 00:25:58.000]   Can we take the chart off for a sec, John?
[00:25:58.000 --> 00:26:00.000]   So you still have some time, then?
[00:26:00.000 --> 00:26:01.000]   I think we have some time.
[00:26:01.000 --> 00:26:03.000]   And keep in mind, again,
[00:26:03.000 --> 00:26:05.000]   that you've got 10 years after your mortality, right?
[00:26:05.000 --> 00:26:07.000]   So if we've got a life expectancy in late 80s,
[00:26:07.000 --> 00:26:09.000]   if David's already hit 65,
[00:26:09.000 --> 00:26:11.000]   his life expectancy is probably in the 90s.
[00:26:11.000 --> 00:26:14.000]   We're really looking at a 35-year horizon here.
[00:26:14.000 --> 00:26:16.000]   So how much will those heirs appreciate?
[00:26:16.000 --> 00:26:17.000]   So let's say he does it just--
[00:26:17.000 --> 00:26:19.000]   I'm going to do it just for the money I'm leaving to my heirs.
[00:26:19.000 --> 00:26:21.000]   If he just does those Roth conversions for them,
[00:26:21.000 --> 00:26:23.000]   how much will they appreciate getting a Roth
[00:26:23.000 --> 00:26:24.000]   as opposed to traditional money?
[00:26:24.000 --> 00:26:26.000]   I mean, it solves all the tax problems, right?
[00:26:26.000 --> 00:26:28.000]   Because if you end up getting a Roth on the back end,
[00:26:28.000 --> 00:26:31.000]   tax-free, you're not writing a check to the IRS.
[00:26:31.000 --> 00:26:32.000]   You're not doing any tax withholdings.
[00:26:32.000 --> 00:26:34.000]   You don't have to mess around with your own IRMA,
[00:26:34.000 --> 00:26:35.000]   assuming you're somebody 65.
[00:26:35.000 --> 00:26:37.000]   I think it's the thing to do
[00:26:37.000 --> 00:26:40.000]   if you're looking at a 35- or 40-year time horizon.
[00:26:40.000 --> 00:26:42.000]   David, I give you all the credit to doing it.
[00:26:42.000 --> 00:26:44.000]   The key point I wanted to emphasize, though, Ben,
[00:26:44.000 --> 00:26:46.000]   is I wouldn't go beyond--I said this before--
[00:26:46.000 --> 00:26:48.000]   I wouldn't go up to the 32% tax bracket.
[00:26:48.000 --> 00:26:50.000]   I would draw a line at 24,
[00:26:50.000 --> 00:26:52.000]   because after that, it stops making sense.
[00:26:52.000 --> 00:26:54.000]   I don't know what the dollar amount is we're looking at,
[00:26:54.000 --> 00:26:56.000]   but assuming that we have income from our TSP,
[00:26:56.000 --> 00:26:58.000]   from our Social Security, from our government pension,
[00:26:58.000 --> 00:27:00.000]   we just don't want to go too far, right?
[00:27:00.000 --> 00:27:02.000]   We don't want to be paying at 37%.
[00:27:02.000 --> 00:27:04.000]   So I think it's a multi-year process,
[00:27:04.000 --> 00:27:05.000]   but David's got the right idea,
[00:27:05.000 --> 00:27:08.000]   and I don't mind getting started here today.
[00:27:08.000 --> 00:27:09.000]   Kudos to the audience today.
[00:27:09.000 --> 00:27:10.000]   These are all great questions.
[00:27:10.000 --> 00:27:13.000]   I think this also--but I think this also proves--
[00:27:13.000 --> 00:27:14.000]   all these questions prove--
[00:27:14.000 --> 00:27:17.000]   you can study all this stuff you want and know everything,
[00:27:17.000 --> 00:27:20.000]   and it's still hard to make decisions at some point, right?
[00:27:20.000 --> 00:27:22.000]   Because I've done this right, I've done this right,
[00:27:22.000 --> 00:27:23.000]   I've done this right, I know this,
[00:27:23.000 --> 00:27:24.000]   I understand what this means,
[00:27:24.000 --> 00:27:26.000]   but still, now, what do I do?
[00:27:26.000 --> 00:27:28.000]   And I think that's always the challenge
[00:27:28.000 --> 00:27:30.000]   with financial decisions is,
[00:27:30.000 --> 00:27:31.000]   even if you do everything right,
[00:27:31.000 --> 00:27:34.000]   it's still difficult psychologically to realize, like,
[00:27:34.000 --> 00:27:36.000]   "What if I go left and what if I go right?"
[00:27:36.000 --> 00:27:40.000]   Because it's rarely black and white for these things.
[00:27:40.000 --> 00:27:42.000]   Yep, and it goes back to the first listener's question
[00:27:42.000 --> 00:27:44.000]   from Robert, which I believe--or Samuel,
[00:27:44.000 --> 00:27:45.000]   "When do I look for a CPA?"
[00:27:45.000 --> 00:27:47.000]   When you want to sit down and talk about advice.
[00:27:47.000 --> 00:27:49.000]   And I would not be afraid to ask a professional,
[00:27:49.000 --> 00:27:50.000]   "What should I do?"
[00:27:50.000 --> 00:27:51.000]   At the end of the conversation,
[00:27:51.000 --> 00:27:54.000]   going back to Joey Fishman, regret minimization,
[00:27:54.000 --> 00:27:56.000]   what am I going to regret more, looking back?
[00:27:56.000 --> 00:27:58.000]   Am I going to regret more not doing enough Roth
[00:27:58.000 --> 00:27:59.000]   or paying the tax?
[00:27:59.000 --> 00:28:02.000]   And that probably would give you the answer.
[00:28:02.000 --> 00:28:03.000]   Perfect.
[00:28:03.000 --> 00:28:04.000]   Okay.
[00:28:04.000 --> 00:28:06.000]   We only have a million more tax questions in the doc,
[00:28:06.000 --> 00:28:08.000]   so they'll be back again, of course.
[00:28:08.000 --> 00:28:09.000]   Keep them coming.
[00:28:09.000 --> 00:28:11.000]   Thank you for filling in for Duncan.
[00:28:11.000 --> 00:28:13.000]   I'm very excited for Duncan to come back.
[00:28:13.000 --> 00:28:15.000]   There's a part of my heart that's missing right now.
[00:28:15.000 --> 00:28:16.000]   Yes, we all miss him.
[00:28:16.000 --> 00:28:17.000]   Come back from Germany.
[00:28:17.000 --> 00:28:19.000]   Thank you to John for handling everything behind the scenes,
[00:28:19.000 --> 00:28:20.000]   as usual, all the charts.
[00:28:20.000 --> 00:28:21.000]   God bless you, John, Nicole, big shouts.
[00:28:21.000 --> 00:28:24.000]   Remember, our email here, askthecompoundshow@gmail.com.
[00:28:24.000 --> 00:28:25.000]   Leave us a comment.
[00:28:25.000 --> 00:28:27.000]   Thanks again to everyone in the live chat.
[00:28:27.000 --> 00:28:29.000]   Leave us a comment on YouTube.
[00:28:29.000 --> 00:28:32.000]   Always ask some questions there.
[00:28:32.000 --> 00:28:33.000]   What do you call it?
[00:28:33.000 --> 00:28:36.000]   Rate, review, subscribe, all that good stuff.
[00:28:36.000 --> 00:28:38.000]   See you next time.
[00:28:38.000 --> 00:29:04.000]   [Music]

