
[00:00:00.000 --> 00:00:01.440]   I'm Lucas.
[00:16:15.200 --> 00:16:17.720]   So the problem with these tools is
[00:16:17.720 --> 00:16:19.560]   that when you don't have complete adoption,
[00:16:19.560 --> 00:16:21.400]   it can be really difficult to use them.
[00:16:21.400 --> 00:16:24.920]   Actually, at Figure 8, we used Kubeflow.
[00:16:24.920 --> 00:16:27.320]   And it had that same issue, where it was just like,
[00:16:27.320 --> 00:16:29.800]   if you don't completely buy into it, it can be tough.
[00:16:29.800 --> 00:16:31.720]   So I would not necessarily--
[00:16:31.720 --> 00:16:35.680]   my take would be for your projects,
[00:16:35.680 --> 00:16:37.400]   I would not start with an end-to-end tool
[00:16:37.400 --> 00:16:39.100]   unless you really want to learn about it,
[00:16:39.100 --> 00:16:42.820]   because they're all really designed for companies
[00:16:42.820 --> 00:16:46.260]   where you get complete buy-in for the tool.
[00:16:46.260 --> 00:16:48.100]   And that's where you get the real benefits.
[00:16:48.100 --> 00:16:50.520]   So I think point solutions are going to be better for you.
[00:16:50.520 --> 00:16:52.300]   I think paper space is a useful thing.
[00:16:52.300 --> 00:16:55.860]   SIGOPT is the hyperparameter optimization tool.
[00:16:55.860 --> 00:16:57.540]   Packaderm is a data set versioning tool.
[00:16:57.540 --> 00:17:00.780]   So I think picking and choosing tools makes a ton of sense.
[00:17:00.780 --> 00:17:04.020]   And I always am curious about the stack
[00:17:04.020 --> 00:17:05.780]   that people are actually using, because I
[00:17:05.780 --> 00:17:07.780]   think the space is so fluid right now
[00:17:07.780 --> 00:17:10.900]   that it has not converged around--
[00:17:10.900 --> 00:17:12.780]   it hasn't even converged around frameworks.
[00:17:12.780 --> 00:17:15.660]   So I would love to hear what you use
[00:17:15.660 --> 00:17:18.140]   and what you think is useful.
[00:17:18.140 --> 00:17:19.700]   We actually-- at Figure 8, we put out
[00:17:19.700 --> 00:17:22.960]   a survey of what people are using every year.
[00:17:22.960 --> 00:17:24.380]   And so if you go to that website,
[00:17:24.380 --> 00:17:27.500]   you can actually just see a ranking of Figure 8's customers,
[00:17:27.500 --> 00:17:29.380]   essentially machine learning practitioners
[00:17:29.380 --> 00:17:33.700]   and what has general adoption.
[00:17:33.700 --> 00:17:36.340]   I think what I try to think about for my tools,
[00:17:36.340 --> 00:17:38.860]   I think, is less in the infrastructure and frameworks
[00:17:38.860 --> 00:17:40.580]   realm and more in the dev tools thing.
[00:17:40.580 --> 00:17:42.060]   Figure 8 was a training data thing.
[00:17:42.060 --> 00:17:43.620]   I think weights and biases tries to be
[00:17:43.620 --> 00:17:46.620]   in the more learning algorithm evaluation, basically
[00:17:46.620 --> 00:17:49.380]   it's an experiment tracking thing.
[00:17:49.380 --> 00:17:51.660]   And so that's, I think, where I like to--
[00:17:51.660 --> 00:17:53.900]   I think the infrastructure stuff is really cool
[00:17:53.900 --> 00:17:57.100]   and actually much more evolved and settled.
[00:17:57.100 --> 00:18:03.180]   So I think SageMaker is a great-- anybody use SageMaker?
[00:18:03.180 --> 00:18:04.740]   How do you feel about SageMaker?
[00:18:05.740 --> 00:18:06.740]   [INAUDIBLE]
[00:18:06.740 --> 00:18:13.720]   What's that?
[00:18:13.720 --> 00:18:14.720]   It was easy to set up.
[00:18:14.720 --> 00:18:15.720]   Easy to set up.
[00:18:15.720 --> 00:18:16.720]   [INAUDIBLE]
[00:18:16.720 --> 00:18:21.220]   Cool.
[00:18:21.220 --> 00:18:22.720]   [INAUDIBLE]
[00:18:22.720 --> 00:18:23.220]   Nice.
[00:18:23.220 --> 00:18:23.720]   Yeah, yeah.
[00:18:23.720 --> 00:18:26.700]   I think SageMaker, I would say, of all the--
[00:18:26.700 --> 00:18:28.740]   I mean, they don't pay me.
[00:18:28.740 --> 00:18:30.740]   But I think SageMaker is just-- it's probably
[00:18:30.740 --> 00:18:34.820]   the one kind of ML infrastructure thing
[00:18:34.820 --> 00:18:37.700]   that we probably see the most, just generally going
[00:18:37.700 --> 00:18:38.780]   into companies right now.
[00:18:38.780 --> 00:18:41.140]   But of course, that can change quickly.
[00:18:41.140 --> 00:18:43.260]   And then you see these frameworks like, clearly,
[00:18:43.260 --> 00:18:44.640]   TensorFlow, Python, and Keras are
[00:18:44.640 --> 00:18:49.780]   kind of the top most common frameworks that we encounter.
[00:18:49.780 --> 00:18:53.140]   So I thought the most fun thing to do really since--
[00:18:53.140 --> 00:18:55.940]   I think Sergey gave such a comprehensive overview
[00:18:55.940 --> 00:18:57.440]   of all the different tools would be,
[00:18:57.440 --> 00:18:59.780]   I just want to show you the tools that we built
[00:18:59.780 --> 00:19:02.260]   and what they do and actually play a little bit
[00:19:02.260 --> 00:19:03.260]   with this stuff quickly.
[00:19:03.260 --> 00:19:06.220]   So if you would open up your laptop
[00:19:06.220 --> 00:19:15.460]   and go to app.wmb.ai/settings, that would be fantastic.
[00:19:15.460 --> 00:19:18.940]   And you can maybe even do it on your iPad.
[00:19:18.940 --> 00:19:19.440]   Maybe.
[00:19:19.440 --> 00:19:25.340]   And I got this friend, this co-founder, Chris,
[00:19:25.340 --> 00:19:26.820]   right over there.
[00:19:26.820 --> 00:19:29.220]   And he just loves giving tech support.
[00:19:29.220 --> 00:19:30.740]   It's like his favorite thing to do.
[00:19:30.740 --> 00:19:34.860]   So if you have any problems at all,
[00:19:34.860 --> 00:19:37.500]   like you think you might have typed in the URL wrong,
[00:19:37.500 --> 00:19:40.940]   just raise your hand.
[00:19:40.940 --> 00:19:41.780]   Chris has got you.
[00:19:41.780 --> 00:19:43.620]   You need like antivirus software?
[00:19:43.620 --> 00:19:46.020]   [LAUGHTER]
[00:19:46.020 --> 00:19:52.260]   If you don't have an account, you
[00:19:52.260 --> 00:19:54.420]   just have to sign up with your GitHub or Google
[00:19:54.420 --> 00:19:56.420]   or you create an account.
[00:19:56.420 --> 00:19:59.860]   But then if you put this code in at that URL,
[00:19:59.860 --> 00:20:03.820]   once you do have an account, then that gives you--
[00:20:03.820 --> 00:20:05.740]   keep that code up.
[00:20:05.740 --> 00:20:07.580]   Oh, yeah, I got to keep the code up.
[00:20:07.580 --> 00:20:09.420]   Simpsons Stochastic Base.
[00:20:09.420 --> 00:20:10.960]   Every day we choose a different code
[00:20:10.960 --> 00:20:13.060]   that is a combination of a machine learning
[00:20:13.060 --> 00:20:15.660]   word and a musical instrument.
[00:20:15.660 --> 00:20:18.300]   The Simpsons part tells us to check out
[00:20:18.300 --> 00:20:20.700]   this really sick machine learning repo
[00:20:20.700 --> 00:20:21.900]   that we set up for you.
[00:20:21.900 --> 00:20:24.780]   It's a very basic multi-layer perceptron
[00:20:24.780 --> 00:20:28.540]   to classify images of Simpsons characters.
[00:20:28.540 --> 00:20:31.980]   And we're going to have a brief competition
[00:20:31.980 --> 00:20:36.260]   to see who can make the best model fastest.
[00:20:36.260 --> 00:20:41.940]   We're going to do hyperparameter search by crowdsourcing.
[00:20:41.940 --> 00:20:45.340]   [LAUGHTER]
[00:20:45.340 --> 00:20:47.060]   All right, so here's the code that you run,
[00:20:47.060 --> 00:20:49.260]   Python space train.py.
[00:20:49.260 --> 00:20:51.780]   We'll run this little Keras classifier.
[00:20:51.780 --> 00:20:55.660]   [INAUDIBLE]
[00:20:55.660 --> 00:20:56.340]   So you see that?
[00:20:56.340 --> 00:20:58.980]   So if you go to File, and then New, and then Terminal,
[00:20:58.980 --> 00:21:00.900]   you get a terminal.
[00:21:00.900 --> 00:21:01.540]   And this will--
[00:21:01.540 --> 00:21:05.940]   [INAUDIBLE]
[00:21:05.940 --> 00:21:08.780]   So this is starting to train my--
[00:21:08.780 --> 00:21:12.060]   this is starting to train Chris's little Simpsons
[00:21:12.060 --> 00:21:15.620]   character face recognition classifier.
[00:21:15.620 --> 00:21:22.260]   So the code that ran is here.
[00:21:22.260 --> 00:21:27.060]   And so the first piece is that there's a couple hyperparameters
[00:21:27.060 --> 00:21:31.180]   that we set that you may want to modify.
[00:21:31.180 --> 00:21:32.940]   And then there's downloading, and then we
[00:21:32.940 --> 00:21:34.620]   make these Keras image data generators
[00:21:34.620 --> 00:21:38.260]   to generate examples of Simpsons characters
[00:21:38.260 --> 00:21:42.140]   for both the training and test data.
[00:21:42.140 --> 00:21:46.140]   And then right here is the Keras model.
[00:21:46.140 --> 00:21:47.940]   So if you used Keras before and you
[00:21:47.940 --> 00:21:51.260]   want to play with this model, you
[00:21:51.260 --> 00:21:54.100]   could make it a convolutional model or something
[00:21:54.100 --> 00:21:57.300]   more complicated.
[00:21:57.300 --> 00:22:01.340]   If you haven't done a lot of playing with Keras,
[00:22:01.340 --> 00:22:08.140]   you can actually change these hyperparameters here.
[00:22:08.140 --> 00:22:12.940]   But the goal, I guess, is to make a better model.
[00:22:12.940 --> 00:22:15.540]   All right, so guys, I do want to make sure
[00:22:15.540 --> 00:22:18.660]   that you all get to keep moving your projects forward.
[00:22:18.660 --> 00:22:21.380]   So I think we should probably pause this.
[00:22:21.380 --> 00:22:23.220]   Although, if you want to keep working on it,
[00:22:23.220 --> 00:22:25.820]   maybe we'll pull this up in the next class and--
[00:22:25.820 --> 00:22:26.820]   [LAUGHS]
[00:22:26.820 --> 00:22:28.460]   Yeah, we'll keep it open.
[00:22:28.460 --> 00:22:29.700]   Yeah, we'll keep it open.
[00:22:29.700 --> 00:22:30.660]   I mean, I don't know.
[00:22:30.660 --> 00:22:31.860]   What should we-- next class?
[00:22:31.860 --> 00:22:34.940]   Want to-- I mean, I would prefer that you
[00:22:34.940 --> 00:22:36.940]   worked on your cool projects.
[00:22:36.940 --> 00:22:41.740]   But I would also prefer that someone--
[00:22:41.740 --> 00:22:43.540]   ooh, someone did knock Tom off.
[00:22:43.540 --> 00:22:44.540]   Christina, who are you?
[00:22:44.540 --> 00:22:45.380]   Yeah, I'm Christina.
[00:22:45.380 --> 00:22:46.820]   Christina.
[00:22:46.820 --> 00:22:47.500]   Hey, Tom.
[00:22:47.500 --> 00:22:48.000]   Hey.
[00:22:48.000 --> 00:22:52.260]   Well done, well done.
[00:22:52.260 --> 00:22:53.660]   I guess you teach the next class.
[00:22:53.660 --> 00:23:00.500]   Do you want to say anything about what your approach was?
[00:23:00.500 --> 00:23:03.940]   I just added a convolution and then added two layers to that.
[00:23:03.940 --> 00:23:06.740]   And then it just keeps going.
[00:23:06.740 --> 00:23:07.940]   Interesting.
[00:23:07.940 --> 00:23:12.340]   So one thing just to point out is you actually can go--
[00:23:12.340 --> 00:23:17.260]   you can go into here and get a sense of what
[00:23:17.260 --> 00:23:20.140]   happened with this model.
[00:23:20.140 --> 00:23:22.060]   [INAUDIBLE]
[00:23:22.060 --> 00:23:25.340]   So if you click on the--
[00:23:25.340 --> 00:23:28.340]   if you click on this thing on the left here,
[00:23:28.340 --> 00:23:31.260]   you can kind of dig into what any particular person is
[00:23:31.260 --> 00:23:32.860]   doing in their run.
[00:23:32.860 --> 00:23:33.940]   But we'll keep this--
[00:23:33.940 --> 00:23:36.360]   I mean, just for fun, we'll keep this running for a while.
[00:23:36.360 --> 00:23:37.540]   If you want to keep--
[00:23:37.540 --> 00:23:38.900]   yeah?
[00:23:38.900 --> 00:23:41.980]   How do you get to this?
[00:23:41.980 --> 00:23:46.820]   So when you do this run in the terminal,
[00:23:46.820 --> 00:23:50.420]   it's going to tell you that it's synced to this URL here.
[00:23:50.420 --> 00:23:52.660]   It'll be the first line in the output
[00:23:52.660 --> 00:23:54.660]   or the last line once it finishes.
[00:23:54.660 --> 00:24:00.660]   You can also just go to app.wb.ai and just see everyone's--
[00:24:01.640 --> 00:24:03.120]   [INAUDIBLE]
[00:24:03.120 --> 00:24:12.960]   But anyway, you can also use this tool
[00:24:12.960 --> 00:24:14.640]   for your personal projects.
[00:24:14.640 --> 00:24:15.760]   And that was super fun.
[00:24:15.760 --> 00:24:16.320]   Thank you.
[00:24:16.320 --> 00:24:20.880]   [APPLAUSE]

