
[00:00:00.000 --> 00:00:10.700]   All right, hello, and welcome to episode one of the official unofficial Act 2 Network podcast.
[00:21:52.140 --> 00:21:53.960]   Whoa, like, what is driving all this?
[00:21:53.960 --> 00:21:54.780]   It's the gospel.
[00:21:54.780 --> 00:21:56.840]   It's the love of God for us, right?
[00:21:56.840 --> 00:21:59.860]   And through Christ, dying for us on the cross.
[00:21:59.860 --> 00:22:08.720]   And, man, this is one, hopefully you see one very beautiful way that gets lived out that's very true to the gospel and the word of God.
[00:22:09.520 --> 00:22:11.520]   I feel like that's a good note to end on, huh?
[00:22:11.520 --> 00:22:12.140]   Yeah.
[00:22:12.140 --> 00:22:13.360]   So maybe we can end it there.
[00:22:13.360 --> 00:22:20.180]   Thanks for joining us for our first episode of the official, unofficial Axie Network podcast.
[00:22:20.180 --> 00:22:21.080]   I always get that backwards.
[00:22:21.080 --> 00:22:23.940]   Yeah, make sure to like, subscribe, and we'll see you in future episodes.
[00:22:23.940 --> 00:22:25.060]   Yeah, looking forward to it.

