
[00:00:00.000 --> 00:00:12.320]   all right welcome to the unofficial official grace this is the other way around i get it
[00:26:29.500 --> 00:26:34.140]   year ago i think about a year it started when you guys went out to philly is that was that the first time
[00:26:34.140 --> 00:26:41.020]   we yeah yeah yeah so um i mean i think that's like a big thing that i don't know how that even would
[00:26:41.020 --> 00:26:46.780]   have come across to your generation when you were our age that might have been like i don't know but
[00:26:46.780 --> 00:26:52.460]   it would have kind of been unheard of but basically now once a week as a church we try to build a week
[00:26:52.460 --> 00:26:57.980]   where we don't really do like the regular rhythms of ministries so we basically say nothing that requires
[00:26:57.980 --> 00:27:03.500]   a meeting or like a planning doc you know um we like spend a night for soul care spend a night just
[00:27:03.500 --> 00:27:07.820]   building relationships and hanging out with people spend a night just hanging out with your fellowship
[00:27:07.820 --> 00:27:14.460]   in like an unstructured way um and personally i think it's been really good for us it kind of forces
[00:27:14.460 --> 00:27:20.300]   us to slow down gives us a breather uh kind of helps our staff to just sort of come back again to
[00:27:20.300 --> 00:27:26.860]   like why am i doing this and and connect to jesus again good reset point yeah um so i think that is
[00:27:26.860 --> 00:27:31.820]   to me one of the biggest changes that we've made in a very recent one but i think it's helped to kind
[00:27:31.820 --> 00:27:37.820]   of offset a lot of um i think just some of the difficulty of doing ministry um where it can feel
[00:27:37.820 --> 00:27:44.060]   relentless and it can feel at times like um yeah like we don't make times to just connect you know we
[00:27:44.060 --> 00:27:48.300]   don't make times to just like grow in our relationships because we're just doing doing doing so
[00:27:48.300 --> 00:27:51.980]   to me that would be one of my top ones what do you guys how do you guys feel about like like what do
[00:27:51.980 --> 00:27:55.660]   you guys think about that change about that i think it's really good because back in the day
[00:27:55.660 --> 00:28:01.900]   oh man i think well i i can't speak for other people but this is my sentiment that other people
[00:28:01.900 --> 00:28:07.740]   thought this way like for me i prided myself on doing a lot of work like i was a business guy i wanted
[00:28:07.740 --> 00:28:12.300]   to go to wall street you know they work like crazy are you a type three pastor yeah no actually i'm a type
[00:28:12.300 --> 00:28:21.900]   seven yeah yeah so i'm not i'm just kind of confused enneagramically yeah but anyways um like
[00:28:21.900 --> 00:28:26.780]   when i heard okay michael milken right he's a wall street guy you guys don't know he worked like 80 to
[00:28:26.780 --> 00:28:31.900]   100 hours left four hours and i thought man if he's gonna do that for money i gotta do that for the lord
[00:28:31.900 --> 00:28:37.420]   yeah and so i'm i'm gonna be like okay well let's work let's do this um no one forced me to but that
[00:28:37.420 --> 00:28:43.900]   was kind of like my work ethic and that's a sense that i got from the oldies back then but looking back
[00:28:43.900 --> 00:28:48.220]   now that i'm older yeah i could i'd be like oh yeah i think that was a little too unhealthy
[00:28:48.220 --> 00:28:53.740]   i mean no one was forcing us to do all of that but then that was kind of the culture so i'm really
[00:28:53.740 --> 00:28:58.620]   glad to see that things have changed that we're taking this monthly sabbath and i praise god for that
[00:28:58.620 --> 00:29:02.860]   yeah and i'm thankful just because like with a lot of church planting and stuff like that like just
[00:29:02.860 --> 00:29:06.620]   a lot of the relationships have gone disrupted we feel thinner yeah we feel a little thinner because
[00:29:06.620 --> 00:29:10.940]   we've just been i mean you plant a shirt like you send people out to plant church it disrupts a lot
[00:29:10.940 --> 00:29:14.300]   relationally i think maybe part of the reason why we were able to run so hard before was like
[00:29:14.300 --> 00:29:18.540]   everyone was together and that there's a lot of relationship right and our church because of church
[00:29:18.540 --> 00:29:23.820]   planting which is praise god for um there is that cost of relationships thinning right and so like
[00:29:23.820 --> 00:29:30.300]   trying to build in um at times so yeah i'm trying not to laugh because i as soon as i said we feel
[00:29:30.300 --> 00:29:36.140]   thinner i knew that some people are gonna make comments about that so i already know i'm like
[00:29:36.140 --> 00:29:43.100]   why are you smiling okay can i can i get one yeah yeah yeah um i think one of the things that i felt
[00:29:43.100 --> 00:29:48.620]   like changed the most since i was a freshman is sort of how open we are to other churches yeah and like
[00:29:50.220 --> 00:29:54.700]   for me that's the biggest one actually really because because i like we were always connected
[00:29:54.700 --> 00:29:57.980]   so one of the reasons why i stayed at our church and i was really interested because i remember meeting
[00:29:57.980 --> 00:30:02.140]   you and you're telling me how pastor is like really good friends with jp moreland yeah and jp moreland
[00:30:02.140 --> 00:30:06.300]   is one of my heroes in high school oh yeah yeah he's being your vineyard vineyard he was vineyard and then
[00:30:06.300 --> 00:30:10.540]   like my my mentor was getting me into apologetics and then i was like this church is apologetics and
[00:30:10.540 --> 00:30:15.580]   so i was like blown away so like i was blown away by how many people were connected to whether it was like yeah um
[00:30:15.580 --> 00:30:20.780]   jp moreland josh mcdowell sean mcdowell like william mccraig some of these guys so we've always been
[00:30:20.780 --> 00:30:24.540]   connected but we've always been under the radar because we don't want to attract attention to
[00:30:24.540 --> 00:30:28.860]   ourselves we just want to like be faithful right but now it's like i mean set network college
[00:30:28.860 --> 00:30:33.180]   collaborate like just i can name so many things where i'm really open and so i just want to get your
[00:30:33.180 --> 00:30:38.780]   guys's thoughts on on that like i mean have some thoughts but my thoughts on that yeah just like do you
[00:30:38.780 --> 00:30:44.700]   see that as as a change that's happened and yeah yeah i think so i think we're very i mean i think
[00:30:44.700 --> 00:30:51.820]   we thought of ourselves as like very small you know and um we're just kind of doing our own thing yeah
[00:30:51.820 --> 00:30:57.020]   and it was just when we first started it was just berkeley right so it's like we never thought of
[00:30:57.020 --> 00:31:01.500]   ourselves as anything more than that and then um never thought about like this becoming a net like a
[00:31:01.500 --> 00:31:06.540]   nation yeah no and then i think for me it was i mean like getting guest speakers and things like that
[00:31:06.540 --> 00:31:11.820]   it was always cool because like you know you could name drop people or something like oh so and so was
[00:31:11.820 --> 00:31:19.900]   at our church but um still i i think the thing that really got my eyes open a little bit was collaborative
[00:31:19.900 --> 00:31:28.220]   and it was these other people who kind of visited our church other college ministries yeah they're
[00:31:28.220 --> 00:31:33.900]   looking at college ministries and they saw something and they wanted to sort of make a big deal out of it
[00:31:33.900 --> 00:31:43.020]   by having a conference and like having us share our story and how we're doing things and um and honestly
[00:31:43.020 --> 00:31:48.620]   like i said this is the theme i i was in church so this is the only church that i've known yeah right
[00:31:48.620 --> 00:31:55.260]   and so kind of seeing other churches and hearing from them and kind of their challenges and what they're
[00:31:55.260 --> 00:32:02.460]   going through and then their willingness or wanting to learn like what how we do things and what what
[00:32:02.460 --> 00:32:08.620]   we're doing i was just like wow that was that was kind of eye-opening for me yeah it's like oh it's not
[00:32:08.620 --> 00:32:16.140]   like this everywhere else you know it's there's it's very different and we have something that maybe they're
[00:32:16.140 --> 00:32:21.980]   interested in yeah yeah yeah so for those of you don't know college collaborative um it's a conference
[00:32:21.980 --> 00:32:27.980]   of collegiate church planting churches and we gathered so yeah share knowledge yeah and it's
[00:32:27.980 --> 00:32:31.660]   getting inspired by each other commission board yeah and there was a guy there who was like really trying
[00:32:31.660 --> 00:32:35.820]   to get a lot of these college missions together to share knowledge and just like you know build a
[00:32:35.820 --> 00:32:40.380]   movement basically of like collegiate focused church planting was really cool um eventually it just kind
[00:32:40.380 --> 00:32:44.620]   of stopped it coven and stuff yeah coven and things like that and just um um no one to like really
[00:32:44.620 --> 00:32:48.380]   organize that but um but we're still connected to those churches i think we've learned a lot super from
[00:32:48.380 --> 00:32:52.300]   them and as much as they've learned from us too and some of those guys they still text here and there
[00:32:52.300 --> 00:32:57.260]   oh yeah what's going on yeah i mean we we still keep in touch with all of them steal their ideas oh yeah
[00:32:57.260 --> 00:33:02.700]   they have a lot of good things that we're trying to incorporate yeah yeah you know and and vice versa i
[00:33:02.700 --> 00:33:06.860]   guess and so it's been good in that way yeah and so to that end like i think like once we
[00:33:07.740 --> 00:33:11.980]   appreciated what we had i mean i came in because you know from other children wow this is amazing
[00:33:11.980 --> 00:33:16.540]   right but just being able to see now us kind of opening and and seeing like wow god's given
[00:33:16.540 --> 00:33:21.980]   something really special precious and we want to bless other people with it and i mean for me like
[00:33:21.980 --> 00:33:26.220]   even just like doing inner high which is where we go out to other you know ethnic under-resourced churches
[00:33:26.220 --> 00:33:28.860]   and do like youth service for them because all these youth don't have their own service their own
[00:33:28.860 --> 00:33:32.780]   language like i came from a church like that and so like when we started that passover when you started
[00:33:32.780 --> 00:33:39.580]   like and i was part of that niche you know like in 2010 2009 and um that was just like i was so
[00:33:39.580 --> 00:33:45.020]   thankful for that and and it's my favorite ministry yeah yeah it's my favorite ministry and i just just
[00:33:45.020 --> 00:33:50.460]   because that's where i grew up and and i know how hard it was and i think that's also showed people
[00:33:50.460 --> 00:33:55.500]   like it's not it's really not about us yeah it's it's just we want to see the kingdom of god expand right
[00:33:55.500 --> 00:34:00.380]   and i think it's blessed a lot of people yeah and so that's what i mean even now like your dad you
[00:34:00.380 --> 00:34:05.500]   know we got in touch with him and he's connecting us in socal yeah yeah with like all of these other
[00:34:05.500 --> 00:34:10.380]   churches i did youth retreats for his home church and stuff so yeah so i mean it's been a blessing for
[00:34:10.380 --> 00:34:16.620]   us because like we get to go out there and like you know for some people who it just reignites their
[00:34:16.620 --> 00:34:20.940]   heart for yeah youth ministry this is tough for them yeah like they're like doing it on their own
[00:34:20.940 --> 00:34:26.620]   it's not like us yeah and they're so appreciative of like even anything that we do for them so yeah
[00:34:26.620 --> 00:34:32.780]   and i think uh just the the whole aspect of like partnering with kind of other campus ministries too
[00:34:32.780 --> 00:34:37.900]   i think we were i kind of think this was a weakness of ours back in the day where we kind of not that
[00:34:37.900 --> 00:34:43.500]   we weren't open to that but we didn't prioritize that yeah kind of just did our own thing um for whatever
[00:34:43.500 --> 00:34:47.820]   reasons and i think that's the way we've grown too just like being more open to that more friendly
[00:34:47.820 --> 00:34:52.620]   honestly like hey we're here let's meet let's talk so i think for us uh year one church plan is doing
[00:34:52.620 --> 00:34:57.820]   that in philly like meeting the local nam and send guys has been a huge blessing shout out to you know
[00:34:57.820 --> 00:35:03.100]   like stan williams and kyle kanti and these guys yeah brian messer and then just like the other christian
[00:35:03.100 --> 00:35:08.140]   groups on campus so like you know we we do a lot with like fca at the penn campus and i think i don't
[00:35:08.140 --> 00:35:12.860]   know i just think that didn't occur to us before but super thankful just that we're kind of doing more
[00:35:12.860 --> 00:35:17.340]   of that and getting involved in that way so yeah yeah um yeah any others any others you guys want
[00:35:17.340 --> 00:35:20.860]   to throw out there like kind of changes that we made in the reason yeah i think um one thing that
[00:35:20.860 --> 00:35:28.380]   i've seen change a lot is just the amount of uh input that um that we're getting and asking for uh because
[00:35:28.380 --> 00:35:35.660]   back in the day and maybe this is because i was very low on the totem pole not high up but it always seems
[00:35:35.660 --> 00:35:41.900]   that the the the that the leadership like they went up to a mountain right and then god spoke to them
[00:35:41.900 --> 00:35:47.340]   yeah and then they came down and like thus saith the lord this is what we're going to do at a church and
[00:35:47.340 --> 00:35:55.020]   then we're like okay let's roll yeah and then there wasn't any input or any opportunity or as much to give
[00:35:55.020 --> 00:36:01.820]   feedback or to like um ask questions about about okay you know can we get more clarification but now
[00:36:01.820 --> 00:36:07.740]   things are like so different um and because i know it's a reflection of like your dad and your mom
[00:36:07.740 --> 00:36:12.780]   i say that because they're they're hungry for data right i mean data is really important they need
[00:36:12.780 --> 00:36:18.780]   more information and it's important that uh we especially you know when when the overseers make
[00:36:18.780 --> 00:36:24.300]   decisions about our church uh that we get input from everyone not just amongst ourselves but from
[00:36:24.300 --> 00:36:31.100]   uh the leads the full-time leads the uh the campus leads even from staff and students even yeah and
[00:36:31.100 --> 00:36:35.980]   we're we're regularly polling you know through like google forms hey what do you think about this can
[00:36:35.980 --> 00:36:42.140]   we get your feedback on this i've seen um you know there's there's that anonymous email channel that
[00:36:42.140 --> 00:36:49.500]   that that that that pastor red put up and um anyone can could could write into that um as well as that vine or
[00:36:49.500 --> 00:36:54.060]   combo that we have as well yeah just kind of internal yeah and i've seen and i've seen like pastor and
[00:36:54.060 --> 00:36:59.660]   kelly they're they're regularly talking to people outside of our church to get uh some input or some
[00:36:59.660 --> 00:37:05.340]   feedback about us about you know uh what decisions or directions that we need to go and so that has
[00:37:05.340 --> 00:37:11.180]   definitely changed a lot yeah i mean dramatically i mean to add to that is the q a times that we have with
[00:37:11.180 --> 00:37:17.740]   them too i mean they have so many almost after for for a season last semester i remember even with the
[00:37:17.740 --> 00:37:22.940]   college students right i mean we would have a q a times and they'd ask every yeah we did q a at philly
[00:37:22.940 --> 00:37:28.940]   too yeah from from from the actual message to just about our church and everything so i think yeah that
[00:37:28.940 --> 00:37:33.740]   that's been a really positive change i feel like i had a related one um just kind of getting like people
[00:37:33.740 --> 00:37:38.860]   involved younger um so like getting our students involved in more things getting them to help like plan
[00:37:38.860 --> 00:37:43.100]   things yeah because we used to be a little shaolin temple yeah i appreciated that shaolin temple but
[00:37:43.100 --> 00:37:46.460]   then i think if i if i wasn't burnt out coming as a freshman i'd be like this just don't let me do
[00:37:46.460 --> 00:37:52.380]   anything like that's why i thought you were going to leave i was like i just need to do nothing yeah
[00:37:52.380 --> 00:37:56.780]   i remember that yeah we're lucky but yeah no because i think back in the day it was sort of like you have
[00:37:56.780 --> 00:38:01.260]   to like you don't have to quite be jesus but you have to kind of be like almost apostle paul if you're
[00:38:01.260 --> 00:38:06.780]   going to serve in any capacity in our church that was sort of our mentality um so we've chilled out on that a
[00:38:06.780 --> 00:38:10.540]   little bit uh so i'm thankful for that because i think i think we benefited from that and people
[00:38:10.540 --> 00:38:16.620]   grow faster as a result yeah yeah i just want to say like as a maybe it's wrapped that one up it's
[00:38:16.620 --> 00:38:20.540]   that's a challenge for like every organization to to get that kind of what is happening on the ground
[00:38:20.540 --> 00:38:25.420]   that kind of and feedback can do that well and um we we have our challenges and things like that
[00:38:25.420 --> 00:38:29.340]   but i do think it's something we continue to grow and just creating that space for that to happen
[00:38:29.340 --> 00:38:34.780]   in a really constructive way so i'm thankful for that too yeah yeah well i think we are almost out
[00:38:34.780 --> 00:38:39.340]   of time here so i'm going to just rattle off a couple other things that i think are important that
[00:38:39.340 --> 00:38:43.420]   they've changed and then feel free to throw some out more but uh i think it's significant that we don't
[00:38:43.420 --> 00:38:48.220]   turn in wrs anymore that's something we just need reflections weekly reflections we don't we still do
[00:38:48.220 --> 00:38:52.140]   them but we don't turn them in and that was just it was just one of those things that a lot of
[00:38:52.140 --> 00:38:57.900]   people just felt weird about and i think just given sort of some cultural shifts that we were
[00:38:57.900 --> 00:39:02.700]   maybe a little slow to recognize we figured okay it's best to not do that anymore well i mean a certain
[00:39:02.700 --> 00:39:05.980]   level of leadership we still do just because like among that that's right it's like yeah you know
[00:39:05.980 --> 00:39:11.180]   that's that is part of our full-time it's just needed yeah and to be honest i hate sitting down to
[00:39:11.180 --> 00:39:17.820]   write it i hate it it's the pastor of our church everybody pastor of our church overseer every week i'm like
[00:39:17.820 --> 00:39:24.700]   why okay so but then i just obey yeah and then at the end of an hour and a half two hours i'm feeling
[00:39:24.700 --> 00:39:29.100]   like oh man i'm really glad i did yeah yeah i'm so glad i did that so there's something really about
[00:39:29.100 --> 00:39:35.340]   yeah yeah yeah i mean exactly so there's so much that happens you know and i think for me like just
[00:39:35.340 --> 00:39:41.020]   sitting down makes you kind of think like okay my memory is going so i have to kind of sit down
[00:39:41.020 --> 00:39:47.020]   and and kind of go okay what happened last week yeah yeah we live like a month and a week yeah yeah
[00:39:47.020 --> 00:39:52.540]   because if i don't do that then i'm just back in the saddle i'm going you know 60 70 80 miles per
[00:39:52.540 --> 00:39:58.540]   hour and it's another week of just going strong yeah without getting that oh man i'm really thankful
[00:39:58.540 --> 00:40:02.860]   how god worked in my life kind of moment i mean i think that would be dangerous i'm really thankful
[00:40:02.860 --> 00:40:07.900]   for wr although i still hate it i'm gonna hate it wait what day is it today i don't know it's a
[00:40:07.900 --> 00:40:13.260]   thursday thursday yeah i'm gonna hate it monday i'll be thankful monday after yeah yeah but i do think
[00:40:13.260 --> 00:40:17.820]   some of the changes have made like you know that structure is good but then also now okay i don't
[00:40:17.820 --> 00:40:22.380]   have that structure so how do i continue to keep up with like and keep in and stay in touch with the
[00:40:22.380 --> 00:40:27.420]   people and get connected what's going on their life for me it's made me try like recognizing the weakness
[00:40:27.420 --> 00:40:32.300]   and me being like relational that way and so it's forced me to grow in that way too so it's you emphasize
[00:40:32.300 --> 00:40:37.740]   different things in different seasons right yeah sure so yeah yeah yeah all right i think that's all i had
[00:40:37.740 --> 00:40:42.460]   actually yeah do you have any last ones to add um any ones to throw out i do have one last one
[00:40:42.460 --> 00:40:46.220]   it might be a little bit long a little bit this one is just one that i feel but like um
[00:40:46.220 --> 00:40:51.420]   i feel like it's important to bring up though because i do think like how we approach um family
[00:40:51.420 --> 00:40:56.300]   like like parents you know okay because you know in college that time where you're becoming more
[00:40:56.300 --> 00:41:00.460]   independent you're gonna become an adult and so there's that natural separation from parents and
[00:41:00.460 --> 00:41:04.620]   stuff like that and like i remember in undergrad hearing a lot of testimonies about people like
[00:41:04.620 --> 00:41:10.460]   going like wow like i need to stay to grow spiritually right and if i go back home where
[00:41:10.460 --> 00:41:13.980]   there's no church there's no like community whatever like that'll be like spiritually really
[00:41:13.980 --> 00:41:18.060]   difficult and so a lot of testimonies i heard were like that which is sort of like man even though it
[00:41:18.060 --> 00:41:22.780]   really disappointed my parents like i wanted to stay you know and and um i i had it easy out because
[00:41:22.780 --> 00:41:27.260]   my parents kicked me out of the house they're like go leave so castle when they asked me i want to come
[00:41:27.260 --> 00:41:32.060]   back i was like no you kicked me out you know it was still hard though for them but like
[00:41:32.060 --> 00:41:37.340]   now a lot of the testaments i hear is like he's good with his parents by the way yeah they come
[00:41:37.340 --> 00:41:42.780]   over all the time so thankful for them yeah but um but just like yeah like now it's a lot of like how
[00:41:42.780 --> 00:41:47.260]   do we love our parents together i think part of that has to do with our church's aging right and so
[00:41:47.260 --> 00:41:51.500]   like yeah even just a couple weeks ago i told my mom like she was over helping me watch my kid and
[00:41:51.500 --> 00:41:56.780]   i was like mom you know i get sick and old you're gonna stay with me you know and she was it doesn't
[00:41:56.780 --> 00:42:01.260]   matter how busy i am like you can stay with me right and that i feel like that's a shift is that right
[00:42:01.260 --> 00:42:07.020]   would you guys agree and or is that kind of what what your parents just that the the kind of testimonies
[00:42:07.020 --> 00:42:13.260]   or just that i mean i know your mom my mom yeah that's true with me since yeah since 2000 that's true
[00:42:13.260 --> 00:42:21.340]   so um yeah that's yeah but i think as as we get older yeah right i think we realize um i mean for
[00:42:21.340 --> 00:42:26.700]   my family i mean they're not christian but then because of my commitments they sort of you know
[00:42:26.700 --> 00:42:34.460]   moved out of hawaii came here my mom moved in with me and then um from there she started coming out to
[00:42:34.460 --> 00:42:40.220]   our church the korean department and then um she became a christian through that so so there was
[00:42:40.220 --> 00:42:45.100]   that blessing and then you know what else is she gonna do with her life so she spent a lot of time
[00:42:45.100 --> 00:42:52.140]   babysitting you know raising she she watched our yeah yeah i mean she has like a long list of all the
[00:42:52.140 --> 00:42:57.180]   kids some of them are in college now but you know that that she's watched and so she got really
[00:42:57.180 --> 00:43:04.300]   connected and i i imagine like if it wasn't for that i think she would have been um pretty lonely
[00:43:04.300 --> 00:43:09.100]   and isolated because like growing up we didn't have like a lot of friends outside of our immediate
[00:43:09.100 --> 00:43:13.180]   family yeah because we're so busy so yeah so i feel like i'm hearing more and more stories like
[00:43:13.180 --> 00:43:17.500]   that and maybe it's just age where it's like becoming a blessing to our family yeah right yeah i think
[00:43:17.500 --> 00:43:21.980]   what we got better at or more aware of is that oh you know we really need to disciple people in
[00:43:21.980 --> 00:43:25.580]   this area i think before we would kind of assume that people were taking care of people knew how
[00:43:25.580 --> 00:43:31.180]   to like children like birthdays yeah as leadership we realize oh people are not doing that and they're
[00:43:31.180 --> 00:43:35.260]   not good at that a lot of times and so i was i was terrible yeah it's like we need to push people to
[00:43:35.260 --> 00:43:39.020]   actually love their families and i don't know i think maybe some of us thought that was sort of a
[00:43:39.020 --> 00:43:45.980]   given but realizing oh so bad yeah we gotta help people do that yeah yeah i think um i think definitely
[00:43:45.980 --> 00:43:53.980]   there has been an increase in uh in gaining wisdom right about how to love your parents because boy you
[00:43:53.980 --> 00:43:59.580]   know i i know that um i've said stuff like hey you gotta call your parents more hey why don't you go
[00:43:59.580 --> 00:44:05.420]   spend time with your parents because of you know for various reasons and depending upon the person yeah
[00:44:05.420 --> 00:44:11.500]   you have to spend more time or pay more attention to your parents but then there might be another person
[00:44:11.500 --> 00:44:17.100]   who might be a little bit too attached to their parents maybe emotionally and even financially but
[00:44:17.100 --> 00:44:23.260]   then the grown adults and maybe for the sake of like that person's marriage you know just you know
[00:44:23.260 --> 00:44:28.940]   just a little bit more independence you know healthier independence is better and so you could speak into
[00:44:28.940 --> 00:44:34.620]   that a little bit but then so i i'd like to say just wisdom with regard to parents how to best i like
[00:44:34.620 --> 00:44:41.020]   love your parents because it might be pulling back it might be moving toward yeah yeah it's it's really
[00:44:41.020 --> 00:44:47.580]   difficult yeah it's really difficult yeah it's hard to navigate yeah yeah yeah yeah wow okay i think
[00:44:47.580 --> 00:44:52.460]   we got to wrap up but i want to thank you guys so much for joining us today our first guests yeah our
[00:44:52.460 --> 00:44:58.460]   podcast all right she does more often this is great yeah we should then we have to talk less but i i think
[00:44:58.460 --> 00:45:04.060]   just to kind of wrap up final final thought here i i do think like the point of today is not to be like
[00:45:04.060 --> 00:45:08.780]   oh pat ourselves on the back look we figured it all out like i think totally as a church we're still
[00:45:08.780 --> 00:45:13.500]   figuring things out you know there's still room to grow but like we're not the same people that we were
[00:45:13.500 --> 00:45:17.660]   10 years ago we're not the same church we were 10 years ago and i think it's appropriate to to take
[00:45:17.660 --> 00:45:23.100]   note of that and to and and to have that help us like think through like yeah how can we continue to
[00:45:23.100 --> 00:45:27.820]   change and grow and just be the best church we can be you know and that's our goal so um yeah i just wanted to end
[00:45:27.820 --> 00:45:33.820]   with that note in case it came off that way i guess for our listeners so yeah yeah yeah so if
[00:45:33.820 --> 00:45:38.860]   anything we said today helped other churches out there or yeah even just like yeah with even within
[00:45:38.860 --> 00:45:45.820]   our church you know grow and stuff and thankful for it so yeah so um like and subscribe i gotta say
[00:45:45.820 --> 00:45:55.820]   that every week and we will see you guys next time yeah let's do this again maybe at the beach
[00:45:55.820 --> 00:46:01.500]   you know

