
[00:00:00.000 --> 00:00:04.400]   Everyone says to max out your retirement accounts, but is that always the best move?
[00:25:42.100 --> 00:25:48.420]   that you need to earlier, or we can just end out spending more on covering all of our medical expenses
[00:25:48.420 --> 00:25:53.300]   when we get there. I mean, Medicare premiums alone are not trivial. Like you're going to have a couple
[00:25:53.300 --> 00:25:58.500]   thousand dollars a year per person, particularly if you take current Medicare premiums and inflate them by
[00:25:58.500 --> 00:26:04.020]   20 or 30 years of medical cost inflation of whatever Medicare is. By the time you get there,
[00:26:04.020 --> 00:26:09.940]   you can cover long-term care expenses. There's a lot that crops up. We can give a link in the show
[00:26:09.940 --> 00:26:16.180]   notes just for all the different ways that HSAs can get used in retirement that give you just,
[00:26:16.180 --> 00:26:21.940]   it's the deduction upfront and the tax-free at the ends that, again, I wouldn't have it as my only bucket
[00:26:21.940 --> 00:26:26.580]   for retirement because there's other clearly non-medical, non-health related expenses that crop
[00:26:26.580 --> 00:26:33.940]   up. But for folks that are saving multiple buckets, this is a particularly tax-advantaged one,
[00:26:33.940 --> 00:26:39.460]   a uniquely tax-advantaged one, because it's the only one that really runs on a triple tax-free basis.
[00:26:39.460 --> 00:26:41.060]   Everything else is two out of three.
[00:26:41.060 --> 00:26:46.340]   Now you're only eligible with the right health plan. So let's assume you don't have that health
[00:26:46.340 --> 00:26:51.700]   plan right now. We're not going to go down the path of how to pick health plans. So now let's move on to
[00:26:51.700 --> 00:26:52.420]   the other buckets.
[00:26:52.420 --> 00:26:57.620]   So then we start getting into core retirement accounts, right? For most of us, it tends to be
[00:26:57.620 --> 00:27:05.060]   two dimensions. I've got to go tax versus Roth, and I've got to go employer versus mine. So employer
[00:27:05.060 --> 00:27:13.060]   provided versus my own is really a question of, if it's my own, I get full control. I can invest
[00:27:13.060 --> 00:27:18.660]   whatever I want under God's green earth that I can get an IRA custodian to hold and invest for me. If
[00:27:18.660 --> 00:27:24.260]   I'm using my employer's plan for at least most plans, I'm limited to their menu of options and what they
[00:27:24.260 --> 00:27:29.940]   provide. If you like their menu and it's reasonable cost, that's great. Depending on the plan, not all of
[00:27:29.940 --> 00:27:34.740]   them are the best menu of options or the most reasonable cost. So for some of us, it's just a control
[00:27:34.740 --> 00:27:40.100]   autonomy thing and ability to invest flexibly in a low cost that tends to pull us to individual
[00:27:40.100 --> 00:27:45.700]   retirement accounts. We see people more often go after employer plans, either A, just I want to
[00:27:45.700 --> 00:27:50.580]   capture my match and free money is a beautiful thing. Beyond that, I might be going after the
[00:27:50.580 --> 00:27:55.300]   employer side because they've got things like loan provisions that I want to be able to take advantage
[00:27:55.300 --> 00:28:00.580]   of in the future. And it's nice to have the choice available if that's a version of my emergency
[00:28:00.580 --> 00:28:05.780]   reserves. Not a high fan of it because often emergencies involve layoffs that mean you can't
[00:28:05.780 --> 00:28:11.620]   keep the loan. But sometimes we'll see clients that pursue employer plans because of loan provisions.
[00:28:11.620 --> 00:28:16.180]   Sometimes we'll see them pursue employer plans because we're doing things like mega backdoor
[00:28:16.180 --> 00:28:21.700]   Roth contributions as a way to route the money through the employer plan to do additional Roths. But
[00:28:22.660 --> 00:28:28.820]   most folks we find, the primary reason they end up going employer is simply because they contribute to
[00:28:28.820 --> 00:28:34.340]   their individual account and max out the accounts and want to keep contributing. And so we go individual
[00:28:34.340 --> 00:28:40.660]   retirement account limits first, and then we stack salary deferral contributions to employers on top
[00:28:40.660 --> 00:28:44.980]   because we're just trying to keep stacking up the bucket. So depending on how much disposable dollars
[00:28:44.980 --> 00:28:50.820]   I've got, like first I'm HSA, then I've got my match, then I've got my individual retirement account,
[00:28:50.820 --> 00:28:56.660]   then I've got my employer salary to contributions. And I just keep stacking on layers of tax preference
[00:28:56.660 --> 00:29:01.460]   buckets as far as I can. And so on the personal side, if you have an employer plan, you know,
[00:29:01.460 --> 00:29:08.260]   you're kind of both limited in types and by contribution limits. My belief is that it's become
[00:29:09.060 --> 00:29:14.420]   accepted that the backdoor Roth is an appropriate method. I'm sure you've written a post about all
[00:29:14.420 --> 00:29:20.020]   the nuance of it. I mean, the core works fine. The only even slight debate out there now is just like,
[00:29:20.020 --> 00:29:24.740]   should you wait at all between the contribution and the conversion? There's like a nerdy step
[00:29:24.740 --> 00:29:30.980]   transaction debate that's out there. But do you think you need to? Many people I know wait the next day.
[00:29:30.980 --> 00:29:37.940]   I still do. I still advise some level of waiting period. Now I'm a tax nerd and I'm a conservative tax
[00:29:37.940 --> 00:29:43.860]   nerd. Do I think there's some risk? Yes. Do I think it's tiny? Yes. Do I still want to have to go
[00:29:43.860 --> 00:29:49.140]   through that with the client and defend them in front of the IRS? No. I'm not particularly looking
[00:29:49.140 --> 00:29:53.860]   to get my client's name as like the tax case that determinatively settled this for everybody about
[00:29:53.860 --> 00:29:58.420]   exactly where the IRS draws the line. And this is why I look at the grand scheme of things, you know,
[00:29:58.420 --> 00:30:03.300]   if your money's going to be sitting your Roth for 40 years, if it's only there for 39 or 39 and a half,
[00:30:03.300 --> 00:30:07.460]   you are never going to notice in the grand scheme of things. If you do a Roth contribution,
[00:30:07.460 --> 00:30:10.980]   the IRS comes back and disqualifies it and applies excess contribution penalties,
[00:30:10.980 --> 00:30:14.900]   you are definitely going to notice it. There's so many other ways that we can push the limits and
[00:30:14.900 --> 00:30:22.100]   take risk. It's just not a terribly compelling risk return trade-off scenario relative to a slightly
[00:30:22.100 --> 00:30:26.900]   modest waiting period. And then go get your multi-decade compounding high time horizon
[00:30:26.900 --> 00:30:30.660]   in a Roth account. That's going to be great in the long run, even if you didn't get the first
[00:30:30.660 --> 00:30:35.380]   couple months or years worth of growth. When it comes to, you know, like a traditional pre-tax
[00:30:35.380 --> 00:30:41.380]   contribution and an after-tax Roth contribution, whether it's a 401k or another retirement account,
[00:30:41.380 --> 00:30:47.380]   how do you think people can make that decision? Well, I think about the Roth versus traditional
[00:30:47.380 --> 00:30:56.660]   decision very opportunistically. The math version of this is if your tax rates end up being higher now and
[00:30:56.660 --> 00:31:02.100]   lower in the future, it's better to do the traditional account. If your tax rates are lower
[00:31:02.100 --> 00:31:07.700]   now and higher in the future, it's better to do Roth, which gets down to the remarkably simple rule.
[00:31:07.700 --> 00:31:11.540]   It turns out it's best to pay your taxes whenever the rate's going to be the lowest. And if you do all
[00:31:11.540 --> 00:31:15.700]   the fancy underlying math, that really is what you get to when you do present value, future value,
[00:31:15.700 --> 00:31:20.260]   adjustments, and the rest. So if I think my rates are going to be worse in the future, I may as well do
[00:31:20.260 --> 00:31:24.660]   Roth, get my bill out of the way today at current tax rates. If I think I'm higher tax rates today
[00:31:24.660 --> 00:31:28.740]   and I'm going to be lower in the future, then I do a good old fashioned traditional account,
[00:31:28.740 --> 00:31:33.780]   take my tax deduction up front at my obnoxiously high tax rates, and then take the money out and pay
[00:31:33.780 --> 00:31:38.660]   Uncle Sam his share later when he gets a smaller percentage because my tax rates have gone down.
[00:31:39.220 --> 00:31:45.380]   The further out you are at either extreme, literally like the more tax arbitrage is on the table, the more
[00:31:45.380 --> 00:31:50.500]   difference potential there is between where your tax brackets are now and where they may be in the
[00:31:50.500 --> 00:31:54.340]   future. A lot of the time we talk to folks, right? Like I'm kind of in the middle. I make a good six
[00:31:54.340 --> 00:32:00.740]   figure income, which means a married couple. I'm in the 22 or 24% bracket, roughly rounding almost
[00:32:00.740 --> 00:32:07.060]   anybody between one and 400,000 of income as a married couple is in the 22 or 24% bracket. It's like,
[00:32:07.060 --> 00:32:10.660]   I make pretty good money. I don't think it's really going to be lower bracket than this in the future.
[00:32:10.660 --> 00:32:13.540]   I don't know that I'm going to climb to higher brackets in the future. So I'm not really sure
[00:32:13.540 --> 00:32:17.940]   where it's going to go. And the answer is if you really end out roughly where you are now,
[00:32:17.940 --> 00:32:21.940]   it won't matter. They're the same. You can't really get it wrong is the good news.
[00:32:21.940 --> 00:32:28.580]   The other thing that we find that a lot of folks miss is particularly the traditional bucket. It's not
[00:32:28.580 --> 00:32:34.020]   static. Like we can flip it to Roth at some point in the future. So we have a lot of clients that are
[00:32:34.020 --> 00:32:37.940]   peak earnings years saying, you know, I hate how much I pay in taxes to Uncle Sam,
[00:32:37.940 --> 00:32:42.500]   please do something about this. Like I want to put money into a Roth so I never have to pay taxes on
[00:32:42.500 --> 00:32:46.820]   this growth again. And we point out to them, like, you'd probably be much better off to put the money
[00:32:46.820 --> 00:32:53.460]   into a good old fashioned traditional IRA or 401k. Take your maximum deduction, stick it to Uncle Sam at
[00:32:53.460 --> 00:32:58.420]   the absolute maximum tax rate. And when you retire and your tax breaks come down a little bit,
[00:32:58.420 --> 00:33:03.540]   then let's do giant multi-hundred thousand dollar Roth conversions. So we'll get the money in Roth.
[00:33:03.540 --> 00:33:07.060]   It'll be in Roth by the time you're finishing retirement and leaving money to your kids if
[00:33:07.060 --> 00:33:11.300]   that's what you want to do. But I don't have to make the Roth bucket in my very expensive peak
[00:33:11.300 --> 00:33:16.020]   earnings years. I can make the Roth bucket after my income dials down. And I get that kind of what
[00:33:16.020 --> 00:33:22.580]   often is a valley after my wages stop before Social Security and required minimum distributions and like
[00:33:22.580 --> 00:33:29.140]   begin. So the fact that we get even more of a flexible toggle switch creates additional opportunities
[00:33:29.140 --> 00:33:36.660]   to say, let's be opportunistic around this and really make sure we're loading up on Roth when income years
[00:33:36.660 --> 00:33:41.780]   are low and really loading up on traditional when income years are high. And because our income goes
[00:33:41.780 --> 00:33:47.460]   through fluctuations and life happens, that can change from year to year. Like this year, I did
[00:33:47.460 --> 00:33:51.940]   a big IRA contribution because I had a big income year. And then next year I get laid off. Bad things
[00:33:51.940 --> 00:33:56.660]   happen. And I do a giant Roth conversion of the money I contributed last year because now my tax bracket's
[00:33:56.660 --> 00:34:02.740]   nothing while I'm between jobs. Now that Roth conversion income will count towards your income
[00:34:02.740 --> 00:34:08.180]   for your tax bracket, right? So if you have no income for a year, you can't just convert the entire thing.
[00:34:08.180 --> 00:34:12.740]   Oh, correct. I mean, I'm going to create income and fill my brackets. But if I got no other income
[00:34:12.740 --> 00:34:18.980]   this year, at least I'm starting at zero. So great. Now I can do a Roth conversion of almost $400,000 and
[00:34:18.980 --> 00:34:25.540]   stay in a part of the money in each bracket. So like some 10% money, some 12% money, some 22,
[00:34:25.540 --> 00:34:32.020]   some 24 as I blend through the tax brackets. But I can stop before I get to the 30 plus percent brackets
[00:34:32.020 --> 00:34:38.100]   that hurt a little bit more. Or for our clients who are mere average Americans and not very high
[00:34:38.100 --> 00:34:44.260]   income earning folks, that might simply be, I'm going to convert up to $100,000 and stay in the 12%
[00:34:44.260 --> 00:34:49.860]   bracket. Because if I do that diligently over multiple years, like I could create a million dollar
[00:34:49.860 --> 00:34:56.420]   Roth and never pay more than 10 or 12% in taxes. All I have to do is not contribute all at once and not
[00:34:56.420 --> 00:34:59.780]   convert all at once. I do it in small pieces opportunistically over time.
[00:34:59.780 --> 00:35:05.620]   This episode is brought to you by Gelt. When it comes to building wealth, taxes are such a big
[00:35:05.620 --> 00:35:11.060]   part of the strategy. And as tax time gets closer, getting prepared now is so important. Now that I'm
[00:35:11.060 --> 00:35:16.340]   working with Gelt, I finally feel like I have a partner I can trust to handle everything for my
[00:35:16.340 --> 00:35:22.820]   personal and business taxes. Think of Gelt as the ultimate modern CPA. Of course they have an in-house
[00:35:22.820 --> 00:35:28.740]   team of expert CPAs to work with who help you determine the most effective tax strategies to
[00:35:28.740 --> 00:35:34.660]   minimize risk and grow your wealth. But they also have an amazing tech platform that gives you
[00:35:34.660 --> 00:35:40.500]   personalized guidance to maximize deductions, tax credits, and savings. It also has an amazing
[00:35:40.500 --> 00:35:45.860]   document vault where you can upload all your files, tag them with the relevant years, and even see when
[00:35:45.860 --> 00:35:51.460]   your tax team has reviewed each one. Beyond that, the tax library you get access to as a client has
[00:35:51.460 --> 00:35:57.300]   dozens of in-depth guides on things like choosing retirement plans, taxes for new parents, qualified
[00:35:57.300 --> 00:36:03.620]   business income or QBI, and so much more. So if you're ready for a more premium proactive tax strategy
[00:36:03.620 --> 00:36:08.820]   to optimize and file your taxes, you have to check out Gelt. And as an All The Hacks listener,
[00:36:08.820 --> 00:36:15.380]   you can skip the waitlist. Just head to allthehacks.com/Gelt, G-E-L-T. Again,
[00:36:15.380 --> 00:36:20.980]   that's allthehacks.com/G-E-L-T to stop overpaying
[00:36:20.980 --> 00:36:28.180]   on taxes. Thank you so much for being here today. You can find all the links, promo codes, and discounts
[00:36:28.180 --> 00:36:35.780]   from our partners at allthehacks.com/deals. These are brands I love and use, so please consider supporting
[00:36:35.780 --> 00:36:42.260]   those who support us. But if someone is listening to this and has put a lot of money in a pre-tax account
[00:36:42.260 --> 00:36:50.580]   and is taking 18 months off for sabbatical, for a mini retirement, they should absolutely in that window
[00:36:50.580 --> 00:36:54.980]   be thinking about conversions. We've got these seven tax brackets. The more income you earn,
[00:36:54.980 --> 00:37:00.020]   the more money that spills over to the higher tax bracket. So most of us are pretty clear when you're
[00:37:00.020 --> 00:37:05.620]   in high tax brackets, avoid, avoid, avoid, defer, defer, defer. No one wants to pay more dollars in high
[00:37:05.620 --> 00:37:10.660]   brackets than they have to. The part that often gets missed, though, is that because when you have too much
[00:37:10.660 --> 00:37:15.940]   income, it automatically spills over to the next higher brackets. Low income brackets are basically
[00:37:15.940 --> 00:37:20.820]   use it or lose it buckets. The number one problem that we deal with with retirees are folks that come
[00:37:20.820 --> 00:37:26.260]   in in their seventies with giant retirement accounts saying, I'm getting killed on RMDs. Is there anything
[00:37:26.260 --> 00:37:32.180]   you can do? I'm like, yes. Not now. Now it's too late. But like for the past 10 years, when you were so
[00:37:32.180 --> 00:37:38.900]   excited that you were sticking it to Uncle Sam paying 0% in taxes through your sixties, you wasted a
[00:37:38.900 --> 00:37:44.100]   decade of low tax brackets that we could have been doing six figure Roth conversions every year for
[00:37:44.100 --> 00:37:49.700]   a minuscule fraction of the tax bill that you are now facing because all your money is hyper concentrated
[00:37:49.700 --> 00:37:54.340]   into an IRA. Now that doesn't mean it would have been better for you to contribute to a Roth when you
[00:37:54.340 --> 00:37:59.700]   were a doctor in your peak surgery years, then you would have paid 30 something percent and it would
[00:37:59.700 --> 00:38:06.420]   have been even worse. But if I've got low income years, if I don't do the conversion and use up that low
[00:38:06.420 --> 00:38:11.620]   bucket in that year, I can't get it back. I just get a bigger balance in the future and have more
[00:38:11.620 --> 00:38:17.300]   money crammed in the tax brackets in the future, which starts to overflow to higher tax brackets.
[00:38:17.300 --> 00:38:23.540]   So yes, whether it's the years after retirements, before things like social security and required
[00:38:23.540 --> 00:38:30.340]   minimum distributions begin, or it's a time window of laid off job, not doing well business that is not
[00:38:30.340 --> 00:38:36.740]   doing well and has no income or negative income sabbatical year, like low income years are a gift
[00:38:36.740 --> 00:38:41.060]   when you've been building up traditional IRA dollars, because those are the years that you
[00:38:41.060 --> 00:38:46.260]   opportunistically convert, not necessarily the whole thing, but enough to fill the low brackets. And
[00:38:46.260 --> 00:38:51.780]   indirectly, this is why it's so helpful to contribute to the traditional accounts when you're in your peak
[00:38:51.780 --> 00:38:57.140]   income years, because I'm getting my tax deduction at the top rates. And then I'm opportunistically doing my
[00:38:57.140 --> 00:39:02.340]   Roth conversions at much lower rates. Now you said traditional IRA, but you could have easily
[00:39:02.340 --> 00:39:07.380]   had money in a traditional 401k from a previous employer or some other traditional retirement
[00:39:07.380 --> 00:39:14.180]   account, roll it out into an IRA and convert it. Roll it out in plan conversion if the plan allows,
[00:39:14.180 --> 00:39:19.620]   often if we're in sabbatical or between income years, we separated from the employer. So it's easier to
[00:39:19.620 --> 00:39:25.300]   just roll it to an IRA. But yes, converting by whatever means any pre-tax IRA or retirement account
[00:39:25.300 --> 00:39:30.980]   bucket I've got. So I can do an IRA, I can do it 401k, I can move it from the 401k to the IRA and do it
[00:39:30.980 --> 00:39:37.220]   there. And for people who have multiple previous employers and have never really thought about the
[00:39:37.220 --> 00:39:42.260]   fact that they might have like six or seven 401ks stranded out there. Do you have any advice to those
[00:39:42.260 --> 00:39:47.460]   people on whether they should roll it into their current employer, roll it out into an IRA as one
[00:39:47.460 --> 00:39:53.940]   better or worse? I mean, aside from just literally like the costs of the retirement plan, whatever the
[00:39:53.940 --> 00:39:58.900]   plan expenses are, the expenses of the funds that are in the plan versus what you can get your own
[00:39:58.900 --> 00:40:06.180]   individual IRA. There's not a dramatic difference between the two. Most folks I find ultimately just
[00:40:06.180 --> 00:40:12.580]   it's kind of a pain to keep going back to the old employer that you don't still work with. And so
[00:40:12.580 --> 00:40:17.380]   either you're going to keep rolling money to each new employer as you go with this increasingly large
[00:40:17.380 --> 00:40:22.260]   snowball effect, just like the money builds up from each plan with savings, then you get to the next one,
[00:40:22.260 --> 00:40:27.300]   or you just make your own IRA under your own control, pick the investments where you can fully
[00:40:27.300 --> 00:40:33.140]   control the choices and the expenses and just make that your repository that any and all retirement
[00:40:33.140 --> 00:40:37.860]   accounts that you accumulate from employers now and in the future, just when you transition,
[00:40:37.860 --> 00:40:45.460]   you're going to roll it there. So as advisors, we tend to kind of bias towards control and flexibility.
[00:40:45.460 --> 00:40:52.020]   The only counter to that I've heard is if you're thinking about doing recurring every year backdoor
[00:40:52.020 --> 00:40:59.380]   Roth contributions and you roll all your old 401 s into a traditional IRA, I would say it can get
[00:40:59.380 --> 00:41:03.300]   messy, either really understand it or work with someone or skip it.
[00:41:03.300 --> 00:41:08.340]   Yes. Yes. There is a thing out there called the IRA aggregation rule that says if you've got multiple
[00:41:08.340 --> 00:41:13.860]   IRA accounts, when you do Roth conversions, including for a backdoor Roth, you can't just convert the one
[00:41:13.860 --> 00:41:20.420]   account to a Roth. You're technically converting a pro-rata portion of all of your accounts, which means you put a
[00:41:20.420 --> 00:41:25.220]   couple thousand dollars after tax into an account, immediately convert it. And Uncle Sam comes back
[00:41:25.220 --> 00:41:30.420]   and says, well, you didn't convert that account. You converted 1% of all your IRAs. And since 99%
[00:41:30.420 --> 00:41:36.180]   of your IRAs were pre-tax, 99% of your conversion is taxable and you just ate a tax bill on your Roth
[00:41:36.180 --> 00:41:41.860]   conversion that you may not have meant to. So yes, if you're doing systematic backdoors, you need to be
[00:41:41.860 --> 00:41:47.220]   careful about IRA roll-ins, but there are still workarounds to it. Okay. I want to make sure we get to a few topics
[00:41:47.220 --> 00:41:55.860]   before we have to wrap. So one is about any other ways to access your money before the date in which
[00:41:55.860 --> 00:42:01.780]   you stop having penalties. And so one thing that our conversation about Roth conversions brought up was,
[00:42:01.780 --> 00:42:09.780]   well, let's say I have $300,000 that I've strategically converted to a Roth IRA. How does that work in terms of
[00:42:09.780 --> 00:42:16.340]   my ability to access the principal, which had I done that with a traditional 401k, you know, I'd be facing
[00:42:16.340 --> 00:42:21.940]   penalties and fees. Are these Roth conversions effectively a way to access my retirement funds
[00:42:21.940 --> 00:42:26.740]   early? They do end out that way. So under the original framing for retirement accounts,
[00:42:26.740 --> 00:42:33.060]   59 and a half was never supposed to be a mandatory retirement age. You can't use your money before 59 and a
[00:42:33.060 --> 00:42:38.980]   half. That wasn't actually the intent per se. It wasn't to force you to work until 59 and a half.
[00:42:38.980 --> 00:42:44.420]   It was to make sure that you use the money quote long-term for retirement because they're supposed
[00:42:44.420 --> 00:42:50.980]   to be retirement accounts, IRAs and 401ks. And so from the very start, there was always an intention
[00:42:50.980 --> 00:42:56.260]   to say, but if someone actually retires early, they should be able to get their retirement money early.
[00:42:56.260 --> 00:43:02.180]   Like we don't want to penalize early retirement. We just don't want people to use the money as their
[00:43:02.180 --> 00:43:06.500]   own liquid piggy bank when it's supposed to be long-term money. And we're giving a tax preference
[00:43:06.500 --> 00:43:12.340]   to it to be long-term retirement money. So the question that cropped up originally in Congress was,
[00:43:12.340 --> 00:43:17.300]   how do you figure out whether someone is using their retirement account as like a liquid flexible
[00:43:17.300 --> 00:43:22.820]   piggy bank and how you figure out when someone is just like legitimately early retired and needs to
[00:43:22.820 --> 00:43:26.740]   live off of the money? When you get kind of literal and thinking about like, well, what's the difference
[00:43:26.740 --> 00:43:32.900]   between the two? The difference is people that are just using as a liquid account, like they take some
[00:43:32.900 --> 00:43:36.340]   money, money, or they don't take any of the next year. They take like a big draw withdrawal and need
[00:43:36.340 --> 00:43:40.500]   to fix the roof. They take nothing in the next year because the appliances held up. Like the dollars are
[00:43:40.500 --> 00:43:47.860]   really uneven in amount and timing. Contrast that with what does it look like if you retire early and you
[00:43:47.860 --> 00:43:51.540]   have this retirement account and it's the primary or sole source of your retirement income?
[00:43:51.540 --> 00:43:58.180]   You get a check every month. I got bills to pay every month. So I'm taking money out every month and my
[00:43:58.180 --> 00:44:02.500]   bills are at least usually relatively stable. For most of us, we've got some standard of living.
[00:44:02.500 --> 00:44:09.300]   So I tend to take out money on a regular basis that's pretty similar in amount or what one might
[00:44:09.300 --> 00:44:14.900]   call substantially equal periodic payments, which is literally where the provision in the tax code
[00:44:15.460 --> 00:44:21.300]   came from and the name came from. So what Congress wrote in was a provision that said,
[00:44:21.300 --> 00:44:26.580]   if you are taking money out of your retirement account prior to age 59 and a half,
[00:44:26.580 --> 00:44:32.260]   and your distributions are following a substantially equal periodic payments flow,
[00:44:33.140 --> 00:44:39.700]   we will not penalize them as early withdrawals. You can have your money early. It's still taxable. It is
[00:44:39.700 --> 00:44:45.060]   still a pre-tax IRA. So this is for pre-tax accounts. It is still taxable, but no early withdrawal penalty
[00:44:45.060 --> 00:44:52.980]   attached. Now, over the years, there was some back and forth because as always happens, the creative people
[00:44:52.980 --> 00:44:59.300]   then come up with crazy, screwy ways to try to abuse this. Like I'm going to take substantially equal
[00:44:59.300 --> 00:45:05.140]   periodic payments for like, I need a roof repair. If I take out 20 grand, I get in trouble. So I got it.
[00:45:05.140 --> 00:45:08.660]   I'm going to take out two grand a month for 10 months, and then I'm going to stop after 10 months.
[00:45:08.660 --> 00:45:12.740]   So it kind of looks like substantially equal periodic payments, but they don't actually continue.
[00:45:12.740 --> 00:45:18.260]   So the rule then that got added says, well, okay, if you want to do 72T distributions,
[00:45:18.260 --> 00:45:22.340]   if you want to do substantially equal periodic payments, once you start the payment stream,
[00:45:22.340 --> 00:45:28.340]   it must continue until the later of either age 59 and a half or five years from when the
[00:45:28.340 --> 00:45:33.780]   distribution started. So if I start young, it's until 59 and a half. Like if I start at age 57,
[00:45:33.780 --> 00:45:40.660]   I got to go to age 62. And if I don't continue the series of payments, if I stop them or modify them in
[00:45:40.660 --> 00:45:46.260]   any way, then Congress comes in with the nasty gram and says, okay, you violated your substantially equal
[00:45:46.260 --> 00:45:51.380]   periodic payments, which means your distributions aren't eligible for the early withdrawal penalty. And we're
[00:45:51.380 --> 00:45:56.020]   actually going to retroactively apply early withdrawal penalties to all your prior substantial equal
[00:45:56.020 --> 00:46:00.740]   periodic payments that apparently weren't actually early retirement assets. And we're going to apply
[00:46:00.740 --> 00:46:04.260]   late interest penalties for the fact that you didn't pay the penalty in the original year because you're
[00:46:04.260 --> 00:46:10.580]   paying it now. All of which means once you turn on the 72T spigot, you really don't stop. It is very
[00:46:10.580 --> 00:46:15.700]   harshly penalized if you try to stop it. So then people came in and said, well, like, oh, okay, no problem.
[00:46:15.700 --> 00:46:20.340]   You know, I actually have some other assets, but I really wanted to draw my retirement account down more quickly.
[00:46:20.340 --> 00:46:25.060]   So I'm just going to take like 20% a year for five years. It'll continue for five years.
[00:46:25.060 --> 00:46:30.020]   And I'll just like drill my account down from 56 until 61 because I've got other resources.
[00:46:30.020 --> 00:46:34.340]   So then we got more guidance from the IRS that said, no, no, no, like that's still not within the intent
[00:46:34.340 --> 00:46:41.140]   and purpose of these rules. In order to figure out what a reasonable payment is, there's a series of
[00:46:41.140 --> 00:46:46.660]   formula options that they give you. One is basically, what would I get if I just took my account balance
[00:46:46.660 --> 00:46:51.220]   and divided by my life expectancy? IRS gives you the tables so you don't gain the life expectancy
[00:46:51.220 --> 00:46:56.020]   tables. There's another version that says, what would I draw out if I bought the equivalent of a
[00:46:56.020 --> 00:47:02.820]   commercial rate annuity with this money? That's sort of my payments for life adjusted for mortality risk.
[00:47:02.820 --> 00:47:07.620]   And there's a third version that says, what would I just get if I amortize my current value plus future
[00:47:07.620 --> 00:47:13.060]   growth over my life expectancy? So it's three different formulas. The IRS doesn't really care which one
[00:47:13.060 --> 00:47:17.460]   you use. They just say like, once you pick one, you're expected to stick with one. What it effectively
[00:47:17.460 --> 00:47:26.020]   amounts to is you can use your IRA early for retirement distributions. But once you turn on the spigot,
[00:47:26.020 --> 00:47:31.380]   you have to keep it. And once you pick the method, you're generally limited to stick with the method.
[00:47:31.380 --> 00:47:36.500]   You can do a one time change from annuitization and amortization to life expectancy method if you've
[00:47:36.500 --> 00:47:41.380]   got a problem, but for where you're drawing down the account, you're at risk of depleting it. But if you
[00:47:41.380 --> 00:47:45.620]   really need the money early for retirement and this is how you're affording your retirement lifestyle,
[00:47:45.620 --> 00:47:51.540]   the dollars are available. And the dollars are available enough that in practice, we usually
[00:47:51.540 --> 00:47:56.900]   are doing Roth conversion ladders to free it up where we're doing Roth conversions at high tax rates.
[00:47:56.900 --> 00:48:02.020]   We're simply doing 72T distributions because we can get the money anyways. And now we're getting the money
[00:48:02.020 --> 00:48:07.060]   when you actually early retired, which means your rates are generally lower and it's much more tax
[00:48:07.060 --> 00:48:09.780]   advantageous. Yeah, you're not waiting the five years.
[00:48:09.780 --> 00:48:13.940]   You're not waiting the five years and you're almost by definition like you're taking the money out after
[00:48:13.940 --> 00:48:19.540]   your wages went away. It sounds like for most people, they're probably going to end up at retirement age
[00:48:19.540 --> 00:48:24.660]   with some of their retirement assets still in their account. And so for people who are either almost
[00:48:24.660 --> 00:48:30.180]   there, there, or maybe who are trying to help their parents figure it out. Yeah.
[00:48:30.180 --> 00:48:35.540]   How do you think about taking those distributions? When to take them? Which buckets to take them out of?
[00:48:35.540 --> 00:48:40.900]   So in the retirement research, we call this the account sequencing problem, right? I've got multiple
[00:48:40.900 --> 00:48:46.420]   different types of accounts. Most of us, even if we're just sort of opportunistically doing the things
[00:48:46.420 --> 00:48:51.940]   over time, we end up with basically three different buckets. Like I've got my taxable dollars, bank
[00:48:51.940 --> 00:48:58.740]   accounts, brokerage, et cetera. I've got my tax deferred bucket, pre-tax IRAs and 401Ks. And I've got my tax
[00:48:58.740 --> 00:49:05.380]   free bucket, which is my Roth and maybe my HSA for retirement if I held onto it this long. So
[00:49:05.380 --> 00:49:11.380]   there's a couple of ways I can sequence this. The first says growth at capital gains rates is better
[00:49:11.380 --> 00:49:16.260]   than growth at ordinary income rates. So I'm going to spend my IRA dollars down first and I'm going to
[00:49:16.260 --> 00:49:21.140]   let my investment brokerage accounts grow, right? I'd rather grow the things that get capital gains
[00:49:21.140 --> 00:49:26.020]   rates than the stuff that gets ordinary income out of my IRA. There's a second version of this that says,
[00:49:26.020 --> 00:49:30.180]   no, no, let's flip it around. We're going to spend the brokerage accounts down first because
[00:49:30.180 --> 00:49:35.060]   we can actually do it fairly tax efficiently. It's only capital gains and a lot of it is basis.
[00:49:35.060 --> 00:49:39.060]   And we're going to let the IRA run because tax deferred compounding growth is an amazing thing
[00:49:39.060 --> 00:49:44.980]   when it gets to compound for multiple years. If you've got a 20, 30 plus year retirement time horizon,
[00:49:44.980 --> 00:49:49.540]   draw the brokerage account down first and let the tax deferred run. Generally works better than the
[00:49:49.540 --> 00:49:55.780]   other way around. The caveat is if you've built some pretty significant wealth, it works too well.
[00:49:56.340 --> 00:50:00.740]   You spend down the brokerage account, the pre-tax account continues to grow on a wonderfully,
[00:50:00.740 --> 00:50:06.260]   beautifully tax deferred basis, except it grows so large that it starts pushing you into higher tax
[00:50:06.260 --> 00:50:12.260]   brackets because there's just so much darn money in a pre-tax status that either 100% of your
