
[00:00:00.040 --> 00:00:09.520]   ужас
[00:25:07.560 --> 00:25:07.560]   We're going to go ahead and get started in about a minute or so.
[00:25:07.560 --> 00:25:07.560]   We're going to go ahead and get started in about a minute or so.
[00:25:07.560 --> 00:25:07.560]   We're going to go ahead and get started in about a minute or so.
[00:25:07.560 --> 00:25:07.560]   We're going to go ahead and get started in about a minute or so.
[00:25:07.560 --> 00:25:07.560]   We're going to go ahead and get started in about a minute or so.
[00:25:07.560 --> 00:25:07.560]   We're going to go ahead and get started in about a minute or so.
[00:25:07.580 --> 00:25:37.580]   We're going to go ahead and get started in about a minute or so.
[00:25:37.580 --> 00:25:37.580]   We're going to go ahead and get started in about a minute or so.
[00:25:37.580 --> 00:25:37.580]   We're going to go ahead and get started in about a minute or so.
[00:25:37.580 --> 00:25:37.580]   We're going to go ahead and get started in about a minute or so.
[00:25:37.580 --> 00:25:37.580]   We're going to go ahead and get started in about a minute or so.
[00:25:37.580 --> 00:25:37.580]   We're going to go ahead and get started in about a minute or so.
[00:25:37.580 --> 00:25:37.580]   We're going to go ahead and get started in about a minute or so.
[00:25:37.580 --> 00:25:37.580]   We're going to go ahead and get started in about a minute or so.
[00:25:37.580 --> 00:25:37.580]   We're going to go ahead and get started in about a minute or so.
[00:25:37.580 --> 00:25:37.580]   We're going to go ahead and get started in about a minute or so.
[00:25:37.580 --> 00:25:37.580]   We're going to go ahead and get started in about a minute or so.
[00:25:37.580 --> 00:25:37.580]   We're going to go ahead and get started in about a minute or so.
[00:26:07.600 --> 00:26:07.600]   We're going to go ahead and get started in about a minute or so.
[00:26:07.600 --> 00:26:07.600]   We're going to go ahead and get started in about a minute or so.
[00:26:07.600 --> 00:26:07.600]   We're going to go ahead and get started in about a minute or so.
[00:26:07.600 --> 00:26:07.600]   We're going to go ahead and get started in about a minute or so.
[00:26:07.600 --> 00:26:07.600]   We're going to go ahead and get started in about a minute or so.
[00:26:37.620 --> 00:26:37.620]   --------
[00:26:37.620 --> 00:26:37.620]   -------- -------- -------- -------- -------- -------- -------- -------- -------- -------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------ ------ ------ - ------ - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 2 to the account to pay a credit art and then I'm going to do it in the future.
[00:26:37.640 --> 00:27:07.640]   The real answer is identify the fundamental problem.
[00:27:07.640 --> 00:27:07.640]   The real answer is identify the fundamental problem.
[00:27:07.640 --> 00:27:07.640]   For somebody who's unemployed, the problem is unemployment.
[00:27:07.640 --> 00:27:07.640]   The real answer is identify the fundamental problem. For somebody who's unemployed, the problem is unemployment.
[00:27:07.640 --> 00:27:07.640]   The problem is that cause. And so solve that problem first. While you're solving that problem, take whatever financial steps you need to take to stop borrowing and figure out how to live.
[00:27:07.640 --> 00:27:07.640]   Like I said,
[00:27:07.640 --> 00:27:07.640]   Like I said,
[00:27:07.640 --> 00:27:07.640]   take whatever financial steps you need to take to stop borrowing and figure out how to live.
[00:27:07.640 --> 00:27:07.640]   Like I said,
[00:27:07.640 --> 00:27:07.640]   take whatever financial steps you need to take to stop borrowing and figure out how to live.
[00:27:07.640 --> 00:27:07.640]   Like I said,
[00:27:07.640 --> 00:27:07.640]   Like I said,
[00:27:07.640 --> 00:27:07.640]   like I said,
[00:27:07.680 --> 00:27:14.740]   has
[00:27:14.740 --> 00:27:33.960]   the, 100,
[00:28:32.900 --> 00:28:32.900]   It's much better to do that than to wind up three months from now owing $4,500 in credit card debt on apartment rent that you didn't have the money for. So work on solving that problem and take whatever financial steps you need to do quickly. Go and apply for food stamps quickly. Go to the local food pantry. Get food from the local food pantry quickly. Go to beans and rice right away quickly.
[00:29:01.320 --> 00:29:01.320]   It's possible.
[00:29:01.360 --> 00:29:30.600]  obediently, government programs, church programs, it's all over the place. So use those resources. Don't borrow money. Once you solve the problem of the unemployment and have the income, then we go back and work on the next problem. First thing I would do in those circumstances is build up some reserves. A few thousand dollars because you never know when that job may go away again. Build up a thousand, couple thousand, three thousand dollars of reserves and then start cracking at that credit card debt.
[00:29:30.600 --> 00:29:31.120]   So,
[00:29:31.120 --> 00:29:31.180]   So,
[00:29:31.180 --> 00:29:31.280]   So,
[00:29:31.280 --> 00:29:31.320]   So,
[00:29:31.320 --> 00:29:31.340]   So,
[00:29:31.340 --> 00:29:31.340]   So,
[00:29:31.380 --> 00:30:01.360]   So, I hope thinking through this is helpful if you're in the situation. I hope thinking through this is helpful if you're helping someone else and I hope that by thinking through this you'll be motivated the next time you face a financial shortfall to avoid putting yourself in the situation. I hate credit cards.
[00:30:01.400 --> 00:30:11.040]   let
[00:30:11.040 --> 00:30:16.480]   Last But just, Yeah, continue,,,, Ai I are wine before the \국. .. He. Play the. discuss the., great, the, the, the, the, the, the, the, the, the, the, the, my, 100, Sharp. Sim pitcher outline A
[00:30:16.480 --> 00:30:29.380]  � Wood
[00:30:29.380 --> 00:30:31.220]  inizi
[00:30:31.380 --> 00:30:55.380]   says
[00:30:59.640 --> 00:31:01.880]   ha
[00:31:01.880 --> 00:31:11.080]   - don
[00:31:56.320 --> 00:31:56.320]   -
[00:31:56.320 --> 00:31:56.320]   -
[00:32:24.740 --> 00:32:50.580]  ертв.com/patron. Now however much you want to pay, that's up to you. But if the show is worth a dollar a month, come by radicalpersonalfinance.com/patron and sign up to support the show at a dollar a month. If the show is worth $20 a month to you, I'd be happy to have your $20. Hey, if it's $1,000 a month, write me a check. Don't send it to me on Patreon, but I'd be happy to have that as well. Radicalpersonalfinance.com/patron is where you can do that. Thank you.
[00:32:50.580 --> 00:32:51.500]   -
[00:32:51.500 --> 00:32:53.040]   - With Kroger brand products from Ralph, you can make all your financial decisions.
[00:32:53.040 --> 00:32:53.060]   - -
[00:32:53.060 --> 00:32:53.120]   - -
[00:32:53.120 --> 00:32:53.180]   - - - -
[00:32:53.220 --> 00:33:18.240]   - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 2 of your favorite things because Kroger brand is a high quality and with a money in the show is a dollar a month. And
[00:33:18.280 --> 00:33:28.780]   of

