
[00:00:00.000 --> 00:00:09.380]   Hi, everybody. Welcome back to the Everyday Educator podcast. Today, I have Kevin with
[00:28:15.080 --> 00:28:20.580]   that she said it's easier to learn than Greek. Why are you saying that? What makes that true?
[00:28:20.580 --> 00:28:25.800]   Yeah. So just to clarify, I don't know if I said that Hebrew is easier than Greek. I would say that
[00:28:25.800 --> 00:28:33.340]   Greek is easier than Hebrew, at least when children started. But I would say that both are way easier
[00:28:33.340 --> 00:28:41.840]   than English in terms of reading. So there's like a, you know, fundamental problem with the English
[00:28:41.840 --> 00:28:51.060]   spelling system. Basically we, the technical term is we have a lot of graphemes per morphemes,
[00:28:51.060 --> 00:28:58.040]   which basically means that, or sorry, per phonemes, which basically means that the symbols we see on the
[00:28:58.040 --> 00:29:04.180]   page. Um, there's a many to many correspondence, um, between, you know, an A for example, and the sound
[00:29:04.180 --> 00:29:10.380]   that it might make. Um, and so that, that makes it very, very hard. Right. Um, so, you know, again,
[00:29:10.380 --> 00:29:21.500]   I'm, I read with Emmett this morning, um, who's four in, in English. Um, and you know, I, a word like
[00:29:21.500 --> 00:29:32.560]   again, right. Where, um, the, uh, the A initially in again makes a, uh, um, versus apple, right. Makes
[00:29:32.560 --> 00:29:42.080]   ah. So he has to know that in again, it's a, and in apple it's ah. And, and so he, you know, sees again,
[00:29:42.080 --> 00:29:47.360]   and he says, ah, again, right. Uh, which is totally understandable, even though we don't normally say
[00:29:47.360 --> 00:29:54.960]   that, um, in Greek and Hebrew, both there is a, um, basically a one-to-one correspondence. I mean,
[00:29:54.960 --> 00:30:00.060]   it's like, uh, there's like a few exceptions, but it's so much closer. So when you see a certain
[00:30:00.060 --> 00:30:06.640]   letter, you're always going to say a certain sound. Um, and that just makes it way, way easier to,
[00:30:06.640 --> 00:30:12.860]   to learn to read. Um, so, so that, that, and that really is the struggle for especially young readers,
[00:30:12.860 --> 00:30:18.220]   right. Is they have to figure out in English, all of these different rules, um, that are,
[00:30:18.220 --> 00:30:25.200]   that are very, very difficult. They can speak, you know, English just fine. Um, but once they get that
[00:30:25.200 --> 00:30:32.320]   into the, into, um, text, it's very hard. Uh, whereas with Greek and Hebrew, you know, if you can sound out
[00:30:32.320 --> 00:30:39.980]   the word, um, every single time, all you have to do is learn, um, you know, basically what that,
[00:30:39.980 --> 00:30:43.920]   what that sound, what those sounds mean, right. Um, what those sounds mean and what,
[00:30:43.920 --> 00:30:49.620]   what word is behind those sounds. And then, you know, you can, you can just read much, much faster.
[00:30:49.620 --> 00:30:56.900]   Yeah. That makes a lot of sense. I am currently in a season where I'm holding up the flashcard,
[00:30:56.900 --> 00:31:01.580]   telling him, ah, Apple knowing and having to quiet my mind,
[00:31:01.640 --> 00:31:12.200]   as I say, but I know you'll be frustrated with me. So I'm going to say a Apple to you and give
[00:31:12.200 --> 00:31:17.340]   this card to you and have you make a face at me. Um, and we'll just move on because we got to get
[00:31:17.340 --> 00:31:22.240]   these letter sounds down. Um, and so I think that might be a really comforting and encouraging thing
[00:31:22.240 --> 00:31:28.360]   for a person because of, of course, in our, in our Western context, specifically in America,
[00:31:28.360 --> 00:31:35.740]   it is a little bit more rare to learn Hebrew and Greek. Most people here learn Spanish or maybe
[00:31:35.740 --> 00:31:43.420]   French or, or maybe even German, which is pretty similar to English in some regards. Um, and so I
[00:31:43.420 --> 00:31:48.700]   think just dissipating some of those thoughts that make you think, okay, this one's going to be so
[00:31:48.700 --> 00:31:52.920]   much more difficult than the rest. And even though I love the Lord and I want to be able to read my
[00:31:52.920 --> 00:31:59.020]   Bible, I just don't know where my entry point would be, um, could be really helpful and encouraging for
[00:31:59.020 --> 00:32:04.300]   parents. Something that you didn't mention that I'm wondering about as we're sort of rounding the bend
[00:32:04.300 --> 00:32:14.400]   on this conversation is the direction of reading. Um, I'm curious to know if that also makes Hebrew a
[00:32:14.400 --> 00:32:23.040]   slightly softer entry point. Like, is it true that people do prefer to read one direction or over
[00:32:23.040 --> 00:32:28.480]   another and that the brain is designed a specific way or is that a myth? Yeah, that's an interesting
[00:32:28.480 --> 00:32:36.160]   question. There, there has been, um, you know, work on, uh, the, basically the brains of people who are
[00:32:36.160 --> 00:32:42.440]   reading Hebrew versus reading in English. Um, one reason being that, um, in Hebrew you read right to
[00:32:42.440 --> 00:32:49.340]   left. Um, I, I would say that if you, um, you know, if you learn to read English first and which is left
[00:32:49.340 --> 00:32:55.160]   to right, you will have an easier time with other languages that are left to right. Um, so that's one
[00:32:55.160 --> 00:33:00.160]   reason why I would say that Greek is an, is like a smoother entry point. There's also a lot, like in
[00:33:00.160 --> 00:33:06.420]   Greek, there's a lot of, um, carryover between the letters in, uh, English. So, you know, for example,
[00:33:06.420 --> 00:33:12.120]   I, we, um, are regularly at homeschool conferences and we were at the teach them diligently conferences
[00:33:12.120 --> 00:33:20.340]   past, uh, weekend. And, um, you know, basically at the conference, I, I have this, um, our, this,
[00:33:20.340 --> 00:33:27.120]   well, the app pulled up and I can teach people to read, you know, a Greek word in 20 seconds,
[00:33:27.120 --> 00:33:35.120]   right. It's, it's, it's technon. Um, and I could do the same in Hebrew, but like if I typed out
[00:33:35.120 --> 00:33:42.960]   technon for you in, uh, in Greek, you could probably be fine. Um, you mean you, you, even if you didn't
[00:33:42.960 --> 00:33:48.120]   know, um, any Greek, like you would, that you, you would guess something close to that. Whereas in
[00:33:48.120 --> 00:33:54.460]   Hebrew, um, the vowels are written, um, underneath and above letters, the consonants. Um, so that's
[00:33:54.460 --> 00:33:58.920]   different. You're obviously reading from right to left and there's, there's way less carryover
[00:33:58.920 --> 00:34:05.100]   between, um, you know, what the, what the letters look like in Hebrew versus what they look like in
[00:34:05.100 --> 00:34:13.500]   English. Um, so all that to say, um, both are, are very possible. And like I said, there, there's
[00:34:13.500 --> 00:34:20.300]   still way easier than English. Um, I, I would say that if you, if you are wanting, if you say,
[00:34:20.460 --> 00:34:25.780]   give me the easier language first, um, at least to start out with, uh, I would say it's,
[00:34:25.780 --> 00:34:32.960]   it's Greek. Um, you can start to read Greek very, very quickly. Um, but both are, are possible for
[00:34:32.960 --> 00:34:40.300]   sure. Yeah. And both are useful. Yes. Um, and I want to maybe in our conversation here, because
[00:34:40.300 --> 00:34:46.300]   more than believing that something is easy or accessible, I think if you believe that it is
[00:34:46.300 --> 00:34:54.000]   important, um, you'll, you'll work through a lot of hurdles you may not have ordinarily, um,
[00:34:54.000 --> 00:35:01.440]   gone through. And I, I know that you told me you originally started this because you wanted to help
[00:35:01.440 --> 00:35:06.940]   people to translate the word of God. And then you identified, Hey, this isn't just for scholars,
[00:35:06.940 --> 00:35:12.620]   and this isn't just for translation. This is for everyone. Can you talk to me a little bit about
[00:35:12.620 --> 00:35:21.020]   the value of knowing God's word and preserving it in the English language, in the English language?
[00:35:21.020 --> 00:35:27.280]   Huh? That's not what we're discussing. Knowing it and preserving it in the original language.
[00:35:27.780 --> 00:35:38.040]   Yeah. So, I mean, I would say, um, you know, it, it, it really is the foundation of the gospel. You
[00:35:38.040 --> 00:35:43.600]   know, the, the, um, Greek and Hebrew just happen to be the languages. I mean, they're not special
[00:35:43.600 --> 00:35:51.720]   languages, right? They just happen to be the languages, um, that God has, you know, spoken in. And,
[00:35:52.460 --> 00:36:00.240]   um, you know, I think Martin Luther talks about, uh, how, you know, one of the things that sparked the
[00:36:00.240 --> 00:36:07.940]   reformation was the study of the Bible in the original languages. Um, you had, um, more access
[00:36:07.940 --> 00:36:17.000]   to the, um, to the Greek and Hebrew Bibles, um, than ever before, right around that time. And people
[00:36:17.000 --> 00:36:24.140]   started reading it for themselves. Um, and, and that shaped, you know, um, you know, a lot of,
[00:36:24.140 --> 00:36:33.240]   um, I mean, history, right. Um, and again, there, I think there's, you know, um, certain pros and cons
[00:36:33.240 --> 00:36:41.920]   that came from, from the, uh, reformation, but, but at the end of the day, um, people went back to these
[00:36:41.920 --> 00:36:49.600]   texts and, um, they looked at it with fresh eyes and they, they said, how, how do we understand
[00:36:49.600 --> 00:36:56.400]   this and how do we obey this? Um, and ultimately, uh, you know, what you said, right. Is it, it's
[00:36:56.400 --> 00:37:03.080]   important. Uh, my, my point is that that's worth doing, right. Um, it's, it's hard. It's not that hard.
[00:37:03.080 --> 00:37:10.260]   Right. And today we have, um, so many resources out there to learn these languages and we want it to
[00:37:10.260 --> 00:37:17.160]   be more accessible and easier for everyone so that, you know, you can say, Hey, um, this is really
[00:37:17.160 --> 00:37:23.400]   important. And now I know what to do, how to go about learning these languages. Um, so that ultimately
[00:37:23.400 --> 00:37:29.320]   I can read the text more faithfully and live my life more faithfully. Um, again, it's not to say
[00:37:29.320 --> 00:37:36.020]   that you can't as a, as an English speaker. Um, but you know, you, you will never get to the depth
[00:37:36.020 --> 00:37:41.760]   that you can if you know these languages. Um, so that's, that's really what, what we're about is,
[00:37:41.760 --> 00:37:48.740]   you know, these are the most important texts ever written. Um, why not take the time, learn the
[00:37:48.740 --> 00:37:57.440]   languages, um, and encounter God in a new way. Yeah. And I mean, there's so, there are so many
[00:37:57.440 --> 00:38:03.520]   things that we could talk about guys. I want you to go and research if you don't know about, you know,
[00:38:03.520 --> 00:38:12.300]   just how, how important the Bible, the actual text of the Bible is for all other historians in all of
[00:38:12.300 --> 00:38:18.980]   time. I mean, when you compare what we have in these original source texts to what we have of
[00:38:18.980 --> 00:38:27.020]   even Shakespeare or any other book that we teach in quote school, um, it's astounding what the Lord
[00:38:27.020 --> 00:38:35.960]   has done to preserve his word. And so for us to, to not want to continue to make that happen, um,
[00:38:37.460 --> 00:38:43.300]   kind of makes you want to pause and think twice. So for people who are saying, okay, I'm in, I get
[00:38:43.300 --> 00:38:48.500]   it. It's important. I want to do it too. Uh, where should they go? I know you have a podcast. There's
[00:38:48.500 --> 00:38:53.360]   a website. Give us the whole rundown for how we can get started with Biblingo. Yeah. I mean,
[00:38:53.360 --> 00:38:59.480]   so the easiest thing honestly, um, is to go to our website, biblingo.org. Um, you can, um, there is a
[00:38:59.480 --> 00:39:04.520]   homeschool page there that you can look at, uh, all the homeschool plans on. Um, we also do have a
[00:39:04.520 --> 00:39:11.600]   partnership with CC. So you can find us on the curriculum partners, I think, um, on, on CC's
[00:39:11.600 --> 00:39:19.200]   website. Um, but biblingo.org, you can sign up for, for a free trial 10 days and just try it out. Um,
[00:39:19.200 --> 00:39:25.360]   like I said, you know, my encouragement would just be to, um, just be consistent, keep going. Um,
[00:39:25.360 --> 00:39:31.360]   the, the, our podcast is honestly very, very, um, scholarly. We talk about all kinds of, uh, you know,
[00:39:31.840 --> 00:39:37.400]   um, very high level scholarly things. Um, it's called the biblical languages podcast. So if you're,
[00:39:37.400 --> 00:39:44.320]   if you're, um, you know, kids are in high school and they really are digging it, uh, they can,
[00:39:44.320 --> 00:39:51.300]   they can do that. Um, but I would say, you know, more than that is, is just, um, trying it out for
[00:39:51.300 --> 00:39:55.560]   yourself. Um, we do have a YouTube channel too, that we post more popular level stuff on. Um, so that'd
[00:39:55.560 --> 00:40:02.100]   be another place to, to check us out on. Um, but, but really, um, I, more than any of that,
[00:40:02.100 --> 00:40:10.180]   um, if, if you can just, um, try it and, and keep going, I think you will see the dividends,
[00:40:10.180 --> 00:40:13.740]   um, as you, you know, progress through the app.
[00:40:13.740 --> 00:40:20.300]   I love it. Try it and keep going. You know, don't just try it for a day. Don't just try it for two days,
[00:40:20.300 --> 00:40:25.600]   stay committed and you'll, you'll see the payoff. Well, Kevin, thank you so much for talking to us
[00:40:25.600 --> 00:40:30.360]   about this. Thank you for your investment. Um, and even just the body of Christ to do this and make
[00:40:30.360 --> 00:40:35.160]   this accessible for people is a big deal. So I appreciate it. And I hope that you have a great day.
[00:40:35.160 --> 00:40:37.060]   Thanks. My pleasure. It was great to talk.
[00:40:37.060 --> 00:40:37.680]   you
[00:40:37.680 --> 00:40:38.180]   you
[00:40:38.180 --> 00:40:38.680]   you
[00:40:38.680 --> 00:40:39.300]   you
[00:40:39.300 --> 00:40:39.800]   you
[00:40:39.800 --> 00:40:40.300]   you
[00:40:40.300 --> 00:40:40.800]   you
[00:40:40.800 --> 00:40:42.980]   Thank you.

