
[00:00:00.000 --> 00:00:03.000]   Ready to meet stylish shoes that are also comfortable?
[00:28:10.000 --> 00:28:22.000]   So we actually moved back in with my parents. And so we're staying with them now. We give them about $400 a month or so, but nothing crazy expensive.
[00:28:22.000 --> 00:28:28.000]   But that's what our current living situation is. So we sold it. We don't have a car or anything right now. We sold everything we left and all that.
[00:28:28.000 --> 00:28:34.000]   Great. Do you have any debt?
[00:28:34.000 --> 00:28:36.000]   No, no debt at all.
[00:28:36.000 --> 00:28:41.000]   Is the living situation with your parents, is it comfortable or is it antagonistic?
[00:28:41.000 --> 00:28:48.000]   It's comfortable. It's very comfortable. We would like to get our own space, but it's extremely comfortable.
[00:28:48.000 --> 00:29:07.000]   Do either you or your wife have specific career ambitions and a specific type of job or a specific industry? Or is your desire more general? I'd like to create an income online, do something that we work really great online, or do you have something specific that you're targeting?
[00:29:07.000 --> 00:29:25.000]   There's nothing specific that either one of us is targeting at this point. So right now I'm learning about copywriting and online marketing and all of that. And she's doing some other stuff online. But there isn't a specific career path that either one of us is engaged in at this point.
[00:29:25.000 --> 00:29:52.000]   Okay. So what would WWJD, what would Joshua do? I think that if I were in your shoes, I would double down and refuse to take anything except a location independent, highly leverageable online income doing something that I think I'm well suited to.
[00:29:52.000 --> 00:30:11.000]   And here's how I get there because I think you're perfectly positioned to pursue this. In life, there are a number of different periods I think of as almost lock-in periods. So an example would be when you're in high school, you need to go to high school and finish your degree.
[00:30:11.000 --> 00:30:30.000]   And so you're kind of locked in. Now you're not as locked in as most people think, but to a degree you are. Or let's say that you're in college. Okay. You're kind of locked in. Not as much as most people do. I know that a lot of people drop out, but that's never been mine. I'm a finisher. You know, I check, I check, I give me a list, I check it off, you know. So you're kind of locked in for that four year period until you do that.
[00:30:30.000 --> 00:30:49.000]   Or if you are going to law school, you're locked in. But there are other kinds of lock-in locks, locks in, lock-ins that happen. So an example would be when you're in a job. Let's say you're in a job and you're in the middle of a big project. Well, a lot of times that's kind of a lock-in where, hey, we're kind of stuck in this job and it's hard to get out of that.
[00:30:49.000 --> 00:31:04.000]   Now, of course you can leave any job at any time, but for most of us who live our lives in a, what we perceive to be more of a responsible adult way, we don't just walk off the job. We don't just leave the job. And especially if you have two jobs, you don't just walk off and leave two jobs.
[00:31:04.000 --> 00:31:23.000]   A lot of other lock-in, examples of a lock-in would be renting an apartment, having a lease on an apartment, having a car payment where you have, you know, we've got to pay this car off or finish off the car lease. Another example would be having a mortgage. We own a house. We have a mortgage.
[00:31:23.000 --> 00:31:38.000]   When you have children, there are different parts of a lock-in that happens with children where, you know, for example, we want our children to be in this school. This is the best school for them. We want them to be in this school or we want them to be stable during this period of their life.
[00:31:38.000 --> 00:31:49.000]   Or we don't want to be moving because we're right next to their cousins and they live next door to their cousins and isn't that awesome. And so there are different points in life where you kind of get locked in.
[00:31:49.000 --> 00:32:08.000]   Now, all of those things can be walked away from if there's a reason to walk away from them. But at the moment, you've already done the hard work of walking away from those things. You terminated your lease or you sold your house. You sold your cars. You loaded up some backpacks and you started traveling the world and the plan was to travel the world for a year.
[00:32:08.000 --> 00:32:31.000]   And now you're back but you've got a place to live. You've got a more or less comfortable living situation. You've got a roof over your head and you don't have any major financial commitments. You can give them $400 a month of rent, buy a little bit of food, you know, a little bit of a cell phone plan or whatever you've got. But your monthly expenses, I mean, could you live on – can you live on $700 or $800 a month right now?
[00:32:31.000 --> 00:32:34.000]   Yeah, our living expenses are very low.
[00:32:34.000 --> 00:32:50.000]   Yeah. So this is really remarkable and it's really important especially at this phase of your life because while you're excited about having children, the reality is going to be very quickly that when you have children, it's harder to live on $800 a month.
[00:32:50.000 --> 00:33:03.000]   Now, it's not that hard when they're babies, right? They sleep a lot. But when a baby gets to be about one year old, sleeps less, two years old, sleeps less. Now, they're all over and so you kind of get into another lock-in. It's a great lock-in but it's a lock-in.
[00:33:03.000 --> 00:33:17.000]   So then we come back to what are you looking for? What do you want? What you want, and you've told me explicitly and also with your actions, what you want is a location-independent income.
[00:33:17.000 --> 00:33:29.000]   And I would say that you should enhance that with a location-independent income that has high degrees and high probability of the ability for you to grow it, for it to be leverageable.
[00:33:29.000 --> 00:33:36.000]   So you want to be able to do something through the internet. You want to be able to do something that allows you to generate that income from anywhere in the world.
[00:33:36.000 --> 00:33:48.000]   That is exceedingly doable, exceedingly reasonable, and exceedingly possible in hundreds and hundreds of circumstances.
[00:33:48.000 --> 00:33:53.000]   But it usually takes a little time to develop. It takes time to choose an area of interest.
[00:33:53.000 --> 00:34:00.000]   You might say copywriting, I'm interested in copywriting. Great. Well, there's going to be months of practice. There's going to be months until you get your first client.
[00:34:00.000 --> 00:34:08.000]   Now, it doesn't have to be that long, right? Maybe it's two months or three months and you can go ahead and make $600 or $800 or $1,000 or $6,000.
[00:34:08.000 --> 00:34:19.000]   But there is a ramp-up period. And the thing that keeps people usually from exploring those opportunities, from saying, "I want to be a copywriter and I love copywriting.
[00:34:19.000 --> 00:34:27.000]   It was one of my things when I was younger that I bought a course on copywriting and I had this dream of being able to sit at my computer anywhere in the world and be a copywriter."
[00:34:27.000 --> 00:34:38.000]   Still, if I went broke, it's still very high on my list because it's a profoundly useful skill. It's a profoundly marketable skill. It's a very leverageable skill.
[00:34:38.000 --> 00:34:46.000]   It's just a very useful area of focus for you where you're not playing games. You're not building some kind of online Ponzi scheme.
[00:34:46.000 --> 00:34:54.000]   You're just actually making people money with your ability to create effective copy. But it takes time to learn those skills.
[00:34:54.000 --> 00:35:03.000]   And so the reason most people don't do it, well, they can't afford to make the switch because they can't afford to figure out how do I make $4,000 a month to support my living expenses.
[00:35:03.000 --> 00:35:10.000]   And $4,000 a month for the kind of person who's likely to pursue one of those activities is probably pretty low, I mean.
[00:35:10.000 --> 00:35:17.000]   Many people who wake up and they say, "I want to make a lot of money online," they don't have $4,000 a month of expenses. They got $6,000 a month of expenses or more.
[00:35:17.000 --> 00:35:31.000]   And it just takes – it's longer and harder. And so you wind up in this lock-in where you're working 40 hours a week at a job and you're working 40 hours a week at a job and you are writing copy at night.
[00:35:31.000 --> 00:35:42.000]   Can you do it? You absolutely can do it. But it's a lot easier if you only need 600. It's a lot easier if you can go and work on copywriting all day and all night rather than doing a bunch of other things.
[00:35:42.000 --> 00:35:56.000]   And so WWJD, what would Joshua do? I would dedicate myself wholeheartedly to my online business and say, "Our plan to travel the world for a year was disrupted. We came back after six months.
[00:35:56.000 --> 00:36:05.000]   But I've still got money in the bank. I have very low expenses. We don't have an uncomfortable living situation. And this is a very special time in our life."
[00:36:05.000 --> 00:36:18.000]   And I would invest the next year of my life into building my online income. And I think that it would be reasonable that a year from now you could expect to make a few thousand dollars a month if you develop the skills and work hard.
[00:36:18.000 --> 00:36:33.000]   And once you've got that, once you've got that ability to work through an internet connection, you and your wife both, to work through an internet connection and make a few thousand dollars a month, that low, relatively low bar, that buys you global freedom.
[00:36:33.000 --> 00:36:46.000]   You can move right back to Colombia and have your baby and have a little, you know, go to Villa de Leyva and buy yourself a little colonial-style ranch house and just relax and live on $400 a month there.
[00:36:46.000 --> 00:36:56.000]   You can go anywhere in the world, and that's a freedom that is profoundly attainable and yet most people can only dream of. And so what would I do? I would keep on going.
[00:36:56.000 --> 00:37:04.000]   Now, what you don't like is probably two things. Number one, it's hard to live with your parents. So I would just make that situation as good as possible.
[00:37:04.000 --> 00:37:18.000]   And I would focus on making it a positive thing. As long as your parents are not overbearing or somehow, you know, doing, making your life difficult in an unnecessary way, I would focus on the enjoyment of it.
[00:37:18.000 --> 00:37:25.000]   The fact that we get to enjoy the adult relationships. It's a blessing to be able to be with your parents. Think about this, right?
[00:37:25.000 --> 00:37:34.000]   Let's say your dad was diagnosed with cancer. What would he want? He'd want to be with his children. So why do we wait until our dads are diagnosed with cancer to go and spend time with them?
[00:37:34.000 --> 00:37:40.000]   So enjoy the time. Don't view it as I'm a failure. Enjoy the time with them that you can help them out.
[00:37:40.000 --> 00:37:45.000]   And you're not in one of those situations where it has to be forever, but enjoy the time.
[00:37:45.000 --> 00:37:50.000]   And so I would take that off and I would let them help you to establish yourself with a new business.
[00:37:50.000 --> 00:37:59.000]   Number two, it wouldn't be that hard for you to pick up. First of all, it's not that hard for you to pick up some $500,000 contracts in almost anything.
[00:37:59.000 --> 00:38:05.000]   If you put two weeks in on any skill, learning it, you should be able to pick up $500 or $1,000.
[00:38:05.000 --> 00:38:15.000]   And I don't want you to walk away from high income potential opportunities and go and pursue some, you know, throwing boxes at UPS unless you have to.
[00:38:15.000 --> 00:38:25.000]   Because what happens is if you spend all your time throwing boxes for UPS or you spend all your time delivering pizzas, it's going to dull the sharpness.
[00:38:25.000 --> 00:38:30.000]   And I've worked night and day on business and it's a lot easier to work in the daytime.
[00:38:30.000 --> 00:38:37.000]   It's a lot easier to wake up in the morning at a normal time, have a cup of coffee and work a normal schedule than it is to work 70 hours a week trying to maintain two jobs.
[00:38:37.000 --> 00:38:39.000]   I've done it. I did it to start Radical Personal Finance.
[00:38:39.000 --> 00:38:47.000]   But if you can't, so I would set a timeline. Let's say that you said two months, right? From two months from now, I'm going to make enough money to live on, $600.
[00:38:47.000 --> 00:38:59.000]   If I can't make that in two months, then I'm going to get a job. And then I would go get a job and just do some, you know, sideline birdbrain thing that doesn't require me to be really connected to anything long term or make commitments.
[00:38:59.000 --> 00:39:09.000]   But something that would allow you. But most jobs are going to be – maybe there would be, again, throw boxes with UPS or something.
[00:39:09.000 --> 00:39:17.000]   But I wouldn't get locked in. I wouldn't buy a car. I would just keep my expenses low so I could start the business.
[00:39:17.000 --> 00:39:19.000]   Have you heard of the Tropical MBA?
[00:39:19.000 --> 00:39:21.000]   No, I haven't.
[00:39:21.000 --> 00:39:24.000]   Okay. The Tropical MBA is a brand that was started – I forget the name of the guy that started it.
[00:39:24.000 --> 00:39:32.000]   But he started it a number of years ago. And his whole point was he was trying to say, "Listen, there's a lot of people that want to start a business. And so let's figure out how to help them do it."
[00:39:32.000 --> 00:39:41.000]   So he set up shop in Thailand. And that – what's the name of that little town in Thailand that everyone likes to go to that's – I forget.
[00:39:41.000 --> 00:39:48.000]   But he set up shop in Thailand. And he tried to get a bunch of people. And he succeeded in getting a bunch of people to come from all over the world to fly to Thailand.
[00:39:48.000 --> 00:39:55.000]   And basically they set up kind of a business incubator. And the idea was you come to Thailand. You can live on $500 a month.
[00:39:55.000 --> 00:39:58.000]   And you can start your business. And you can start an online business.
[00:39:58.000 --> 00:40:04.000]   And he created a website out of it. He created a podcast, created a coaching program. And it's been very successful.
[00:40:04.000 --> 00:40:15.000]   The point is that for many people, it's very hard once you get into an adult lifestyle, which you and your wife have experienced, it's very hard to then downsize back to that cheap lifestyle.
[00:40:15.000 --> 00:40:22.000]   And it's especially hard to do this in the country that you're from. So what I would say is you've achieved that.
[00:40:22.000 --> 00:40:29.000]   And so what I would do is I would double down on it. I would say, "This is my tropical MBA. With COVID, travel is going to be difficult for a while.
[00:40:29.000 --> 00:40:40.000]   So let's live with mom and dad. Let's work on getting this business going. Let's set a goal of three months from now making $1,000 a month with these new skills that I'm developing.
[00:40:40.000 --> 00:40:48.000]   Six months from now making $4,000 a month." And then if at that point in time, I decide that we want to go and get a house or get our own stuff, that's fine.
[00:40:48.000 --> 00:40:55.000]   But I would say by then, very likely, some of the borders will start to open up. And you'll be able to then go back to your travels.
[00:40:55.000 --> 00:41:05.000]   But now, you have a different type of travel. Now, you can travel with income. Now, you can travel and have a baby. Go have your baby in Mexico.
[00:41:05.000 --> 00:41:18.000]   Now, the world's open to you. I try not to gush too much about the power of a location-independent income because I've never chosen – like they make that my brand.
[00:41:18.000 --> 00:41:27.000]   But I've often thought if there's something that's so powerful, that thing that buys you financial independence is being able to earn an income on the internet from anywhere in the world
[00:41:27.000 --> 00:41:39.000]   because that allows geo-arbitrage. That allows a totally different time schedule. It's the most incredible point of freedom and you're this close. So don't walk away from it prematurely.
[00:41:39.000 --> 00:41:51.000]   Got it. That was helpful because that's what we were kind of trying to figure out is how long do we go at it before I go try to get a job or something.
[00:41:51.000 --> 00:41:57.000]   Between the two of us, we were making a couple hundred thousand dollars before we left. We had corporate jobs and all that.
[00:41:57.000 --> 00:42:10.000]   So now that we've downsized and everything, it was just kind of nerve-wracking coming back and coming into, "Okay, how long do we give this before we say – not give up on the dream, so to speak,
[00:42:10.000 --> 00:42:15.000]   but just where, like you said, you lock in and it becomes a lot more difficult." But that was very helpful.
[00:42:15.000 --> 00:42:29.000]   $50,000 a year online from work that you are decent at, that you're skilled for and that you enjoy is much more valuable than $120,000 from a corporate job.
[00:42:29.000 --> 00:42:39.000]   $50,000 online will give you a much better lifestyle, a much more interesting lifestyle than that $120,000 corporate job.
[00:42:39.000 --> 00:42:49.000]   Now, I don't want you to think small. I'm trying to use small numbers to encourage you that you can do it. But the right thing online, you can make half a million dollars a year as a copywriter.
[00:42:49.000 --> 00:43:05.000]   There's no question about it. There are so many more opportunities. But the point is that that online income, there's a reason why the internet is full of how to make money online courses because it works and it's so much more valuable.
[00:43:05.000 --> 00:43:17.000]   Again, $50,000 a year is going to be so much more valuable for you if it comes in online with work that you do and the hours that you set than $120,000 your corporate job ever will be.
[00:43:17.000 --> 00:43:25.000]   And you're experiencing that right now with the low expenses. The corporate job comes with so many costs. You got to live in a certain place, right?
[00:43:25.000 --> 00:43:32.000]   If you're in Atlanta, you got to live in a certain suburb that's within driving distance of the downtown. It comes with an hour a day in traffic.
[00:43:32.000 --> 00:43:37.000]   It comes with having to own a car and all that stuff. In the situation you're in right now, you don't have to do any of that stuff.
[00:43:37.000 --> 00:43:48.000]   And that's what's so powerful about an online income. When you don't have to own a car, when you don't have to do any of that stuff, it opens everything up.
[00:43:48.000 --> 00:43:54.000]   It opens up – I mean, you've heard my stuff. I don't need to repeat all my previous shows. It's worth it.
[00:43:54.000 --> 00:44:01.000]   What I would focus on is we've got plenty of time. If we're spending $600 a month and we've got $15,000 to save, we've got plenty of runway.
[00:44:01.000 --> 00:44:08.000]   I wouldn't spend it all. I would never spend – spend a couple thousand dollars, give it a couple of months, set yourself a target.
[00:44:08.000 --> 00:44:14.000]   Two months to cover our living expenses or three months or something like that. You figure out the area.
[00:44:14.000 --> 00:44:20.000]   But three months to cover your living expenses is doable, especially when your living expenses are that low.
[00:44:20.000 --> 00:44:25.000]   And I'm not sad about you spending three months of just spending on savings.
[00:44:25.000 --> 00:44:29.000]   If at that point in time it's still not working, I would not give up the dream.
[00:44:29.000 --> 00:44:36.000]   I would just go and get a job that made me $1,000 a month so we could keep on hammering away at the dream until it works. That's what I would do.
[00:44:36.000 --> 00:44:39.000]   Okay, thanks. That was very helpful.
[00:44:39.000 --> 00:44:46.000]   All right, my pleasure. We go now to Guy in Pennsylvania. Guy, welcome to the show. How can I serve you today, sir?
[00:44:46.000 --> 00:44:51.000]   Hey there, Joshua. Good afternoon. Thanks for taking my call.
[00:44:51.000 --> 00:45:04.000]   I have a question regarding moving my side business in the direction of how to generate income for – kind of for my kids.
[00:45:04.000 --> 00:45:07.000]   So here's what I'm – kind of where I'm at. It's kind of a two-fold question.
[00:45:07.000 --> 00:45:21.000]   I've been keeping bees, for example, as a side business for several years now, and I've sort of been in the process of ramping that up to try and make a little bit more legitimate side income rather than hobby money.
[00:45:21.000 --> 00:45:29.000]   And so kind of expanding beyond honey, the wax products, bees themselves, things like that, so that I can make more.
[00:45:29.000 --> 00:45:44.000]   And so I'm laying the groundwork for that, and any advice you have on that. I've even looked into some online options for growing – helping other people grow online, grow sideline bee businesses by engaging in different ways.
[00:45:44.000 --> 00:45:51.000]   I could build an online business helping people take it – go from a hobby beekeeper to a sideliner actually making money doing it.
[00:45:51.000 --> 00:45:56.000]   So I've thought about – and that's one part of my question is kind of direction, guidance, or ideas you have on that.
[00:45:56.000 --> 00:46:13.000]   And the other side of my question is I would really like to – my kids are under the age of five, and I would really like to teach them in the discipline and the understanding of investing to help guide them into their future.
[00:46:13.000 --> 00:46:37.000]   So I've looked at the kind of whether or not there's wisdom in – and I can do that with my own money and show them certain things, but I was looking at the difference between a UTMA and using the beekeeping business to help them generate a kid-earned income so that I can put into a Roth IRA for them at an early age.
[00:46:37.000 --> 00:46:44.000]   And it's not like about setting them up or anything. It's about teaching them and getting things in the direction. So maybe the gift kind of thing would be best.
[00:46:44.000 --> 00:47:01.000]   So I'm just – just wanted to pick your brain on some of those ideas. How would you get your kids involved in the business on such a small scale even so that they can have earned income, I can start the Roth IRA, deal with all those sorts of things.
[00:47:01.000 --> 00:47:06.000]   So just wanted to pick your brain on some of those. Do you have any questions?
[00:47:06.000 --> 00:47:24.000]   So let's begin with the bee business. First, the bee business itself can be highly profitable. It is the kind of business that can be scaled if you wanted it to. It can certainly be a full-time thing or it can be a hobby business. There's a number of different ways that you can go.
[00:47:24.000 --> 00:47:41.000]   When I was younger, one of the jobs that I had, I worked for a beekeeper. And I've cleaned out many hives over the years and scraped all the frames and put in new wire and new – I forgot all the names, all the nomenclature. But I've been there, done that.
[00:47:41.000 --> 00:47:59.000]   And I've known some very highly profitable beekeepers that made a lot of money. So the business in and of itself can be really great. And the interesting thing about it is that the business done even on a large scale, if you became a large scale beekeeper as – I've got friends in the business.
[00:47:59.000 --> 00:48:21.000]   It is still even on a large scale. It's an interesting business where there can be engagement. I was from Florida and people would go out and they'd ship their bees up to Maine every year or out to California. And they take their family along and they kind of live this interesting back and forth lifestyle. Now, that kind of thing gets old after a time. But on a high level, it can be an interesting business. It can be very profitable.
[00:48:21.000 --> 00:48:39.000]   On a more modest level, it can still be a very profitable business. I know a beekeeper who's very effective, does it all himself part time. He's financially independent. But he does it himself part time, makes a lot of money. And half the money that he makes, he's just trading honey for stuff all over town.
[00:48:39.000 --> 00:49:05.000]   He always goes around with honey in the trunk of his car and trades honey for people to get himself some deals on stuff that he needs because it's a more efficient way of running his business. But it's a very profitable business. Now, you know all that with what you're doing, right? You're selling honey, selling honey products, selling wax, selling royal jelly, selling nukes. All that stuff matters.
[00:49:05.000 --> 00:49:22.000]   But almost any business can be turbocharged if you add on to it additional layers of revenue. And so that may be classes. If you run the math, let's say that you put together a seminar and you charge people $50 to come to a really well done seminar on backyard beekeeping.
[00:49:22.000 --> 00:49:40.000]   And you charge $50 and you've got 20 people that come to your backyard beekeeping course, then that can turn a Saturday's work into $1,000, which is a very handsome profit. And so you don't have to immediately go to doing everything online. Just add some of what you're doing to that already.
[00:49:40.000 --> 00:50:07.000]   I've known a number of people who've done this over the years. And just a simple thing like a monthly seminar can make a big, big difference. And it's something that you know and it's something that people are interested in. So backyard beekeeping is a big interest to people and it creates and it can create for you a broader area of connection with your overall marketplace.
[00:50:07.000 --> 00:50:28.000]   So one of the things that you want to make sure that you're doing is you want to do a really good job of building your list, building the list of your customers. So you want to make sure that you have an email list for all of your customers in your town. You want to make sure that you have good connection with them so that you can connect them to your products and services that you have and so that you can also market additional products and services to them.
[00:50:28.000 --> 00:50:49.000]   And so adding something simple like a Saturday morning 8 o'clock a.m. to 12 o'clock p.m. and everybody goes home with the basics of what they need for their own backyard beehive makes all the difference in the world. If you got 50 bucks, again 50 bucks times 10 people is $500 for Saturday's work.
[00:50:49.000 --> 00:51:18.000]   And then what that also does is it enhances your market. So now you can sell a nuc, now you can sell a ready to go bee box, now you can have your kids take a bee box and whatever system you're using but take a box and personalize it. Maybe you sell to your attendees a really nice personalized bee box that's kind of cute and quaint and it's going to look great in their backyard and that's part of the work that your children do is to paint it and make it look a little bit more personalized.
[00:51:18.000 --> 00:51:44.000]   You know a little bit modern and artsy and you know kitschy and you know what I'm talking about. And then you sell that and that's additional stuff. There's tons of people who would be happy to come to a Saturday morning seminar, pay 50 bucks at that Saturday morning seminar for a great seminar and then walk out the door with $250 worth of bee stuff in the trunk of their car and then to have you come over for an additional fee and make sure that they set it all up right.
[00:51:44.000 --> 00:51:53.000]   You know there's tons of people who would do that. So little businesses like that don't scoff at them because you know an extra $1000 here, extra $1000 there and pretty soon you're talking about real money.
[00:51:53.000 --> 00:52:08.000]   In addition then you can go online and so almost any business can be enhanced by adding on an online component and by adding on some area. It can be just consulting or it can be some kind of course.
[00:52:08.000 --> 00:52:25.000]   And definitely if you've got knowledge and you've got expertise then you can take that knowledge and that expertise and you can figure out how to niche it down to an appealing level. So maybe there's something special about you know there's tons of courses on backyard beekeeping online but you're living in Pennsylvania.
[00:52:25.000 --> 00:52:45.000]   And so there's some unique things about beekeeping in Pennsylvania that other people aren't going to cover. Well there's an easy niche right backyard beekeeping in Pennsylvania where you're going to show people here's how you winterize a hive, here's how we deal with the local fruits, the local flowers and that has a major appeal and also enhances your business opportunities.
[00:52:45.000 --> 00:53:01.000]   So I love the business, I love that you're doing it as a side hustle and I love the ways that it can expand. Let's pivot to the financial aspects of it. First I don't see any reason why you would get involved with an ATM account, of course uniform transfer to minors act or an UGMA account.
[00:53:01.000 --> 00:53:18.000]   ATMs and UGMAs are basically ways of transferring money from you to your children. But what I don't like about them is it puts restrictions on you that you have to manage it now as a trustee for the children which actually opens up a legal liability to your children.
[00:53:18.000 --> 00:53:40.000]   Your children could sue you if you didn't manage it in their best interest. And then what's worse is that when your children become adults they automatically inherit the money and you have no ability to stave that off. And so if you got a drug, you know a druggy son or someone that wouldn't be good for him to earn money, to inherit money, you can't legally stop him from inheriting the money.
[00:53:40.000 --> 00:54:00.000]   So I have never in my life recommended, although I concede that there might be situations, I have personally never recommended to anybody a UTMA or a UGMA account. Now that doesn't mean anything that is dead with regard to your business. Definitely you want your children involved in your business as much as possible.
[00:54:00.000 --> 00:54:21.000]   And you also want them involved in their own businesses. Now five is where they're just getting started. There's going to be a big difference between five and seven. But at five they can be doing it. My ambition is to have these same lessons learned with my children and my son at five years old. He was starting to be able to engage in some things but it's fairly limited.
[00:54:21.000 --> 00:54:42.000]   What I think you want to do is start by, what I've tried to do is start with selling stuff. And so actually selling honey was one of the things that I did. I had my children buy honey, local honey from a local producer at wholesale cost and then flip it to friends and family members for a retail markup and then save the profit.
[00:54:42.000 --> 00:55:10.000]   And so the simplest thing, I would put them to work selling the honey. And so if you have enough that you probably sell out, but if you can generate enough where you have excess honey, put them to work selling it. I would definitely participate in a farmer's market, partly just for the experience of the children so they start to develop those in-person sales skills, that ability to speak without fear and hesitation to potential customers, treating people respectfully and performing good sales.
[00:55:10.000 --> 00:55:29.000]   I think that would be well worth doing. And then expand out. Basically anything that you do in your business, try to bring your children along with you, try to have them do it with you and then anything that they express an interest in, give them an opportunity to help to learn it.
[00:55:29.000 --> 00:55:49.000]   And so in the early years, it's running the separator or it's putting labels on the bottles or whatever those, it's cleaning out the hives. It's that grunt work. But then it'll expand outward and if they show an interest in writing, then you go ahead and move them in the direction where they're starting to help you write your newsletter.
[00:55:49.000 --> 00:56:10.000]   And maybe the writing assignment when they're 13 is write this month's monthly newsletter to our clients or update the copy on our website, etc. And so there's not really any magic to it. Just bring them in and have them be around in it and involved in it. And then as they show ability, then have them more and more take things over.
[00:56:10.000 --> 00:56:33.000]   I think that from financially, what would work the best in many of these things is of course you assign an hourly wage. And so let's say that you do have a task. The task is to put labels on bottles of honey. Well, if you've got an hour's worth of work, just simply estimate what would it cost me to hire somebody to do this.
[00:56:33.000 --> 00:56:54.000]   And if you don't know that, then call a temp agency and get a quote from them and say, "How much would you charge me to send out a temporary worker to my business to help me paste labels on a bottle?" And if they tell you, "We'd charge you $12 an hour," then you pay your child $12 an hour. And you keep that as part of your tax planning to show that you're paying a market wage to your children.
[00:56:54.000 --> 00:57:15.000]   You can pay your children a commission. So maybe you sell honey for $12 a bottle, but you sell it or you retail it for $15 a bottle, but you wholesale it for $10 a bottle. Well, then you can pay your children a $5 commission for every bottle of honey that they sell. There's nothing wrong with paying a commission. And that commission can be calculated in different ways.
[00:57:15.000 --> 00:57:37.000]   And so as you generate wages for them, as a sole proprietor, you can hire your children under the age of 18. You don't have to pay any employment taxes, so no need to pay Social Security and Medicare taxes. And in addition to that, they're not going to earn enough to where they're going to really be owing many income taxes.
[00:57:37.000 --> 00:57:59.000]   And then for a Roth IRA, yes. What I'd recommend is pay them their wages and then just make them every year an annual gift equal to their wages, but put the annual gift into the Roth IRA. That way, they've generated the earned income, which qualifies them for the Roth IRA, and they get the money to save, but you put the money into their account.
[00:57:59.000 --> 00:58:20.000]   Now, what I do with my children is I teach them to divide their money into three piles. And when they're young, I just make them three equal piles. And so a third, a third, a third. So if they earn $3, they're going to put $1 into their giving funds. I use Ziploc bags. They have a Ziploc bag for giving money.
[00:58:20.000 --> 00:58:48.000]   They put $1 into investing, and they put $1 into spending. And I use those three words specifically. Notice I didn't say saving. And so my theory is, number one, I want them to give money, and so that way they always have money to give. And I don't put any strings on what they can give it to. Sometimes they can use it to buy a present for somebody. They can give it away to somebody in need, whatever. But I want them to have money, giving money of whatever we – giving money.
[00:58:48.000 --> 00:59:10.000]   The second of investing, my rule that I teach them is you should never get poor. You should never in your life get poor, because any time you earn money, a third of it goes into your investing bag, and investment money never, ever, ever gets spent. It just never gets spent. The only thing that happens with investment money is you invest it into something that's going to grow.
[00:59:10.000 --> 00:59:27.000]   And so when my children were selling honey, they bought the honey out of their investment money. They used the money from their investment bag. They bought the honey. Then they sold the honey. Then we calculated the profit. Then a third of the profit went into giving. A third of the profit went back into investing, and then a third of the profit went into spending.
[00:59:27.000 --> 00:59:44.000]   And so the investing – if a child is taught from an early age that you always invest a third of your income and you never spend that investment money, that's your financial nut. That's the freedom fund that you never spend.
[00:59:44.000 --> 01:00:07.000]   And so as long as you don't ever violate that rule, there should never be a time in our lives where we don't get richer, because we always are putting money back into that, and that's the nut. That's the seed money that we always invest. Now, of course, we might make a bad investment and lose it, but conceptually, we should never, ever get poor, because we have our investment funds that always grow for the rest of our life.
[01:00:07.000 --> 01:00:31.000]   And then number three, the spending, what I encourage them to do is just simply to accumulate, i.e. save, but to accumulate in their spending bags until they have money that they want to spend. And I specifically avoid using the word "saving" because I think that what happens is people often fail to differentiate between saving for consumption versus saving for financial freedom.
[01:00:31.000 --> 01:00:49.000]   And so they think, "Oh, well, I saved up $50,000 to buy a car. Look at me. I'm so great." And I look at that and I say, "Well, good for you for saving the money, of course, but that's a failure, because it'd be better for you to save $50,000, buy an investment, and then use the investment to pay for your car."
[01:00:49.000 --> 01:01:08.000]   And so that's where I think a lot of kind of child's money management goes wrong, is we teach children to save, but we teach children to save to spend. That's where, you know, I have a piggy bank. Well, what are you doing? Well, I'm saving money so that someday I can spend it. And that keeps people on the treadmill of consumption rather than on the growth path towards financial freedom.
[01:01:08.000 --> 01:01:31.000]   And so they have a spending bag and then they just automatically accumulate money in that spending bag until or unless there's something to buy. So that's what I teach my children. And what I've learned is when I started, I started too young to try to teach them to keep records. And I was overly enthusiastic and it didn't work. And so I've kind of just quit with the record keeping for now.
[01:01:31.000 --> 01:01:55.000]   But in the future, I'll teach them back then to keep records so that very carefully all of the funds are tracked just with – I keep a little ledger inside the account – inside the bags. And that's what I do at this stage. And that way, they always have money. And so if they've got – and the idea is by having an investment fund and by having a spending fund and by having a giving fund, you're looking for opportunities to give money away.
[01:01:55.000 --> 01:02:12.000]   You're looking for opportunities to spend money, but you're looking for opportunities to invest. And so whatever it is, you see it. And when you have investment money sitting in your pocket, then you notice the investment opportunities that come along. And to me, that's the basic skill set that children need for financial success. So that's my plan, Guy.
[01:02:12.000 --> 01:02:28.000]   Well, Joshua, thank you very, very much for that answer. That's a fabulous answer. I'm going to listen to the show when you publish this with the pen and the notepad to get all that down. So thank you very, very much.
[01:02:28.000 --> 01:02:41.000]   Awesome, man. I appreciate it. And thank you for teaching your children what you're doing. And I appreciate you being part of the community very much. And I enjoy your videos. All right. We go now to – back to the great state of Texas. Welcome to the show. How can I serve you today?
[01:02:42.000 --> 01:02:43.000]   Hi, is it me?
