
[00:00:00.000 --> 00:00:11.520]   all right everyone welcome to the grace point what is this the official unofficial grace point
[00:23:15.200 --> 00:23:19.520]   guys that you're mentoring once was like man like you know what what if i was like under you what if
[00:23:19.520 --> 00:23:23.760]   you're my leader and i looked and i was like you don't want to be because i knew it was under you
[00:23:23.760 --> 00:23:28.800]   you're used to a certain kind of leader right very different and i so yeah for me i definitely had a long
[00:23:28.800 --> 00:23:32.960]   like kind of period of time and i'm still growing through it but like where i was like a little too
[00:23:32.960 --> 00:23:36.720]   confrontational and maybe even like a little too smothering a little bit like really one of my guys
[00:23:36.720 --> 00:23:40.480]   who are really pushing them and not putting the ball in their court enough you know that sort of thing
[00:23:40.480 --> 00:23:44.320]   kind of not recognizing boundaries that well i remember those times we've been talking about yeah
[00:23:44.320 --> 00:23:47.920]   yeah and you i had conversations with you where i was like recognizing that and i was like it was
[00:23:47.920 --> 00:23:53.120]   really painful to to to grow out of that because like i started realizing these different
[00:23:53.120 --> 00:23:57.520]   conversations like oh maybe i shouldn't have done that and i went back to multiple guys
[00:23:58.400 --> 00:24:01.920]   and and this is actually just like right before church playing actually where i was like
[00:24:01.920 --> 00:24:09.840]   hey this tough conversation can you tell me if i like did anything like that you know and you know
[00:24:09.840 --> 00:24:14.480]   it was it was anything that was like yeah yeah that was too much you know and one of the guys was like
[00:24:14.480 --> 00:24:19.520]   no i needed that thank you for doing that and i don't think i have anything to fulfill so okay
[00:24:19.520 --> 00:24:22.960]   another guy was like no most part was good but there's just one thing that was a little bothered by
[00:24:22.960 --> 00:24:28.080]   apologize for that and there was one guy that was just like you know that season
[00:24:28.080 --> 00:24:34.800]   is very mixed for me and i i don't want to kind of i don't feel the need to like correct everything
[00:24:34.800 --> 00:24:39.520]   everything you know that happened i'm just you know like we're just gonna have grace about it you
[00:24:39.520 --> 00:24:45.520]   know and so like that was i don't know if i needed to i i felt like i needed to do that i don't know if
[00:24:45.520 --> 00:24:48.000]   like every leader needs to do that or something like that but that was just something that i needed
[00:24:48.000 --> 00:24:54.000]   to do and um like ultimately you know me ministering didn't depend on those answers it was just sort
[00:24:54.000 --> 00:24:58.960]   like me relationally with those guys i just wanted to know that right and it's just it's so hard and
[00:24:58.960 --> 00:25:07.280]   maybe sometimes like some people don't like i don't know like maybe sometimes some people don't
[00:25:07.280 --> 00:25:11.280]   recognize how hard it is and how fraud it is and how risky it is and then like you you kind of don't
[00:25:11.280 --> 00:25:16.000]   think about it you don't pray but you don't really feel the weight of it and you just really rigidly or
[00:25:16.000 --> 00:25:20.720]   mechanically just you know you say and then it's like oh you should have done that you know and i had to go through
[00:25:20.720 --> 00:25:25.440]   that kind of growing process or even i had to like process my own frustrations and patience and
[00:25:25.440 --> 00:25:29.920]   repent of those things too at the same time some of those guys are like no i need to hear that yeah
[00:25:29.920 --> 00:25:34.560]   and so it's a constant growing process yeah i mean i think gosh i know this is a little bit of an
[00:25:34.560 --> 00:25:40.240]   overgeneralization but i do think like people make blunders for sure and often that's just an issue of
[00:25:40.240 --> 00:25:44.320]   wisdom like oh you were foolish like i don't know why you had that kind of conversation with that
[00:25:44.320 --> 00:25:49.680]   person at that time like he wasn't ready for it right so those blunders happen um and there are times
[00:25:49.680 --> 00:25:56.080]   also when people are maybe a little like i don't know in an effort to be a good leader you know
[00:25:56.080 --> 00:25:59.920]   there's sort of this kind of perception that like a good leader is one who confronts which i think is
[00:25:59.920 --> 00:26:05.040]   true to an extent like you do have to be able to confront but maybe you know they don't balance that
[00:26:05.040 --> 00:26:09.520]   with the requisite kind of wisdom or thought yeah warming or even just warming up yeah we're just like
[00:26:09.520 --> 00:26:13.760]   like our relationship is not at that point and they misjudge that so i definitely think those blunders
[00:26:13.760 --> 00:26:17.440]   happen and i think those are the cause of a lot of pain and i think what you did was good because i think we
[00:26:17.440 --> 00:26:21.280]   we need to know how to apologize for that i i don't think i'm great at that i don't think
[00:26:21.280 --> 00:26:25.680]   actually a lot of people at our church don't know how to do that gracefully and i think maybe that's
[00:26:25.680 --> 00:26:29.840]   something maybe you should teach a workshop on that one day but no but i do think that's important to do
[00:26:29.840 --> 00:26:35.280]   um to to to acknowledge mistakes and to apologize and so maybe that's an area of growth for us but
[00:26:35.280 --> 00:26:41.920]   on the other hand i do feel like i can say with a fair amount of confidence for me for the people that
[00:26:41.920 --> 00:26:47.600]   administer to me for everyone i know as a minister that those conversations are never from a place of
[00:26:47.600 --> 00:26:51.760]   like i'm trying to benefit myself right and that's what i really find frustrating about some of the
[00:26:51.760 --> 00:26:56.800]   online criticism they they act so certain that these conversations that we have are because we're on
[00:26:56.800 --> 00:27:01.920]   power trips or because we hate these people or we're trying to like like that is i mean i'm not saying
[00:27:01.920 --> 00:27:08.080]   that never happens but if it does it's exceedingly rare it's like really rare because like you just
[00:27:08.080 --> 00:27:12.960]   got to think about it like why like what power do i really gain from that if anything i'm probably going
[00:27:12.960 --> 00:27:16.480]   to drive you away if i cared about having more influence and like more people under me i would
[00:27:16.480 --> 00:27:19.680]   just be nice to everybody right because then everyone would love me and everyone would stick around
[00:27:20.480 --> 00:27:26.720]   i i mean so i i know it's hard to prove to anyone but like i would just appeal like give give your
[00:27:26.720 --> 00:27:30.880]   leaders the benefit of the doubt like i'm not saying they do it well yeah i'm not saying they don't have
[00:27:30.880 --> 00:27:37.360]   anything to apologize for but at least their intent is it's almost never out of some personal gain you
[00:27:37.360 --> 00:27:42.560]   know yeah it's always it's always at least the intent with is for your good and i can say that right yeah
[00:27:42.560 --> 00:27:46.800]   yeah and i remember that was one thing you said to me actually when i was kind of going through that
[00:27:46.800 --> 00:27:51.120]   when i was like kind of wrestling i don't you don't remember oh yeah it was it was like i was
[00:27:51.120 --> 00:27:54.800]   like wrestling like man i don't was like did i do a good job that you know whatever and you're like hey
[00:27:54.800 --> 00:28:01.520]   you know um i know you you know and you did because you love those guys and i was like yeah i did you
[00:28:01.520 --> 00:28:05.360]   know and that's the most crucial thing and i might have made a mistake you know but it was out of love
[00:28:05.360 --> 00:28:10.720]   and and um you know so it's like i don't know maybe there's just like one takeaway it's just
[00:28:11.760 --> 00:28:17.040]   just to see more grace maybe on both sides yeah you know yeah and we're learning we need to grow we
[00:28:17.040 --> 00:28:25.920]   need to change we need to shift but it's like it's not like to air that out like all online and and all
[00:28:25.920 --> 00:28:30.880]   that like do we really need to do that it's not it you know yeah so yeah and and i mean like again
[00:28:30.880 --> 00:28:35.040]   there's there's things we got to improve and grow in like i think one thing is like i don't think we
[00:28:35.040 --> 00:28:39.120]   have a great way to reconcile those situations right now because sometimes the leader you're just
[00:28:39.120 --> 00:28:43.680]   oblivious yeah and i don't know if we've really figured this out like hey who do i talk to if i
[00:28:43.680 --> 00:28:48.400]   feel unfairly treated by my leader you know and we have like pastor ed's anonymous email inbox but
[00:28:48.400 --> 00:28:52.000]   i don't know that can be kind of complicated like i don't talk to the head pastor about this and also
[00:28:52.000 --> 00:28:55.360]   like i don't know how he's going to reply to me because it's an anonymous email like how do i have a
[00:28:55.360 --> 00:28:58.320]   dialogue about this i mean so that's something that i've kind of been pushing for personally like i think
[00:28:58.320 --> 00:29:01.840]   we got to talk about it more yeah so i'm not saying like we got this down perfectly like don't
[00:29:01.840 --> 00:29:05.920]   complain like i definitely think like let's talk more and if you have ideas about this if you're listening you
[00:29:05.920 --> 00:29:10.160]   have ideas about how we can do this better yeah for sure no i agree like in my 10 years of being
[00:29:10.160 --> 00:29:14.960]   college minister i think it's been twice where my leader said hey someone under you had this feedback
[00:29:14.960 --> 00:29:20.160]   for me yeah that's super hard to do yeah it's it's only happened like twice it's hard it's hard i agree
[00:29:20.160 --> 00:29:23.520]   and that's never happened to me but that's probably because i don't confront enough so
[00:29:23.520 --> 00:29:29.200]   anyway all right well this was a fun conversation yeah i'm glad we had it because i think um these are
[00:29:29.200 --> 00:29:33.520]   the things that you keep talking about um but hopefully that gives people some perspective
[00:29:33.520 --> 00:29:37.600]   because people have a sense of like how we feel about some of the things that people read online
[00:29:37.600 --> 00:29:46.480]   yeah um but um yeah so it's another episode of why they hate and you know unofficial official i can't
[00:29:46.480 --> 00:29:51.040]   get those straight dude the official unofficial grace point maybe you should do the intro okay i'll
[00:29:51.040 --> 00:29:56.080]   do the outro yeah well like subscribe and we will see you guys next time thanks for joining us on
[00:29:56.080 --> 00:30:04.000]   the official unofficial grace point podcasts

