
[00:00:00.000 --> 00:00:05.800]   almost everyone in the AI space that I see with a microphone in front of them says,
[00:27:02.260 --> 00:27:09.380]   nothing to do with creating, you know? And in fact, you designed this product specifically to meet
[00:27:09.380 --> 00:27:16.020]   the expert control rule that was in place before this one, which is very similar to this Vietnam thing
[00:27:16.020 --> 00:27:21.940]   that we were just talking about. So you can't be happy with that. I reposted when this all happened,
[00:27:21.940 --> 00:27:29.860]   a great video that Deirdre did over at CNBC, um, about how this will be good for Huawei. And I think if you
[00:27:29.860 --> 00:27:36.020]   asked Jensen, he would say, yeah, this is great for Huawei. And it's not just that you get an isolated
[00:27:36.020 --> 00:27:42.740]   market where everyone, but, but every participant in the AI market in China may have been working with
[00:27:42.740 --> 00:27:49.300]   NVIDIA. Now they start working with this and they all collectively help improve it over time. And,
[00:27:49.300 --> 00:27:56.180]   you know, there, I read one article that said that China's, you know, getting some of their very first
[00:27:56.180 --> 00:28:01.460]   commercial planes off the ground. One of the reasons is they became reliant on Boeing and Airbus.
[00:28:01.460 --> 00:28:09.220]   And so by, by denying your exports to a market, you increase the incentive they have to develop
[00:28:09.220 --> 00:28:12.340]   their own technology. Well, particularly when they have the capability of China. I mean,
[00:28:12.340 --> 00:28:17.140]   the fact of the matter is if they had no capability to develop it, it would be one thing, right? I think
[00:28:17.140 --> 00:28:22.900]   more like the, the, the race around nuclear arsenals, if you will. There's some countries that will never
[00:28:22.900 --> 00:28:28.900]   have the capacity to build said nuclear arsenal. But the fact of the matter is China is so close
[00:28:28.900 --> 00:28:34.100]   in this regard with respect to the H20s. From my perspective, it's a very close call. I don't
[00:28:34.100 --> 00:28:39.140]   think we should be sending GB 200s or cutting edge chips to China. I think that there's a legitimate
[00:28:39.140 --> 00:28:45.460]   national interest in, you know, quote unquote, staying out in front on AI. I think there's a debate
[00:28:45.460 --> 00:28:51.540]   to be had about that. That's where I come down on that side of the issue. But the H20s, it seemed to me,
[00:28:51.540 --> 00:28:59.460]   was a very self-defeating way. I think that the competition with CUDA in China distracted the
[00:28:59.460 --> 00:29:04.500]   competition, denied the monopoly profits within China for these Chinese internet companies. There
[00:29:04.500 --> 00:29:11.460]   was some insinuation last week that Jensen was intentionally, right, skirting all of this,
[00:29:11.460 --> 00:29:17.140]   you know, these rules around China and that there was, you know, maybe 30 or 40% of all their sales were
[00:29:17.140 --> 00:29:22.660]   going into China. You know, as I look at this, I think we have to be really careful.
[00:29:22.660 --> 00:29:32.100]   You know, I think that these tariffs all of a sudden, right, can find us in a place where we're
[00:29:32.100 --> 00:29:38.820]   demonizing. I think Nvidia and Jensen are national heroes for the work that they've done and the
[00:29:38.820 --> 00:29:44.100]   leadership they've given us in global AI, right, American success stories. Totally agree.
[00:29:44.100 --> 00:29:52.980]   And this idea that somehow they comply with the exact attributes of the H20 prescribed by the US
[00:29:52.980 --> 00:29:55.940]   government. Prescribed, and I want to go back to that. You know, and then they sell those in China,
[00:29:55.940 --> 00:30:00.340]   and then after the fact we go back and somehow start demonizing them, I think is a very dangerous thing.
[00:30:00.340 --> 00:30:05.380]   So when I gave that speech a while back on regulatory capture, I made the argument that
[00:30:06.100 --> 00:30:12.020]   when in America, inside of America, when we want to accomplish something through policy,
[00:30:12.020 --> 00:30:17.380]   we gather a bunch of people and we get a bunch of ideas, and then we write some complex piece
[00:30:17.380 --> 00:30:24.100]   of legislation. And what I highlighted is that in many cases, it fails. And in some cases,
[00:30:24.100 --> 00:30:31.860]   it spectacularly fails. So what does that mean? You get the exact opposite outcome from which the policy
[00:30:31.860 --> 00:30:39.060]   is intended to create. Now, the fact that this happens all the time inside of America is an
[00:30:39.060 --> 00:30:45.060]   interesting fact, because in some ways, expert control is external regulation. So we're trying
[00:30:45.060 --> 00:30:52.740]   to implement a policy now, not just in a place where we control most of the pieces, but in a world where we
[00:30:52.740 --> 00:31:00.500]   we don't control many of the pieces. And then we expect that policy to work perfectly. And the
[00:31:00.500 --> 00:31:07.460]   problem is, you know, borders are porous, money finds a home, right? You know, I always tell people
[00:31:07.460 --> 00:31:13.860]   that try and build internet businesses, internet arbitrage is undefeated. And global markets kind of have the
[00:31:13.860 --> 00:31:19.940]   the same thing. Like we're just coming off of a remarkable, I would use the word spectacular again,
[00:31:19.940 --> 00:31:29.540]   spectacular failure of Russian sanctions, economic sanctions, right? So why do we think, oh, that didn't
[00:31:29.540 --> 00:31:35.620]   work, right? But I'm going to go do this and make it work. I heard people who said we have to ban
[00:31:35.620 --> 00:31:44.660]   H20 saying, oh, well, the Biden rules didn't work, they failed, right? So oh, so you mean global expert
[00:31:44.660 --> 00:31:50.500]   controls didn't work. So we're going to redouble them and see if they work again. And I just, you know,
[00:31:50.500 --> 00:31:55.940]   I think if there were a piece of technology, like, say, a fighter jet that you're giving to maybe one other
[00:31:55.940 --> 00:32:02.180]   country or two, that's a super deep ally. That's one thing. If you're going to sell something in 120
[00:32:02.180 --> 00:32:08.420]   countries around the world and try and tell one country they can't have it, there's no way that's
[00:32:08.420 --> 00:32:14.500]   going to work. Like, and especially these goods have digital attributes. I mean, you know, it's just,
[00:32:14.500 --> 00:32:19.460]   it's going to, it's going to work around. And, you know, I think it's going to get worse before it gets
[00:32:19.460 --> 00:32:27.860]   better. I have seen hints that the same people that push the H20 want to, you know, put even more
[00:32:27.860 --> 00:32:35.300]   restrictions on ASML, which is a Dutch company, or fine TSMC for building Huawei chips. That's a
[00:32:35.300 --> 00:32:41.620]   company that's headquartered in Taiwan. Right. So I'm sure Jensen's miffed that his company's become a pawn
[00:32:41.620 --> 00:32:48.260]   in this game. How do you think these companies, we talked about ASML in the past where the management
[00:32:48.260 --> 00:32:55.300]   there has already expressed some reluctance to be our, you know, whipping, whipping post or whatever.
[00:32:55.300 --> 00:33:01.460]   But like, I don't know that we just are allowed to start grabbing pieces of chessboard that we don't
[00:33:01.460 --> 00:33:07.140]   even own and bringing them into this competition. And you said earlier that the way we implemented
[00:33:07.140 --> 00:33:13.620]   tariffs, we've, we've alienated many of our allies and partners. You know, I won't be surprised at all
[00:33:13.620 --> 00:33:18.420]   if we wake up one day and one of these companies tells us no. Right. Yeah. You know, again,
[00:33:18.420 --> 00:33:24.420]   it comes back to defining the objectives narrowly enough that you don't end up in this big retaliatory
[00:33:24.420 --> 00:33:34.100]   and escalatory posture. Again, I think it's a reasonably close call around H20s. My sense is
[00:33:34.100 --> 00:33:43.060]   that Nvidia understands and is on board with not selling leading edge chips to China, right? Like they didn't
[00:33:43.060 --> 00:33:48.660]   fight the fact that they weren't selling GB 200s to China. And the H20 is, if you just looked at the
[00:33:48.660 --> 00:33:54.500]   facts on the table, the Huawei Ascend 920s, the number of these that they're now producing, the
[00:33:54.500 --> 00:33:59.620]   way that they're interconnecting these things together. Yes, they may be slightly less efficient. It may
[00:33:59.620 --> 00:34:04.580]   take two or three times the number of chips and amount of power in order to end up at the exact same
[00:34:04.580 --> 00:34:09.700]   place. But we just talked about there are a hundred nuclear power plants under construction in China.
[00:34:09.700 --> 00:34:15.140]   Power is not their limit. Well, and they produce those plants at one-fourth the price we do. So if it
[00:34:15.140 --> 00:34:19.620]   comes down to power, and many people in the AI world like to say it's going to come down to power,
[00:34:19.620 --> 00:34:23.540]   well, I guess they're going to win. Well, I mean, so there's an interesting question here. If you think
[00:34:23.540 --> 00:34:29.220]   about the off-ramp on these for President Trump, again, there's a lot of suggestions over the weekend
[00:34:29.220 --> 00:34:33.460]   that, you know, if you think we're going to land the plane in three to four weeks, Bill, the only way
[00:34:33.460 --> 00:34:39.140]   you do that is basically through unilateral concessions, right, that you define as victory.
[00:34:39.140 --> 00:34:44.100]   So, you know, all of these countries are calling us, they want to do deals. And so we're going to walk
[00:34:44.100 --> 00:34:51.700]   the Chinese tariffs back to 30 or 34%. And we're going to suspend maybe for 90 days, the H20 ban in the
[00:34:51.700 --> 00:34:57.860]   hopes that they will reciprocate by suspending the rare earth ban or something like that. So I don't think
[00:34:57.860 --> 00:35:03.940]   we've seen the end of this when it comes to this NVIDIA ban. But, you know, the flip side of this
[00:35:03.940 --> 00:35:10.820]   is NVIDIA just had a big announcement, right, with the White House, about a $500 billion investment,
[00:35:10.820 --> 00:35:18.020]   right, in combination with a bunch of other companies, Foxconn, TSMC, etc., building fabs in
[00:35:18.020 --> 00:35:24.660]   the United States. I know the first GB200 is rolled off the assembly line out of those fabs in Arizona.
[00:35:25.460 --> 00:35:32.180]   To me, again, we need to rebalance and focus on accelerating, right, and re-onshoring these
[00:35:32.180 --> 00:35:37.140]   critical industries in the United States. I think the distraction that we can keep China
[00:35:37.140 --> 00:35:42.580]   away from frontier level AI, that will be a losing strategy in my mind. I don't think we need to go
[00:35:42.580 --> 00:35:48.420]   out of our way to make it easy on them. But I think the obsession and the time spent and the distraction
[00:35:48.420 --> 00:35:54.500]   for US CEOs to try to how to how they comply with all of this, I think is not particularly great.
[00:35:54.500 --> 00:35:59.860]   And I'll just give you where, you know, maybe the next frontier where this is going. I've heard,
[00:35:59.860 --> 00:36:04.980]   you know, increasing chatter that somehow we're going to try to ban DeepSeq models.
[00:36:04.980 --> 00:36:05.380]   Yeah.
[00:36:05.380 --> 00:36:13.220]   Right? And somehow prevent US hyperscalers or cloud companies from integrating DeepSeq models into
[00:36:13.220 --> 00:36:13.220]   their stack.
[00:36:13.220 --> 00:36:14.100]   I've heard the same thing.
[00:36:14.100 --> 00:36:19.140]   So talk to me about that and the slippery slope associated with that.
[00:36:19.460 --> 00:36:25.940]   Before I go deep on DeepSeq, which I want to do, I want to mention a couple of things from a very
[00:36:25.940 --> 00:36:31.300]   broad level. You know, one is, back to this Friedman post, he mentions a quote from a book,
[00:36:31.300 --> 00:36:37.940]   "How, Why, How We Do Anything Means Everything." And the quote is, "Interdependence is no longer our
[00:36:37.940 --> 00:36:42.900]   choice. It's our condition. Our only choice is whether we forge healthy interdependencies and
[00:36:42.900 --> 00:36:50.660]   rise together or maintain healthy interdependencies and fall together." And, you know, there's a book
[00:36:50.660 --> 00:36:57.220]   that I've been rereading that the Collison's talked about once called "Finite and Infinite Games" by James
[00:36:57.220 --> 00:37:04.740]   Carrs. And there's a reality that a lot of our strategy that we think about and how we compete in
[00:37:04.740 --> 00:37:10.340]   the world comes from finite games. A finite game is a game that has a beginning and an end and a winner.
[00:37:10.340 --> 00:37:15.700]   So a football game, a basketball game, that kind of thing. Infinite games are different. They just go
[00:37:15.700 --> 00:37:20.340]   on forever. Stock market, you know, most large companies, they're infinite games. Like,
[00:37:20.340 --> 00:37:28.020]   there's no clock that ends. There's no one that declares a winner. I fear that a lot of the attitude,
[00:37:28.020 --> 00:37:36.260]   the vitriol, the language, the tone that's used between us and China is borrowed from finite game
[00:37:36.260 --> 00:37:43.220]   thinking. Like, that we're some, you know, win the AI war. What does that mean? Like, is there someone
[00:37:43.220 --> 00:37:48.740]   that's, is the clock going to end, like the Warriors versus the Rockets? And they say, "Oh, we won." Like,
[00:37:48.740 --> 00:37:54.340]   there's no chance of that. And, and, and most of the people that are even the biggest China hawks,
[00:37:54.340 --> 00:38:00.500]   I said, I say to them, "Do you think you're going to prohibit China's long-term AI development?" And they
[00:38:00.500 --> 00:38:06.500]   said, "No." You know, and I, I just think we, we, there's a lot of zero-sum thinking going on. Win,
[00:38:06.500 --> 00:38:14.180]   lose. I totally believe in this interdependence. I, I think there's zero chance that you're going to stop
[00:38:14.180 --> 00:38:21.060]   China or somehow like, I even, I use the phrase, increase the gap. There's, there's a lot of
[00:38:21.060 --> 00:38:27.140]   arguments that the AI gap has been shrinking, not, not rising. Eric Schmidt had a big interview today
[00:38:27.140 --> 00:38:33.620]   where he said it was shrinking or this week. We'll put show notes on that. And a lot of people are
[00:38:33.620 --> 00:38:39.620]   saying they're catching up. That semi-analysis thing says Huawei's getting there. And so this argument that,
[00:38:39.620 --> 00:38:45.860]   "Oh, we've got to do everything we can. We have to act now to win the AI war." That's like almost this
[00:38:45.860 --> 00:38:50.260]   belief that we're going to increase the gap and that it's a finite game that's just going to end one
[00:38:50.260 --> 00:38:56.020]   day. And I don't believe in either of those things. Right, right. And so I think the tone's wrong. I think
[00:38:56.020 --> 00:39:02.100]   you got to get out of this enemy threat. Like all those words allow you to hate. You know, there's
[00:39:02.100 --> 00:39:07.300]   a great, great quote from the Godfather, which is, "Don't hate your enemies. It clouds your judgment." Yeah.
[00:39:07.300 --> 00:39:12.820]   One of my favorite quotes ever. The whole piece of this Friedman article, which I think everyone has
[00:39:12.820 --> 00:39:19.460]   to read, he just went over there and spent time. It's not what you think. Like they are way ahead
[00:39:19.460 --> 00:39:24.820]   in a lot of different areas. They're super smart. They're not, you know, I think a lot of people
[00:39:24.820 --> 00:39:30.660]   thought, "Oh, we have a democracy and capitalism." And people get confused between those two. And they
[00:39:30.660 --> 00:39:35.140]   think, "We've got the perfect American exceptionalism. We're the only place where you can
[00:39:35.140 --> 00:39:42.260]   have innovation." And because we talk about, "Oh, they steal, they steal." We don't ever spend the time
[00:39:42.260 --> 00:39:48.820]   to go see if innovation's happening over there. It is happening over there. You know, and these people
[00:39:48.820 --> 00:39:54.660]   are educated in the same schools and universities. Like the thought that they couldn't, you know, be
[00:39:54.660 --> 00:40:00.500]   educated or can't innovate is going to lead you to a lot of really bad policies.
[00:40:00.500 --> 00:40:05.620]   And worse yet, and worse yet, right? If you believe they're on the frontier and they're
[00:40:05.620 --> 00:40:11.620]   going to have a frontier compute stack with frontier models, whether we help them or not, which I think
[00:40:11.620 --> 00:40:19.300]   even those people who are more China hawkish agree with that statement, right? And if you wanted the rest of
[00:40:19.300 --> 00:40:25.460]   the world to run on U.S. compute and U.S. models, what's the number one thing you would not do?
[00:40:25.460 --> 00:40:32.340]   You would not anger the rest of the world by launching a tariff assault on them simultaneous
[00:40:32.340 --> 00:40:39.460]   with your tariff assault on China. And so it is a mysterious policy. And when you look at all of
[00:40:39.460 --> 00:40:45.460]   these headlines that are coming out, the EU now negotiating directly with China, right? We now have
[00:40:45.460 --> 00:40:51.060]   Japan and South Korea and Vietnam negotiating with China. You have the Middle East, you know,
[00:40:51.060 --> 00:40:57.460]   entering into, you know, deals with China. I'm not sure again, that we're advancing our cause,
[00:40:57.460 --> 00:41:03.380]   right? By making it harder on everybody else in the world and telling them they are the cause for the
[00:41:03.380 --> 00:41:05.380]   demise of the U.S. middle class.
[00:41:05.380 --> 00:41:12.740]   Well, and I'll go even further. Like, the tone they're adopting is more statesman-like than us.
[00:41:12.740 --> 00:41:19.700]   If you read the tone in those discussions, and they highlight that they haven't invaded anybody
[00:41:19.700 --> 00:41:25.860]   in a very long time. The U.S. has been involved in a lot more wars around the globe. So our ability,
[00:41:25.860 --> 00:41:31.460]   and I brought this up a few podcasts ago. I, you know, I think you're, you mentioned DeepSeek. So,
[00:41:31.460 --> 00:41:38.820]   so we all believe that there's a imminent DeepSeek ban, the level of which I don't think we fully
[00:41:38.820 --> 00:41:44.100]   know right now. But, you know, my immediate reaction is, oh, I guess Europe and South America will run
[00:41:44.100 --> 00:41:52.340]   on DeepSeek. Like, because the minute we start vilifying even that, you know, it, it is, I believe,
[00:41:52.340 --> 00:41:58.180]   right now, the best performing, most open, you know, if you had a quadrant, the one that's,
[00:41:58.180 --> 00:42:04.740]   it's on the upper right on performance and openness, you know, and if we ban it, boy,
[00:42:04.740 --> 00:42:10.740]   it's just kind of, one, you know, even more people working with Huawei chips and DeepSeek
[00:42:10.740 --> 00:42:17.140]   trying to optimize it. But two, you know, in this world we've created where there's so much animosity,
[00:42:17.140 --> 00:42:20.260]   I think people would be glad to use it in these other countries.
[00:42:20.260 --> 00:42:24.820]   Well, the first thing it dawns on me is I ultimately don't think, you know, somebody
[00:42:24.820 --> 00:42:29.780]   asked me on CNBC, you know, they, I said, your decision as to whether be in the market
[00:42:29.780 --> 00:42:35.620]   comes down to whether you think the president is more, you know, kind of tactical free trader in
[00:42:35.620 --> 00:42:41.540]   the spirit of the Besant consensus, fully loaded gun, rarely discharged, or whether you really think
[00:42:41.540 --> 00:42:48.180]   he wants to reorient the world in the way Navarro discusses it. I still believe the president is
[00:42:48.180 --> 00:42:53.940]   fundamentally a free trader, that this really is about making the US more resilient. And he has to,
[00:42:53.940 --> 00:42:58.900]   he has to bring us back there, right? Because if we, if we head in the direction of Navarro,
[00:42:58.900 --> 00:43:05.540]   it's quite clear to me that we're going to so anger the rest of the world, that the chance that the rest of
[00:43:05.540 --> 00:43:10.660]   the world is going to run on US compute. I think, I think what we do in that instance is you move
[00:43:10.660 --> 00:43:16.660]   everybody in the direction of China, it backfires. We don't widen the gap with China with respect to AI
[00:43:16.660 --> 00:43:21.140]   or global trade or anything else. In fact, we, we shrink the gap.
[00:43:21.140 --> 00:43:26.580]   By the way, by the way, there's one, I think, hilarious irony with the, with the Navarro point of
[00:43:26.580 --> 00:43:34.340]   view and combined with the, with, with the export control, which is, if we're gonna, if we're upset
[00:43:34.340 --> 00:43:39.700]   that there is this trade imbalance, you know, the worst thing, the last thing you'd want to do is start
[00:43:39.700 --> 00:43:45.460]   penalizing our best creators, our best manufacturers, our best companies. Right.
[00:43:45.460 --> 00:43:50.660]   How are you going to solve the trade imbalance if we tell people they can't buy our best stuff? Right.
[00:43:50.660 --> 00:43:56.020]   We're going to make them buy our stuff. Which is just an example. I, I, I think, I think Nvidia sold,
[00:43:56.020 --> 00:44:02.820]   you know, 12 or $15 billion worth of H20s. So if you ban those, then your trade deficit with China
[00:44:02.820 --> 00:44:07.300]   goes up by $15 billion. That's my point. That's my very point. And let's not, let's not wash over the,
[00:44:07.300 --> 00:44:13.380]   I think Nvidia is such a high performance companies worth so much money, such a large market cap,
[00:44:13.380 --> 00:44:19.700]   so much cash, no liquidity issues that this $5 billion write-off they're going to take is kind
[00:44:19.700 --> 00:44:25.700]   of NBD move on. You know, it didn't affect stock that much, but a $5 billion write-off, they're just
[00:44:25.700 --> 00:44:30.180]   going to throw a bunch of inventory in the trash can. Well, I mean, that's, that's, that's, that's
[00:44:30.180 --> 00:44:35.300]   remarkable. Think about that, Bill. Right. Some of the people who are arguing, right. Including some
[00:44:35.300 --> 00:44:42.100]   USAI companies that they shouldn't be able to sell the H20s to China. Right. If Jensen or the team at
[00:44:42.100 --> 00:44:46.580]   Nvidia turned around and said, great, you buy them. Nobody would buy them because they're so
[00:44:46.580 --> 00:44:53.780]   underperforming. Right. And yet it makes the point for them. But think about this 15 billion in sales
[00:44:53.780 --> 00:45:00.900]   of H20s. Right. That probably results in, you know, eight, $9 billion of, of earnings, you know,
[00:45:00.900 --> 00:45:06.740]   back to Nvidia. You tax that at a corporate rate, that's two or $3 billion to the U S treasury. Right.
[00:45:06.740 --> 00:45:14.260]   We are effectively taxing the Chinese on a nerfed product to provide profits to Nvidia to further
[00:45:14.260 --> 00:45:19.620]   distance the lead, uh, you know, against Huawei and to put money in the U S treasury. And we just
[00:45:19.620 --> 00:45:24.260]   unilaterally disarmed around that in a way that doesn't even advantage us against Huawei because
[00:45:24.260 --> 00:45:30.020]   their chips are already surpassing the H20. And that leaves out, and I agree with a hundred percent of
[00:45:30.020 --> 00:45:37.460]   that. And there's even more because of escalation. So, so, you know, it's, I, I, once again, I go back
[00:45:37.460 --> 00:45:46.100]   to this finite game mindset. I, I think people are evaluating a decision on an expert, export control,
[00:45:46.100 --> 00:45:54.260]   or a tariff or a ban, um, without totally in isolation as that one decision. And what will
[00:45:54.260 --> 00:46:00.420]   its impact be? But any one of these decisions and certainly the combination of them could lead to
[00:46:00.420 --> 00:46:08.660]   escalation that could go as far as leading to a hot war. And so you have to accept responsibility
[00:46:08.660 --> 00:46:15.860]   of making any one of these decisions that there are, you know, butterfly effects and escalatory effects
[00:46:15.860 --> 00:46:21.700]   that you may wade into. Right. By doing that. Right. I mean, you can think about it this way.
[00:46:21.700 --> 00:46:28.980]   We define, some people define artificial intelligence as existential, right? Like that is absolutely
[00:46:28.980 --> 00:46:35.620]   essential to your national security. It's essential to your national economic security. Now, if you are
[00:46:35.620 --> 00:46:41.220]   firing a shot at somebody that says, I'm going to deprive you of being able to build your national
[00:46:41.220 --> 00:46:46.900]   security or your national economic security, right? Like it's, it's a serious, it's a serious thing.
[00:46:46.900 --> 00:46:53.700]   I, um, I, I want to go on record as saying like almost everyone in the AI space that I see with a
[00:46:53.700 --> 00:47:00.260]   microphone in front of them says the U.S. has to win the AI war. Yeah. I don't know what that means.
[00:47:00.260 --> 00:47:04.340]   Yeah. And if, if I guess as to what it means, I don't think it's possible. Right.
[00:47:04.340 --> 00:47:10.180]   And so. Because it's an infinite game. It's an infinite game and no one that I talked to would
[00:47:10.180 --> 00:47:16.580]   argue we're going to somehow prohibit them from moving forward in AI. Let's not forget it wasn't
[00:47:16.580 --> 00:47:23.700]   that long ago that open AI, they'll say borrowed or copied the innovation that happened at Google and
[00:47:23.700 --> 00:47:30.100]   DeepSeek. Like this is how innovation works. Ideas spread like the wind. They move fast. People study what
[00:47:30.100 --> 00:47:36.820]   other people do. It happens all the time. And when only when we apply these labels of theft or copy or
[00:47:36.820 --> 00:47:42.180]   steal, do we start vilifying, but, but it happens all the time in our own ecosystem. Right. Right.
[00:47:42.180 --> 00:47:48.740]   It's how these things evolve. And so, yeah, I don't, I don't think there's a finite game to win. You know,
[00:47:48.740 --> 00:47:53.940]   it's funny. I was, I did some research on something because I was very curious. I went back and studied,
[00:47:53.940 --> 00:48:00.340]   and it's so easy with AI, I went back and studied the space race. And when, when the space race was
[00:48:00.340 --> 00:48:07.060]   underway, if you go back and look at the quotes from all the senators and, and President JFK and
[00:48:07.060 --> 00:48:12.420]   everything, one of the reasons, maybe the primary reason they said, we got to win the space race,
[00:48:12.420 --> 00:48:22.180]   is they all believed that the entire globe would be covered in this mesh of rockets and satellites that
[00:48:22.180 --> 00:48:29.860]   would be used to control the military of the globe. And whoever got to space first was going to have this
[00:48:29.860 --> 00:48:37.380]   control. Now that never played out, but I see a very similar vein in AI where people, especially
[00:48:37.380 --> 00:48:43.380]   people that believe in AGI and ASI and magical AI think that it's just going to explode. And then
[00:48:43.380 --> 00:48:51.940]   whoever controls this uncontrollable force will control the globe in a zero sum way. And I, I, I just,
[00:48:51.940 --> 00:48:56.500]   I don't buy it. Like, I don't think that's going to happen. If that does happen, we're going to have
[00:48:56.500 --> 00:49:00.660]   a much bigger problem. I think you and I would maybe find a point of agreement here.
[00:49:00.660 --> 00:49:06.420]   Like what is the North star that should guide us? And I think the, the point of agreement,
[00:49:06.420 --> 00:49:12.820]   if we were giving advice would be that the re-onshoring of critical national industries
[00:49:12.820 --> 00:49:20.660]   through, you know, some tactical means is an important objective. Okay. But I, I think you and
[00:49:20.660 --> 00:49:27.540]   I would also agree that we need to shift the focus radically on accelerating our own race,
[00:49:27.540 --> 00:49:33.780]   right. And, and refocus from spending all of our time trying to slow down everybody else.
[00:49:33.780 --> 00:49:40.260]   And the objective should be the KPI should be, do we widen the gap, right? Do American companies,
[00:49:40.260 --> 00:49:45.540]   are they as successful in AI as they were in the internet? Like, I think anybody who looks back at
[00:49:45.540 --> 00:49:53.220]   the last 20 years would say that the United States has won both in terms of, of, of free trade and in
[00:49:53.220 --> 00:50:00.660]   terms of the global internet competition, one as defined by improved the standard of living,
[00:50:00.660 --> 00:50:05.700]   driven the growth, the, the, the economy in the United States, uh, in a way that was successful
[00:50:05.700 --> 00:50:11.220]   for the United States. You know, I, I, in one argument with someone, I used the, the simple
[00:50:11.220 --> 00:50:18.740]   metaphor that comes from swimming, any, anyone that becomes a competitive swimmer within a year or two,
[00:50:18.740 --> 00:50:23.860]   you know, a coach tells them don't look to the side, you know, cause that's wasted energy and
[00:50:23.860 --> 00:50:29.300]   someone might pass you just swim as fast as you can. Just look ahead. And I feel like, you know,
[00:50:29.300 --> 00:50:35.380]   it's, it's almost worse than just looking to the side. We're trying to intentionally inhibit the other,
[00:50:35.380 --> 00:50:40.340]   other player now going back to fight since, since I'm trying to deflate the football.
[00:50:40.340 --> 00:50:47.300]   Yeah. Yeah. It's exactly. Imagine if you were just watching a finite game and one team insisted
[00:50:47.300 --> 00:50:53.060]   that the other team have a technical disadvantage, what would your reaction be? How would you think
[00:50:53.060 --> 00:51:00.500]   about that player? Right. You, you would probably assume they're scared that they're unsure of themselves.
[00:51:00.500 --> 00:51:05.780]   Right. Like, like, well, and also if you told your team at the start of the season, don't worry,
[00:51:05.780 --> 00:51:10.260]   you don't have to train very hard because I've handicapped the other team. They don't even know
[00:51:10.260 --> 00:51:15.460]   what I've done to them, but I've, you know, I've tainted their system. So they're not going to be very
[00:51:15.460 --> 00:51:19.140]   good as opposed to just focusing on your own training and winning the game.
[00:51:19.140 --> 00:51:24.100]   But I might, I might, I might end by going back to, uh, you know, this argument from the Friedman
[00:51:24.100 --> 00:51:32.020]   police that, that it's an interconnected world. And there are a lot of very smart, successful,
[00:51:32.020 --> 00:51:39.700]   capable, innovative engineers, researchers, founders in China. And if you think you're going to like,
[00:51:39.700 --> 00:51:47.140]   keep them down or permanently, you know, prohibit them from playing in AI, I think that mindset is
[00:51:47.140 --> 00:51:51.140]   going to lead to some spectacularly problematic policy.
[00:51:51.140 --> 00:51:57.860]   Yeah, I agree. Well, maybe talk about, we can wrap Tesla reported tonight. Um, and,
[00:51:57.860 --> 00:52:04.900]   and the markets are clearly struggling down one day, 4% up the next day, 4% clearly struggling,
[00:52:04.900 --> 00:52:10.420]   trying to get their hands around, uh, you know, where we are. So since we were here last time,
[00:52:10.420 --> 00:52:17.300]   you know, the S and P's down 10% NASDAQ, I think as of yesterday was down 20% peak to trough.
[00:52:17.700 --> 00:52:21.860]   And the question people ask me all the time, is this all priced in? How many units of risk
[00:52:21.860 --> 00:52:27.540]   do you have in the market? We have Besant doing a talk tomorrow morning on the financial system.
[00:52:27.540 --> 00:52:33.860]   The VIX is still over 30. There are fears and rumors out there about is our 10 year, you know,
[00:52:33.860 --> 00:52:39.780]   do we have demand for it on a global basis? The dollar is under assault here. So-
[00:52:39.780 --> 00:52:43.380]   And many of these conversations weren't happening five months ago.
[00:52:43.380 --> 00:52:44.020]   Right. Exactly.
[00:52:44.020 --> 00:52:46.260]   We were just talking about AI and Nvidia and-
[00:52:46.260 --> 00:52:53.300]   I mean, I go back to this Stan Druckenmiller quote, where, you know, after the, you know,
[00:52:53.300 --> 00:52:57.780]   the president's election, he said, this is the most, this is the biggest shift from an anti-business
[00:52:57.780 --> 00:53:02.500]   administration to a pro-business administration in my 50 years of being in the business, right?
[00:53:02.500 --> 00:53:02.820]   Yeah.
[00:53:02.820 --> 00:53:09.780]   That is how CEOs generally felt at the beginning of January, moving in, uh, to this new presidency.
[00:53:09.780 --> 00:53:14.420]   And it's really mind boggling to think in nine, you know, in a few short weeks,
[00:53:14.420 --> 00:53:20.260]   how quickly we went from that level of optimism to this level of concern. And I was just looking at a
[00:53:20.260 --> 00:53:28.820]   chart, you know, Apple's down 21%, Nvidia's down 25%, Google's down 20%, Tesla's down 40%, right? We have
[00:53:28.820 --> 00:53:30.580]   major moves in the market.
[00:53:30.580 --> 00:53:35.780]   Well, and look, I mean, in both Tesla and Apple have a huge amount of revenue in China.
[00:53:35.780 --> 00:53:35.860]   Right.
[00:53:35.860 --> 00:53:42.980]   And when you sense that this thing may be escalating or that there are ripple effects going back and
[00:53:42.980 --> 00:53:48.020]   forth, what one, one plausible thing that could happen is either one of them get kicked out of
[00:53:48.020 --> 00:53:48.580]   the country.
[00:53:48.580 --> 00:53:49.300]   Right, right.
[00:53:49.300 --> 00:53:50.180]   That could happen.
[00:53:50.180 --> 00:53:50.580]   Yes.
[00:53:50.580 --> 00:53:52.980]   And so, of course, you have to discount this stuff.
[00:53:52.980 --> 00:53:53.940]   Of course, of course.
[00:53:53.940 --> 00:54:00.420]   And the question now, of course, is, is enough discounted given where we are? And so, you know,
