
[00:00:00.000 --> 00:00:17.000]   Good afternoon.
[00:45:47.000 --> 00:46:08.000]   The last axis is implied. Okay, so the comma bar and comma are the same thing, but comma bar implies the first axis and comma implies the last axis.
[00:46:08.000 --> 00:46:22.000]   And we write comma bar.
[00:46:22.000 --> 00:46:31.000]   On the APL card, it explains it a little, like, maybe exactly almost what you said, Jeremy. Okay, cool.
[00:46:31.000 --> 00:46:33.000]   Great.
[00:46:33.000 --> 00:46:55.000]   So I can use the comma bar to be helpful if I have a, I'm working with tabular data, if I have a data frame shape or a matrix, I can use comma bar with a vector of strings to print out a header row, so I could see what all the columns are.
[00:46:55.000 --> 00:47:00.000]   That makes sense.
[00:47:00.000 --> 00:47:16.000]   I'm standing too lazy to stand.
[00:47:16.000 --> 00:47:21.000]   Okay, cool.
[00:47:21.000 --> 00:47:35.000]   I think at this point, we don't necessarily need to explain how to use every kind of access in every case, because it might get a bit boring.
[00:47:35.000 --> 00:47:47.000]   Not surprisingly, if you've got a fractional access, it kind of works the same way they joined along a new axis. Well, unless it's useful for seeing an example.
[00:47:47.000 --> 00:47:55.000]   No, that probably is useful, right? This is kind of like another way of doing what Isaac was just describing.
[00:47:55.000 --> 00:48:15.000]   Because here you had to already have two rows. But here you only have a rector, and you want to make it into a matrix by adding the row. So this is the equivalent of stack in PyTorch versus cat in PyTorch.
[00:48:15.000 --> 00:48:24.000]   So yeah, that's probably worth mentioning.
[00:48:24.000 --> 00:48:50.000]   Okay.
[00:48:50.000 --> 00:49:10.000]   So, shift, comma, which presumably is called comma bar, and the monadic form of that is a table.
[00:49:10.000 --> 00:49:22.000]   Okay, which I'm pretty confused about what it's for. Maybe we should look up AP or wiki.
[00:49:22.000 --> 00:49:25.000]   Just in case it knows what it's for.
[00:49:25.000 --> 00:49:31.000]   Table.
[00:49:31.000 --> 00:49:47.000]   Yeah. Apply ravel to each major cell. So I think that's like the biggest, you know, subarrays.
[00:49:47.000 --> 00:49:56.000]   For arrays of rank one or higher, it's identical to applying ravel to major cells.
[00:49:56.000 --> 00:50:08.000]   So ravel will flatten, so it'll flatten each major cell.
[00:50:08.000 --> 00:50:13.000]   I don't understand what this is doing. It's quad A.
[00:50:13.000 --> 00:50:17.000]   Is that like something they define or is that part of the language?
[00:50:17.000 --> 00:50:39.000]   Copy is A2Z. Oh, okay. Well, let's put that in our string section, shall we?
[00:50:39.000 --> 00:50:52.000]   Cool. Good to know.
[00:50:52.000 --> 00:51:04.000]   All right. So this is the five row on something that's 26 long is just going to give you the first five characters.
[00:51:04.000 --> 00:51:16.000]   And so that's A, B, C, D, E.
[00:51:16.000 --> 00:51:22.000]   Now what's going on? This is a function.
[00:51:22.000 --> 00:51:28.000]   Oh, okay. It applies. This is just composition. So it applies this function and then it applies this function.
[00:51:28.000 --> 00:51:33.000]   So first of all, it applies the function ravel.
[00:51:33.000 --> 00:51:42.000]   And then it applies this function, which prints out the original argument and the shape of that argument.
[00:51:42.000 --> 00:52:04.000]   That's kind of nifty. So it's showing us that the result of this table or ravel items is A, B, C, D, E and that the shape of it is 5, 1.
[00:52:04.000 --> 00:52:21.000]   And then here it's showing us that comma underbar hasn't done anything as far as I can tell.
[00:52:21.000 --> 00:52:30.000]   Let's check.
[00:52:30.000 --> 00:52:38.000]   Okay, so that's done nothing at all.
[00:52:38.000 --> 00:52:42.000]   They could have told us that.
[00:52:42.000 --> 00:52:46.000]   But here's.
[00:52:46.000 --> 00:52:52.000]   Yeah, so here it's applying ravel to major cells. So the major cells here are lists of four.
[00:52:52.000 --> 00:52:59.000]   The major cells here are vectors of four. The major cells here are matrices of three, four.
[00:52:59.000 --> 00:53:09.000]   So it's raveling those major cells, the two major cells that we have.
[00:53:09.000 --> 00:53:17.000]   Okay, so.
[00:53:17.000 --> 00:53:43.000]   Let's use that example then.
[00:53:43.000 --> 00:53:52.000]   Okay.
[00:53:52.000 --> 00:54:01.000]   I'm going to write ravel items here because I think that's easier for me to understand what that means.
[00:54:01.000 --> 00:54:15.000]   For an item, I guess they mean a major cell. So this contains two major cells, each of size three by four. And so therefore this is turning them into two length 12 major cells.
[00:54:15.000 --> 00:54:25.000]   It's a raveling the items.
[00:54:25.000 --> 00:54:33.000]   It's a scalar arguments converted to a one by one matrix.
[00:54:33.000 --> 00:54:43.000]   And I guess this example is useful as well, which is basically like transpose, but it's kind of adding the axis.
[00:54:43.000 --> 00:54:46.000]   So we should put that first.
[00:54:46.000 --> 00:54:51.000]   Actually, maybe first we should put the scalar version.
[00:54:51.000 --> 00:55:09.000]   That's that. Does anybody know what this is for?
[00:55:09.000 --> 00:55:19.000]   It's equivalent to this operation, which we haven't done yet, which so we should do that soon.
[00:55:19.000 --> 00:55:23.000]   And we haven't done that yet. It's annoying.
[00:55:23.000 --> 00:55:38.000]   So we should come back probably to this idea, I guess.
[00:55:38.000 --> 00:55:50.000]   So then we could do dyadic.
[00:55:50.000 --> 00:56:07.000]   Catnip first.
[00:56:07.000 --> 00:56:11.000]   Presumably this will be the same.
[00:56:11.000 --> 00:56:16.000]   Yes, it is.
[00:56:16.000 --> 00:56:24.000]   But this will be different.
[00:56:24.000 --> 00:56:33.000]   And presumably once we add an access specification, it will make no difference because the only difference between them is the assumed access specification.
[00:56:33.000 --> 00:56:34.000]   Correct.
[00:56:34.000 --> 00:56:39.000]   And okay, cool.
[00:56:39.000 --> 00:57:00.000]   All right, we have here that.
[00:57:00.000 --> 00:57:17.000]   So, maybe we should do axes with operators.
[00:57:17.000 --> 00:57:38.000]   Okay.
[00:57:38.000 --> 00:58:05.000]   Okay, so dyadic.
[00:58:05.000 --> 00:58:10.000]   Dyadic mixed functions. What does that mean?
[00:58:10.000 --> 00:58:12.000]   Dyadic mixed functions.
[00:58:12.000 --> 00:58:26.000]   Oh, these are not with an operator. So the plus slash, is it Isaac was suggesting plus slash with axis.
[00:58:26.000 --> 00:58:31.000]   How would that work? Because that's not a dyadic function.
[00:58:31.000 --> 00:58:37.000]   Yeah, I guess that's a dyadic.
[00:58:37.000 --> 00:58:45.000]   Ah, it can be a function derived from slash. Okay.
[00:58:45.000 --> 00:58:50.000]   Right.
[00:58:50.000 --> 00:59:02.000]   Like with a matrix, you can do plus slash bracket one and then plus slash bracket two, and you'll see a row wise some versus a column wise some.
[00:59:02.000 --> 00:59:12.000]   I see.
[00:59:12.000 --> 00:59:22.000]   It's not defined here but
[00:59:22.000 --> 00:59:34.000]   I guess minimum or maximum works with it too.
[00:59:34.000 --> 00:59:36.000]   Jeremy you have a paper.
[00:59:36.000 --> 00:59:46.000]   I'm going to check.
[00:59:46.000 --> 00:59:48.000]   Yes, where's my typo.
[00:59:48.000 --> 00:59:52.000]   Go up the SC, not as go up.
[00:59:52.000 --> 00:59:54.000]   Yep.
[00:59:54.000 --> 00:59:55.000]   Yep.
[00:59:55.000 --> 00:59:57.000]   That's not a typo. That's what I want axes.
[00:59:57.000 --> 01:00:01.000]   That's the plural of access.
[01:00:01.000 --> 01:00:06.000]   Maybe I should say access rather than axes, I guess.
[01:00:06.000 --> 01:00:13.000]   I suppose so.
[01:00:13.000 --> 01:00:27.000]   All right. Well, yeah, okay. So I guess we want to, we want to make tricks then set the idea.
[01:00:27.000 --> 01:00:43.000]   And then we would say, plus slash over one is that how we do it.
[01:00:43.000 --> 01:00:44.000]   Yep.
[01:00:44.000 --> 01:00:48.000]   Okay.
[01:00:48.000 --> 01:01:01.000]   And if you did a bracket to that's kind of the same thing as the default, which would be, you know, the same 615.
[01:01:01.000 --> 01:01:05.000]   Just my daughter wants me actually maybe that's a good time to go.
[01:01:05.000 --> 01:01:06.000]   All right, cool.
[01:01:06.000 --> 01:01:08.000]   Thanks gang.
[01:01:08.000 --> 01:01:10.000]   See you next time.
[01:01:10.000 --> 01:01:14.000]   Have a good one. Bye. Yeah.

