
[00:00:00.040 --> 00:00:09.480]   Winds
[01:03:21.200 --> 01:03:23.900]   So tiny box will be big.
[01:03:23.900 --> 01:03:28.540]   It is the, I do not want it to be large according to UPS.
[01:03:28.540 --> 01:03:28.540]   It is the, I do not want it to be large according to UPS.
[01:03:28.540 --> 01:03:28.540]   It is the, I do not want it to be large according to UPS.
[01:03:28.540 --> 01:03:28.540]   It is the, I do not want it to be large according to UPS.
[01:03:28.540 --> 01:03:28.540]   It is the, I do not want it to be large according to UPS.
[01:03:29.480 --> 01:03:58.500]  , I want it to be shippable as a normal package, but that's my constraint there.
[01:03:58.500 --> 01:03:58.540]   I want it to be shippable as a normal package, but that's my constraint there.
[01:03:58.540 --> 01:03:58.560]   I want it to be shippable as a normal package, but that's my constraint there.
[01:03:58.600 --> 01:04:09.960]  ald
[01:04:09.960 --> 01:04:17.980]  zo end, and, as,
[01:04:26.460 --> 01:04:54.320]   gun, stable, right? What was that like? Can you comment on like, what are, what are these models? What's interesting about porting them? What's, yeah, like, what are the challenges? What is what's naturally what's easy, all that kind of stuff. There's a really simple way to get these models into tiny grad, and you can just export them as onyx. And then tiny grad can run onyx. So the ports that I did of llama, stable diffusion, and now whisper, are more academic
[01:04:54.320 --> 01:04:54.320]   to
[01:04:54.320 --> 01:04:54.320]   teach me about the models, but
[01:04:54.320 --> 01:04:54.320]   the ports that I did of llama, stable diffusion, and now whisper, are more academic
[01:04:54.320 --> 01:04:54.320]   to teach me about the models, but the ports that I did of llama, stable diffusion, and now whisper, are more academic
[01:04:54.320 --> 01:04:54.320]   to teach me about the models, but the ports that I did of llama, stable diffusion, and now whisper, are more academic
[01:04:54.360 --> 01:05:22.200]  , stable diffusion, and now whisper, are more academic to teach me about the models, but they are cleaner than the
[01:05:22.200 --> 01:05:22.200]   to teach me about the models, but they are cleaner than the
[01:05:22.200 --> 01:05:22.200]   to teach me about the models, but they are cleaner than the pytorch versions. You can read the code. I think the code is easier to read. It's less lines. This is a few things about the way tinygrad writes things. Here's a complaint I have about pytorch. NN.relu is a class. So when you create a module, you'll put your NN.relu in a NIT. This makes no sense. ReLU is completely stateless. Why should that be a class?
[01:05:22.200 --> 01:05:22.200]   I think this makes no sense. ReLU is completely stateless. Why should that be a class?
[01:05:22.200 --> 01:05:22.200]  , why should that be a class?
[01:05:22.220 --> 01:05:28.000]   But that's more like a software engineering thing. Or do you think it has a cost on performance?
[01:05:28.000 --> 01:05:35.080]   Oh, no, it doesn't have a cost on performance. But yeah, no, I think that it's, that's what I mean about like tiny grad's front end being cleaner.
[01:05:35.080 --> 01:05:46.080]   I see. What do you think about Mojo? I don't know if you've been paying attention to the programming language that does some interesting ideas that kind of intersect tiny grad.
[01:05:46.080 --> 01:05:52.080]   I think that there's a spectrum and like on one side you have Mojo and on the other side you have like GVML.
[01:05:52.080 --> 01:05:52.200]   I think that there's a spectrum and like on one side you have Mojo and on the other side you have like GVML.
[01:05:52.200 --> 01:05:52.200]   I think that there's a spectrum and like on one side you have Mojo and on the other side you have like GVML.
[01:05:52.200 --> 01:06:22.200]  , like we're going to run llama fast on Mac. Okay, we're going to expand out to a little bit, but we're going to basically go like depth first, right? Mojo is like we're going to go breath first. We're going to go so wide that we're going to make all of Python fast and tiny grad's in the middle. Tiny grad, we are going to make neural networks fast.
[01:06:22.200 --> 01:06:22.200]   Yeah, but they they try to really get it to be fast compiled onto specific hardware and make that compilation step by step by step.
[01:06:22.220 --> 01:06:23.580]   Yeah, but they they try to really get it to be fast compiled onto specific hardware and make that compilation step by step.
[01:06:23.580 --> 01:06:25.780]   As flexible and resilient as possible.
[01:06:25.780 --> 01:06:27.940]   Yeah, but they've turned completeness.
[01:06:27.940 --> 01:06:29.540]   And that one with you.
[01:06:29.540 --> 01:06:29.840]   Turned.
[01:06:29.840 --> 01:06:31.740]   That's what you're saying is somewhere in the middle.
[01:06:31.740 --> 01:06:34.780]   So you're actually going to be targeting some accelerators, some like some some number, not one.
[01:06:34.780 --> 01:06:38.780]   So you're actually going to be targeting some accelerators, some like some some number, not one.
[01:06:38.780 --> 01:06:38.780]   My goal is step one, build an equally performance back to PyTorch on Nvidia and AMD, but with way less lines.
[01:06:38.780 --> 01:06:44.200]   My goal is step one, build an equally performance back to PyTorch on Nvidia and AMD, but with way less lines.
[01:06:44.200 --> 01:06:48.080]   My goal is step one, build an equally performance back to PyTorch on Nvidia and AMD, but with way less lines.
[01:06:48.080 --> 01:07:14.880]  -
[01:07:14.880 --> 01:07:18.080]   So I'm much more of a like build it the right way and worry about performance later.
[01:07:18.080 --> 01:07:18.080]   So I'm much more of a like build it the right way and worry about performance later.
[01:07:18.080 --> 01:07:18.080]   There's a bunch of things where I haven't even like really dove into performance.
[01:07:18.080 --> 01:07:18.080]   There's a bunch of things where I haven't even like really dove into performance.
[01:07:18.120 --> 01:07:29.120]  ав
[01:08:38.220 --> 01:08:40.440]  ,
[01:08:40.440 --> 01:09:04.480]   raise or's with all,,,,, � incr Chand work do work. You know, något à, demand a person is driving. You're, der,,,,,,,,,,,,,,,,,,,,,,,, like. me like.
[01:09:04.480 --> 01:09:06.420]   but I'mkan dependency Serv I'm I'm smoother 깔�Г 我 Brus 720lijk част остан busau q menjadi fulfillment JOTAK do 2 enthusiasticform crosses English all第二個深 Bass girl yupaurus strain remained in� commitment 20 Jo Sud sulphized cannot Mak清楚 concentration ask mixed gewesen bedrooms exhaustоп пис Congfin Investigस I cursed remain provide join the to theoth pay director is the what blanc and Iinis�sseninha Triple small medo of girl has стар Memorial Mehr de� guess the cualucc  salsa new i Emir و Newman and I sow genome. End then, I mean, leather es drum. Это, Wild reduces the C handles like, summar called the от,37 Pro, Finding, conduct, discharged, 손, музы,
[01:09:06.460 --> 01:09:15.960]   het work mean is
[01:09:15.960 --> 01:09:17.240]   at it is saw
[01:09:17.240 --> 01:09:30.560]   seinem
[01:09:30.560 --> 01:09:34.420]   the holding the, the, the, the, the, the,,,,,,,,,,,,,,,,,,, will ' MYS ITDG CG CG AndGA guess calf�ли artい thank you're良 Monkey Words encourageưởng be 1990 が Lim�
[01:09:35.340 --> 01:09:39.680]   Well, we published a paper called learning a driving simulator.
[01:09:39.680 --> 01:09:47.940]   And the way this thing worked was it's a, it was an autoencoder and then an RNN in the middle, right?
[01:09:47.940 --> 01:09:53.400]   You take an autoencoder, you compress the picture, you use an RNN, predict the next date.
[01:09:53.400 --> 01:09:56.260]   And these things were, you know, it was a laugh.
[01:09:56.260 --> 01:09:57.140]   It was bad simulator.
[01:09:57.140 --> 01:09:59.860]   Like this is 2015 era machine learning technology.
[01:09:59.860 --> 01:10:03.240]   Today we have VQV and transformers.
[01:10:03.240 --> 01:10:04.820]   We're building.
[01:10:04.820 --> 01:10:34.820]   in.
[01:10:34.820 --> 01:10:34.820]   So.
[01:10:34.820 --> 01:10:34.820]   Okay.
[01:10:34.820 --> 01:10:34.840]   Okay.
[01:10:34.840 --> 01:10:34.840]   Okay.
[01:10:34.840 --> 01:10:34.860]   So.
[01:10:34.860 --> 01:10:34.860]   Okay.
[01:10:34.860 --> 01:10:34.860]   Okay.
[01:10:34.920 --> 01:11:04.900]   Okay. Okay.
[01:11:04.940 --> 01:11:15.500]   "
[01:11:15.500 --> 01:11:29.620]   " I is the
[01:11:32.840 --> 01:11:43.880]   from
[01:11:43.880 --> 01:11:58.540]   men and it is
[01:12:26.840 --> 01:12:26.840]   We haven't completely closed the loop yet so we don't have anything built that truly looks like that architecture yet we have prototypes and there's bugs um so we are a couple bug fixes away might take a year might take 10. What's the nature of the bugs are these uh these major philosophical bugs logical bugs what kind of what kind of bugs are we talking about they're just like they're just like stupid bugs and like also we might just need more scale um we just massively expanded our compute cluster at Gama.
[01:12:26.840 --> 01:12:26.840]   We haven't completely closed the loop yet so we don't have anything built that truly looks like that architecture yet we have prototypes and there's bugs um so we are a couple bug fixes away might take a year might take 10. What's the nature of the bugs are these uh these major philosophical bugs logical bugs what kind of what kind of bugs are we talking about they're just like they're just like stupid bugs and like also we might just need more scale um we just massively expanded our compute cluster at Gama.
[01:12:26.880 --> 01:12:34.500]  Как,
[01:12:34.500 --> 01:12:37.660]   10
[01:12:37.660 --> 01:12:53.540]   gather castle,entre,G,C. contracts. - have a profile. - feel this thing. It's a thing. The pick the thing that the pick the plus the pick the plus the plus the safe the
[01:12:53.540 --> 01:12:55.160]   prove the
[01:12:55.160 --> 01:12:56.360]   beast is a
[01:13:44.380 --> 01:13:44.380]   D.A.T.A.S.D. is very important data. Yeah, I mean we have so we have about I think we have like 5000 daily active. How would you evaluate how FSD is doing? Pretty well. How's that race going between Calma AI and FSD? Casper has always wanted two years ahead of us. They've always been wanted two years ahead of us. And they probably always will be because they're not doing anything wrong. What have you seen that since the last time we talked that are interesting architectural decisions?
[01:13:44.380 --> 01:13:44.380]   What have you seen that since the last time we talked that are interesting architectural decisions?
[01:13:44.380 --> 01:13:44.380]   What have you seen that since the last time we talked that are interesting architectural decisions?
[01:13:44.380 --> 01:13:44.380]   What have you seen that since the last time we talked that are interesting architectural decisions?
[01:13:44.380 --> 01:13:44.380]   What have you seen that since the last time we talked that are interesting architectural decisions?
[01:13:44.380 --> 01:13:44.380]   What have you seen that since the last time we talked that are interesting architectural decisions?
[01:13:44.420 --> 01:13:49.420]   DECISIONS.
[01:13:49.420 --> 01:14:05.440]   Like the way the way they deploy stuff, the architectures they're using in terms of the software, how the teams are on all that kind of stuff data collection. Anything interesting?
[01:14:05.440 --> 01:14:06.440]   DECISIONS. I mean I know they're moving toward more of an end to end approach.
[01:14:06.440 --> 01:14:07.440]   DECISIONS. I mean I know they're moving toward more of an end to end approach.
[01:14:07.440 --> 01:14:08.440]   So creeping towards end to end as much as possible across the whole thing. The training, the data collection, everything.
[01:14:08.440 --> 01:14:09.440]   DECISIONS. I mean I know they're probably saying we just need to optimize, you know what is the reward.
[01:14:10.240 --> 01:14:35.500]   in terms of the way they deploy the system.
[01:14:35.500 --> 01:14:36.500]   DECISIONS. I mean it requires good software engineering I think.
[01:14:36.500 --> 01:14:37.500]   DECISIONS. I mean it requires good software engineering I think.
[01:14:37.500 --> 01:14:38.500]   DECISIONS. I mean it requires good software engineering I think.
[01:14:38.500 --> 01:14:39.480]   DECISIONS. I mean it requires good software engineering I think.
[01:14:39.480 --> 01:14:39.480]   DECISIONS. I mean it requires good software engineering I think.
[01:14:39.500 --> 01:14:44.520]   DECISIONS. I mean it requires good software engineering I think.
[01:14:44.520 --> 01:14:45.520]   DECISIONS. I mean it requires good software engineering I think.
[01:14:45.520 --> 01:14:46.520]   DECISIONS. I mean it requires good software engineering I think.
[01:14:46.520 --> 01:14:47.520]   DECISIONS. I mean it requires good software engineering I think.
[01:14:47.520 --> 01:14:48.520]   DECISIONS. I mean it requires good software engineering I think.
[01:14:48.520 --> 01:14:49.520]   DECISIONS. I mean it requires good software engineering I think.
[01:14:49.520 --> 01:14:50.520]   DECISIONS. I mean it requires good software engineering I think.
[01:14:50.520 --> 01:14:51.520]   DECISIONS. I mean it requires good software engineering I think.
[01:14:51.520 --> 01:14:52.520]   DECISIONS. I mean it requires good software engineering I think.
[01:14:52.520 --> 01:14:53.520]   DECISIONS. I mean it requires good software engineering I think.
[01:14:53.520 --> 01:14:54.520]   DECISIONS. I mean it requires good software engineering I think.
[01:14:54.520 --> 01:14:55.520]   DECISIONS. I mean it requires good software engineering I think.
[01:14:55.540 --> 01:15:13.560]   DECISIONS. I mean it requires good software engineering I think.
[01:15:13.560 --> 01:15:14.560]   DECISIONS. I mean it requires good software engineering I think.
[01:15:14.560 --> 01:15:15.560]   DECISIONS. I mean it requires good software engineering I think.
[01:15:15.560 --> 01:15:16.560]   DECISIONS. I mean it requires good software engineering I think.
[01:15:16.560 --> 01:15:17.560]   DECISIONS. I mean it requires good software engineering I think.
[01:15:17.560 --> 01:15:18.560]   DECISIONS. I mean it requires good software engineering I think.
[01:15:18.560 --> 01:15:19.560]   DECISIONS. I mean it requires good software engineering I think.
[01:15:19.560 --> 01:15:20.560]   DECISIONS. I mean it requires good software engineering I think.
[01:15:20.560 --> 01:15:21.560]   DECISIONS. I mean it requires good software engineering I think.
[01:15:21.560 --> 01:15:22.560]   DECISIONS. I mean it requires good software engineering I think.
[01:15:22.560 --> 01:15:23.560]   DECISIONS. I mean it requires good software engineering I think.
[01:15:23.560 --> 01:15:24.560]   DECISIONS. I mean it requires good software engineering I think.
[01:15:24.700 --> 01:15:54.600]  , DECISIONS. I mean it requires good software engineering I think.
[01:15:54.600 --> 01:15:54.600]   DECISIONS. I mean it requires good software engineering I think.
[01:15:54.600 --> 01:15:54.600]   DECISIONS. I mean it requires good software engineering I think.
[01:15:54.600 --> 01:15:54.600]   DECISIONS. I mean it requires good software engineering I think.
[01:15:54.600 --> 01:15:54.600]   DECISIONS. I mean it requires good software engineering I think.
[01:15:54.600 --> 01:15:54.600]   DECISIONS. I mean it requires good software engineering I think.
[01:15:54.600 --> 01:15:54.600]   DECISIONS. I mean it requires good software engineering I think.
[01:15:54.600 --> 01:15:54.600]   DECISIONS. I mean it requires good software engineering I think.
[01:15:54.620 --> 01:16:00.640]   DECISIONS. I mean it requires good software engineering I think.
[01:16:00.640 --> 01:16:01.640]   DECISIONS. I mean it requires good software engineering I think.
[01:16:01.640 --> 01:16:02.640]   DECISIONS. I mean it requires good software engineering I think.
[01:16:02.640 --> 01:16:03.640]   DECISIONS. I mean it requires good software engineering I think.
[01:16:03.640 --> 01:16:04.640]   DECISIONS. I mean it requires good software engineering I think.
[01:16:04.640 --> 01:16:05.640]   DECISIONS. I mean it requires good software engineering I think.
[01:16:05.640 --> 01:16:06.640]   DECISIONS. I mean it requires good software engineering I think.
[01:16:06.640 --> 01:16:07.640]   DECISIONS. I mean it requires good software engineering I think.
[01:16:07.640 --> 01:16:08.640]   DECISIONS. I mean it requires good software engineering I think.
[01:16:08.640 --> 01:16:09.640]   DECISIONS. I mean it requires good software engineering I think.
[01:16:09.640 --> 01:16:10.640]   DECISIONS. I mean it requires good software engineering I think.
[01:16:10.640 --> 01:16:11.640]   DECISIONS. I mean it requires good software engineering I think.
[01:16:11.660 --> 01:16:29.680]   DECISIONS. I mean it requires good software engineering I think.
[01:16:29.680 --> 01:16:30.680]   DECISIONS. I mean it requires good software engineering I think.
[01:16:30.680 --> 01:16:31.680]   DECISIONS. I mean it requires good software engineering I think.
[01:16:31.680 --> 01:16:32.680]   DECISIONS. I mean it requires good software engineering I think.
[01:16:32.680 --> 01:16:33.680]   DECISIONS. I mean it requires good software engineering I think.
[01:16:33.680 --> 01:16:34.680]   DECISIONS. I mean it requires good software engineering I think.
[01:16:34.680 --> 01:16:35.680]   DECISIONS. I mean it requires good software engineering I think.
[01:16:35.680 --> 01:16:36.680]   DECISIONS. I mean it requires good software engineering I think.
[01:16:36.680 --> 01:16:37.680]   DECISIONS. I mean it requires good software engineering I think.
[01:16:37.680 --> 01:16:38.680]   DECISIONS. I mean it requires good software engineering I think.
[01:16:38.680 --> 01:16:39.680]   DECISIONS. I mean it requires good software engineering I think.
[01:16:39.680 --> 01:16:40.680]   DECISIONS. I mean it requires good software engineering I think.
[01:16:40.820 --> 01:17:10.720]  , DECISIONS. I mean it requires good software engineering I think.
[01:17:10.720 --> 01:17:10.720]   DECISIONS. I mean it requires good software engineering I think.
[01:17:10.720 --> 01:17:10.720]   DECISIONS. I mean it requires good software engineering I think.
[01:17:10.720 --> 01:17:10.720]   DECISIONS. I mean it requires good software engineering I think.
[01:17:10.720 --> 01:17:10.720]   DECISIONS. I mean it requires good software engineering I think.
[01:17:10.720 --> 01:17:10.720]   DECISIONS. I mean it requires good software engineering I think.
[01:17:10.720 --> 01:17:10.720]   DECISIONS. I mean it requires good software engineering I think.
[01:17:10.760 --> 01:17:18.760]   at
[01:17:18.760 --> 01:17:20.900]   이것도
[01:17:20.900 --> 01:17:29.520]   work a just " turn, and,,,,,,? born would clarified
[01:17:39.760 --> 01:17:42.820]   53
[01:17:42.820 --> 01:17:50.940]   we isiga
[01:17:50.940 --> 01:17:57.780]  рыв que't,,,, sup extra in the name of I have the thing that is the delivers the good, and, And, And, And, And, And, And, And, And, That's a Kamucwe. .��. . мех bii. stay this is not.ано. prints. X.
[01:17:57.780 --> 01:18:08.480]  ^'m also.
[01:18:08.580 --> 01:18:18.440]   beginning
[01:18:18.440 --> 01:18:19.960]   be. end,
[01:18:19.960 --> 01:18:20.500]   dig in the with, causes,
[01:18:20.500 --> 01:18:37.480]  , .,ぇ allł Audience Nik Mar Xiaoτ I I change vend the change the dough. So, it's handc
[01:18:37.540 --> 01:18:43.620]   I I change vend the change the dough. So, it's handc
[01:18:43.620 --> 01:18:43.620]   I I change vend the change the dough. So, it's handc
[01:18:43.620 --> 01:18:46.760]   I I change vend the change the dough. So, it's handc
[01:18:46.760 --> 01:18:47.560]   society.
[01:18:47.560 --> 01:18:53.560]   Maybe you're right. So, I want to put on the big picture hat here.
[01:18:53.560 --> 01:18:55.560]   Oh my god, a refrigerator? Wow.
[01:18:55.560 --> 01:18:58.560]   Refrigerator, electricity, all that kind of stuff.
[01:18:58.560 --> 01:19:06.360]   But, you know, with the internet, large language models seeming human-like, basically passing their Turing test.
[01:19:06.360 --> 01:19:06.360]   Mm-hmm.
[01:19:06.360 --> 01:19:06.360]   But, you know, with the internet, large language models seeming human-like, basically passing their Turing test.
[01:19:06.360 --> 01:19:06.360]   Mm-hmm.
[01:19:06.360 --> 01:19:06.360]   But, you know, with the internet, large language models seeming human-like, basically passing their Turing test.
[01:19:06.360 --> 01:19:06.360]   Mm-hmm.
[01:19:06.360 --> 01:19:35.200]  , it seems it might have really at scale rapid transformative effects on society. But you're saying, like, other technologies have as well. So, maybe calculator is not the best example of that? Because that just seems like, well, no, maybe, calculator. But the poor milkman, the day he learned about refrigerators, he's like, I'm done. You're telling me you can just keep the milk in your house? You don't even need to deliver it every day, I'm done.
[01:19:35.200 --> 01:19:35.400]   But the poor milkman, the day he learned about refrigerators, he's like, I'm done. You're telling me you can just keep the milk in your house? You don't even need to deliver it every day, I'm done. You don't even need to deliver it every day, I'm done.
[01:19:35.440 --> 01:19:46.860]   reports
[01:19:46.860 --> 01:20:04.220]   con, upper eye,
[01:21:01.860 --> 01:21:01.860]   The
[01:22:46.560 --> 01:22:57.140]   It's the language, the runtime, it's everything. And programming is tool complete. So like almost if Codex or Copilot are helping you, that actually probably means that your framework or library is bad and there's too much boilerplate in it. Yeah, but don't you think so much programming has boilerplate? TinyGrav is now 2700 lines and it can run LAMA and stable diffusion and all of this stuff.
[01:23:54.780 --> 01:23:54.780]   Not like performing code, not stuff for robotics and so on, just quick stuff. Because your basic, so much of programming is doing some, yeah, boilerplate. But to do so efficiently and quickly, 'cause you can't really automate it fully with like generic methods, like a generic kind of ID type of recommendation or something like this, you do need to have some of the complexity of language models.
[01:23:54.780 --> 01:23:55.980]   Yeah, I guess if I was really writing, like maybe I would have to do some of the language models, but I don't know if I would have to do some of the language models.
[01:23:55.980 --> 01:23:55.980]   Yeah, I guess if I was really writing, like maybe I would have to do some of the language models.
[01:23:55.980 --> 01:24:26.000]  , like maybe I would have to do some of the language models, but I don't know if I would have to do some of the language models.
[01:24:26.220 --> 01:24:56.020]   I guess if I was really writing, like maybe I would have to do some of the language models.
[01:24:56.020 --> 01:24:56.020]   Yeah, if I was really writing, like maybe I would have to do some of the language models.
[01:24:56.020 --> 01:24:56.020]   Yeah, if I was really writing, like maybe I would have to do some of the language models.
[01:24:56.040 --> 01:25:26.040]   No.
[01:25:26.040 --> 01:25:26.040]   It's actually weird the way that we do language models right now where all of the information is in the weights.
[01:25:26.040 --> 01:25:26.040]   It's actually weird the way that we do language models right now where all of the information is in the weights.
[01:25:26.040 --> 01:25:26.040]   It's actually weird the way that we do language models right now where all of the information is in the weights.
[01:25:26.040 --> 01:25:26.040]   It's actually weird the way that we do language models right now where all of the information is in the weights.
[01:25:26.040 --> 01:25:26.040]   It's actually weird the way that we do language models right now where all of the information is in the weights.
[01:25:26.040 --> 01:25:26.040]   It's actually weird the way that we do language models right now where all of the information is in the weights.
[01:25:26.040 --> 01:25:26.040]   It's actually weird the way that we do language models right now where all of the information is in the weights.
[01:25:26.040 --> 01:25:26.040]   It's actually weird the way that we do language models right now where all of the information is in the weights.
[01:25:26.080 --> 01:25:56.060]  ,
[01:25:56.060 --> 01:25:56.060]   It's actually weird the way that we do language models right now where all of the information is in the weights.
[01:25:56.060 --> 01:25:56.060]   It's actually weird the way that we do language models right now where all of the information is in the weights.
[01:25:56.060 --> 01:25:56.060]   It's actually weird the way that we do language models right now where all of the information is in the weights.
[01:25:56.060 --> 01:25:56.060]   It's actually weird the way that we do language models right now where all of the information is in the weights.
[01:25:56.060 --> 01:25:56.060]   It's actually weird the way that we do language models right now where all of the information is in the weights.
[01:25:56.060 --> 01:25:56.060]   It's actually weird the way that we do language models right now where all of the information is in the weights.
[01:25:56.060 --> 01:25:56.060]   It's actually weird the way that we do language models right now where all of the information is in the weights.
[01:25:56.080 --> 01:26:26.080]   It's actually weird the way that we do language models right now where all of the information is in the weights.
[01:26:26.080 --> 01:26:26.080]   It's actually weird the way that we do language models right now where all of the information is in the weights.
[01:26:26.080 --> 01:26:26.080]   It's actually weird the way that we do language models right now where all of the information is in the weights.
[01:26:26.080 --> 01:26:26.080]   It's actually weird the way that we do language models right now where all of the information is in the weights.
[01:26:26.080 --> 01:26:26.080]   It's actually weird the way that we do language models right now where all of the information is in the weights.
[01:26:26.080 --> 01:26:26.080]   It's actually weird the way that we do language models right now where all of the information is in the weights.
[01:26:26.080 --> 01:26:26.080]   It's actually weird the way that we do language models right now where all of the information is in the weights.
[01:26:26.080 --> 01:26:26.080]   It's actually weird the way that we do language models right now where all of the information is in the weights.
[01:26:26.120 --> 01:26:56.100]  ,
[01:26:56.100 --> 01:26:56.100]   It's actually weird the way that we do language models right now where all of the information is in the weights.
[01:26:56.100 --> 01:26:56.100]   It's actually weird the way that we do language models right now where all of the information is in the weights.
[01:26:56.100 --> 01:26:56.100]   It's actually weird the way that we do language models right now where all of the information is in the weights.
[01:26:56.100 --> 01:26:56.100]   It's actually weird the way that we do language models right now where all of the information is in the weights.
[01:26:56.100 --> 01:26:56.100]   It's actually weird the way that we do language models right now where all of the information is in the weights.
[01:26:56.100 --> 01:26:56.100]   It's actually weird the way that we do language models right now where all of the information is in the weights.
[01:26:56.120 --> 01:27:26.120]   It's actually weird the way that we do language models right now where all of the information is in the weights.
[01:27:26.120 --> 01:27:26.120]   It's actually weird the way that we do language models right now where all of the information is in the weights.
[01:27:26.120 --> 01:27:26.120]   It's actually weird the way that we do language models right now where all of the information is in the weights.
[01:27:26.120 --> 01:27:26.120]   It's actually weird the way that we do language models right now where all of the information is in the weights.
[01:27:26.120 --> 01:27:26.120]   It's actually weird the way that we do language models right now where all of the information is in the weights.
[01:27:26.120 --> 01:27:26.120]   It's actually weird the way that we do language models right now where all of the information is in the weights.
[01:27:26.120 --> 01:27:26.120]   It's actually weird the way that we do language models right now where all of the information is in the weights.
[01:27:26.160 --> 01:27:56.140]  ,
[01:27:56.140 --> 01:27:56.140]   It's actually weird the way that we do language models right now where all of the information is in the weights.
[01:27:56.140 --> 01:27:56.140]   It's actually weird the way that we do language models right now where all of the information is in the weights.
[01:27:56.140 --> 01:27:56.140]   It's actually weird the way that we do language models right now where all of the information is in the weights.
[01:27:56.140 --> 01:27:56.140]   It's actually weird the way that we do language models right now where all of the information is in the weights.
[01:27:56.140 --> 01:27:56.140]   It's actually weird the way that we do language models right now where all of the information is in the weights.
[01:27:56.140 --> 01:27:56.140]   It's actually weird the way that we do language models right now where all of the information is in the weights.
[01:27:56.160 --> 01:28:26.160]   It's actually weird the way that we do language models right now where all of the information is in the weights.
[01:28:26.160 --> 01:28:26.160]   It's actually weird the way that we do language models right now where all of the information is in the weights.
[01:28:26.160 --> 01:28:26.160]   It's actually weird the way that we do language models right now where all of the information is in the weights.
[01:28:26.160 --> 01:28:26.160]   It's actually weird the way that we do language models right now where all of the information is in the weights.
[01:28:26.160 --> 01:28:26.160]   It's actually weird the way that we do language models right now where all of the information is in the weights.
[01:28:26.160 --> 01:28:26.160]   It's actually weird the way that we do language models right now where all of the information is in the weights.
[01:28:26.160 --> 01:28:26.160]   It's actually weird the way that we do language models right now where all of the information is in the weights.
[01:28:26.160 --> 01:28:26.160]   It's actually weird the way that we do language models right now where all of the information is in the weights.
[01:28:26.200 --> 01:28:56.180]   It's actually weird the way that we do language models right now where all of the information is in the weights.
[01:28:56.180 --> 01:28:56.180]   It's actually weird the way that we do language models right now where all of the information is in the weights.
[01:28:56.180 --> 01:28:56.180]   It's actually weird the way that we do language models right now where all of the information is in the weights.
[01:28:56.180 --> 01:28:56.180]   It's actually weird the way that we do language models right now where all of the information is in the weights.
[01:28:56.180 --> 01:28:56.180]   It's actually weird the way that we do language models right now where all of the information is in the weights.
[01:28:56.180 --> 01:28:56.180]   It's actually weird the way that we do language models right now where all of the information is in the weights.
[01:28:56.200 --> 01:29:26.200]   It's actually weird the way that we do language models right now where all of the information is in the weights.
[01:29:26.200 --> 01:29:26.200]   It's actually weird the way that we do language models right now where all of the information is in the weights.
[01:29:26.200 --> 01:29:26.200]   It's actually weird the way that we do language models right now where all of the information is in the weights.
[01:29:26.200 --> 01:29:26.200]   It's actually weird the way that we do language models right now where all of the information is in the weights.
[01:29:26.200 --> 01:29:26.200]   It's actually weird the way that we do language models right now where all of the information is in the weights.
[01:29:26.200 --> 01:29:26.200]   It's actually weird the way that we do language models right now where all of the information is in the weights.
[01:29:26.200 --> 01:29:26.200]   It's actually weird the way that we do language models right now where all of the information is in the weights.
[01:29:26.200 --> 01:29:26.200]   It's actually weird the way that we do language models right now where all of the information is in the weights.
[01:29:26.240 --> 01:29:56.220]  ,
[01:29:56.220 --> 01:29:56.220]   It's actually weird the way that we do language models right now where all of the information is in the weights.
[01:29:56.220 --> 01:29:56.220]   It's actually weird the way that we do language models right now where all of the information is in the weights.
[01:29:56.220 --> 01:29:56.220]   It's actually weird the way that we do language models right now where all of the information is in the weights.
[01:29:56.220 --> 01:29:56.220]   It's actually weird the way that we do language models right now where all of the information is in the weights.
[01:29:56.220 --> 01:29:56.220]   It's actually weird the way that we do language models right now where all of the information is in the weights.
[01:29:56.220 --> 01:29:56.220]   It's actually weird the way that we do language models right now where all of the information is in the weights.
[01:29:56.220 --> 01:29:56.220]   It's actually weird the way that we do language models right now where all of the information is in the weights.
[01:29:56.240 --> 01:30:26.240]   It's actually weird the way that we do language models right now where all of the information is in the weights.
[01:30:26.240 --> 01:30:26.240]   It's actually weird the way that we do language models right now where all of the information is in the weights.
[01:30:26.240 --> 01:30:26.240]   It's actually weird the way that we do language models right now where all of the information is in the weights.
[01:30:26.240 --> 01:30:26.240]   It's actually weird the way that we do language models right now where all of the information is in the weights.
[01:30:26.240 --> 01:30:26.240]   It's actually weird the way that we do language models right now where all of the information is in the weights.
[01:30:26.240 --> 01:30:26.240]   It's actually weird the way that we do language models right now where all of the information is in the weights.
[01:30:26.240 --> 01:30:26.240]   It's actually weird the way that we do language models right now where all of the information is in the weights.
[01:30:26.240 --> 01:30:26.240]   It's actually weird the way that we do language models right now where all of the information is in the weights.
[01:30:26.280 --> 01:30:56.260]  ,
[01:30:56.260 --> 01:30:56.260]   It's actually weird the way that we do language models right now where all of the information is in the weights.
[01:30:56.260 --> 01:30:56.260]   It's actually weird the way that we do language models right now where all of the information is in the weights.
[01:30:56.260 --> 01:30:56.260]   It's actually weird the way that we do language models right now where all of the information is in the weights.
[01:30:56.260 --> 01:30:56.260]   It's actually weird the way that we do language models right now where all of the information is in the weights.
[01:30:56.260 --> 01:30:56.260]   It's actually weird the way that we do language models right now where all of the information is in the weights.
