
[00:00:00.000 --> 00:00:19.440]   welcome welcome you all to this launch and learn I hope you are enjoying lunch
[00:35:23.100 --> 00:35:31.900]   waiting for the last inference step and that execution is done there you go i found the python implementation
[00:35:31.900 --> 00:35:37.900]   from wikipedia i calculate that number that you asked me this is the python snippet from wikipedia
[00:35:38.860 --> 00:35:47.420]   and then it implemented in this code and this is how i did it these are the explanation beautiful it works
[00:35:47.420 --> 00:35:57.340]   now before i get into postgres execution we need to have access to the database and right now the
[00:35:57.340 --> 00:36:01.980]   application that you have doesn't have access to that database if you want to give it a try
[00:36:03.260 --> 00:36:11.820]   you are going to go to the heroku dashboard where is the heroku dashboard here
[00:36:11.820 --> 00:36:16.940]   to the ai engineer world's fair
[00:36:19.500 --> 00:36:21.980]   click on ai engineer data
[00:36:21.980 --> 00:36:27.660]   go to resources
[00:36:27.660 --> 00:36:39.820]   and we have one thing here the postgres database tools only work on followers followers on eroku are read
[00:36:39.820 --> 00:36:48.940]   only for security reasons we don't want to give an llm tool right access to your database because of course
[00:36:48.940 --> 00:36:56.140]   uh llm's are not trusted for that if you want to give right access to your production database to an
[00:36:56.140 --> 00:37:03.900]   agent i will invite you to deploy an mcp that does that like that postgresql mcp give the access under your
[00:37:03.900 --> 00:37:11.340]   own risk the ones we maintain we want to make sure we don't like break production so we have two different
[00:37:11.340 --> 00:37:18.620]   databases here the master one or the main one is database don't touch that one the other one that
[00:37:18.620 --> 00:37:28.380]   has attachments is the follower so you are going to expand these manage attachments and add your application
[00:37:29.980 --> 00:37:40.140]   like julian jupiter and that's it now i gave my application access to the database
[00:37:40.140 --> 00:37:46.780]   second you will need to get the name of that database so go to your application
[00:37:48.860 --> 00:37:51.020]   in this case is julian jupiter
[00:37:51.020 --> 00:37:55.020]   go to resources
[00:37:55.020 --> 00:37:58.940]   and this database here
[00:37:58.940 --> 00:38:06.060]   ai engineer data
[00:38:06.060 --> 00:38:12.060]   in my application is called database so that's the name i'm going to use
[00:38:12.860 --> 00:38:23.980]   in code since i am working on ai ai engineer workshop the name is different so i'm going to show you so
[00:38:23.980 --> 00:38:30.300]   you can recognize the differences in names this is just the name of the environment variable on heroku
[00:38:30.300 --> 00:38:39.180]   that has the connection string so here i have access to that database on this application my database is
[00:38:39.180 --> 00:38:46.300]   called heroku postgreSQL aqua so that's the name you are going to get and change it in your code
[00:38:46.300 --> 00:38:49.820]   heroku postgreSQL aqua
[00:38:49.820 --> 00:38:57.500]   so now i have access to that specific database on my app i cannot access databases from other
[00:38:57.500 --> 00:39:02.220]   applications this is for security reasons so this is why i have to do the attachment first
[00:39:02.220 --> 00:39:07.740]   to be able to give permissions to my database if the database leaves in your application
[00:39:08.300 --> 00:39:13.100]   you don't need to do to do this because your application already has access to it that's
[00:39:13.100 --> 00:39:20.860]   the only thing that we need to do here to to set up then we are going to enable two tools
[00:39:20.860 --> 00:39:28.620]   postgres get a schema and postgres run query these are going to run on my application remember
[00:39:28.620 --> 00:39:37.020]   the target app name and these are going to access that specific database so i'm giving permission to go to
[00:39:37.020 --> 00:39:45.660]   those two places so the database that we have here is a database for a solar energy company it contains
[00:39:45.660 --> 00:39:54.700]   a table full of metrics with energy consumed and energy produced every hour in kilowatts per hour
[00:39:54.700 --> 00:40:02.300]   and we have metrics for maybe two months so now what type of applications can we build with this
[00:40:02.940 --> 00:40:09.740]   like asking questions like how much energy has been saved in the last 30 days it's going to
[00:40:09.740 --> 00:40:16.220]   understand the shape of the database it will see that it has a metrics table with these columns
[00:40:16.220 --> 00:40:24.700]   then it will go and generate an sql query to be able to get this information and then run that query and
[00:40:24.700 --> 00:40:33.820]   give you the response and give you the response and let's execute that to see how it works
[00:40:33.820 --> 00:40:39.340]   so first step is i don't understand your database let me get the schema
[00:40:39.340 --> 00:40:43.420]   so to get the schema it executes the tool
[00:40:44.460 --> 00:40:50.940]   and then you are going to see the full schema being printed here on the screen in a moment so now we have
[00:40:50.940 --> 00:41:02.780]   the schema of my database it see the different tables metrics with the fields products systems users etc so i
[00:41:02.780 --> 00:41:11.260]   have the information that i need here beautiful now it will run the the query so it already generated the
[00:41:11.260 --> 00:41:17.740]   query that it is a hundred percent sure will run on my database because it knows the shape
[00:41:17.740 --> 00:41:24.460]   this is the response it got the data and now that after it got the data it's going to perform the
[00:41:24.460 --> 00:41:29.740]   inference it's going to extract the answer from that data and at the end it's going to tell me the information
[00:41:31.020 --> 00:41:39.260]   it wanted to run more queries to get a breakdown of the energy by system i have three different systems
[00:41:39.260 --> 00:41:44.940]   one system that performs well the other one that doesn't perform pretty good the other one that it's
[00:41:44.940 --> 00:41:51.340]   totally horrible so it is also trying to get more information just from one one question it is doing
[00:41:51.340 --> 00:41:58.780]   inference on my data and i just enabled two tools i didn't need to do anything else and there we go
[00:41:59.580 --> 00:42:06.780]   the report these are the key metrics this is how much you have saved and this is the breakdown per
[00:42:06.780 --> 00:42:14.300]   system the best performer good performance and the energy deficit and this is getting access to your data
[00:42:14.300 --> 00:42:21.820]   and acting over your data we can add a third tool let's say code execution python i want to generate a
[00:42:21.820 --> 00:42:31.180]   graphic so it will now do a matplotlib graphic with that data and you can keep adding more more things
[00:42:31.180 --> 00:42:37.820]   but also the more agents and tools that you add it will take more time to perform the whole operation
[00:42:37.820 --> 00:42:45.340]   but that's an example how can you mix and match these tools that we have here and how can you give access to
[00:42:45.340 --> 00:42:54.380]   agents to your data i have a couple of exercises just try to come up with an example to use a pdf and extract
[00:42:54.380 --> 00:43:00.540]   something from that pdf and run code and you can do this on your own time we are running low on code
[00:43:00.540 --> 00:43:11.020]   i want to show you now how can we deploy and run mcps with this same endpoint so those are the tools we
[00:43:11.020 --> 00:43:18.860]   maintain but what about the tools you are building and the tools that already exist on the mcp ecosystem
[00:43:19.900 --> 00:43:28.300]   so with manage inference and agents uh let's say you go to the dashboard to the configuration page
[00:43:28.300 --> 00:43:41.500]   and here you get access to the model configuration and here it has the toolkit integration and the mcp server list
[00:43:41.500 --> 00:43:49.500]   so basically this mcp brave that i have here the brave search mcp and you might have already have
[00:43:49.500 --> 00:43:55.740]   access to this so you can attach it to your own jupyter notebook pretty much to attach an mcp you
[00:43:55.740 --> 00:44:02.780]   click on manage mcp servers you attach it as an application similar to what we did with the database
[00:44:02.780 --> 00:44:11.500]   it's just another local application and there you go we have an mcp server here that is exposing to tools
[00:44:11.500 --> 00:44:19.420]   web search and local search so now we can use these tools on the agents endpoint so let me go
[00:44:19.420 --> 00:44:24.780]   and take a look at that so these are the instructions step by step how can you enable an mcp
[00:44:24.780 --> 00:44:35.100]   then it's just another tool this time it is not a heroku tool it is just an mcp and this is the name of
[00:44:35.100 --> 00:44:39.100]   the tool that i will execute mcp brave
[00:44:39.100 --> 00:44:51.100]   is the name of the name space you can have multiple mcps here so this is kind of like a like a namespace for
[00:44:51.100 --> 00:45:02.140]   your mcps and i am going to execute brave web search this requires an api key and i already have the api key
[00:45:02.140 --> 00:45:07.820]   on my application if you want you can go ahead and take it i'm going to like remove that api key in a moment
[00:45:07.820 --> 00:45:16.780]   don't perform like a 2000 queries otherwise i'm going to get charged but now i have access to it and the
[00:45:16.780 --> 00:45:23.340]   security to also enable those those keys to your mcps and i will execute it as another tool
[00:45:24.220 --> 00:45:29.980]   and the prompt that i'm sending is what is the most recent news about the ai agents let's execute this
[00:45:29.980 --> 00:45:30.220]   tool
[00:45:30.220 --> 00:45:41.660]   and this mcp is running on eroku the same thing as code execution or the postgres tools it will spin off a
[00:45:41.660 --> 00:45:49.100]   dyno run the mcp as a standard input and output and scale back to zero so you are not paying for
[00:45:49.100 --> 00:45:56.860]   something that is constantly running and there we go that's the search from the brave web search
[00:45:56.860 --> 00:46:06.940]   so this is the response from the tool and now it's going to render that after the inference operation
[00:46:06.940 --> 00:46:13.260]   so i'm running mcps on eroku a quick example how can you deploy an mcp
[00:46:14.540 --> 00:46:24.620]   i have an exercise here deploy an mcp to eroku i have a perplexity ask mcp that i just forked
[00:46:24.620 --> 00:46:33.660]   this is the official perplexity mcp i fork it to my repository to just do one thing to make it eroku
[00:46:33.660 --> 00:46:41.420]   compatible you use the proc file which is the file on eroku that defines how an application is executed
[00:46:42.940 --> 00:46:49.420]   and i added the entry point as an mcp so this is a new process type we support everything that
[00:46:49.420 --> 00:46:56.940]   starts with mcp is going to be recognized as an mcp on eroku it will execute this standard input and
[00:46:56.940 --> 00:47:05.980]   output code it also requires an api key that i don't have but you can deploy it to deploy to eroku i added a
[00:47:05.980 --> 00:47:14.060]   button to make it super easy click to deploy i deploy this mcp to my space and then i attach it to my
[00:47:14.060 --> 00:47:24.460]   application this is my perplex city mcp let's add it available to the space
[00:47:27.020 --> 00:47:33.900]   i don't have one i don't have one i deploy there are certain mcps if you don't have an api key it
[00:47:33.900 --> 00:47:39.100]   fails when you run them so this is why i'm specifying something it doesn't need to be valid
[00:47:39.100 --> 00:47:45.500]   and this is now a node.js application it will just deploy this build this and keep it available under
[00:47:45.500 --> 00:47:50.940]   eroku and you will be able to attach it to your to your app so this is an exercise you can do and
[00:47:50.940 --> 00:47:55.580]   write the code to run that that mcp that you just deployed
[00:47:55.580 --> 00:48:01.580]   now we got the response from the previous brave search
[00:48:03.340 --> 00:48:10.060]   and this is pretty much the most recent news about ai agents but remember that i told you
[00:48:10.060 --> 00:48:18.300]   that you can also use those mcps outside of eroku not only for eroku agents let's say you are using
[00:48:18.300 --> 00:48:25.340]   cursor or cloud desktop or you are writing your own agent in a different platform but you want to have
[00:48:25.340 --> 00:48:33.740]   those mcps available remotely you can use those two so here on the management dashboard you see the
[00:48:33.740 --> 00:48:41.340]   toolkit integration page so all of the mcps that i deploy to my app are going to be available through this
[00:48:41.340 --> 00:48:49.820]   endpoint so this is a server sent event endpoint and it is authenticated behind a better token and
[00:48:49.820 --> 00:48:57.340]   we are working on all our support so that you can run it securely you can build remote mcp servers
[00:48:57.340 --> 00:49:01.820]   on heroku that are accessible without a better tokens we don't like better tokens
[00:49:01.820 --> 00:49:09.740]   perfect so now that the mcp is there let's add like my my perplexity really quick let's refresh
[00:49:09.740 --> 00:49:19.340]   i need it perfect i have it it's available i go to my toolkit copy the token
[00:49:19.340 --> 00:49:23.740]   it is the same the same token that you use for inference so i don't need to do this
[00:49:23.740 --> 00:49:31.020]   you just need the url and in my jupyter code i have a basic mcp client i'm using
[00:49:31.020 --> 00:49:40.140]   so i need to install the dependency here i'm using the mcp package from uh from anthropic
[00:49:42.380 --> 00:49:51.580]   and i'm creating an mcp client that mcp client is going to my heroku endpoint passing that api key as a
[00:49:51.580 --> 00:50:00.060]   authorization header and let's run it to list the tools that are available and then execute
[00:50:00.060 --> 00:50:06.940]   brave web search so i'm executing the mcp that i deploy in heroku outside of heroku
[00:50:08.380 --> 00:50:09.900]   let's run this demo
[00:50:09.900 --> 00:50:21.340]   and it connected we have the following tools brave local search brave web search and perplexity ask
[00:50:21.340 --> 00:50:24.540]   the one that we just deployed and enabled with just two clicks
[00:50:24.540 --> 00:50:32.460]   mostly i need executed the web search i am not processing the result here this is just a very basic
[00:50:32.460 --> 00:50:39.420]   example but that's how can you deploy on mcp and use it externally and i think and i i have also like
[00:50:39.420 --> 00:50:47.500]   a course or uh mcp gateway that i use for mcps that i deploy i just use the same approach to use
[00:50:47.500 --> 00:50:57.020]   my mcps on cursor and last but not least i told you that the at least the chat completion standpoint is
[00:50:57.020 --> 00:51:04.860]   compatible with open ai api 95 we are working to bring it to 99 that like certain parameters that are
[00:51:04.860 --> 00:51:13.900]   not supported but you can just use the sdk so let's use the sdk to perform a basic operation i am just
[00:51:13.900 --> 00:51:22.060]   using the open ai sdk with the api key and url from eroku i perform an inference
[00:51:22.060 --> 00:51:27.500]   and we should get a response
[00:51:27.500 --> 00:51:30.780]   in a moment
[00:51:33.900 --> 00:51:41.900]   and there you go we have the response and that's pretty much what we had for you today you get
[00:51:41.900 --> 00:51:48.860]   access to this notebook keep playing with it i extended access to to the heroku platform that team
[00:51:48.860 --> 00:51:54.780]   until the weekend because right now unfortunately we don't have a free tier we are working hard to bring
[00:51:54.780 --> 00:52:01.660]   it back but you can go deploy try it out and if you have any questions please
[00:52:03.260 --> 00:52:14.540]   connect with us on social we have the dev center the site for documentation the heroku ai website
[00:52:14.540 --> 00:52:22.460]   we created a heroku community on twitter or x these slides are on the slack so you can get them from
[00:52:22.460 --> 00:52:34.060]   you can get them from the slack and thank you very much i hope you enjoyed this worship

