
[00:00:00.040 --> 00:00:05.060]   Despite having dozens of cards and millions of points, I recently went deep on Citibank,
[00:25:42.060 --> 00:25:46.780]   an admiral's club membership through loyalty points. It's going to be a lot more loyalty points,
[00:25:46.780 --> 00:25:52.460]   but it is an option without having that executive card. Okay. Next, I want to talk about the Costco
[00:25:52.460 --> 00:25:58.860]   cards. Um, I think they're really interesting because people seem to love them, but I just don't
[00:25:58.860 --> 00:26:03.740]   see it. I just don't get it for myself. I don't get it for almost anyone. They have no signup bonus.
[00:26:03.740 --> 00:26:08.620]   They have no annual fee though. You do need a Costco membership. So in order to get the card,
[00:26:08.620 --> 00:26:11.900]   you need to have a Costco membership, which does have an annual fee. And if you're going for the
[00:26:11.900 --> 00:26:16.860]   business card, the only real difference I can find between the personal and the business Costco cards
[00:26:16.860 --> 00:26:21.900]   is that if you have authorized users on the business card, they all need Costco membership.
[00:26:21.900 --> 00:26:26.060]   So you can't just add any authorized user. You need to add an authorized user who already has
[00:26:26.060 --> 00:26:29.580]   their own Costco membership. They'll have no foreign transaction fee.
[00:26:29.580 --> 00:26:33.580]   The interesting thing must be for most people, the earnings potential.
[00:26:33.580 --> 00:26:41.820]   They do 5% on Costco gas and 4% on gas and EV charging anywhere else, but that's only up to $7,000
[00:26:41.820 --> 00:26:48.300]   of spend a year. So if you figure, even if your best case alternative is a 2% on gas card,
[00:26:48.300 --> 00:26:55.500]   you're really only getting an extra about $210. And I think that was, uh, only if you spend the entire
[00:26:55.500 --> 00:27:00.540]   $7,000 on Costco gas, uh, if you spend it getting 4%, then you're only getting an extra 2%.
[00:27:00.540 --> 00:27:06.220]   And like I mentioned earlier, the city strata premier card is going to get three X on gas.
[00:27:06.220 --> 00:27:12.300]   The city custom cash card is going to get you five X on gas in transferable points, or that could be
[00:27:12.300 --> 00:27:18.620]   cash back up to $6,000 a year. So if you're getting this for gas, I would get the city custom cash.
[00:27:18.620 --> 00:27:25.900]   You're, you're only missing out on an extra $1,000 of an extra, something like, you know,
[00:27:25.900 --> 00:27:34.460]   3% $30. So not worth it for me for gas. So what's another reason to get it could be 3% back on travel,
[00:27:34.460 --> 00:27:39.980]   except I can think of so many cards that are going to earn more than 3% on travel.
[00:27:39.980 --> 00:27:44.940]   The city strata premier, the chase Sapphire reserve, the Amex green card, the chasing preferred card,
[00:27:44.940 --> 00:27:49.660]   the autograph and the autograph journey card, the Robin hood card. So 3% on travel is not a reason
[00:27:49.660 --> 00:27:55.260]   to get a card, especially one without a signup bonus. And then you get 2% at Costco. There are
[00:27:55.260 --> 00:28:01.980]   dozens of cards that get 2%, uh, on all your purchases. Um, I will say Costco does need a visa
[00:28:01.980 --> 00:28:06.860]   in store. So if you've got the city double cash, you wouldn't get 2% in store because it's a MasterCard
[00:28:06.860 --> 00:28:12.540]   though. You can, I believe you can still use a MasterCard online. Um, but the capital one venture card
[00:28:12.540 --> 00:28:17.420]   is, uh, great for in store. A lot of, I think the Robin hood cards, a visa card.
[00:28:17.420 --> 00:28:22.140]   I know the smartly cards, a visa card. Um, there are some cards that pay elevated bonuses on mobile
[00:28:22.140 --> 00:28:28.380]   wallet. If you have platinum monitors with bank of America, you can get up to 2.6 to 5% cash back
[00:28:28.380 --> 00:28:34.540]   on a visa card. So a lot of cards I'd rather use at Costco that are not this card and then 1% on
[00:28:34.540 --> 00:28:40.300]   everything else. And on top of all of that, your cash back doesn't get paid out until your February
[00:28:40.300 --> 00:28:47.020]   statement. So make big purchases in March and all your cash back is, is kind of being held for another
[00:28:47.020 --> 00:28:53.020]   11 months before you actually see it. Only other thing, Costco did add purchase protection that is
[00:28:53.020 --> 00:28:57.660]   better than most of the other city cards here. So you get some damage and theft protection. And on the
[00:28:57.660 --> 00:29:03.100]   travel side, you get primary rental coverage, you get roadside assistance and accident insurance.
[00:29:03.100 --> 00:29:08.780]   The accident insurance is particularly interesting. It's, it's $250,000 of coverage, but then they get
[00:29:08.780 --> 00:29:14.620]   very specific about how it pays out. So if you lose, uh, both your hands or both your feet,
[00:29:14.620 --> 00:29:19.900]   you can get up to $250,000. But if you only lose one hand or one foot, they will only give you up to
[00:29:19.900 --> 00:29:26.540]   $125,000. If you only lose a thumb or an index finger, but it has to be in the same hand,
[00:29:26.540 --> 00:29:32.060]   they'll give you 25% of the coverage, which is $62,500. And other things are on this list.
[00:29:32.060 --> 00:29:35.020]   I just think it's funny that somebody went to the extent of saying, well,
[00:29:35.020 --> 00:29:40.220]   thumb and index finger on the same hand is worth 25%, but thumb and index finger on separate hands,
[00:29:40.220 --> 00:29:44.860]   you get zero. I don't know how people come up with these things. Um, all in all, not excited
[00:29:44.860 --> 00:29:51.020]   about the Costco cards. Um, I want to put them in the D tier, but there's just so many worse cards
[00:29:51.020 --> 00:29:55.260]   that I'm going to put them in the C tier, but they're not cards I'll ever be getting, um,
[00:29:55.260 --> 00:29:59.900]   or using in any way, shape or form. The last card is an interesting one.
[00:29:59.900 --> 00:30:05.500]   And it's a cult favorite in the points and miles. We're probably in the cashback world.
[00:30:05.500 --> 00:30:09.820]   It's a little bit of a sleeper because if you look at it on the internet, you'll probably be saying,
[00:30:09.820 --> 00:30:14.700]   why is this card even interesting? So it's the city shop your way card.
[00:30:14.700 --> 00:30:21.500]   And it is signup bonus is $225 in statement credits. It's one of the strangest signup bonuses.
[00:30:21.500 --> 00:30:27.980]   You get $75 back after spending 500 up to three times in 90 days. So if you spend 1500,
[00:30:27.980 --> 00:30:34.300]   you'd get the full 225. It earns points, but these are not thank you points. Um, it earns 5% at gas,
[00:30:34.300 --> 00:30:39.820]   3% on groceries and restaurants, but only up to 10,000 a year on all those combined categories.
[00:30:39.820 --> 00:30:44.620]   So not that exciting. There's a list of shop your way merchants where I think you are in
[00:30:44.620 --> 00:30:51.260]   two X or 2% back on those. And then 1% on everything else. It's not entirely clear what
[00:30:51.260 --> 00:30:56.300]   the points you're earning are worth. I've heard two reports that they're worth 1 cent or 0.85 cents.
[00:30:56.300 --> 00:31:01.980]   Uh, but that's not the primary reason anyone wants this card. And you won't find the primary reason
[00:31:01.980 --> 00:31:09.420]   why anyone wants this card anywhere really on the website. Um, and, and they talk about maybe special
[00:31:09.420 --> 00:31:15.180]   offers somewhere, but I really don't even see it listed anywhere on this site. And by the way,
[00:31:15.180 --> 00:31:19.980]   it has no annual fee. I didn't look, but I would be shocked if it didn't have foreign transaction fees
[00:31:19.980 --> 00:31:25.420]   because it doesn't seem like a travel focused card. So let's assume it has 3% foreign transaction fees,
[00:31:25.420 --> 00:31:33.100]   which it does. Um, and, and here's what happens. I've got a few examples from a few people who reported
[00:31:33.100 --> 00:31:36.860]   the thing that's interesting about this card is all the deals that it sends
[00:31:36.860 --> 00:31:44.060]   to you sometime in a three to four month window after having the card, but there's no guarantee you'll
[00:31:44.060 --> 00:31:48.620]   get them. But it seems pretty consistent that people three, four or five months into this card
[00:31:48.620 --> 00:31:54.380]   start getting very lucrative offers. So one person reported that the initial offers they got a few months
[00:31:54.380 --> 00:32:01.100]   into the card. They got three of them. One was 20% off a hundred dollars plus on utilities for three
[00:32:01.100 --> 00:32:08.140]   months in a row up to $75 back a month. So if you spent a full $375 each month in utilities,
[00:32:08.140 --> 00:32:16.460]   you'd get 75 back each month for $225. They got a 10% off $400 or more each month at gas stations,
[00:32:16.460 --> 00:32:23.180]   grocery stores, and restaurants combined with a max of 150 back. So if you spent $1,500 three months in a row,
[00:32:23.180 --> 00:32:31.420]   you'd get 150 back each month for $450 total. And then last, they got $125 off spending 2000 a month
[00:32:31.420 --> 00:32:37.180]   on anything. And these, my understanding is these all stack. So if you've got 2000, spend 2000, get 125
[00:32:37.180 --> 00:32:45.180]   back and spend 400 plus on these four categories, you can combine them. And so that ends up being over
[00:32:45.180 --> 00:32:52.140]   three months. Uh, you have three months to hit that spend. You end up getting $125 back on 2k of spend.
[00:32:52.140 --> 00:33:04.620]   So in total for $5,625 of spend, they got $800 back, which is 14.2% back. Plus they got all the regular
[00:33:04.620 --> 00:33:10.780]   earning from the card, which for the most categories is just one X points. Uh, but maybe that bumps it up
[00:33:10.780 --> 00:33:17.420]   to 15% back and that's on 5,000 of spend. So a free $800 in a quarter. And I, and I say free,
[00:33:17.420 --> 00:33:23.340]   obviously they had to do this spend. There was an opportunity cost of this spend, but 14% with,
[00:33:23.340 --> 00:33:30.700]   with the regular spending, maybe 15% back on, uh, five grand is not nothing. Another person got a bunch of
[00:33:30.700 --> 00:33:38.460]   offers in Q4, which was 50 off a thousand dollars online. It's about 5%. Another $200 off a thousand
[00:33:38.460 --> 00:33:43.180]   dollars online. And then another 75 off a thousand dollars online. And then they got
[00:33:43.180 --> 00:33:51.820]   two 50 off $2,000 on gas, grocery, and dining over three usable, each of three months, 40 off 400 in
[00:33:51.820 --> 00:33:58.940]   utility and 10% back on at least a hundred dollars a month on travel for two months. I'm not going to break
[00:33:58.940 --> 00:34:05.740]   them all down. The short version is on $12,200 to spend, they would have gotten $1,395 back,
[00:34:05.740 --> 00:34:11.420]   which is 11 and a half percent plus their regular earnings. So let's call it 12 and a half percent.
[00:34:11.420 --> 00:34:17.900]   So in both these examples, 12 and a half to 15% back on, you know, five to $12,000 in a quarter,
[00:34:17.900 --> 00:34:24.620]   not bad. So a card to keep in your wallet, if, if those kinds of offers and that kind of earning is
[00:34:24.620 --> 00:34:30.460]   interesting to you, you know, you could have a almost signup bonus level amount of cash back.
[00:34:30.460 --> 00:34:34.300]   Now, I don't know how often these offers come, but it seems like people are getting them every
[00:34:34.300 --> 00:34:38.780]   quarter. They're getting a whole set of them. So I have not used this card. I'd encourage you to go
[00:34:38.780 --> 00:34:44.460]   search online and do some research. But if a card could convince, conceivably offer you like a signup
[00:34:44.460 --> 00:34:50.620]   bonus every three or four months consistently on an ongoing basis based on your spending.
[00:34:50.620 --> 00:34:55.660]   And you know, you're not gonna have to open up a new card for it. Yes, it doesn't have a huge signup
[00:34:55.660 --> 00:34:59.900]   bonus, but maybe it's earned a spot in your wallet. It's definitely an interesting card.
[00:34:59.900 --> 00:35:04.300]   So I'm gonna put it in a tier because there's just not a card like it that I'm aware of.
[00:35:04.300 --> 00:35:10.460]   And it's pretty lucrative. I've heard people say that they think that this card is like this sleeper
[00:35:10.460 --> 00:35:15.740]   secret card that maybe city forgot about and doesn't ever talk about, but is really lucrative after
[00:35:15.740 --> 00:35:21.180]   holding it for a while. So that's the shop your way card. I excluded a bunch of cards here. I didn't
[00:35:21.180 --> 00:35:25.980]   include cards that cities discontinued the prestige card, the rewards plus and the AT&T access more.
[00:35:25.980 --> 00:35:30.220]   And then there's a bunch of retailer cards, like I mentioned, and then three city cards that they actually
[00:35:30.220 --> 00:35:35.260]   put at the top of their list. And by top, I mean in the upper half of their list of cards.
[00:35:35.260 --> 00:35:40.060]   But they have no real benefit other than being balance transfer cards.
[00:35:40.060 --> 00:35:45.820]   That's the diamond preferred, the simplicity and the diamond secured. All three of those cards
[00:35:45.820 --> 00:35:51.740]   offer zero benefits. And I mean, zero earning, not just one X everything, zero X everywhere.
[00:35:51.740 --> 00:35:55.340]   Some of them offer balance transfer, low APR for balance transfers,
[00:35:55.340 --> 00:36:00.540]   but have a three to 5% balance transfer fee. So I don't see a single reason to get any of these
[00:36:00.540 --> 00:36:05.820]   cards. All three of them D tier worst on the list. Not interesting. So I'll put a link to the photo
[00:36:05.820 --> 00:36:10.380]   of the tier list in the show notes for anyone who's not watching on video. As I mentioned, there are links
[00:36:10.380 --> 00:36:15.260]   to these cards on the website if you want them, but we don't earn anything from them. If for some reason,
[00:36:15.260 --> 00:36:21.100]   I find that any all the hacks members happen to have, uh, referral links, I'll use those referral
[00:36:21.100 --> 00:36:25.900]   links on the websites links. Otherwise, you know, you could just go to city's website and find them.
[00:36:26.940 --> 00:36:32.140]   Also speaking of all the hacks members, when I do this series for other issuers, I'll probably take
[00:36:32.140 --> 00:36:37.420]   Amex and chase and make those a member only episode. So if you want to see the deep dive on
[00:36:37.420 --> 00:36:41.980]   chase ultimate rewards, and you want to see the deep dive on Amex membership rewards, that's going to be
[00:36:41.980 --> 00:36:48.140]   a members only episode. They're just a bunch of things that, um, having those partnerships preclude me
[00:36:48.140 --> 00:36:52.620]   from talking about, uh, on the podcast and make it a little complicated. So I might write them up as a
[00:36:52.620 --> 00:36:57.500]   blog post as well and share it in email because that seems to be okay. But for now, they probably
[00:36:57.500 --> 00:37:02.700]   won't be in the podcast. So let's talk city rules. Cause there are a few rules here that as anyone who's
[00:37:02.700 --> 00:37:07.420]   now thinking, Oh, maybe I should get one of these cards you might want to know about. So one is that
[00:37:07.420 --> 00:37:13.820]   for any card on city, you can only get the welcome offer every 48 months for some cards. It's 24 months.
[00:37:13.820 --> 00:37:18.460]   So look into the terms, but you can repeat welcome offers. You just need to wait two to
[00:37:18.460 --> 00:37:25.180]   four years to do it. Um, you can only get one city card every eight days. Um, but it's a little
[00:37:25.180 --> 00:37:31.660]   confusing because that is what everyone consistently says. Yet I signed up for the advantage business and
[00:37:31.660 --> 00:37:35.180]   the strata premiere on the same day. And then there's another rule that says you can only get
[00:37:35.180 --> 00:37:40.300]   two cards every 65 days. I think maybe because I applied for them at the, on the same day, um,
[00:37:40.300 --> 00:37:45.420]   maybe it got combined, but I'm certainly going to wait 65 days before I consider adding that double
[00:37:45.420 --> 00:37:52.300]   cash. Um, there's some rumors that it's really hard to get a city card. If you've had six hard
[00:37:52.300 --> 00:37:57.660]   inquiries on your credit in the last six months, but it's not a consistent rule. Shout out to frequent
[00:37:57.660 --> 00:38:03.580]   miler for sharing that. Um, and then also city, a couple nuances of city that are interesting.
[00:38:03.580 --> 00:38:08.060]   You cannot move credit from one card to another. So a lot of times the, from when it comes to
[00:38:08.060 --> 00:38:11.820]   reconsideration, you could call up and say, Hey, could I move some credit between cards?
[00:38:11.820 --> 00:38:15.740]   You can't do that with city. And then last, one of the cool things about the city is that you can
[00:38:15.740 --> 00:38:21.580]   product change between cards across platforms. So on some platforms, the airline cards can't go
[00:38:21.580 --> 00:38:27.500]   to the hotel cards or the transferable points cards here. They can, but no one really understands
[00:38:27.500 --> 00:38:32.380]   the rules. So I saw lots of data points of people saying, well, I have the city mile up and I could
[00:38:32.380 --> 00:38:37.180]   transfer it to a double cash or a Costco card, but not the custom cash card. Uh, and then other
[00:38:37.180 --> 00:38:40.860]   people said, I have an American platinum card and I could go to double cash. Um,
[00:38:40.860 --> 00:38:45.340]   but I, or any other American card, other people said they couldn't go to the double cash card.
[00:38:45.340 --> 00:38:48.860]   Another person said they couldn't go to the strata premiere, but another person said they could.
[00:38:48.860 --> 00:38:55.500]   So after a year you can call city and potentially change your card to another card, but it's unclear
[00:38:55.500 --> 00:39:00.540]   which one of those cards is, is possible, but it seems pretty consistently that the double cash
[00:39:00.540 --> 00:39:06.220]   is often an option and that for AA cards, the AA and Costco cards are often an option.
[00:39:06.220 --> 00:39:11.420]   And that, you know, who knows if the strata premiere, the custom cash will be an option.
[00:39:11.420 --> 00:39:16.860]   This is all pretty recent historically getting a downgrade to the custom cash was really easy.
[00:39:16.860 --> 00:39:22.220]   I want to dive into city thank you points because the reason that I'm excited about city aside from
[00:39:22.220 --> 00:39:26.860]   being able to earn American status for two players at the same time is really the thank you points
[00:39:26.860 --> 00:39:31.740]   ecosystem. And I'll share a lot about that. A few other quick things about city.
[00:39:31.740 --> 00:39:36.380]   I have heard issues that people have said cities kind of a pain to deal with fraud.
[00:39:36.380 --> 00:39:41.500]   I haven't had any of those issues. I've done a bunch of large random transactions, no issues.
[00:39:41.500 --> 00:39:48.540]   So not a problem I've had getting virtual card numbers. I did get a virtual card number when
[00:39:48.540 --> 00:39:52.780]   I signed up for the AA card. So if you have some spend and you need to hit it quickly,
[00:39:52.780 --> 00:39:57.020]   I was able to get a virtual card for the AA business card and use it right away.
[00:39:57.020 --> 00:39:58.860]   But I didn't get one on the strata premiere.
[00:39:58.860 --> 00:40:04.460]   Business and personal cards are separate logins, which is just kind of a pain.
[00:40:05.100 --> 00:40:08.380]   You can't product change business cards at all. Also, I didn't mention that earlier.
[00:40:08.380 --> 00:40:13.180]   I do like some of the spending summary charts they have on the city website.
[00:40:13.180 --> 00:40:17.820]   It's kind of better than most of the other cards I've used on other issuers.
[00:40:17.820 --> 00:40:22.780]   With credit limits, I did not get very high credit limits. And I don't know if that's because I have
[00:40:22.780 --> 00:40:28.140]   a ton of outstanding credit amounts on other cards and they didn't want to give me more,
[00:40:28.140 --> 00:40:31.420]   or if it's because they're pretty stingy with credit, which I have heard.
[00:40:31.420 --> 00:40:37.500]   I got $11,000 on the strata premiere and 16,000 on the city biz versus other cards.
[00:40:37.500 --> 00:40:39.260]   I've gotten, you know, 20 to 30 K.
[00:40:39.260 --> 00:40:43.900]   You can do an online credit line increase. My understanding is that you can only do it
[00:40:43.900 --> 00:40:50.860]   once every six months. So once it's been 180, you know, two or three days from your last card
[00:40:50.860 --> 00:40:55.260]   issuance with city, you can request an increase. And I know people have been able to drive up their
[00:40:55.260 --> 00:41:01.100]   credit lines to over $50,000 on a card, but they had to do it every six months. And you could do
[00:41:01.100 --> 00:41:06.460]   that without an additional heart inquiry, which is nice. This episode is brought to you by Element.
[00:41:06.460 --> 00:41:11.740]   Now, I love Element and I use it all the time because it helps anyone stay hydrated without
[00:41:11.740 --> 00:41:17.500]   the sugar and other dodgy ingredients in popular electrolyte and sports drinks. And that's important
[00:41:17.500 --> 00:41:22.140]   because electrolyte deficiency or imbalance can cause headaches, cramps, fatigue, brain fog,
[00:41:22.140 --> 00:41:27.900]   and weakness. In fact, Element is a zero sugar electrolyte drink mix and sparkling electrolyte
[00:41:27.900 --> 00:41:33.260]   water born from the growing body of research, revealing that optimal health outcomes occur at
[00:41:33.260 --> 00:41:38.540]   sodium levels, two to three times government recommendations. Element is formulated for anyone
[00:41:38.540 --> 00:41:43.020]   on a mission to restore their health through hydration. And it's perfectly suited for everyone
[00:41:43.020 --> 00:41:49.980]   from athletes to regular people like me and works if you're fasting on a keto low carb or paleo diet.
[00:41:49.980 --> 00:41:54.460]   And if you're not sure if it's for you, don't worry because Element offers a no questions asked
[00:41:54.460 --> 00:42:00.300]   refund policy so you can try it totally risk-free. Get your free sample pack with any Element purchase
[00:42:00.300 --> 00:42:07.100]   at chrishutchins.com/lmnt. This deal is only available through that link. So support the show
[00:42:07.100 --> 00:42:12.700]   and go to chrishutchins.com/element or click the link in the description and get hydrated.
[00:42:12.700 --> 00:42:17.900]   This episode is brought to you by Gelt. Now, when it comes to building wealth, taxes are such a big
[00:42:17.900 --> 00:42:23.980]   part of the strategy. And as tax time gets closer, getting prepared now is so important. And now that
[00:42:23.980 --> 00:42:28.700]   I'm working with Gelt, I finally feel like I have a partner I can trust to handle everything for my
[00:42:28.700 --> 00:42:33.980]   personal and business taxes. You can think of Gelt as the ultimate modern CPA. Of course,
[00:42:33.980 --> 00:42:38.780]   they have an in-house team of expert CPAs to work with who could help you determine the most effective
[00:42:38.780 --> 00:42:45.020]   tax strategies to minimize risk and grow your wealth. But they also have an amazing tech platform that gives you
[00:42:45.020 --> 00:42:50.380]   personalized guidance to maximize deductions, tax credits, and savings. Beyond that, the tax library
[00:42:50.380 --> 00:42:55.980]   you get access to as a client has dozens of in-depth guides on things like choosing retirement plans,
[00:42:55.980 --> 00:43:02.540]   taxes for parents, qualified business income or QBI, and much more. So if you're ready for a more premium,
[00:43:02.540 --> 00:43:09.980]   proactive tax strategy to optimize and file your taxes, definitely check out Gelt. And as a viewer, you can
[00:43:09.980 --> 00:43:17.660]   skip the waitlist. Just head to chrishutchins.com/gelt, G-E-L-T. Again, that's chrishutchins.com/gelt,
[00:43:17.660 --> 00:43:21.580]   or find the link in the description to stop overpaying on taxes.
[00:43:21.580 --> 00:43:25.660]   So let's talk about city thank you points because they're really interesting. So first off, there's
[00:43:25.660 --> 00:43:30.300]   some bad ways to redeem them. If you redeem them as statement credits, you can get one cent. So it's not
[00:43:30.300 --> 00:43:34.780]   the worst, but I think transferable points are more valuable. But if you wanted to play this whole game
[00:43:34.780 --> 00:43:39.580]   with cash back, just assume every point is worth one penny. You can get one penny as a statement credit,
[00:43:39.580 --> 00:43:44.620]   or you can get one penny in the travel portal, or you can get one penny buying gift cards and some
[00:43:44.620 --> 00:43:48.780]   merchandise. But at the end of the day, I would always encourage you for the same rate of return,
[00:43:48.780 --> 00:43:53.420]   get the cash, get the statement credit, pay off your balance, and then use the money saved and
[00:43:53.420 --> 00:43:58.540]   go buy travel with the airlines directly. Earn points on that travel by using the city premier
[00:43:58.540 --> 00:44:04.220]   card. Go buy gift cards somewhere else, go buy merchandise somewhere else. So I would not use my
[00:44:04.220 --> 00:44:09.020]   city thank you points for anything other than statement credits, or what I think is the best use,
[00:44:09.020 --> 00:44:16.140]   which is transferring them to airlines and hotels. So city has 23 transfer partners right now, 18
[00:44:16.140 --> 00:44:22.060]   airlines and five hotels. Like I mentioned earlier, you do need the city premier or the prestige card,
[00:44:22.060 --> 00:44:26.940]   historical card to transfer points to airlines. But when you do, there's a lot of great options.
[00:44:26.940 --> 00:44:31.580]   And so on the airline side, I said, there's 18. The biggest one I'll highlight is Eva air,
[00:44:31.580 --> 00:44:36.780]   which is an airline based in Taiwan. And they make a ton of award availability,
[00:44:36.780 --> 00:44:42.780]   especially in premium cabins available to their members. So having access to Eva air availability
[00:44:42.780 --> 00:44:48.620]   is a really great way to unlock low cost international business with good availability
[00:44:48.620 --> 00:44:55.100]   to Asia. And while Capital One is the only other transfer partner that has Eva air, Capital One,
[00:44:55.100 --> 00:45:01.820]   you need five Capital One points to get four Eva air points. So it's 1.25 to one. And with city,
[00:45:01.820 --> 00:45:07.740]   you get one to one. So Eva air is a real standout if you have other points ecosystems to pull from.
[00:45:07.740 --> 00:45:14.780]   But if you don't, and you're just looking broadly at what is city have, they've got almost all the
[00:45:14.780 --> 00:45:20.540]   obvious airlines, they've got flying blue with Air France and KLM, they've got Avianca, Cathay Pacific
[00:45:20.540 --> 00:45:28.380]   Asia miles, Qantas, Singapore, Turkish Virgin, and a few others. Notably, they don't have any US airlines except
[00:45:28.380 --> 00:45:34.460]   jet blue. Now, for me, that doesn't matter, because I know I can use Avianca to book Star
[00:45:34.460 --> 00:45:40.860]   Alliance United, I can use flying blue to book Delta, though, I'm often not using points for Delta. And
[00:45:40.860 --> 00:45:45.020]   it's a little bit of a harder game. I will say if you're trying to use your points to book a lot of
[00:45:45.020 --> 00:45:49.260]   one world flights on American, it's going to be a little trickier, you know, you could use Qantas,
[00:45:49.260 --> 00:45:54.060]   this, but it's hard. And by the way, if you go to all the hacks.com slash TP, you can or in the show
[00:45:54.060 --> 00:45:58.380]   notes, there's a spreadsheet I put together of all the different transfer partners, I kind of try to
[00:45:58.380 --> 00:46:04.540]   highlight and compare them against all of the different programs. And so on the on the airline
[00:46:04.540 --> 00:46:10.940]   side, the really standout one is is Eva air, there is also Thai air, which only city is a partner of
[00:46:10.940 --> 00:46:15.980]   two things. One, I believe those transfers take three to seven days. And two, I haven't found a
[00:46:15.980 --> 00:46:21.740]   single redemption worth using Thai airways for. So cool that they have a unique partner, but not
[00:46:21.740 --> 00:46:26.540]   really cool, because it's not useful. On the hotel side is where I think city really shines. And that's
[00:46:26.540 --> 00:46:32.220]   honestly, the reason that I wanted to get into cities program was hotels and and the Eva air availability.
[00:46:32.220 --> 00:46:39.900]   Notably, city gets choice choice hotels, which is also part of Amex also part of cap one, but you get
[00:46:39.900 --> 00:46:45.180]   a one to two ratio instead of on those programs, you get a one to one. So twice as many choice points.
[00:46:45.180 --> 00:46:50.700]   Wells Fargo rewards similarly has a one to two choice points. I'll brush on Wells Fargo in a little bit.
[00:46:50.700 --> 00:46:58.460]   But that's interesting. Choice hotels, the access to some preferred hotels, which are some nice luxury
[00:46:58.460 --> 00:47:03.820]   hotels is interesting. There are also a ton of choice hotels, they don't have the most luxurious
[00:47:03.820 --> 00:47:09.020]   portfolio, there are some really nice Radisson blues, Cambria's ascends. But for the most part,
[00:47:09.020 --> 00:47:14.300]   I would say compared to other hotel chains, this the shining star of choice is not hotels, if you're
[00:47:14.300 --> 00:47:20.300]   looking to stay in really luxury properties. But if you are city also has preferred hotels and leading
[00:47:20.300 --> 00:47:25.980]   hotels of the world. And those two transfer rate partners are unique to city, no one else has them,
[00:47:25.980 --> 00:47:31.900]   which is really exciting. And so the ability to book hotels and luxury hotels is really nice. They also
[00:47:31.900 --> 00:47:36.540]   have Wyndham and Accor. And so the best hotel bookings here to get the most value out of your
[00:47:36.540 --> 00:47:42.140]   city points. If you book preferred hotels, either through preferred hotels or by transferring to choice,
[00:47:42.140 --> 00:47:51.020]   you can get a really good value like up to 0.71 cent per point on choice, which going one to two means
[00:47:51.020 --> 00:47:57.420]   1.4 to 2 cents of value for transfers to choice. So if your city points are getting 1.4 to 2 cents,
[00:47:57.420 --> 00:48:05.980]   that's really good value. On Vacasa, booking through Wyndham, you can get up to about 1.6 cents of value
[00:48:05.980 --> 00:48:12.700]   from your city points. And for people not familiar, the way Vacasa works is Vacasa is a vacation rental
[00:48:12.700 --> 00:48:22.220]   platform. They have tons of properties all over the world. And it's 15,000 Wyndham points to book a Vacasa
[00:48:22.220 --> 00:48:29.580]   per bedroom up to places that charge $250 per bedroom. So if you're looking at a three bedroom place,
[00:48:29.580 --> 00:48:36.700]   if it's $750 a night or less, you can book it for 15,000 points per bedroom per night. And if it's
[00:48:37.180 --> 00:48:43.260]   $500 per bedroom per night or less, you can book it for 30,000 points. Let's say a two bedroom that's
[00:48:43.260 --> 00:48:48.220]   under $1,000 a night, you could book for 30,000 points per bedroom per night or 60,000 points a
[00:48:48.220 --> 00:48:52.860]   night. A little complicated. I'll leave a link in the show notes to Wyndham Vacasa bookings,
[00:48:52.860 --> 00:48:57.500]   but good way to get value out of city points. Wyndham is also a transfer partner of Capital One,
[00:48:57.500 --> 00:49:00.780]   so a good way to get value out of Capital One points. And then for leading hotels,
[00:49:01.900 --> 00:49:07.500]   those points are worth about eight cents each. The transfer ratio is five city points to one
[00:49:07.500 --> 00:49:12.460]   leaders club point. So you end up getting about 1.6 cents. A lot of the perks you get from hotel
[00:49:12.460 --> 00:49:17.580]   programs booked through travel agencies like fine hotels and resorts or the all the hacks hotel upgrade
[00:49:17.580 --> 00:49:22.380]   program, you get upgrade breakfast, early, late check-in and check-out. When it comes to
[00:49:22.380 --> 00:49:30.220]   transferring to partners, city does have a lot of transfer bonuses. I looked in 2023 and 2024,
[00:49:30.220 --> 00:49:38.940]   there were 13 and 15 each. So far we've had three in 2025. For the most part, it looks like every
[00:49:38.940 --> 00:49:45.180]   year there's been one Cathay Pacific, Air France, Virgin Atlantic, Accor and Wyndham transfer bonus,
[00:49:45.180 --> 00:49:50.620]   at least over the last two years. Last year, there was also a Turkish leading hotels and Etihad
[00:49:50.620 --> 00:49:56.700]   transfer bonus. And for the most part, all the transfer bonuses end up being 20 to 35%.
[00:49:57.580 --> 00:50:01.740]   Anytime they've done a core, it's been a 50% bonus. And anytime they've done Cathay Pacific,
[00:50:01.740 --> 00:50:05.900]   it's 10 to 15%. But all the rest of them are pretty much between 20 and 35%.
[00:50:05.900 --> 00:50:10.620]   So there are opportunities to take your points even further by waiting for windows in which you have
[00:50:10.620 --> 00:50:16.300]   transfer bonuses. I think as of recording right now, there is a transfer bonus to Virgin Atlantic
[00:50:16.300 --> 00:50:23.420]   for a 30% bonus until May 17th. So I think you're going to get the most value out of thank you points
[00:50:23.420 --> 00:50:29.740]   transferring to airlines, as is true for all points and miles. But notably, unlike a lot of other programs,
[00:50:29.740 --> 00:50:34.300]   there's a lot of opportunity for hotels here, especially choice to book preferred preferred
[00:50:34.300 --> 00:50:39.020]   to book preferred and leading hotels for luxury hotels that you don't get in any other program,
