
[00:00:00.520 --> 00:00:08.120]   My name is Karina. Recently I've been working on CLOD, which is like a large
[00:32:45.580 --> 00:32:51.580]   Or is it like this sliding scale that like the further in the beginning of the prompt, like the less attention it gets?
[00:32:51.580 --> 00:32:52.580]   Yeah.
[00:32:52.580 --> 00:32:54.580]   I think that's basically the hypothesis.
[00:32:54.580 --> 00:32:55.580]   Okay.
[00:32:55.580 --> 00:32:58.580]   It's like the, you know, it's like the distance.
[00:32:58.580 --> 00:33:03.580]   It's like the model attends more to the end of the prompt, uh, than the beginning.
[00:33:03.580 --> 00:33:04.580]   Okay.
[00:33:04.580 --> 00:33:05.580]   It's not like a u or a physics example.
[00:33:05.580 --> 00:33:08.580]   I think there was a paper saying like it just forgets in the middle or something.
[00:33:08.580 --> 00:33:09.580]   Okay.
[00:33:09.580 --> 00:33:10.580]   Um, yeah.
[00:33:10.580 --> 00:33:14.580]   I think this is the problem with like long context that you're trying to fix or something.
[00:33:14.580 --> 00:33:15.580]   Yeah.
[00:33:15.580 --> 00:33:24.580]   So to follow on that question, you're saying that there was a paper that said that it remembers the beginning and then and kind of forget in the middle.
[00:33:24.580 --> 00:33:25.580]   Yeah.
[00:33:25.580 --> 00:33:29.580]   So what you're saying is for plot to it seems to do best if you give it at the end.
[00:33:29.580 --> 00:33:30.580]   Yeah.
[00:33:30.580 --> 00:33:32.580]   So that paper doesn't apply to plot.
[00:33:32.580 --> 00:33:36.580]   Um, I did not read that paper.
[00:33:36.580 --> 00:33:37.580]   Like,
[00:33:37.580 --> 00:33:38.580]   No, I'm just curious.
[00:33:38.580 --> 00:33:41.580]   What you're saying is you're finding it at least for plot.
[00:33:41.580 --> 00:33:42.580]   Right.
[00:33:42.580 --> 00:33:44.580]   The end part gets more attention.
[00:33:44.580 --> 00:33:45.580]   Yeah.
[00:33:45.580 --> 00:33:46.580]   Yeah.
[00:33:46.580 --> 00:33:50.580]   For like a specific task is like a long context, uh, Q and A for like long documents.
[00:33:50.580 --> 00:33:51.580]   Yeah.
[00:33:51.580 --> 00:33:57.580]   Um, yeah, we have not tested on other tasks to my knowledge.
[00:33:57.580 --> 00:34:05.580]   Um, so the prompts you showed were using regular pros and then the XML tags.
[00:34:05.580 --> 00:34:09.580]   Um, I think that's also what's in the entropic docs.
[00:34:09.580 --> 00:34:17.580]   Have you guys ever done experiments on like that kind of format versus Markdown versus everything is in XML?
[00:34:17.580 --> 00:34:19.580]   Do you have any thoughts on that?
[00:34:19.580 --> 00:34:20.580]   Yeah.
[00:34:20.580 --> 00:34:38.580]   So, um, in general, I think, I think it's because Markdown was kind of like, there's not that much of like, I don't know, it's like best in XML tags.
[00:34:38.580 --> 00:34:51.580]   Like I'm, I'm thinking the, I've like tried to like, you know, use like Jason, or like, uh, use Markdown, but sometimes it's like, you know, it's not as good as like XML.
[00:34:51.580 --> 00:34:53.580]   With XML, it's almost a hundred percent accuracy.
[00:34:53.580 --> 00:34:54.580]   Yeah.
[00:34:54.580 --> 00:34:55.580]   Let's see.
[00:34:55.580 --> 00:34:56.580]   Yeah.
[00:34:56.580 --> 00:34:59.580]   Um, let's go to another task.
[00:34:59.580 --> 00:35:00.580]   Okay.
[00:35:00.580 --> 00:35:01.580]   Yeah.
[00:35:01.580 --> 00:35:04.580]   Um, let's go to another task.
[00:35:04.580 --> 00:35:15.580]   Um, let's go to another task, um, which is like, you can use language models to like auto label basically anything.
[00:35:15.580 --> 00:35:26.580]   Um, so one of the examples that we did last year, um, we asked Lot to categorize the labels for the clusters.
[00:35:26.580 --> 00:35:34.580]   And so, um, this was for the paper, but the approach was very simple.
[00:35:34.580 --> 00:35:39.580]   We have a bunch of like, you know, texts and we embed them in you map.
[00:35:39.580 --> 00:36:01.580]   Um, and we do like K and N clustering and for each cluster, sorry, K means clustering and for each cluster select like, for each cluster aggregate all the, you know, little like statements or claims.
[00:36:01.580 --> 00:36:08.580]   Um, and we ask the model to come up with the category for this cluster.
[00:36:08.580 --> 00:36:10.580]   So that's the approach.
[00:36:10.580 --> 00:36:16.580]   And you can look at the other labels.
[00:36:16.580 --> 00:36:21.580]   Uh, labels here are not super good because we used cloud 1.3 at that time.
[00:36:21.580 --> 00:36:24.580]   Cloud 2 is supposed to be like way better at this.
[00:36:24.580 --> 00:36:26.580]   Um, but this is like, you know, cache.
[00:36:26.580 --> 00:36:27.580]   It was like last year.
[00:36:27.580 --> 00:36:33.580]   Um, where's my slides?
[00:36:33.580 --> 00:36:47.580]   And so one thing that you can do with this kind of task, we call it self consistency.
[00:36:47.580 --> 00:36:51.580]   You can generate N samples for the question.
[00:36:51.580 --> 00:36:58.580]   Um, so let's say you have a question like, how do you label this cluster?
[00:36:58.580 --> 00:37:05.580]   And you generate independently and times and you can ask just like come up with like one category.
[00:37:05.580 --> 00:37:11.580]   Um, well, this method is mostly useful for like quantitative.
[00:37:11.580 --> 00:37:18.580]   Like if you have like a math question and you sample like different, like sample multiple times and come up with the answer.
[00:37:18.580 --> 00:37:25.580]   Um, like the most common answer is, uh, the one that you select with the final answer.
[00:37:25.580 --> 00:37:28.580]   And this is called the majority of vote.
[00:37:28.580 --> 00:37:39.580]   Another technique that you can use is like, um, have like two generated samples and ask another model to evaluate whether those samples are consistent or not.
[00:37:39.580 --> 00:37:43.580]   And if the samples are consistent, well, you gain more confidence that this is correct.
[00:37:43.580 --> 00:37:44.580]   Right.
[00:37:44.580 --> 00:37:49.580]   And if it's not consistent, you just like the select.
[00:37:49.580 --> 00:38:05.580]   Um, another thing that you want to do with cloud is, uh, if you, if cloud is kind of like misses the nuance, especially for like categorizing a lot of labels and you have like a lot of like categorizations.
[00:38:05.580 --> 00:38:16.580]   Um, you can add contrasting conceptual distinctions in your instruction and you can do it in multiple ways.
[00:38:16.580 --> 00:38:18.580]   One way to do this, like you provide bad example.
[00:38:18.580 --> 00:38:25.580]   Let's say like, here's a very bad category and you should never come up with it because this is like too narrow or like too general.
[00:38:25.580 --> 00:38:26.580]   And this is not what I want.
[00:38:26.580 --> 00:38:35.580]   Uh, like give like contrastive like examples and vary the context, use examples in different contexts and settings.
[00:38:35.580 --> 00:38:45.580]   Um, not just like, just like have like more diversity, like diversity is like, um, and the more diverse, like future prompts examples, the better.
[00:38:45.580 --> 00:38:48.580]   Use analogies and metaphors.
[00:38:48.580 --> 00:38:59.580]   Um, if the concept is like too hard to understand for the model, try to like decompose and like bring analogy, um, point out like common misconceptions.
[00:38:59.580 --> 00:39:09.580]   Um, especially for like categorizing, like, let's say what is false presupposition, right?
[00:39:09.580 --> 00:39:22.580]   Like, uh, point out the common misconception and like clarify like why this is like incorrect, like provide examples that explicitly show why common misconception is wrong.
[00:39:22.580 --> 00:39:28.580]   Uh, yes, do you guys have any questions?
[00:39:28.580 --> 00:39:29.580]   Yeah.
[00:39:29.580 --> 00:39:57.580]   Um, I can not speak here, but, um, yeah, like come up with a category.
[00:39:57.580 --> 00:40:05.580]   Like, um, yeah, come up with a category or like classify, uh, like label that cluster basically.
[00:40:05.580 --> 00:40:13.580]   Um, so here's like very basic like tips and strategies with cloud API.
[00:40:13.580 --> 00:40:16.580]   Um, number one is formatting.
[00:40:16.580 --> 00:40:21.580]   Um, like human assistant is like what cloud loves.
[00:40:21.580 --> 00:40:25.580]   And if you miss this, you miss it, like you'll get like very, very terrible results.
[00:40:25.580 --> 00:40:30.580]   Uh, new line, new line, human, new line, new line assistant.
[00:40:30.580 --> 00:40:31.580]   Um, yeah.
[00:40:31.580 --> 00:40:42.580]   Uh, you can also put words in cloud's mouth to like, kind of like say like, do you understand it?
[00:40:42.580 --> 00:40:46.580]   And you can like put in the, um, cloud's mouth?
[00:40:46.580 --> 00:40:47.580]   Yes.
[00:40:47.580 --> 00:40:48.580]   I understand it.
[00:40:48.580 --> 00:40:52.580]   And a way to like, you know, put, put the model into these modes.
[00:40:52.580 --> 00:40:55.580]   Have cloud repeat instructions back.
[00:40:55.580 --> 00:41:01.580]   Um, you can say like, do you understand the instructions?
[00:41:01.580 --> 00:41:07.580]   Um, and you can put like assistant, yes, I understand instructions.
[00:41:07.580 --> 00:41:11.580]   Blah, blah, blah, blah.
[00:41:11.580 --> 00:41:19.580]   Uh, to reduce hallucinations, like let cloud hedge and like say like, I don't know.
[00:41:19.580 --> 00:41:24.580]   Or like, uh, I don't have enough information or like context to answer the question.
[00:41:24.580 --> 00:41:31.580]   Um, here's another thing.
[00:41:31.580 --> 00:41:57.580]   Um, if you have like generate direct quotes, if you have like a document or like, um, a long document in the context, um, make cloud to say, find appropriate quotes, but also say like, um, if there are no quotes in this document that seems relevant to this question, please just say, I don't find any relevant quotes.
[00:41:57.580 --> 00:42:01.580]   So that it doesn't make up or fabricate new quotes.
[00:42:01.580 --> 00:42:05.580]   Uh, how to give good examples.
[00:42:05.580 --> 00:42:09.580]   Um, are the examples similar to the ones you need to classify?
[00:42:09.580 --> 00:42:15.580]   Are the examples diverse enough for cloud not to overfit to, to the specifics?
[00:42:15.580 --> 00:42:18.580]   Equally distributed among answer types.
[00:42:18.580 --> 00:42:22.580]   Don't always choose option A, but like, you kind of like have the diversity.
[00:42:22.580 --> 00:42:26.580]   Um, yeah.
[00:42:26.580 --> 00:42:27.580]   Yeah.
[00:42:27.580 --> 00:42:28.580]   I got a lot of past.
[00:42:28.580 --> 00:42:29.580]   Yeah.
[00:42:29.580 --> 00:42:30.580]   Oh, formatting in a way.
[00:42:30.580 --> 00:42:31.580]   Oh, here.
[00:42:31.580 --> 00:42:33.580]   Um, I think they didn't put like new line, new line.
[00:42:33.580 --> 00:42:34.580]   Pretty sure.
[00:42:34.580 --> 00:42:35.580]   Oh, here.
[00:42:35.580 --> 00:42:36.580]   Sorry.
[00:42:36.580 --> 00:42:37.580]   Yes.
[00:42:37.580 --> 00:42:38.580]   Here.
[00:42:38.580 --> 00:42:39.580]   Um, I think they didn't put like new line, new line.
[00:42:39.580 --> 00:42:40.580]   Pretty sure.
[00:42:40.580 --> 00:42:41.580]   Oh, here.
[00:42:41.580 --> 00:42:42.580]   Sorry.
[00:42:42.580 --> 00:42:43.580]   Yes.
[00:42:43.580 --> 00:42:44.580]   Here.
[00:42:44.580 --> 00:42:47.580]   Um, I think they didn't put like new line, new line.
[00:42:47.580 --> 00:42:48.580]   Pretty sure.
[00:42:48.580 --> 00:42:49.580]   Oh, here.
[00:42:49.580 --> 00:42:50.580]   Sorry.
[00:42:50.580 --> 00:42:51.580]   Here.
[00:42:51.580 --> 00:42:55.580]   You put like human assistant inside the XML tags.
[00:42:55.580 --> 00:43:07.580]   You only need, you only have to use human assistant as like tokens to like sample, but you should
[00:43:07.580 --> 00:43:12.580]   never put it in like, like inside the context itself.
[00:43:12.580 --> 00:43:25.580]   Either use like user and like other like, um, you know, um, words like user AI or something, or like H or A, but you should never use human assistant.
[00:43:25.580 --> 00:43:28.580]   Human assistant is like very special, special words.
[00:43:28.580 --> 00:43:32.580]   If that didn't have the XML tags, would it be okay?
[00:43:32.580 --> 00:43:47.580]   Um, it would be okay, but you would like make, you should like have human and then assistant in between and then human assistant and then another human and assistant basically.
[00:43:47.580 --> 00:43:48.580]   Uh, yeah.
[00:43:48.580 --> 00:43:50.580]   Formatting is like human assistant, human assistant.
[00:43:50.580 --> 00:43:53.580]   You should never have like human, human, assistant, assistant or something.
[00:43:53.580 --> 00:43:55.580]   Uh, that's bad.
[00:43:55.580 --> 00:44:00.580]   Um, yeah.
[00:44:00.580 --> 00:44:06.580]   I think we have like more extensive, uh, explanations in the API docs.
[00:44:06.580 --> 00:44:09.580]   If you can look at it.
[00:44:09.580 --> 00:44:10.580]   Yeah.
[00:44:10.580 --> 00:44:11.580]   I got a lot of questions.
[00:44:11.580 --> 00:44:13.580]   Like what's the future of prompt engineering is.
[00:44:13.580 --> 00:44:16.580]   Um, and I think the answers are pretty clear.
[00:44:16.580 --> 00:44:18.580]   Like prompting will stay.
[00:44:18.580 --> 00:44:22.580]   We'll just ask like more complicated nuanced questions or like tasks for the model.
[00:44:22.580 --> 00:44:32.580]   Um, prompting engineering is a, we will like, we're moving towards the world where we'll have like more and more synthetic data generation.
[00:44:32.580 --> 00:44:36.580]   And so I'm pretty optimistic about like more using models.
[00:44:36.580 --> 00:44:39.580]   So like generate like diverse sets of like data sets.
[00:44:39.580 --> 00:44:45.580]   Um, you can also use language models to write like evaluations.
[00:44:45.580 --> 00:44:49.580]   Um, so you use prompting to do that.
[00:44:49.580 --> 00:45:06.580]   Um, reinforcement learning from AI feedback, um, is an alternative to like reinforcement human, from human feedback, which is like a little more scalable, but basically you ask the model to revise its own responses in the process.
[00:45:06.580 --> 00:45:12.580]   So you give the model, you like ask the model to like self reflect or like self revise.
[00:45:12.580 --> 00:45:16.580]   Um, and so you use prompting in that process to do this.
[00:45:16.580 --> 00:45:25.580]   Um, and especially like prompt engineering will become like a standard part of like product development.
[00:45:25.580 --> 00:45:39.580]   I feel like, um, things that we did in cloud products, such as like originating titles, like this things was never like done before, like before like large language models.
[00:45:39.580 --> 00:45:50.580]   And so you can like create delightful mini UX experiences, uh, such as like that using just prompting or something and you can like have personalization.
[00:45:50.580 --> 00:45:58.580]   Um, maybe you can embed all the users conversations and like suggest like new topics for the conversation.
[00:45:58.580 --> 00:46:01.580]   Um, and you can use models to do that.
[00:46:01.580 --> 00:46:08.580]   Um, and the most like interesting thing is like, uh, finding most optimal prompts for specific tasks.
[00:46:08.580 --> 00:46:12.580]   Um, maybe you want to like minimize the number of tokens to get the highest accuracy for the task.
[00:46:12.580 --> 00:46:13.580]   Um, yeah.
[00:46:13.580 --> 00:46:16.580]   Uh, here are some resources.
[00:46:16.580 --> 00:46:23.580]   Uh, we just, uh, launched a cookbook with like certain like demos on research, uh, on retrieval and search.
[00:46:23.580 --> 00:46:28.580]   Um, we have prompt design guide in API, uh, book.
[00:46:28.580 --> 00:46:32.580]   Um, you can also read out the papers that we publish.
[00:46:32.580 --> 00:46:37.580]   Uh, oftentimes we have like appendix with like all the prompting that we do.
[00:46:37.580 --> 00:46:38.580]   Yeah.
[00:46:38.580 --> 00:46:39.580]   Thank you so much.
[00:46:39.580 --> 00:46:41.580]   And, uh, if you have any questions, let me know.
[00:46:41.580 --> 00:46:42.580]   Yeah.
[00:46:42.580 --> 00:46:43.580]   We have five minutes for questions.
[00:46:43.580 --> 00:46:44.580]   Charles is coming up.
[00:46:44.580 --> 00:46:45.580]   We also have water.
[00:46:45.580 --> 00:46:46.580]   Thanks to Sean.
[00:46:46.580 --> 00:46:47.580]   Um, for bringing in some water.
[00:46:47.580 --> 00:46:48.580]   Uh, so, uh, yes.
[00:46:48.580 --> 00:46:48.580]   I do the people, but five minutes for questions.
[00:46:48.580 --> 00:46:48.580]   If you're thinking about .
[00:46:48.580 --> 00:46:48.580]   Yeah.
[00:46:48.580 --> 00:46:49.580]   So have you tried these with different things besides quad, like other, have you had similar
[00:46:49.580 --> 00:46:50.580]   kind of results?
[00:46:50.580 --> 00:46:51.580]   cause you're talking about .
[00:46:51.580 --> 00:46:51.580]   Cause you're talking about .
[00:46:51.580 --> 00:46:52.580]   in this particular.
[00:46:52.580 --> 00:46:52.580]   Maybe like .
[00:46:52.580 --> 00:46:52.580]   Yeah.
[00:46:52.580 --> 00:46:53.580]   Uh, maybe like .
[00:46:53.580 --> 00:46:53.580]   Yeah.
[00:46:53.580 --> 00:46:53.580]   Yeah.
[00:46:53.580 --> 00:46:53.580]   So have you tried these with different things besides quad, like other, have you had similar
[00:46:53.580 --> 00:46:54.580]   kind of results?
[00:46:54.580 --> 00:46:55.580]   cause you're talking about quad in this particular?
[00:46:55.580 --> 00:46:56.580]   like maybe like .
[00:46:56.580 --> 00:46:56.580]   Yeah.
[00:46:56.580 --> 00:47:01.580]   in some water so it gets happy to people. But five minutes for questions for anything about
[00:47:01.580 --> 00:47:04.580]   .
[00:47:04.580 --> 00:47:15.580]   Yep. So have you tried these with different things besides quad, like other, have you had
[00:47:15.580 --> 00:47:20.580]   similar kind of results? Because you're talking about quad in this particular, like maybe like
[00:47:20.580 --> 00:47:28.580]   . Yeah, I think I'm most experienced with
[00:47:28.580 --> 00:47:37.580]   cloud because I use it like every day. Less experience with GPT. I did not look carefully,
[00:47:37.580 --> 00:47:43.580]   to be honest, at their like API docs, but it seems like the strategy is a little bit different.
[00:47:43.580 --> 00:47:49.580]   Yeah. They don't have like formatting as VR, let's say. Yeah.
[00:47:49.580 --> 00:48:18.580]   Yeah, I think that's, that's actually one of the directions to like, um, I don't remember,
[00:48:18.580 --> 00:48:26.580]   how, what was the paper called? Like LLM says like optimizers, I think. Right. Um, but yeah,
[00:48:26.580 --> 00:48:32.580]   I guess like, um, in a way there are like certain tasks that the models are like not good at currently,
[00:48:32.580 --> 00:48:37.580]   like for example, like self-correction, like the models are not really good at like self-correcting
[00:48:37.580 --> 00:48:42.580]   the air like answers. And like, can you find like a problem that was like pretty good at it?
[00:48:42.580 --> 00:48:46.580]   Like, um, other tasks that you want. Yeah.
[00:48:46.580 --> 00:48:50.580]   Yeah.
[00:48:50.580 --> 00:48:50.580]   Yeah.
[00:48:50.580 --> 00:48:56.580]   I'm curious about what techniques your team is using for actually like evaluating the quality of the responses.
[00:48:56.580 --> 00:49:09.580]   Yeah, I think, um, depends on the task. Sometimes we just like have to look manually qualitatively, uh, at outputs.
[00:49:09.580 --> 00:49:23.580]   Um, sometimes you, let's say, um, you want to evaluate, you know, how much does the model refuses and if it refuses in a relevant context or not.
[00:49:23.580 --> 00:49:32.580]   And so, uh, you, uh, you use, you know, generated answers and you categorize infusals in different categories.
[00:49:32.580 --> 00:49:40.580]   And use the model to categorize that. And so you just like see the rate. Um, yeah, I can think of that example.
[00:49:40.580 --> 00:49:48.580]   Yeah. It depends on the task. Some tasks are like, you know, um, for like hallucinations,
[00:49:48.580 --> 00:49:53.580]   you actually have to like look yourself or something. Yeah. Yeah.
[00:49:53.580 --> 00:50:20.580]   Uh, it was open AI.
[00:50:20.580 --> 00:50:45.580]   Yeah. Yeah. Yeah. I think, uh, um, I won't say too much about this, but I actually have not like excessively used function calling from open AI like other models.
[00:50:45.580 --> 00:50:53.580]   Um, yeah. Right. Cool. Yeah.
[00:50:53.580 --> 00:50:54.580]   Yes.
[00:50:54.580 --> 00:50:59.580]   So you mentioned something about, you know, using, uh, LF to generate titles for customers.
[00:50:59.580 --> 00:51:08.580]   How do you actually try to evaluate if the titles are relevant and actually consistent beyond human care?
[00:51:08.580 --> 00:51:14.580]   Um, yeah, I think, uh, one, uh, actually this is an interesting question. Like I worked on the outer generating titles for cloud AI.
[00:51:14.580 --> 00:51:23.580]   And, um, one thing that I asked cloud is to be like an editor, like have an editorial taste.
[00:51:23.580 --> 00:51:33.580]   And what we did is actually we took previous titles and we put it in the context to generate a new title.
[00:51:33.580 --> 00:51:40.580]   And so in a way it's like a little bit more consistent to, um, what the style of the user is. Yeah.
[00:51:40.580 --> 00:51:53.580]   Uh, yeah, I'm not sure if I can share that. Oh yeah.
[00:51:53.580 --> 00:51:57.580]   Uh, yeah, we, we use this in production. I can like show you like cloud AI interface.
[00:51:57.580 --> 00:52:11.580]   And, uh, one thing that we changed recently is that like, if you have like pretty like short, like, um, you know, sometimes you don't have, you don't need like LLM to come up with a title.
[00:52:11.580 --> 00:52:18.580]   You just take, if the prompt is like very short, you just like, um, use the, like the first like words.
[00:52:18.580 --> 00:52:31.580]   Um, but here, yeah, like, I don't know. Um, let's see Hayes introduction, but then like recommend some books.
[00:52:31.580 --> 00:52:39.580]   Um, yeah, I don't know. Uh, yeah.
[00:52:39.580 --> 00:52:44.580]   I have a quick question. Did you cover the difference between quality products then?
[00:52:44.580 --> 00:52:50.580]   Um, no, but I can tell. Uh, so Claude.
[00:52:50.580 --> 00:53:02.580]   So let's look at the, is there some dogs on this?
[00:53:02.580 --> 00:53:10.580]   When did we announce? Uh, or nine, August 9th.
[00:53:11.580 --> 00:53:15.580]   Um, basically Claude 2 is a larger model.
[00:53:15.580 --> 00:53:17.580]   Uh, is a little bit smarter.
[00:53:17.580 --> 00:53:20.580]   Is like smarter than Claude instant.
[00:53:20.580 --> 00:53:23.580]   Claude instant is way cheaper and way faster.
[00:53:23.580 --> 00:53:28.580]   But Claude instant is better than Claude instant one.
[00:53:28.580 --> 00:53:31.580]   Um, in a, like more like reasoning based task.
[00:53:31.580 --> 00:53:33.580]   So it's way better at math.
[00:53:33.580 --> 00:53:35.580]   Uh, it's way better at code.
[00:53:36.580 --> 00:53:45.580]   Um, other benchmarks are like pretty similar, but I think we specifically trained Claude instant to be good at like math and code.
[00:53:45.580 --> 00:53:51.580]   Um, and it's a way better at like red teaming, um, like automated red teaming evaluation.
[00:53:51.580 --> 00:53:54.580]   So it's more robust to like jail breaks.
[00:53:54.580 --> 00:53:59.580]   Um, yeah.
[00:53:59.580 --> 00:54:01.580]   I really liked this model.
[00:54:01.580 --> 00:54:02.580]   You guys should use it.
[00:54:02.580 --> 00:54:04.580]   Yeah.
[00:54:04.580 --> 00:54:05.580]   Yes.
[00:54:05.580 --> 00:54:06.580]   Exposed by ignorance.
[00:54:06.580 --> 00:54:07.580]   Exposed by ignorance.
[00:54:07.580 --> 00:54:11.580]   So when you talk about training, like when you train this client, was that fine tuning?
[00:54:11.580 --> 00:54:13.580]   Or was that something different?
[00:54:13.580 --> 00:54:14.580]   Uh, yeah.
[00:54:14.580 --> 00:54:15.580]   Fine tuning.
[00:54:15.580 --> 00:54:16.580]   Yes.
[00:54:16.580 --> 00:54:17.580]   Last question.
[00:54:17.580 --> 00:54:20.580]   Can you say more about red teaming?
[00:54:20.580 --> 00:54:21.580]   Like what is red teaming?
[00:54:21.580 --> 00:54:23.580]   Yeah.
[00:54:23.580 --> 00:54:25.580]   Red teaming is an interesting concept.
[00:54:25.580 --> 00:54:35.580]   It's, um, basically you, like the models are pretty like, uh, vulnerable to like certain like jail breaks.
[00:54:35.580 --> 00:54:42.580]   Um, so sometimes let's say like a very simple example, like can the model give you instructions how to build a bomb?
[00:54:42.580 --> 00:54:45.580]   And so we, we consider it as a jail break.
[00:54:45.580 --> 00:55:00.580]   And so the goal is to like, uh, in that cases, like the model should like refuse or do not like provide any additional information in case of like, um, unsafe like prompts or something like this.
[00:55:00.580 --> 00:55:03.580]   And so this is like the internal evaluation that we have.
[00:55:03.580 --> 00:55:10.580]   Um, you can read in the model card that we have, we launched in cloud two, how we specifically do that.
[00:55:10.580 --> 00:55:16.580]   Um, but it's basically the amount of like, um, how robust the model is to like those jail breaks.
[00:55:16.580 --> 00:55:17.580]   Yeah.
[00:55:17.580 --> 00:55:18.580]   Cool.
[00:55:18.580 --> 00:55:19.580]   Thank you.
[00:55:19.580 --> 00:55:20.580]   Thank you very much.
[00:55:20.580 --> 00:55:21.580]   Yeah.
[00:55:21.580 --> 00:55:22.580]   Thank you.
[00:55:22.580 --> 00:55:23.580]   Yeah.
[00:55:23.580 --> 00:55:24.580]   Thank you.
[00:55:24.580 --> 00:55:25.580]   Yeah.
[00:55:25.580 --> 00:55:26.580]   Uh, yeah.
[00:55:26.580 --> 00:55:27.580]   Yeah.
[00:55:27.580 --> 00:55:28.580]   Uh, yeah.
[00:55:28.580 --> 00:55:29.580]   Uh, yeah.

