
[00:00:00.600 --> 00:00:01.560]   Guess what's back?
[00:23:25.700 --> 00:23:29.540]   I've watched that a lot with friends and people who have gotten divorced
[00:23:29.540 --> 00:23:32.240]   and then formed a new family and started over again.
[00:23:32.240 --> 00:23:35.000]   That they go through the experience in a different way.
[00:23:35.000 --> 00:23:38.020]   I think that's not the ideal.
[00:23:38.020 --> 00:23:41.480]   The ideal is that you should enjoy that at a certain point in your life
[00:23:41.480 --> 00:23:42.940]   and then enjoy that with your grandchildren.
[00:23:42.940 --> 00:23:44.380]   That's the proper way.
[00:23:44.380 --> 00:23:47.040]   There's something a little strange when we go the other directions.
[00:23:47.040 --> 00:23:50.820]   But the point is that we can see that it adds texture
[00:23:50.820 --> 00:23:52.220]   and variety to life.
[00:23:52.220 --> 00:23:55.480]   And you want that texture and variety in your life.
[00:23:55.480 --> 00:23:56.420]   You want that joy.
[00:23:56.420 --> 00:24:00.020]   You want those Christmases surrounded by your grandchildren
[00:24:00.020 --> 00:24:01.260]   and your great-grandchildren.
[00:24:01.260 --> 00:24:03.540]   You want more of that in your life.
[00:24:03.540 --> 00:24:06.340]   And it makes life planning and life anticipation
[00:24:06.340 --> 00:24:08.840]   simpler and more straightforward.
[00:24:08.840 --> 00:24:12.740]   I've been on something of a biography spree
[00:24:12.740 --> 00:24:14.620]   over this past couple of years.
[00:24:14.620 --> 00:24:18.680]   And I want to encourage you to read some biographies
[00:24:18.680 --> 00:24:20.620]   and consider the lives and lifestyles that you have.
[00:24:20.620 --> 00:24:20.640]   And I want to encourage you to read some biographies
[00:24:20.640 --> 00:24:20.800]   and consider the lives and lifestyles that you have.
[00:24:20.800 --> 00:24:20.820]   And I want to encourage you to read some biographies
[00:24:20.820 --> 00:24:20.840]   and consider the lifestyles that you have.
[00:24:20.840 --> 00:24:22.520]   of people who have gone before you.
[00:24:22.520 --> 00:24:26.300]   Because a biography, especially about someone who's dead and gone,
[00:24:26.300 --> 00:24:29.260]   is a really neat way for you to test your own thinking.
[00:24:29.260 --> 00:24:32.360]   But a couple of years ago, I read the biography of Steve Jobs
[00:24:32.360 --> 00:24:33.860]   and the Isaacson biography.
[00:24:33.860 --> 00:24:36.120]   And it really impacted me because I thought
[00:24:36.120 --> 00:24:41.460]   he did a great job of bringing out the variety of experience
[00:24:41.460 --> 00:24:44.080]   that Jobs had and kind of who he was, et cetera.
[00:24:44.080 --> 00:24:49.220]   But here was this guy who was completely brilliant.
[00:24:49.220 --> 00:24:50.620]   And yet, he was a great guy.
[00:24:50.620 --> 00:24:52.920]   And yet, you reflect on his life,
[00:24:52.920 --> 00:24:57.400]   and it seemed like with all of his brilliance
[00:24:57.400 --> 00:25:03.180]   and all of his financial creation,
[00:25:03.180 --> 00:25:04.940]   the incredible companies that he began,
[00:25:04.940 --> 00:25:07.280]   all of his accomplishments, et cetera,
[00:25:07.280 --> 00:25:11.820]   wouldn't it have been so much more fulfilling
[00:25:11.820 --> 00:25:18.080]   if he were surrounded by his children and his grandchildren
[00:25:18.080 --> 00:25:20.600]   instead of the very empty,
[00:25:20.600 --> 00:25:22.760]   personal life that he wound up having?
[00:25:22.760 --> 00:25:29.500]   And you compare a biography of him to,
[00:25:29.500 --> 00:25:31.680]   what name should I cite?
[00:25:31.680 --> 00:25:34.060]   Maybe Rich DeVos?
[00:25:34.060 --> 00:25:36.440]   Rich DeVos, the founder of Amway,
[00:25:36.440 --> 00:25:37.860]   I was super interested.
[00:25:37.860 --> 00:25:42.120]   Last year, I found some reports of,
[00:25:42.120 --> 00:25:44.980]   I found Rich DeVos' one of his grandsons
[00:25:44.980 --> 00:25:47.880]   who had spent a year basically traveling around the world
[00:25:47.880 --> 00:25:50.320]   on a boat with some of his buddies.
[00:25:50.420 --> 00:25:52.380]   And I was fascinated to hear his stories and whatnot.
[00:25:52.380 --> 00:25:54.800]   And I imagined, I don't remember when this was,
[00:25:54.800 --> 00:25:56.680]   I think it was when his grandfather was still alive,
[00:25:56.680 --> 00:25:59.620]   but I imagined the joy that that grandfather felt
[00:25:59.620 --> 00:26:03.400]   of seeing his young grandson go off around the world
[00:26:03.400 --> 00:26:04.580]   on a global expedition.
[00:26:04.580 --> 00:26:08.040]   And I thought, how much more satisfying is it
[00:26:08.040 --> 00:26:11.660]   to be a billionaire and see those that you love
[00:26:11.660 --> 00:26:14.940]   while you're alive able to enjoy the fruits of your labor?
[00:26:14.940 --> 00:26:18.740]   Isn't that more satisfying than just having the money yourself?
[00:26:20.240 --> 00:26:24.040]   I want to be cautious because you have the right to respect,
[00:26:24.040 --> 00:26:25.340]   to make your own choices,
[00:26:25.340 --> 00:26:29.780]   but I want to urge you to think about it very, very carefully.
[00:26:29.780 --> 00:26:34.940]   I have a hard time understanding
[00:26:34.940 --> 00:26:41.960]   how people who don't have this kind of built-in set of goals in life
[00:26:41.960 --> 00:26:45.100]   that just is so fundamental to what it means to be human,
[00:26:45.100 --> 00:26:48.000]   how you ultimately find satisfaction
[00:26:48.000 --> 00:26:50.220]   unless you create it for yourself,
[00:26:50.220 --> 00:26:52.080]   in a way that I'll get to in just a moment.
[00:26:52.080 --> 00:26:56.140]   I think of an example like Alex Hormozy, right?
[00:26:56.140 --> 00:26:58.380]   I'm a big admirer of Alex Hormozy.
[00:26:58.380 --> 00:27:01.760]   He's incredibly smart, incredibly hardworking, very successful.
[00:27:01.760 --> 00:27:05.760]   And yet he and his wife Layla, and he and his wife Layla,
[00:27:05.760 --> 00:27:09.540]   have built an enormous empire with their business
[00:27:09.540 --> 00:27:10.680]   and they're only getting started.
[00:27:10.680 --> 00:27:13.640]   I mean, his goal is to be the most jacked billionaire of all time
[00:27:13.640 --> 00:27:16.180]   and there's not a doubt in my mind that he will achieve it.
[00:27:16.180 --> 00:27:19.260]   And yet from the very beginning,
[00:27:20.040 --> 00:27:23.260]   the only point that he has to any of it
[00:27:23.260 --> 00:27:24.840]   is to just play the game.
[00:27:24.840 --> 00:27:27.480]   That the goal, the point is to play the game.
[00:27:27.480 --> 00:27:29.800]   That's admirable,
[00:27:29.800 --> 00:27:34.000]   but it rings very hollow to me.
[00:27:34.000 --> 00:27:36.120]   I've never spoken with Alex.
[00:27:36.120 --> 00:27:39.220]   I'm sure he's thought carefully about the life decisions
[00:27:39.220 --> 00:27:40.600]   that he has made thus far.
[00:27:40.600 --> 00:27:42.080]   And he's very young.
[00:27:42.080 --> 00:27:44.940]   There's still time for him to do whatever he wants to do.
[00:27:44.940 --> 00:27:49.540]   But think about someone like him as an example.
[00:27:49.860 --> 00:27:51.940]   Imagine yourself in that position.
[00:27:51.940 --> 00:27:53.880]   Imagine yourself that you're 30 years old.
[00:27:53.880 --> 00:27:55.840]   You've made tens of millions of dollars.
[00:27:55.840 --> 00:27:57.480]   You're completely financially independent.
[00:27:57.480 --> 00:28:00.240]   You've married love of your life, a beautiful woman
[00:28:00.240 --> 00:28:05.020]   that you're partnered side by side in creating a business empire.
[00:28:05.020 --> 00:28:07.840]   Now imagine the decades.
[00:28:07.840 --> 00:28:09.620]   30 to 40.
[00:28:09.620 --> 00:28:11.440]   40 to 50.
[00:28:11.440 --> 00:28:13.120]   50 to 60.
[00:28:13.120 --> 00:28:14.760]   60 to 70.
[00:28:14.760 --> 00:28:16.300]   70 to 80.
[00:28:16.300 --> 00:28:17.880]   80 to 90.
[00:28:17.880 --> 00:28:19.300]   90 to 100.
[00:28:19.680 --> 00:28:21.240]   You can go on if you want.
[00:28:21.240 --> 00:28:23.500]   Imagine those decades passing.
[00:28:23.500 --> 00:28:26.460]   How are you going to structure your decades?
[00:28:26.460 --> 00:28:30.040]   What is going to be your theme to the decades
[00:28:30.040 --> 00:28:31.340]   so that you will remember it?
[00:28:31.340 --> 00:28:35.500]   How are you going to build and suck the juice out of life
[00:28:35.500 --> 00:28:39.960]   so that you live a life that fills your mind with rich memories
[00:28:39.960 --> 00:28:41.840]   and all those around you?
[00:28:41.840 --> 00:28:46.580]   You're going to have to build it in artificially
[00:28:46.580 --> 00:28:49.500]   if you don't have the natural ability
[00:28:49.500 --> 00:28:52.060]   and the natural growth of your family.
[00:28:52.060 --> 00:28:55.040]   So let's talk about how you do that.
[00:28:55.040 --> 00:28:57.620]   And by the way, even if you do have a family,
[00:28:57.620 --> 00:28:59.560]   think about this because I think that, again,
[00:28:59.560 --> 00:29:01.000]   you don't have to choose one of these.
[00:29:01.000 --> 00:29:03.340]   My hope is that in the fullness of time I can do both.
[00:29:03.340 --> 00:29:06.680]   You are definitely limited in your ability
[00:29:06.680 --> 00:29:08.360]   when you have young children.
[00:29:08.360 --> 00:29:11.540]   You are limited in your ability to do the other things.
[00:29:11.540 --> 00:29:12.980]   But there's plenty of time.
[00:29:12.980 --> 00:29:14.800]   For most of us, life is very long.
[00:29:14.800 --> 00:29:16.560]   What do you do?
[00:29:16.560 --> 00:29:19.320]   You need to expand.
[00:29:19.320 --> 00:29:21.440]   You need to expand your goal setting and your vision
[00:29:21.440 --> 00:29:24.500]   beyond dollars on a page.
[00:29:24.500 --> 00:29:27.780]   I will at some point do a separate podcast on,
[00:29:27.780 --> 00:29:29.760]   but I'll give you the two-minute version of it here.
[00:29:29.760 --> 00:29:35.620]   Money is the most easily measured metric.
[00:29:35.620 --> 00:29:39.620]   That's why we love to measure it.
[00:29:39.620 --> 00:29:43.920]   But it is one of the least rewarding metrics.
[00:29:43.920 --> 00:29:49.140]   It should not be a primary metric
[00:29:49.140 --> 00:29:50.400]   of success.
[00:29:50.400 --> 00:29:54.060]   It's only a primary metric of success
[00:29:54.060 --> 00:29:55.740]   because it is easily measured.
[00:29:55.740 --> 00:29:59.520]   But the analogy that I would draw
[00:29:59.520 --> 00:30:04.280]   is that your weight is also easily measured
[00:30:04.280 --> 00:30:06.560]   and your weight is informative.
[00:30:06.560 --> 00:30:11.040]   A physician can know your weight
[00:30:11.040 --> 00:30:15.180]   and have some sense of the meaning of those numbers.
[00:30:15.180 --> 00:30:18.960]   But without all of the other metrics,
[00:30:18.960 --> 00:30:21.640]   using my analogy,
[00:30:21.640 --> 00:30:23.380]   whether you're male or female,
[00:30:23.380 --> 00:30:24.700]   how tall you are,
[00:30:24.700 --> 00:30:26.320]   how much muscle you have,
[00:30:26.320 --> 00:30:26.800]   et cetera,
[00:30:26.800 --> 00:30:30.740]   it's hard to draw any adequate conclusions
[00:30:30.740 --> 00:30:32.300]   about the meaning of your weight.
[00:30:32.300 --> 00:30:33.600]   You need a whole lot of texture.
[00:30:33.600 --> 00:30:35.300]   And it's the same thing with money.
[00:30:35.300 --> 00:30:37.020]   Money is a useful metric,
[00:30:37.020 --> 00:30:39.400]   but it's only useful
[00:30:39.400 --> 00:30:42.740]   when it comes in the midst
[00:30:42.740 --> 00:30:44.440]   of all of the other metrics
[00:30:44.440 --> 00:30:46.920]   that lead to life satisfaction.
[00:30:46.920 --> 00:30:48.780]   And those other metrics are the ones that are useful.
[00:30:48.780 --> 00:30:51.100]   And those other metrics are not so easily measured.
[00:30:51.100 --> 00:30:54.220]   Some of them are.
[00:30:54.220 --> 00:30:57.420]   Number of years married,
[00:30:57.420 --> 00:31:01.920]   personal sense of happiness and contentment in your life,
[00:31:01.920 --> 00:31:04.580]   satisfaction that you have with your spouse,
[00:31:04.580 --> 00:31:06.780]   number of children you have,
[00:31:06.780 --> 00:31:09.960]   number of grandchildren, great-grandchildren, et cetera.
[00:31:09.960 --> 00:31:12.860]   There are other numbers that can be measured,
[00:31:12.860 --> 00:31:16.820]   but it's only in the fullness of analysis
[00:31:16.820 --> 00:31:18.600]   that money is a useful metric.
[00:31:18.600 --> 00:31:22.600]   So be careful only measuring money
[00:31:22.600 --> 00:31:24.020]   without those other things.
[00:31:24.020 --> 00:31:26.660]   To somebody who has the full perspective,
[00:31:26.660 --> 00:31:29.420]   just like a physician who has the full perspective,
[00:31:29.420 --> 00:31:30.600]   you're standing in front of him,
[00:31:30.600 --> 00:31:32.660]   he can see how tall you are,
[00:31:32.660 --> 00:31:34.460]   he can see how much muscle you have, et cetera,
[00:31:34.460 --> 00:31:36.980]   well then weight is a useful metric.
[00:31:36.980 --> 00:31:38.840]   But then there's all those other metrics
[00:31:38.840 --> 00:31:40.160]   that need to be brought in as well.
[00:31:40.160 --> 00:31:44.400]   But it's not the metric of success.
[00:31:44.400 --> 00:31:45.360]   The same with money.
[00:31:45.360 --> 00:31:47.460]   Money's primary benefit
[00:31:47.460 --> 00:31:48.420]   is that it's easy to measure.
[00:31:48.420 --> 00:31:49.280]   Easily measured.
[00:31:49.280 --> 00:31:52.340]   But because of the fact that it's easy to measure,
[00:31:52.340 --> 00:31:56.360]   it often takes on a wrong size.
[00:31:56.360 --> 00:31:59.200]   It takes on a wrong sense of proportion.
[00:31:59.200 --> 00:32:02.500]   People value it too much to the exclusion of other things.
[00:32:02.500 --> 00:32:04.620]   So back to what do you do?
[00:32:04.620 --> 00:32:07.040]   What do you do if you're an Alex Hormozy
[00:32:07.040 --> 00:32:10.460]   or someone else who's been phenomenally successful
[00:32:10.460 --> 00:32:13.640]   at everything you've ever set your mind to?
[00:32:13.640 --> 00:32:16.080]   And I use him because it's hard to come up
[00:32:16.080 --> 00:32:16.960]   with a better example.
[00:32:18.240 --> 00:32:25.840]   very financially successful, all self-made, did it his own way, drawing himself up. He's achieved
[00:32:25.840 --> 00:32:31.200]   fame, modest internet fame, but fame in certain circles, looked up to, admired by many,
[00:32:31.200 --> 00:32:36.380]   married to a beautiful woman who he loves. They seem to have a wonderful relationship together.
[00:32:36.380 --> 00:32:43.740]   And he's got tremendous physical shape. He has the ability to come and go and do whatever he
[00:32:43.740 --> 00:32:48.560]   wants in the world. And he's 30 years old. What would you do if you were he?
[00:32:48.560 --> 00:32:59.640]   Well, you have to establish purpose. And that purpose can't just always be growing bigger
[00:32:59.640 --> 00:33:04.760]   companies. And again, I'm not picking on an Alex, I'm picking on Hermosa. I bet he's done this.
[00:33:04.760 --> 00:33:09.180]   But you need to think, okay, 30 to 40, what's going to be that area of focus? What problems
[00:33:09.180 --> 00:33:12.480]   am I going to tackle? 40 to 50, what are some problems that I'm not going to tackle now,
[00:33:12.480 --> 00:33:13.720]   but some problems that I really want to tackle? And I'm not going to tackle them now, but I'm
[00:33:13.720 --> 00:33:18.300]   going to tackle them then. What's a career that I would really like to have from 50 to 60?
[00:33:18.300 --> 00:33:26.020]   In order for you to experience the fullness of these decisions, you will want to incorporate
[00:33:26.020 --> 00:33:32.460]   some sense of generation, meaning through the generations of people into your life.
[00:33:32.460 --> 00:33:39.840]   And so one of the most empowering things that you can do when you're 35 years old or 40 years old,
[00:33:39.840 --> 00:33:43.700]   especially, I mean, in addition to your own children, especially if you don't have children,
[00:33:43.700 --> 00:33:50.300]   is you need to bring in a crop of 15-year-olds or 22-year-olds or 30-year-olds and start training
[00:33:50.300 --> 00:33:57.380]   the next generation. And as you watch their success and you see your ability to reproduce,
[00:33:57.380 --> 00:34:05.960]   you will derive much more joy and satisfaction from that than you will from just doing more
[00:34:05.960 --> 00:34:13.680]   of what you want to do. Back finally to the point of variety of life.
[00:34:13.680 --> 00:34:23.280]   If you're going to build a life and a lifestyle that is meaningful, you are primarily going to
[00:34:23.280 --> 00:34:32.760]   experience the greatest joys in your ability to impact the lives of other people, not in higher
[00:34:32.760 --> 00:34:41.080]   and higher levels of consumption for yourself. Hedonism is fun for a very short period of time.
[00:34:41.080 --> 00:34:43.660]   After that short period of time, you're going to experience the greatest joys in your ability to
[00:34:43.660 --> 00:34:44.660]   impact the lives of other people, not in higher and higher levels of consumption for yourself.
[00:34:44.660 --> 00:34:51.800]   Your mind and body and psychology will adapt to whatever it is that you are expressing in a
[00:34:51.800 --> 00:34:58.760]   hedonistic way, and you will need some new stimulation to get you going again. It's a
[00:34:58.760 --> 00:35:05.920]   cheap thrill that feels good for the moment, but doesn't last. But investing into other people,
[00:35:05.920 --> 00:35:13.440]   investing into your neighbor, investing into your neighbor's children, investing into the next
[00:35:13.440 --> 00:35:19.020]   generation and the next generation and the next generation, be that generations of impact that
[00:35:19.020 --> 00:35:24.500]   ripple out from you through your fellow man, or be it generations down through the ages,
[00:35:24.500 --> 00:35:28.500]   continually impacting the younger generation, the younger generation, the younger generation
[00:35:28.500 --> 00:35:34.860]   for the future of humanity, that's where you will ultimately draw the largest source of satisfaction.
[00:35:34.860 --> 00:35:41.940]   So in conclusion, I want you to do both of these things.
[00:35:41.940 --> 00:35:50.060]   I want you to get married. I want you to have babies, because I think that you will gain immense
[00:35:50.060 --> 00:35:58.080]   amounts of life satisfaction from that decision. In a separate episode, I will talk to those of
[00:35:58.080 --> 00:36:03.120]   you who are saying, but Joshua, I might get divorced. I just simply want to say to you,
[00:36:03.120 --> 00:36:07.980]   and I might lose half my stuff, right? And after all, she didn't do anything to earn it,
[00:36:07.980 --> 00:36:11.600]   why would I take the risk? I can't find a decent spouse anyway.
[00:36:11.600 --> 00:36:17.960]   I'll deal with that in a separate episode. What I want to tell you is that victory has never
[00:36:17.960 --> 00:36:24.520]   belonged to the timid. Never in the history of humanity have the weak and the timid and the
[00:36:24.520 --> 00:36:33.480]   fearful ultimately come to conquer. Victory has always gone to the bold.
[00:36:33.480 --> 00:36:41.440]   If you want to be surrounded by your great-grandchildren on your 85th birthday,
[00:36:41.440 --> 00:36:46.040]   and you want to see yourself as the patriarch of a dynasty,
[00:36:46.040 --> 00:36:52.360]   and you want to see your ability to impact the world, you are going to have to start
[00:36:52.360 --> 00:36:58.640]   that process long before there is any certainty of victory.
[00:36:58.640 --> 00:37:05.980]   I've been thinking a lot about Alexander the Great. Alexander the Great was only great
[00:37:05.980 --> 00:37:11.360]   in other people's eyes at the end of his conquest.
[00:37:11.360 --> 00:37:17.900]   At the beginning of his conquest, he was simply Alex.
[00:37:17.900 --> 00:37:24.600]   Now, I don't want you to go off and set across the world raping and pillaging and conquering
[00:37:24.600 --> 00:37:29.880]   your fellow people with violence. The point is that if you are going to be great,
[00:37:29.880 --> 00:37:38.260]   you are going to have to make risky decisions. And there is nothing in life that you can do
[00:37:38.260 --> 00:37:40.680]   that does not entail risk.
[00:37:40.680 --> 00:37:49.340]   You might marry poorly. You might be divorced. Your wife might take your children and you never
[00:37:49.340 --> 00:37:57.800]   speak to them again. That is possible. But it's one of those things that if you're not willing
[00:37:57.800 --> 00:38:05.680]   to take the risk, you never have the possibility of conquering, of building a dynasty, of building
[00:38:05.680 --> 00:38:10.440]   a life of satisfaction. So when you're 95 years old, in your ornate character, you're not going
[00:38:10.440 --> 00:38:10.660]   to be able to take the risk. You're not going to be able to take the risk. You're not going to be
[00:38:10.660 --> 00:38:22.760]   surrounded by your 113 great-grandchildren. It's not easy, but it's doable. And here's the
[00:38:22.760 --> 00:38:30.000]   other thing about risk. In the same way that military risk is largely predictable, well,
[00:38:30.000 --> 00:38:39.180]   not entirely, virtually all of the risks of marriage, children, etc. are also predictable.
[00:38:39.180 --> 00:38:40.460]   They're not random.
[00:38:40.460 --> 00:38:49.640]   You don't just randomly win military victory over somebody. It comes with strategy, with research,
[00:38:49.640 --> 00:38:54.980]   with spying out the land, and then making intelligent decisions. Now, the battle can
[00:38:54.980 --> 00:39:00.840]   go against you in certain occasions. But as we talk about in this series, it's not random.
[00:39:00.840 --> 00:39:08.320]   So let me stop with my monologue and simply say, I want you to have that. I believe that's worth
[00:39:08.320 --> 00:39:10.440]   working towards. I've been working towards it for a long time. I've been working towards it for a
[00:39:10.440 --> 00:39:16.860]   more than a decade. It feels really good when I compare my life as compared to some of my friends
[00:39:16.860 --> 00:39:23.160]   who have made different choices. I also want you to have everything else. Because if you're not
[00:39:23.160 --> 00:39:28.400]   able to marry or you're not able to have children, life is not over. But I want you to recognize that
[00:39:28.400 --> 00:39:33.920]   you need to insert that into your life. You need to build that into your life. And the things that
[00:39:33.920 --> 00:39:39.680]   you're going to value the most is going to come from your service to others, especially as it
[00:39:39.680 --> 00:39:40.420]   ripples through the generations. So I want you to have everything else. And I want you to have everything
[00:39:40.420 --> 00:39:43.100]   that you're going to value the most. So I want you to have everything else. And I want you to have
[00:39:43.100 --> 00:39:43.120]   everything else. And I want you to have everything else. And I want you to have everything else.
[00:39:43.120 --> 00:39:49.920]   I want to encourage you as I close today's show. If you have not yet come and signed up for the
[00:39:49.920 --> 00:39:53.860]   event that I'm holding in January in Panama, I want to encourage you to do that. Go to
[00:39:53.860 --> 00:40:00.980]   expatmoney.com slash radical. In January of 2024, I am hosting a one-week tour of Panama with my
[00:40:00.980 --> 00:40:05.800]   friends Mikkel Thorup and Gabriel Custodiat. We'll be in Panama City, Panama and the surrounding
[00:40:05.800 --> 00:40:09.600]   environment for one week talking about internationalization,
[00:40:09.600 --> 00:40:10.400]   the social and economic environment, and the social and economic environment.
[00:40:10.400 --> 00:40:15.380]   If you're interested in Panama, you should definitely come. If you're interested in
[00:40:15.380 --> 00:40:21.240]   internationalization and you're not sure about Panama, you should definitely come. Because while
[00:40:21.240 --> 00:40:26.260]   we're going to be discussing Panama specifically and some of the many benefits that Panama brings
[00:40:26.260 --> 00:40:30.580]   to many people, it is not exclusive to that. And you'll be able to hang out with me,
[00:40:30.580 --> 00:40:34.360]   be able to hang out with Mikkel the entire time. If you just want to come and hang out and have a
[00:40:34.360 --> 00:40:40.280]   good time with Joshua, you want to come and smoke cigars and hang out and talk about,
[00:40:40.280 --> 00:40:44.520]   Alexander the Great, then go to expatmoney.com slash radical,
[00:40:44.520 --> 00:40:49.280]   expatmoney.com slash radical and sign up today, expatmoney.com slash radical.

